,Variable,Units,Description
0,TIMEKEEPING,,
1,TIMESTAMP,YYYYMMDDHHMM,ISO timestamp – short format
2,TIMESTAMP_START,YYYYMMDDHHMM,ISO timestamp start of averaging period – short format
3,TIMESTAMP_END,YYYYMMDDHHMM,ISO timestamp end of averaging period – short format
4,,,
5,MICROMETEOROLOGICAL,,
6,TA_F_MDS,,"Air temperature, gapfilled using MDS method"
7,HH,deg C,
8,DD,deg C,average from half-hourly data
9,WW-YY,deg C,average from daily data
10,TA_F_MDS_QC,,Quality flag for TA_F_MDS
11,HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
12,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
13,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
14,TA_F_MDS_NIGHT,,Average nighttime TA_F_MDS
15,HH,,not produced
16,DD,deg C,average from half-hourly data
17,WW-YY,deg C,average from daily data
18,TA_F_MDS_NIGHT_SD,,Standard deviation for TA_F_MDS_NIGHT
19,HH,,not produced
20,DD,deg C,from half-hourly data
21,WW-YY,deg C,average SD from daily data
22,TA_F_MDS_NIGHT_QC,,Quality flag for TA_F_MDS_NIGHT
23,HH,,not produced
24,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
25,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
26,TA_F_MDS_DAY,,Average daytime TA_F_MDS
27,HH,,not produced
28,DD,deg C,average from half-hourly data
29,WW-YY,deg C,average from daily data
30,TA_F_MDS_DAY_SD,,Standard deviation for TA_F_MDS_DAY
31,HH,,not produced
32,DD,deg C,from half-hourly data
33,WW-YY,deg C,average SD from daily data
34,TA_F_MDS_DAY_QC,,Quality flag for TA_F_MDS_DAY
35,HH,,not produced
36,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
37,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
38,TA_ERA,,"Air temperature, downscaled from ERA, linearly regressed using measured only site data"
39,HH,deg C,
40,DD,deg C,average from half-hourly data
41,WW-YY,deg C,average from daily data
42,TA_ERA_NIGHT,,Average nighttime TA_ERA
43,HH,,not produced
44,DD,deg C,average from half-hourly data
45,WW-YY,deg C,average from daily data
46,TA_ERA_NIGHT_SD,,Standard deviation for TA_ERA_NIGHT
47,HH,,not produced
48,DD,deg C,from half-hourly data
49,WW-YY,deg C,average SD from daily data
50,TA_ERA_DAY,,Average daytime TA_ERA
51,HH,,not produced
52,DD,deg C,average from half-hourly data
53,WW-YY,deg C,average from daily data
54,TA_ERA_DAY_SD,,Standard deviation for TA_ERA_DAY
55,HH,,not produced
56,DD,deg C,from half-hourly data
57,WW-YY,deg C,average SD from daily data
58,TA_F,,"Air temperature, consolidated from TA_F_MDS and TA_ERA"
59,HH,deg C,TA_F_MDS used if TA_F_MDS_QC is 0 or 1
60,DD,deg C,average from half-hourly data
61,WW-YY,deg C,average from daily data
62,TA_F_QC,,Quality flag for TA_F
