TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,6.823,6.607,0.264,7.217,0.292,17.568,331.987,1.065,103.821,0.074,0.903
19890102,6.143,5.961,0.772,6.474,0.805,23.648,324.63,1.176,103.643,0.002,1.816
19890103,2.386,2.124,0.934,2.864,0.438,37.454,270.429,0.861,103.254,0.002,2.608
19890104,3.176,3.118,1.574,3.282,0.73,4.953,318.227,0.79,102.912,2.331,4.389
19890105,4.63,4.54,1.297,4.795,1.068,34.236,297.272,0.927,102.557,6.118,4.065
19890106,8.594,8.088,0.774,9.517,0.487,19.665,348.362,0.747,101.234,4.319,3.54
19890107,7.156,6.978,1.027,7.482,0.649,19.803,342.952,0.794,102.218,0.713,2.461
19890108,8.999,8.871,0.257,9.233,0.191,12.075,360.49,0.505,102.208,0.689,3.151
19890109,8.209,8.165,0.431,8.289,0.25,13.139,359.143,0.556,101.723,0.569,3.059
19890110,6.827,6.276,1.16,7.831,0.378,5.943,332.947,0.646,101.848,2.605,3.106
19890111,3.276,3.367,1.794,3.11,1.075,31.922,299.091,0.631,102.356,0.041,2.754
19890112,6.876,6.578,1.279,7.421,1.0,13.671,317.044,1.264,101.643,1.745,4.994
19890113,4.587,4.458,1.434,4.823,1.586,40.694,280.805,1.087,103.006,0.015,3.938
19890114,7.254,6.465,1.35,8.693,0.445,27.948,302.262,1.78,102.997,1.194,5.137
19890115,6.529,6.326,1.993,6.899,1.466,44.213,295.764,1.384,103.598,0.008,4.632
19890116,7.395,7.029,1.345,8.065,0.148,26.356,322.96,1.518,103.379,0.013,3.491
19890117,4.551,4.402,0.948,4.824,0.454,9.213,331.689,0.751,103.194,1.275,3.319
19890118,2.852,2.624,0.849,3.266,0.939,31.32,308.136,0.622,103.712,0.1,0.769
19890119,1.415,1.279,0.712,1.641,0.702,28.987,309.346,0.348,103.589,0.052,1.004
19890120,1.794,1.618,1.011,2.088,0.278,18.299,310.403,0.765,102.955,0.086,1.942
19890121,5.315,4.912,0.934,5.987,0.825,18.087,329.59,1.16,101.696,2.009,4.313
19890122,4.579,3.417,0.712,6.517,1.295,34.364,302.639,0.811,102.658,0.175,1.969
19890123,2.815,2.162,0.522,3.902,1.258,44.057,289.998,0.854,103.444,0.003,2.714
19890124,0.684,0.544,0.671,0.918,0.324,53.514,274.554,0.413,103.231,0.008,2.024
19890125,0.072,-0.414,0.966,0.881,1.534,63.178,246.04,0.737,102.809,0.0,2.197
