TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,4.842,4.762,0.308,4.987,0.245,16.194,336.091,0.149,100.561,0.135,0.952
19890102,4.78,4.401,1.1,5.469,0.564,20.892,329.478,0.468,100.348,0.085,1.705
19890103,1.028,0.768,0.375,1.501,0.314,48.635,260.583,0.293,100.059,0.0,2.465
19890104,2.035,1.874,1.461,2.327,0.849,17.833,313.064,0.141,99.865,3.692,3.715
19890105,3.713,3.675,0.539,3.783,0.669,32.33,321.882,0.252,99.54,3.806,3.269
19890106,6.964,6.536,0.974,7.743,0.522,11.621,350.39,0.02,98.208,3.461,2.913
19890107,5.415,5.444,0.992,5.362,0.687,12.807,343.635,0.022,99.073,0.853,2.174
19890108,7.495,7.265,0.47,7.914,0.146,9.257,358.766,0.0,99.156,0.566,2.408
19890109,6.397,6.4,0.421,6.39,0.317,15.034,354.835,0.0,98.686,0.511,2.204
19890110,5.572,5.194,0.976,6.261,0.462,8.892,347.949,0.024,98.785,2.548,2.762
19890111,2.924,2.808,1.734,3.137,1.997,46.934,308.798,0.158,99.238,0.012,1.98
19890112,5.657,5.247,1.851,6.405,1.22,20.501,319.128,0.428,98.691,1.432,4.32
19890113,3.338,3.057,1.326,3.85,1.31,28.198,297.455,0.195,99.954,0.003,2.954
19890114,5.274,4.312,1.256,7.029,0.57,20.785,303.606,0.444,100.012,0.623,3.626
19890115,3.3,2.83,1.413,4.157,1.697,51.242,283.903,0.264,100.589,0.001,2.957
19890116,4.387,3.902,1.103,5.272,0.491,30.587,315.015,0.34,100.298,0.006,2.174
19890117,1.256,1.095,1.006,1.524,0.85,20.388,323.725,0.0,100.117,1.337,2.418
19890118,2.79,2.375,0.512,3.48,0.699,19.309,332.334,0.0,100.436,0.274,0.587
19890119,0.06,-0.702,0.802,1.33,1.062,41.796,295.883,0.051,100.308,0.036,0.571
19890120,0.805,0.615,1.499,1.121,0.345,28.412,305.164,0.112,99.757,0.074,1.855
19890121,3.334,2.89,1.606,4.075,0.982,15.501,329.675,0.155,98.711,1.628,3.667
19890122,3.878,3.367,0.825,4.73,1.056,19.062,326.081,0.111,99.447,0.476,1.325
19890123,1.465,0.944,0.573,2.334,1.082,34.969,310.133,0.069,100.285,0.036,1.433
19890124,-0.829,-1.113,0.663,-0.354,1.008,63.556,270.892,0.028,99.997,0.008,1.42
19890125,0.245,-0.391,1.18,1.305,1.755,68.238,254.852,0.41,99.597,0.0,2.441
19890126,2.299,1.023,1.381,4.425,2.36,69.347,260.558,1.285,99.656,0.0,2.549
19890127,2.236,1.02,1.447,4.092,2.525,71.415,258.955,1.203,100.221,0.0,2.612
19890128,1.905,0.967,1.053,3.336,2.229,72.32,262.283,1.096,100.319,0.0,2.819
19890129,2.21,1.92,1.412,2.654,0.831,13.768,321.792,0.006,100.938,0.249,1.384
19890130,1.749,1.665,0.822,1.877,1.827,55.978,316.384,0.051,101.08,0.038,1.167
19890131,0.687,0.496,0.491,0.977,1.159,44.312,311.557,0.003,100.981,0.044,0.97
19890201,-0.189,-0.772,0.668,0.702,1.022,79.317,257.897,0.122,100.434,0.0,1.844
19890202,-1.206,-2.166,1.142,0.26,1.936,76.43,263.504,0.034,100.294,0.0,1.205
19890203,-0.486,-0.825,0.829,0.033,1.267,44.389,316.086,0.005,100.083,0.224,1.829
19890204,-1.014,-1.185,0.639,-0.774,0.929,55.1,296.37,0.0,99.79,0.037,3.07
19890205,2.622,2.297,2.692,3.077,1.009,13.234,326.352,0.004,99.64,2.452,3.76
19890206,7.232,6.724,0.534,7.943,0.873,27.045,348.04,0.277,100.089,0.198,3.243
19890207,6.589,5.666,0.899,7.882,1.381,67.689,305.704,0.745,99.995,0.076,2.585
19890208,3.597,2.518,1.15,5.108,2.951,80.347,292.284,0.439,99.678,0.0,1.846
19890209,4.4,3.025,1.603,6.325,2.884,90.351,279.579,1.256,99.056,0.002,2.57
19890210,4.293,3.184,1.309,5.847,2.629,93.378,273.168,1.598,99.435,0.0,2.595
19890211,3.609,2.631,1.182,4.98,2.088,67.545,294.001,0.331,100.496,0.02,1.825
19890212,4.498,3.904,0.532,5.33,0.833,18.894,322.827,0.197,100.401,2.236,3.009
19890213,2.833,2.417,1.753,3.416,2.094,57.929,302.431,0.196,100.01,3.14,3.188
19890214,3.827,3.261,1.177,4.619,0.693,88.677,285.623,1.294,99.497,1.405,3.914
19890215,4.677,4.328,2.271,5.125,0.964,32.637,326.489,0.363,98.864,4.56,4.624
19890216,2.685,2.021,1.424,3.54,1.686,72.854,288.243,0.776,98.77,0.558,2.307
19890217,2.722,2.272,3.048,3.3,2.304,56.534,299.337,0.735,98.699,1.111,2.732
19890218,8.659,8.683,1.805,8.627,0.917,12.243,356.387,0.231,98.395,2.538,4.457
19890219,10.951,11.055,0.266,10.816,0.172,15.418,363.835,0.54,98.924,4.548,4.339
19890220,7.812,7.547,3.116,8.153,0.773,64.314,328.201,1.216,99.16,3.493,2.864
19890221,2.939,1.757,0.788,4.459,1.674,77.798,289.719,1.092,99.258,0.0,1.303
19890222,2.819,1.673,2.568,4.174,2.106,71.665,296.059,0.688,98.348,0.082,2.59
19890223,3.519,3.042,1.06,4.084,0.799,60.859,310.438,0.342,97.565,4.621,2.652
19890224,3.146,2.657,2.628,3.724,1.84,80.132,299.552,0.539,95.9,0.702,3.692
19890225,3.876,3.538,0.72,4.276,1.309,62.203,320.017,0.743,93.761,5.224,5.145
19890226,2.439,2.355,0.588,2.538,0.909,50.117,300.299,0.427,93.531,3.616,4.452
19890227,2.487,2.349,0.903,2.649,1.113,79.539,299.349,0.516,94.772,3.737,4.351
19890228,2.612,2.344,0.279,2.928,0.859,88.361,302.415,0.253,95.632,2.209,3.606
19890301,4.058,3.571,1.099,4.633,0.992,79.412,306.735,0.584,96.349,3.817,5.172
19890302,5.062,5.234,1.083,4.875,0.64,53.004,329.35,0.472,97.315,6.169,4.06
19890303,6.983,6.568,0.443,7.435,0.728,77.281,330.681,0.486,97.012,3.172,2.824
19890304,7.379,6.952,1.175,7.843,1.37,68.367,338.003,1.082,98.564,0.249,2.812
19890305,9.291,8.187,0.653,10.492,1.402,42.668,341.342,1.006,98.862,1.456,2.239
19890306,10.71,9.087,2.486,12.475,3.364,138.204,299.172,3.527,98.608,0.0,2.866
19890307,9.083,8.344,1.176,9.886,0.91,48.32,341.434,1.463,98.371,14.05,1.698
19890308,3.74,3.071,1.112,4.467,1.508,65.986,311.293,0.794,98.651,10.072,3.564
19890309,5.752,4.4,3.539,7.221,2.934,117.069,302.858,2.213,99.12,0.278,2.807
19890310,9.277,7.728,1.502,10.961,2.989,156.301,290.274,4.115,98.931,0.156,2.879
19890311,9.125,8.256,1.511,9.994,2.22,99.054,327.866,1.94,99.184,0.309,1.952
19890312,9.431,8.882,2.771,9.98,2.74,100.364,334.611,1.734,98.632,0.253,1.875
19890313,7.654,8.021,2.663,7.287,0.286,103.91,317.14,1.848,98.134,1.933,4.091
19890314,5.357,4.385,1.996,6.329,2.165,104.033,299.145,1.674,98.627,1.476,3.385
19890315,6.807,5.429,1.195,8.184,1.445,57.878,334.942,0.864,96.993,4.365,3.936
19890316,7.569,6.412,1.644,8.633,1.874,51.049,337.533,0.606,96.453,6.986,3.072
