TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,6.427,6.129,0.377,6.971,0.224,19.759,347.938,1.161,103.763,0.125,0.787
19890102,5.746,5.642,0.564,5.937,0.695,24.504,347.135,1.247,103.574,0.015,1.754
19890103,2.246,2.12,1.371,2.475,0.406,34.028,300.103,0.891,103.169,0.008,2.62
19890104,2.471,2.412,1.761,2.578,0.682,5.575,340.252,0.756,102.82,1.424,4.162
19890105,4.203,4.092,1.403,4.406,1.109,34.974,314.85,0.937,102.482,7.626,3.698
19890106,8.279,7.805,0.756,9.145,0.623,24.739,367.198,0.736,101.188,3.093,3.032
19890107,7.021,6.848,0.966,7.337,0.564,20.694,366.607,0.825,102.185,0.327,2.209
19890108,8.645,8.619,0.254,8.694,0.194,13.906,383.71,0.554,102.163,0.21,2.853
19890109,7.677,7.613,0.521,7.793,0.28,14.593,381.861,0.596,101.646,0.366,2.898
19890110,6.3,5.697,1.465,7.4,0.513,7.23,349.347,0.677,101.8,2.738,2.81
19890111,2.319,2.522,1.971,1.948,1.05,29.289,316.052,0.5,102.269,0.039,2.756
19890112,6.275,5.979,1.149,6.814,0.993,11.299,337.948,1.098,101.544,1.895,4.597
19890113,4.036,3.914,1.461,4.258,1.526,42.046,300.617,1.024,102.92,0.004,3.77
19890114,6.904,6.139,1.364,8.298,0.525,33.774,320.589,1.789,102.922,1.191,4.801
19890115,6.445,6.18,2.017,6.927,1.544,44.562,315.819,1.336,103.529,0.002,4.287
19890116,7.007,6.634,1.427,7.688,0.124,30.198,341.054,1.36,103.31,0.062,3.168
19890117,4.362,4.143,0.937,4.727,0.496,8.706,355.921,0.651,103.125,1.281,2.93
19890118,2.323,2.089,0.906,2.715,1.018,35.914,323.833,0.574,103.654,0.102,0.914
19890119,0.869,0.853,1.133,0.896,0.745,27.188,334.502,0.318,103.519,0.069,1.178
19890120,1.64,1.713,0.378,1.519,0.154,18.483,337.507,0.771,102.872,0.135,1.922
19890121,4.661,4.192,0.892,5.443,0.794,15.33,349.005,0.992,101.586,3.081,3.877
19890122,4.505,3.395,0.638,6.355,1.032,39.569,321.583,0.911,102.625,0.483,1.959
19890123,2.36,1.673,0.617,3.505,1.351,47.832,303.983,0.947,103.359,0.001,2.724
19890124,0.116,0.053,0.615,0.222,0.196,51.547,294.901,0.454,103.147,0.01,2.033
19890125,-0.6,-0.937,0.759,-0.039,1.226,61.215,265.913,0.65,102.715,0.0,2.156
19890126,2.072,0.964,1.708,3.918,2.451,65.391,272.219,1.37,102.689,0.0,2.508
19890127,3.471,2.426,1.952,5.212,2.594,66.433,276.139,1.713,103.207,0.0,3.405
19890128,4.253,3.802,2.089,5.004,2.251,68.365,295.228,1.884,103.298,0.011,3.547
19890129,4.887,4.52,1.293,5.5,1.041,39.054,338.097,0.736,104.083,0.05,1.268
19890130,3.059,2.456,1.889,4.063,2.199,41.381,326.602,0.611,104.209,0.026,2.222
19890131,2.323,2.034,1.035,2.804,0.537,21.8,345.789,0.374,104.181,0.018,1.294
19890201,-0.075,0.02,0.697,-0.233,0.493,59.59,295.589,0.304,103.602,0.044,1.944
19890202,-0.34,-0.555,0.523,-0.013,1.001,46.883,312.413,0.286,103.45,0.071,1.881
19890203,1.072,0.459,1.12,1.931,1.14,45.98,336.363,0.395,103.152,0.043,3.161
19890204,1.578,1.422,0.877,1.797,0.852,66.709,319.339,0.667,102.721,0.022,4.468
19890205,6.958,5.808,1.782,8.569,1.149,53.229,340.291,1.07,102.519,4.157,3.948
19890206,9.688,8.991,0.623,10.665,1.201,41.818,363.892,1.987,102.991,0.037,4.778
19890207,9.003,8.241,1.044,10.07,1.479,79.242,322.443,2.372,102.931,0.014,3.779
19890208,4.446,3.748,0.886,5.423,1.847,71.262,299.137,0.728,102.731,0.0,1.999
19890209,4.682,3.298,2.441,6.621,3.413,88.466,284.489,1.87,102.079,0.0,2.2
19890210,4.943,3.847,1.875,6.478,3.073,89.945,290.625,1.965,102.433,0.001,2.508
19890211,4.889,4.01,0.483,6.12,1.707,68.497,310.3,1.205,103.575,0.004,2.376
19890212,6.168,5.206,0.828,7.514,0.667,41.166,332.785,1.531,103.423,2.76,3.959
19890213,4.444,4.146,2.103,4.86,2.206,47.822,319.647,1.091,102.957,4.146,4.027
19890214,5.547,5.075,1.014,6.208,0.521,93.871,288.581,2.793,102.608,0.1,5.575
19890215,7.085,5.947,1.484,8.679,0.618,33.63,346.62,1.583,101.676,5.953,5.534
19890216,3.937,3.2,0.492,4.968,0.984,88.802,283.34,1.804,101.851,0.156,3.418
19890217,3.158,3.06,3.082,3.293,1.802,45.17,319.198,1.205,101.667,3.807,3.214
19890218,10.186,10.031,2.015,10.386,1.088,12.267,382.894,1.691,101.12,4.655,5.573
19890219,11.387,11.382,1.347,11.394,0.862,16.824,387.812,1.975,101.737,12.837,4.644
19890220,7.649,7.147,2.715,8.242,0.884,98.116,324.569,2.32,102.209,5.319,3.332
19890221,4.184,2.844,1.571,5.768,2.329,98.032,300.832,1.933,102.425,0.0,1.15
19890222,4.396,3.413,2.623,5.557,2.485,87.843,316.685,1.828,101.294,2.383,3.552
19890223,4.926,4.481,0.801,5.451,1.007,85.296,312.518,1.726,100.468,3.548,3.69
19890224,4.414,3.825,2.174,5.111,2.343,94.793,306.237,1.976,98.732,0.865,4.422
19890225,4.924,4.754,0.363,5.124,0.844,57.983,336.129,1.696,96.391,5.987,5.755
19890226,4.375,4.112,0.575,4.687,1.226,69.032,312.537,2.145,96.191,4.805,5.69
19890227,4.019,3.833,1.359,4.24,1.191,67.94,315.981,1.466,97.518,4.579,5.207
19890228,3.899,3.403,0.756,4.486,1.117,101.519,301.519,1.735,98.41,1.593,4.326
19890301,5.681,5.369,1.046,6.05,0.908,58.441,327.807,1.794,99.053,5.29,5.925
19890302,5.689,5.754,0.808,5.612,0.923,57.986,331.226,1.091,100.166,7.318,4.135
19890303,7.052,6.28,0.528,7.966,0.728,91.272,330.544,1.29,99.946,3.404,3.001
19890304,7.928,7.215,2.099,8.77,1.686,70.132,352.193,1.584,101.481,1.268,3.452
19890305,10.618,9.406,0.803,11.935,1.275,63.514,363.458,2.116,101.81,0.161,2.482
19890306,11.108,9.385,2.597,12.981,3.456,119.712,326.893,3.907,101.536,0.0,2.755
19890307,8.842,8.805,1.855,8.883,0.831,26.892,365.143,1.641,101.502,20.206,2.836
19890308,6.125,5.279,0.589,7.043,0.93,126.627,317.899,2.272,101.866,6.54,3.841
19890309,7.176,6.061,2.372,8.291,2.0,78.927,330.667,2.558,102.018,3.308,3.982
19890310,9.892,9.172,2.099,10.612,2.606,130.617,327.821,4.235,101.847,0.001,3.493
19890311,9.107,8.434,1.325,9.78,0.667,81.108,348.888,2.239,102.239,0.115,2.277
19890312,7.779,7.376,3.235,8.181,3.148,93.624,346.014,1.81,101.66,0.411,1.916
19890313,8.37,8.38,1.456,8.36,0.307,123.491,321.629,3.36,101.013,1.952,5.883
19890314,6.683,5.828,1.167,7.538,2.088,107.61,319.637,2.148,101.519,7.459,4.18
19890315,7.948,6.846,0.891,9.05,0.371,78.603,352.601,2.005,99.807,5.006,4.902
19890316,7.002,6.45,1.301,7.553,1.688,49.621,354.97,1.06,99.35,13.294,2.337
19890317,4.158,3.466,1.431,4.851,0.793,106.766,323.869,1.237,100.434,5.888,3.342
19890318,4.042,2.841,1.895,5.147,2.777,138.034,281.758,2.713,101.915,0.0,2.332
19890319,7.894,7.824,2.378,7.958,2.266,40.205,364.423,3.283,101.517,0.289,3.869
19890320,6.788,6.342,1.629,7.199,0.681,60.553,331.387,2.572,100.652,1.644,2.921
19890321,5.913,5.609,0.957,6.193,1.474,136.482,329.741,2.397,100.589,3.89,4.722
19890322,9.443,8.26,1.254,10.531,0.645,67.621,358.873,2.16,100.904,0.832,5.959
19890323,6.061,5.57,1.414,6.512,1.865,162.848,298.656,3.644,101.791,0.453,5.369
19890324,8.423,7.792,1.487,9.003,1.49,19.313,362.736,1.767,100.734,6.595,6.992
19890325,7.731,7.002,1.05,8.401,1.227,179.79,305.219,3.444,101.663,0.0,3.478
19890326,10.694,8.761,2.536,12.473,3.215,130.398,339.143,3.581,101.977,0.009,1.936
19890327,13.552,11.207,3.823,15.536,3.912,182.06,328.651,6.439,101.12,0.0,3.376
19890328,14.351,11.657,1.445,16.631,2.812,190.822,340.644,6.581,101.171,0.004,2.894
19890329,10.345,9.394,1.367,11.15,2.465,106.729,359.814,2.938,102.126,0.004,2.182
19890330,10.985,9.982,2.008,11.834,2.673,167.955,332.936,3.42,101.994,0.011,2.102
19890331,11.242,9.636,2.107,12.492,4.093,182.903,325.415,3.32,101.645,0.0,1.516
