TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,6.37,6.289,0.202,6.518,0.26,16.852,327.754,0.587,101.737,0.184,0.964
19890102,6.132,5.79,1.143,6.755,0.672,23.592,324.249,0.784,101.527,0.046,1.973
19890103,2.043,1.679,0.343,2.706,0.444,48.522,250.91,0.573,101.201,0.0,2.695
19890104,3.389,3.277,1.519,3.594,0.853,11.02,307.653,0.442,100.95,3.786,4.603
19890105,5.068,4.996,0.919,5.2,0.881,35.831,303.438,0.6,100.618,4.432,4.227
19890106,8.561,8.084,0.774,9.431,0.436,14.609,345.801,0.287,99.275,3.192,3.659
19890107,7.021,7.004,0.958,7.052,0.583,16.083,340.124,0.178,100.199,0.732,2.601
19890108,9.097,8.905,0.397,9.447,0.079,9.869,356.819,0.002,100.243,0.458,3.184
19890109,8.069,8.068,0.396,8.069,0.284,15.063,353.474,0.044,99.762,0.576,2.836
19890110,7.052,6.578,0.884,7.916,0.389,8.358,340.347,0.153,99.872,2.556,3.318
19890111,4.281,4.277,1.692,4.289,1.767,46.064,302.443,0.449,100.346,0.013,2.585
19890112,7.067,6.676,1.687,7.782,1.111,18.243,311.636,0.899,99.728,1.271,5.28
19890113,4.602,4.373,1.438,5.019,1.442,34.02,281.865,0.558,101.046,0.007,3.859
19890114,7.188,6.259,1.372,8.881,0.511,24.777,297.21,1.192,101.079,0.794,4.888
19890115,5.514,5.165,1.751,6.15,1.672,50.593,281.743,0.901,101.678,0.002,4.196
19890116,6.401,5.97,1.423,7.187,0.311,29.65,311.32,0.98,101.409,0.03,3.12
19890117,3.338,3.095,1.116,3.744,0.756,18.743,320.262,0.209,101.223,1.473,3.356
19890118,3.898,3.593,0.813,4.407,0.449,25.035,322.75,0.036,101.608,0.204,0.689
