TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,5.45,5.361,0.213,5.612,0.214,12.134,341.991,0.554,102.778,0.394,0.588
19890102,5.177,4.769,1.202,5.919,0.767,24.47,329.353,0.807,102.611,0.021,1.143
19890103,1.092,0.445,0.671,2.273,1.064,46.672,262.348,0.824,102.263,0.0,1.533
19890104,2.537,2.31,1.443,2.95,1.111,17.607,310.859,0.806,101.979,4.222,2.768
19890105,3.865,3.824,0.705,3.941,0.743,35.15,312.339,0.792,101.613,4.973,2.603
19890106,7.333,6.864,1.237,8.188,0.407,11.643,353.92,0.351,100.244,7.041,2.416
19890107,5.399,5.344,1.265,5.499,1.032,14.618,342.709,0.387,101.163,0.551,1.685
19890108,8.088,7.836,0.513,8.548,0.219,9.574,362.576,0.066,101.204,1.798,2.04
19890109,7.418,7.372,0.384,7.501,0.246,14.004,358.308,0.287,100.774,0.616,1.802
19890110,6.071,5.706,0.813,6.737,0.416,8.546,346.963,0.327,100.85,4.424,2.109
19890111,2.865,2.906,1.171,2.788,1.629,45.638,301.497,0.482,101.4,0.002,1.581
19890112,6.19,5.736,1.835,7.017,1.257,27.163,314.956,1.235,100.757,1.501,3.223
19890113,3.839,3.672,1.452,4.144,1.803,46.304,281.001,1.008,102.062,0.006,2.358
19890114,6.182,5.304,1.212,7.783,0.434,21.657,303.7,1.507,102.064,1.177,3.071
19890115,4.626,4.343,1.732,5.142,1.556,48.656,292.22,1.067,102.655,0.02,2.76
19890116,6.143,5.715,1.001,6.922,0.534,26.352,324.789,1.321,102.414,0.052,2.029
19890117,2.545,2.443,1.074,2.73,0.871,16.633,327.798,0.468,102.231,1.963,2.143
19890118,2.642,2.431,0.58,3.029,0.383,23.053,325.62,0.364,102.661,0.224,0.458
19890119,0.204,-0.238,0.589,1.01,0.705,42.482,297.69,0.146,102.551,0.022,0.495
19890120,0.227,-0.077,1.916,0.781,0.94,33.731,296.543,0.533,101.974,0.028,1.175
19890121,4.24,3.866,1.066,4.864,0.969,21.881,333.223,1.071,100.818,1.628,2.811
19890122,3.855,3.196,1.018,4.952,1.51,19.864,322.336,0.429,101.596,0.125,1.057
19890123,1.965,1.367,0.739,2.962,1.248,39.945,306.11,0.447,102.47,0.024,1.359
19890124,-0.818,-1.076,0.74,-0.388,0.871,60.614,270.004,0.205,102.232,0.007,1.016
19890125,-0.356,-1.155,1.559,0.975,2.186,67.409,252.619,0.854,101.825,0.0,1.341
19890126,2.558,1.203,1.482,4.817,2.697,68.294,260.353,2.094,101.823,0.0,1.724
19890127,3.067,1.882,1.78,4.875,2.904,70.341,258.981,2.279,102.375,0.0,1.922
19890128,3.173,2.292,1.073,4.517,2.28,71.526,265.47,2.451,102.447,0.0,2.22
19890129,3.921,3.848,0.481,4.032,0.367,14.208,339.17,0.672,103.117,0.213,1.301
19890130,2.22,2.035,0.857,2.503,1.556,59.787,305.88,0.271,103.264,0.084,1.479
