TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,3.898,3.834,0.221,4.014,0.275,13.584,331.757,0.642,98.013,0.237,0.974
19890102,3.92,3.623,0.709,4.46,0.289,20.244,327.125,0.868,97.826,0.175,2.236
19890103,1.004,0.803,0.613,1.37,0.383,48.346,252.736,1.009,97.545,0.0,3.112
19890104,1.254,1.153,1.054,1.439,0.854,23.303,301.643,0.668,97.37,3.842,3.74
19890105,2.33,2.356,0.212,2.282,0.466,32.78,314.064,0.67,97.012,4.313,3.599
19890106,5.409,4.961,1.562,6.225,0.535,10.005,343.044,0.348,95.717,7.209,3.286
19890107,3.702,3.88,1.307,3.377,0.95,10.687,333.505,0.35,96.496,1.019,2.767
19890108,6.41,6.135,0.66,6.91,0.338,9.21,351.666,0.182,96.642,2.156,2.613
19890109,5.64,5.511,0.531,5.877,0.389,16.665,347.75,0.188,96.233,0.577,2.241
19890110,4.453,4.229,0.946,4.862,0.454,7.771,342.393,0.283,96.271,4.139,3.182
19890111,1.605,1.629,1.601,1.561,1.857,38.735,304.181,0.457,96.743,0.023,2.126
19890112,4.715,4.452,1.609,5.196,1.183,23.822,322.835,0.799,96.266,2.849,4.491
19890113,2.726,2.606,1.078,2.945,1.331,33.934,296.693,0.79,97.445,0.062,2.949
19890114,3.983,3.137,1.046,5.526,0.348,17.758,295.611,0.793,97.522,0.808,3.765
19890115,2.146,1.713,1.036,2.936,1.372,51.164,272.551,0.62,98.048,0.021,3.082
19890116,3.568,3.073,0.739,4.47,0.677,23.785,312.703,0.657,97.769,0.074,2.109
19890117,0.455,0.502,1.053,0.37,0.993,17.027,315.342,0.216,97.566,1.245,2.174
19890118,1.954,1.435,0.767,2.899,0.777,19.803,323.507,0.308,97.88,0.236,0.556
19890119,-0.829,-1.385,0.509,0.186,1.434,49.847,275.25,0.506,97.753,0.035,0.853
19890120,-0.379,-0.426,1.144,-0.3,0.36,33.63,293.248,0.428,97.226,0.129,1.974
19890121,1.848,1.524,1.471,2.387,1.007,15.526,324.249,0.423,96.28,2.208,3.529
19890122,2.804,2.623,0.63,3.106,0.818,17.811,324.699,0.377,96.887,0.787,1.451
19890123,-0.067,-0.573,0.795,0.705,1.14,38.478,293.998,0.263,97.753,0.081,1.367
19890124,-1.186,-1.432,0.4,-0.81,0.983,61.992,259.197,0.439,97.457,0.006,1.682
19890125,-0.437,-0.911,1.166,0.287,1.539,68.204,242.325,1.123,97.104,0.0,2.749
19890126,1.319,0.217,0.892,3.002,2.227,68.882,249.647,2.146,97.196,0.0,2.425
19890127,1.188,0.028,0.959,2.959,2.009,71.185,247.539,2.03,97.743,0.0,2.192
19890128,0.749,-0.19,0.669,2.181,2.022,72.089,249.027,1.93,97.834,0.0,2.402
19890129,1.5,1.146,1.122,2.04,0.56,16.515,312.313,0.343,98.383,0.258,1.306
19890130,0.673,0.215,0.774,1.372,1.695,68.011,294.658,0.379,98.503,0.074,1.129
19890131,-0.104,-0.504,0.675,0.507,1.372,49.666,301.905,0.265,98.426,0.08,1.202
19890201,-0.606,-1.112,0.661,0.166,0.881,77.04,255.842,0.696,97.891,0.006,1.842
19890202,-1.011,-2.083,0.548,0.625,1.677,78.83,253.068,0.541,97.723,0.001,1.101
19890203,-1.114,-1.706,0.679,-0.211,1.889,58.217,295.255,0.218,97.517,0.181,1.367
19890204,-2.196,-2.246,0.724,-2.119,1.22,61.994,283.34,0.214,97.253,0.097,2.873
19890205,1.314,1.287,2.193,1.356,0.844,12.954,319.24,0.229,97.126,3.508,3.805
19890206,5.578,5.199,0.441,6.156,0.789,25.086,339.805,0.521,97.59,0.787,3.306
19890207,5.25,4.415,1.124,6.42,1.034,56.679,305.084,0.983,97.525,0.081,2.342
19890208,3.132,1.745,0.802,5.074,2.765,81.691,286.702,1.125,97.208,0.007,1.587
19890209,2.933,1.711,1.206,4.642,2.373,85.932,278.684,1.539,96.634,0.018,2.346
19890210,3.111,2.132,0.945,4.481,2.356,92.865,262.197,2.016,96.994,0.0,2.383
19890211,2.957,1.81,1.174,4.563,2.023,81.68,279.045,1.009,97.986,0.047,1.791
19890212,3.122,2.712,0.686,3.695,0.686,14.463,318.401,0.475,97.852,3.378,3.307
19890213,2.093,1.806,0.745,2.461,1.372,60.974,301.125,0.797,97.475,3.624,3.371
19890214,2.07,1.754,0.97,2.477,0.533,83.22,285.781,1.198,96.861,4.854,4.278
19890215,2.78,2.717,1.947,2.861,0.718,32.716,318.37,0.448,96.36,6.816,4.602
19890216,1.456,1.056,1.538,1.971,1.11,62.557,290.838,1.02,96.187,2.234,2.907
19890217,1.265,0.83,3.017,1.826,2.148,66.013,284.285,1.265,96.232,1.051,2.685
19890218,6.901,6.972,1.822,6.811,0.703,10.371,348.953,0.368,95.973,4.404,4.438
19890219,9.518,9.598,0.303,9.415,0.141,11.227,359.013,0.655,96.508,6.298,4.579
19890220,6.545,6.397,3.138,6.734,0.668,57.169,322.223,1.473,96.659,4.918,3.302
19890221,1.949,0.839,0.462,3.377,1.559,78.724,279.891,1.761,96.732,0.012,1.249
19890222,1.838,1.158,1.866,2.712,1.32,44.94,295.579,0.899,95.876,0.115,2.658
19890223,2.0,1.813,0.772,2.241,0.843,56.839,306.338,0.689,95.085,4.824,2.586
19890224,2.115,1.89,2.211,2.382,1.325,68.748,303.433,0.839,93.527,1.581,3.697
19890225,2.725,2.453,1.142,3.045,1.323,73.754,306.437,1.183,91.453,7.497,5.323
19890226,1.091,1.178,0.733,0.988,0.463,44.921,293.92,0.869,91.112,6.003,4.635
19890227,1.017,1.075,0.689,0.948,0.717,89.825,294.333,0.759,92.305,5.128,4.453
19890228,1.327,1.162,0.312,1.506,0.709,85.397,299.971,0.613,93.167,4.063,3.659
19890301,2.334,2.105,0.838,2.583,0.865,75.053,305.359,0.759,93.878,5.049,5.176
19890302,3.402,3.455,1.127,3.345,0.627,57.343,321.168,0.735,94.867,8.229,4.328
19890303,5.587,5.36,0.347,5.835,0.524,64.049,325.303,0.737,94.555,5.366,2.755
19890304,5.83,5.378,1.097,6.321,1.098,61.648,328.546,1.521,96.094,0.615,2.998
19890305,7.821,6.944,0.848,8.775,1.302,32.491,335.832,1.071,96.443,1.968,2.357
19890306,9.781,8.354,2.562,11.332,3.014,140.247,286.354,4.503,96.246,0.0,3.154
19890307,9.3,8.271,1.301,10.419,1.783,82.54,324.043,3.202,95.956,5.341,1.856
19890308,2.449,2.926,2.646,1.929,1.067,65.172,306.019,0.752,96.006,12.386,3.504
19890309,3.851,2.503,3.476,5.317,3.001,126.287,286.164,2.507,96.657,0.77,2.426
19890310,8.283,6.582,1.788,10.132,3.086,152.354,285.84,4.991,96.504,0.281,2.773
19890311,8.502,7.295,1.768,9.813,2.455,124.387,313.723,3.0,96.713,0.328,1.901
19890312,8.692,8.344,1.576,9.071,1.792,81.595,335.29,2.401,96.206,0.58,2.126
19890313,6.293,6.695,2.795,5.858,0.482,95.65,311.855,1.847,95.64,3.663,4.172
19890314,3.829,2.962,1.885,4.628,1.897,93.098,292.958,1.963,96.145,1.433,3.536
19890315,5.145,4.041,1.296,6.161,1.656,55.539,324.509,1.034,94.557,7.091,4.174
19890316,6.314,5.394,1.634,7.161,1.86,38.919,331.785,0.832,94.079,10.229,3.367
19890317,2.999,3.804,2.327,2.258,1.396,64.391,310.811,0.685,94.727,3.397,3.168
19890318,1.699,0.358,0.731,2.933,2.626,156.486,266.226,2.228,96.286,0.007,1.19
19890319,4.596,2.67,2.581,6.367,3.136,105.657,285.728,3.354,96.187,0.0,2.759
19890320,5.141,3.581,1.266,6.576,2.699,146.77,287.219,2.673,95.259,1.2,2.372
19890321,3.496,3.345,0.551,3.635,1.44,122.275,310.912,1.762,95.239,3.557,4.202
19890322,7.14,6.35,1.287,7.867,0.469,62.041,341.288,1.235,95.63,4.241,4.991
19890323,2.958,2.514,1.4,3.366,2.045,178.056,266.529,2.749,96.29,1.103,4.184
19890324,4.752,5.026,2.382,4.499,1.611,23.801,327.871,0.988,95.589,8.478,5.636
19890325,5.746,5.186,1.656,6.261,1.087,135.153,303.988,1.99,96.101,1.816,3.521
19890326,8.089,5.484,3.62,10.485,3.599,146.933,294.9,3.436,96.537,0.0,1.422
19890327,12.437,10.268,3.774,14.433,3.987,194.297,292.731,6.88,95.907,0.0,3.916
19890328,14.285,12.762,1.292,15.574,3.026,192.062,309.057,8.657,95.886,0.167,2.699
19890329,11.707,10.568,1.623,12.67,2.959,126.409,331.765,3.378,96.54,0.283,1.063
19890330,12.053,10.57,1.565,13.307,2.993,189.787,303.416,3.629,96.5,0.0,1.556
19890331,11.868,9.805,2.099,13.613,3.651,177.951,310.345,4.025,96.096,3.364,0.872
19890401,9.358,7.59,0.988,10.734,1.878,159.291,306.679,2.921,95.537,0.034,2.089
19890402,4.308,4.28,1.95,4.33,0.687,29.775,334.32,1.144,95.037,4.948,2.536
19890403,1.553,1.254,0.274,1.786,0.625,66.798,325.625,0.755,94.933,1.979,2.935
