TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-9.08,-10.018,1.06,-7.516,2.423,76.076,221.336,1.972,80.75,0.0,0.758
19890102,-9.666,-10.699,1.365,-7.943,1.306,76.584,216.867,1.655,80.704,0.0,1.381
19890103,-11.134,-11.735,1.437,-10.132,2.206,78.328,211.713,1.665,80.987,0.0,1.209
19890104,-11.183,-12.133,2.068,-9.598,2.532,77.837,215.663,1.707,80.962,0.0,0.909
19890105,-10.553,-11.824,1.603,-8.436,1.722,66.307,226.246,1.508,80.345,0.339,0.712
19890106,-6.873,-7.623,3.59,-5.623,1.551,41.87,282.74,1.217,79.448,3.356,0.867
19890107,-2.391,-2.28,0.798,-2.577,0.801,40.048,293.905,1.157,79.563,6.957,1.488
19890108,-0.995,-1.205,0.57,-0.645,0.946,44.962,295.393,1.103,80.044,3.414,1.05
19890109,-2.039,-2.114,1.768,-1.915,2.291,79.546,248.242,2.23,80.174,0.002,1.699
19890110,-2.703,-3.207,1.357,-1.863,2.415,80.91,237.959,2.489,79.992,0.0,1.101
19890111,-4.301,-4.938,1.13,-3.241,2.17,77.481,238.721,1.65,80.096,0.003,1.079
19890112,-6.673,-7.865,1.401,-4.686,2.227,74.245,241.086,1.326,80.274,0.047,1.519
19890113,-6.147,-8.155,2.076,-2.8,1.701,62.292,250.214,1.52,80.826,0.411,0.654
19890114,-5.853,-6.618,4.219,-4.579,3.527,84.372,231.85,2.806,81.12,0.031,0.785
19890115,-6.523,-6.505,1.694,-6.553,2.933,87.516,231.735,2.029,81.303,0.006,0.79
19890116,-5.205,-6.055,0.731,-3.788,1.752,84.532,244.301,2.358,81.139,0.0,1.047
19890117,-5.826,-6.261,0.731,-5.101,2.61,89.1,225.482,2.39,80.803,0.0,0.673
19890118,-7.187,-8.361,1.285,-5.23,2.478,85.701,225.242,2.04,80.721,0.001,0.942
19890119,-8.656,-9.349,1.921,-7.501,2.35,91.094,220.527,1.816,80.762,0.0,1.228
19890120,-7.349,-8.043,1.019,-6.192,1.951,91.521,221.793,1.815,80.583,0.0,1.903
19890121,-8.421,-8.716,1.12,-7.97,2.472,90.145,221.08,1.224,80.101,0.002,2.093
19890122,-7.568,-8.253,1.522,-6.524,1.775,85.142,241.164,1.073,79.829,1.002,1.407
19890123,-8.264,-9.925,1.647,-5.728,3.902,95.231,219.218,1.661,80.481,0.006,0.898
19890124,-9.58,-10.854,1.568,-7.637,3.102,100.368,207.228,1.917,80.445,0.0,1.314
19890125,-9.459,-10.549,1.158,-7.796,2.759,101.057,211.823,1.767,80.505,0.0,1.29
19890126,-9.229,-10.665,1.05,-7.22,3.379,102.391,213.641,1.78,80.51,0.0,0.903
19890127,-8.461,-9.31,1.833,-7.273,2.844,103.255,218.962,1.98,80.931,0.0,1.215
19890128,-6.359,-7.655,1.476,-4.545,3.774,105.065,220.065,2.306,81.099,0.0,0.891
19890129,-6.794,-8.807,1.851,-3.975,4.196,107.225,215.685,2.377,81.254,0.0,0.708
19890130,-7.04,-8.851,1.913,-4.504,4.107,108.359,217.525,2.38,81.364,0.0,0.654
19890131,-4.848,-6.014,1.772,-3.217,3.229,109.572,227.719,2.645,81.488,0.0,1.143
19890201,-3.445,-5.01,1.169,-1.255,3.592,110.568,228.64,2.83,81.277,0.0,1.343
19890202,-3.324,-5.105,1.581,-0.83,3.918,111.057,233.79,2.595,80.888,0.0,1.141
19890203,-3.587,-5.082,1.628,-1.495,3.446,113.291,230.939,2.254,80.662,0.0,0.562
19890204,-4.224,-5.11,2.436,-2.984,3.647,112.588,229.888,1.935,80.464,0.0,0.746
