TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-1.126,-1.479,0.749,-0.539,0.974,57.634,266.831,0.004,98.733,0.032,0.841
19890102,-1.474,-1.714,0.638,-1.073,0.844,64.462,257.971,0.0,98.579,0.108,0.726
19890103,-1.141,-1.764,1.362,-0.102,2.407,65.45,257.56,0.123,98.81,0.0,0.346
19890104,-1.132,-2.49,2.063,1.133,2.969,67.28,255.407,0.312,98.823,0.0,0.649
19890105,-0.728,-1.509,0.834,0.574,1.272,23.391,291.179,0.014,98.462,3.499,1.245
19890106,1.698,1.293,1.812,2.372,1.13,13.09,329.227,0.0,97.195,4.481,1.253
19890107,3.609,3.284,0.549,4.152,0.556,16.643,336.103,0.03,97.544,4.952,1.483
19890108,3.117,2.59,1.113,3.995,1.321,23.148,325.14,0.11,97.873,0.186,0.76
19890109,1.685,0.434,1.088,3.77,1.656,60.36,292.789,0.0,97.421,0.094,0.44
19890110,3.017,2.28,2.643,4.246,1.468,51.656,291.959,0.254,97.573,0.019,0.702
19890111,4.625,4.294,0.952,5.175,1.004,47.397,300.489,0.246,97.817,0.011,0.52
19890112,2.915,1.828,1.379,4.725,2.78,61.701,293.512,0.685,97.876,0.138,0.976
19890113,4.096,2.903,1.618,6.084,1.389,35.271,312.322,0.637,98.688,3.773,0.821
19890114,1.794,0.352,2.569,4.197,3.164,69.265,284.196,1.039,98.934,0.538,0.816
19890115,3.106,2.703,1.29,3.778,2.212,44.063,311.888,0.339,99.175,0.317,0.5
19890116,1.705,1.082,1.179,2.745,1.356,62.285,286.385,0.052,98.848,0.095,0.307
19890117,1.32,0.926,0.789,1.976,1.241,71.71,273.018,0.204,98.658,0.014,0.672
19890118,0.254,-0.558,0.986,1.609,1.897,71.995,275.491,0.222,98.741,0.063,0.843
19890119,-0.275,-0.517,0.929,0.094,0.731,64.972,267.012,0.008,98.611,0.052,0.492
19890120,0.829,0.186,0.933,1.81,1.402,78.364,265.392,0.15,98.328,0.0,0.334
19890121,0.479,-0.716,1.508,2.302,3.192,76.927,270.194,0.638,97.815,0.045,0.853
19890122,1.175,0.951,1.017,1.518,1.234,34.236,305.858,0.148,97.839,1.303,0.769
19890123,-0.009,-0.493,0.645,0.731,0.914,54.617,292.808,0.001,98.588,0.044,0.95
19890124,-0.609,-1.08,0.289,0.11,0.837,69.873,271.057,0.046,98.373,0.096,0.655
19890125,-0.781,-1.804,2.071,0.779,2.415,85.56,258.046,0.277,98.311,0.0,0.298
19890126,0.093,-0.582,0.532,1.124,1.976,90.036,252.714,0.449,98.326,0.0,0.244
19890127,-0.713,-0.937,0.498,-0.371,1.265,91.426,251.415,0.331,98.802,0.0,0.306
19890128,0.384,-0.558,1.372,1.821,2.656,92.702,254.674,0.717,98.995,0.0,0.443
19890129,0.382,-0.239,1.249,1.329,2.348,94.92,252.379,0.862,99.28,0.0,0.49
19890130,-0.932,-1.547,1.072,0.007,1.861,95.784,252.896,0.414,99.337,0.0,0.56
19890131,-0.471,-0.762,1.311,-0.028,1.836,96.436,256.128,0.444,99.299,0.0,0.462
19890201,1.493,0.431,1.391,2.98,2.875,99.311,258.123,0.853,98.982,0.0,0.364
19890202,0.421,-0.4,0.915,1.571,1.88,100.821,257.173,0.813,98.654,0.0,0.356
19890203,0.078,-0.7,1.02,1.167,1.845,102.148,258.202,0.583,98.52,0.0,0.397
19890204,0.083,-0.636,1.483,1.09,2.238,104.2,258.744,0.734,98.402,0.0,0.532
19890205,-0.051,-1.093,1.551,1.408,2.869,105.127,269.141,0.733,98.593,0.0,1.115
19890206,2.964,1.637,2.273,4.821,2.778,90.356,289.421,1.154,98.873,0.004,0.493
19890207,2.136,1.11,1.71,3.572,2.556,103.429,274.821,0.792,98.657,0.0,0.347
19890208,3.218,1.743,1.626,5.115,2.818,110.123,270.699,1.16,98.256,0.0,0.44
19890209,2.493,1.236,1.627,4.109,2.612,112.585,268.683,0.832,97.723,0.0,0.362
19890210,1.614,0.507,1.075,3.037,2.284,115.38,263.919,0.711,98.143,0.0,0.507
19890211,1.303,0.326,1.068,2.559,1.821,117.038,260.963,0.517,99.083,0.0,0.436
19890212,1.943,0.789,1.685,3.427,2.918,108.01,281.457,1.322,99.184,0.89,1.264
19890213,2.959,2.134,1.707,4.019,2.003,87.944,304.258,0.96,98.716,4.013,1.01
19890214,0.594,0.344,1.524,0.917,0.523,37.472,310.226,0.197,97.982,13.979,1.745
19890215,1.834,0.44,2.72,3.626,3.219,108.028,280.07,2.037,97.982,0.481,1.634
19890216,2.984,2.891,0.899,3.104,0.55,26.028,327.737,1.371,97.348,8.516,1.333
19890217,3.021,2.224,1.237,4.046,1.976,77.067,304.314,0.529,97.412,1.155,0.533
19890218,4.677,3.553,2.279,6.122,2.354,52.754,320.831,0.998,97.703,3.095,1.337
