TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-7.241,-8.122,0.995,-5.773,2.275,73.614,211.488,1.939,84.466,0.0,0.88
19890102,-7.791,-8.761,1.281,-6.173,1.226,74.106,206.72,1.593,84.424,0.0,1.603
19890103,-9.169,-9.733,1.349,-8.229,2.07,75.793,201.221,1.605,84.682,0.0,1.404
19890104,-9.215,-10.107,1.941,-7.727,2.377,75.319,205.436,1.65,84.659,0.0,1.055
19890105,-8.624,-9.816,1.504,-6.636,1.617,64.162,216.728,1.433,84.096,0.189,0.827
19890106,-5.169,-5.873,3.37,-3.996,1.456,40.515,277.009,1.116,83.277,1.866,1.006
19890107,-0.962,-0.858,0.749,-1.137,0.752,38.753,288.922,1.05,83.383,3.868,1.727
19890108,0.348,0.151,0.535,0.677,0.888,43.507,290.51,0.992,83.821,1.898,1.22
19890109,-0.632,-0.702,1.659,-0.515,2.15,76.972,240.198,2.219,83.94,0.001,1.973
19890110,-1.255,-1.728,1.273,-0.466,2.267,78.292,229.226,2.502,83.774,0.0,1.278
19890111,-2.755,-3.353,1.06,-1.76,2.037,74.974,230.039,1.588,83.869,0.002,1.253
19890112,-4.982,-6.101,1.315,-3.116,2.09,71.843,232.562,1.235,84.032,0.026,1.764
19890113,-4.488,-6.373,1.948,-1.346,1.596,60.276,242.303,1.447,84.536,0.228,0.76
19890114,-4.212,-4.93,3.96,-3.016,3.311,81.642,222.707,2.848,84.803,0.017,0.911
19890115,-4.84,-4.823,1.59,-4.868,2.753,84.684,222.585,2.0,84.971,0.003,0.917
19890116,-3.604,-4.402,0.686,-2.274,1.644,81.797,235.993,2.36,84.821,0.0,1.216
19890117,-4.186,-4.595,0.687,-3.506,2.45,86.217,215.913,2.394,84.514,0.0,0.781
19890118,-5.464,-6.566,1.207,-3.627,2.326,82.928,215.657,2.013,84.439,0.0,1.094
19890119,-6.843,-7.493,1.803,-5.758,2.205,88.146,210.626,1.769,84.476,0.0,1.426
19890120,-5.616,-6.267,0.957,-4.53,1.831,88.559,211.976,1.767,84.314,0.0,2.21
19890121,-6.622,-6.831,1.098,-6.273,2.365,87.228,211.215,1.123,83.874,0.001,2.43
19890122,-5.822,-6.464,1.429,-4.841,1.666,82.387,232.646,0.959,83.626,0.557,1.634
19890123,-6.475,-8.034,1.546,-4.095,3.662,92.15,209.228,1.6,84.221,0.003,1.043
19890124,-7.711,-8.906,1.472,-5.887,2.912,97.12,196.435,1.878,84.188,0.0,1.525
19890125,-7.597,-8.578,1.083,-6.224,2.656,97.787,201.338,1.715,84.242,0.0,1.497
19890126,-7.381,-8.728,0.986,-5.495,3.172,99.078,203.278,1.729,84.247,0.0,1.049
19890127,-6.66,-7.457,1.72,-5.544,2.669,99.914,208.956,1.947,84.631,0.0,1.411
19890128,-4.687,-5.904,1.385,-2.984,3.542,101.666,210.133,2.303,84.784,0.0,1.035
