TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-2.039,-2.358,0.679,-1.506,0.883,58.21,247.408,0.41,97.142,0.04,1.227
19890102,-2.354,-2.572,0.579,-1.99,0.765,65.107,238.295,0.439,96.989,0.138,1.059
19890103,-2.052,-2.617,1.235,-1.109,2.183,66.104,237.872,0.538,97.218,0.0,0.505
19890104,-2.043,-3.276,1.871,0.01,2.692,67.952,235.658,0.594,97.232,0.0,0.948
19890105,-1.677,-2.386,0.756,-0.497,1.154,23.625,272.453,0.576,96.873,4.443,1.818
19890106,0.522,0.156,1.643,1.134,1.024,13.221,311.59,0.534,95.617,5.691,1.829
19890107,2.256,1.961,0.498,2.747,0.504,16.81,318.662,0.647,95.963,6.288,2.165
19890108,1.809,1.331,1.01,2.605,1.198,23.38,307.386,0.581,96.289,0.236,1.109
19890109,0.51,-0.624,0.987,2.401,1.502,60.963,274.109,0.398,95.841,0.12,0.642
19890110,1.718,1.05,2.397,2.832,1.331,52.172,273.255,0.843,95.992,0.024,1.025
19890111,3.176,2.876,0.863,3.676,0.91,47.87,282.029,0.824,96.234,0.014,0.76
19890112,1.625,0.64,1.25,3.268,2.521,62.317,274.853,0.936,96.292,0.175,1.425
19890113,2.696,1.615,1.468,4.499,1.259,35.624,294.202,1.06,97.098,4.791,1.198
19890114,0.609,-0.698,2.329,2.788,2.869,69.957,265.27,1.197,97.341,0.683,1.191
19890115,1.799,1.434,1.169,2.408,2.006,44.504,293.755,0.824,97.581,0.403,0.731
19890116,0.529,-0.037,1.069,1.472,1.23,62.908,267.522,0.621,97.256,0.121,0.448
19890117,0.179,-0.177,0.716,0.774,1.125,72.427,253.772,0.78,97.067,0.018,0.981
19890118,-0.787,-1.524,0.894,0.442,1.72,72.715,256.316,0.583,97.15,0.08,1.23
19890119,-1.267,-1.486,0.843,-0.932,0.663,65.621,247.595,0.526,97.021,0.066,0.719
19890120,-0.266,-0.849,0.846,0.624,1.271,79.147,245.928,0.706,96.741,0.0,0.488
19890121,-0.583,-1.667,1.367,1.07,2.894,77.696,250.868,0.945,96.232,0.057,1.246
19890122,0.049,-0.155,0.922,0.359,1.119,34.578,287.553,0.71,96.255,1.655,1.123
19890123,-1.025,-1.464,0.585,-0.355,0.829,55.162,274.128,0.427,96.998,0.055,1.387
