TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-1.837,-2.318,0.845,-1.035,0.941,53.782,253.939,0.826,94.873,0.003,2.843
19890102,-1.861,-2.328,0.347,-1.083,0.702,62.578,244.059,1.028,94.715,0.004,2.712
19890103,-1.934,-2.59,1.25,-0.839,1.844,62.219,243.702,0.904,94.9,0.0,0.802
19890104,-1.449,-2.592,1.157,0.455,2.254,66.817,238.644,1.349,94.893,0.0,1.201
19890105,-1.009,-1.789,1.519,0.291,1.2,25.804,279.867,0.727,94.527,3.996,2.551
19890106,1.598,1.323,1.354,2.055,0.881,14.994,313.998,0.864,93.312,4.379,2.558
19890107,3.32,2.985,0.494,3.88,0.478,15.27,321.757,0.945,93.638,1.559,3.109
19890108,2.619,2.305,0.888,3.143,1.116,19.669,316.179,0.729,93.98,0.145,1.779
19890109,1.767,0.786,0.545,3.403,1.557,58.881,281.056,0.689,93.568,0.055,1.487
19890110,2.036,1.363,1.615,3.157,1.704,49.795,279.513,0.903,93.693,0.01,1.869
19890111,3.089,2.318,0.979,4.374,1.391,45.876,287.857,1.031,93.945,0.008,0.983
19890112,2.064,1.127,1.142,3.626,2.573,61.31,277.272,1.223,93.982,0.175,1.306
19890113,3.864,3.086,1.584,5.161,1.461,40.274,294.97,1.505,94.757,2.886,1.837
19890114,1.779,0.788,2.652,3.432,2.596,69.416,272.212,1.401,94.99,1.157,1.572
19890115,2.891,2.383,0.923,3.737,1.797,38.83,305.795,0.895,95.238,0.243,1.201
19890116,0.091,-0.747,1.315,1.487,1.774,61.602,273.839,0.817,94.937,0.045,1.132
19890117,-0.258,-0.912,0.882,0.831,1.798,71.475,258.611,0.888,94.742,0.01,1.62
19890118,-0.039,-1.019,1.173,1.596,1.976,62.153,267.39,1.101,94.861,0.006,2.133
19890119,-0.938,-1.508,0.612,-0.067,0.677,64.237,253.565,1.004,94.73,0.006,1.78
19890120,-0.666,-1.703,1.512,0.916,1.698,78.326,247.662,1.186,94.436,0.0,0.923
19890121,-0.649,-1.94,0.988,1.321,2.484,74.529,255.488,1.324,93.927,0.305,1.211
19890122,0.453,-0.181,0.733,1.422,1.278,35.887,290.171,0.947,93.96,1.428,1.427
19890123,-0.212,-0.514,0.712,0.248,0.88,49.499,287.609,0.812,94.717,0.013,2.518
19890124,-1.565,-2.158,0.95,-0.66,0.687,68.468,258.138,0.987,94.51,0.013,1.899
19890125,-2.234,-3.567,0.989,-0.199,2.188,86.216,239.098,0.94,94.432,0.0,1.09
19890126,-1.963,-3.341,0.693,0.14,2.122,90.237,234.824,1.282,94.448,0.0,1.339
19890127,-3.302,-4.491,0.624,-1.489,2.014,91.587,233.187,1.192,94.905,0.0,1.187
19890128,-2.92,-4.641,1.661,-0.294,3.193,92.873,235.352,1.208,95.073,0.0,0.768
19890129,-2.442,-3.96,1.716,-0.126,2.912,95.186,233.512,1.373,95.367,0.0,1.754
19890130,-2.357,-3.473,0.591,-0.654,1.976,96.023,234.665,1.177,95.427,0.0,1.949
19890131,-2.005,-2.975,0.526,-0.526,1.885,96.47,238.788,1.257,95.39,0.001,1.865
19890201,-1.476,-3.25,1.59,1.231,3.268,99.799,238.704,1.559,95.061,0.0,0.884
19890202,-2.261,-3.992,1.295,0.163,2.922,101.283,237.873,1.571,94.753,0.0,0.847
19890203,-2.606,-4.071,1.705,-0.554,2.734,102.358,239.377,1.548,94.621,0.0,0.606
19890204,-2.416,-3.701,1.435,-0.616,2.731,103.409,240.009,1.406,94.5,0.0,1.074
19890205,-0.971,-1.85,2.666,0.261,3.127,100.552,257.842,1.479,94.662,0.0,2.157
19890206,2.085,0.661,1.384,4.078,2.794,84.956,278.631,1.628,94.943,0.022,1.309
19890207,0.884,-0.282,2.001,2.517,3.025,103.014,259.049,1.403,94.748,0.001,0.609
19890208,1.431,-0.54,1.487,3.966,3.392,110.467,253.829,1.762,94.365,0.0,0.85
19890209,0.615,-1.131,1.645,2.859,2.912,113.083,252.085,1.435,93.856,0.0,0.757
19890210,-0.465,-2.298,0.962,1.891,2.627,114.819,249.122,1.258,94.261,0.0,1.078
19890211,-0.652,-2.196,1.397,1.333,2.32,116.936,245.771,1.19,95.154,0.0,0.785
19890212,1.017,0.011,2.765,2.31,3.108,104.683,268.991,1.666,95.219,1.075,2.302
19890213,2.533,1.802,1.094,3.474,1.849,89.942,288.913,1.517,94.78,1.401,2.05
19890214,0.604,0.17,1.163,1.163,0.302,49.826,287.65,1.149,94.047,6.821,3.794
19890215,1.533,0.45,2.008,2.927,2.43,109.46,263.149,2.536,94.06,0.035,3.726
19890216,2.145,1.933,0.927,2.419,0.493,31.947,306.178,1.586,93.463,5.433,3.271
19890217,1.696,0.717,1.524,2.954,2.109,74.752,285.318,1.37,93.56,0.113,1.284
19890218,4.214,3.512,1.93,5.117,1.699,53.117,306.35,1.636,93.791,2.42,3.111
19890219,7.542,5.892,1.312,9.662,2.399,76.698,308.085,2.783,94.273,0.002,3.222
19890220,6.872,5.866,2.032,8.165,1.668,45.588,319.998,2.273,94.131,1.716,2.312
19890221,5.292,5.357,1.042,5.215,0.308,17.616,335.582,0.67,93.628,15.455,1.229
19890222,4.716,3.822,1.09,5.772,1.802,53.53,321.512,0.902,93.226,2.738,1.537
19890223,4.314,3.035,1.649,5.826,2.495,99.409,305.293,1.389,92.482,1.998,1.599
19890224,2.618,2.152,1.017,3.168,1.232,50.84,309.614,0.845,91.007,3.049,1.847
19890225,3.41,2.662,1.587,4.295,2.306,109.325,291.32,1.938,89.465,5.104,2.508
19890226,2.005,1.224,1.26,2.928,0.852,113.72,265.727,2.312,89.182,3.312,5.037
19890227,0.574,-0.118,1.236,1.326,0.856,82.147,280.608,1.277,90.32,7.185,5.396
19890228,1.023,0.775,0.269,1.292,0.948,82.257,280.272,1.172,91.058,8.257,4.385
