TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-0.988,-1.358,0.94,-0.371,1.082,62.192,270.148,0.098,97.833,0.0,1.664
19890102,-1.575,-2.102,0.923,-0.697,0.754,64.375,263.368,0.095,97.687,0.001,1.342
19890103,-2.077,-3.143,1.33,-0.301,2.534,61.592,268.551,0.07,97.92,0.002,0.548
19890104,-0.489,-1.693,2.377,1.517,2.83,67.091,259.015,0.703,97.944,0.0,0.903
19890105,0.577,-0.234,1.16,1.928,1.283,28.015,300.88,0.233,97.592,4.682,2.069
19890106,3.15,2.849,1.125,3.651,0.786,13.785,336.163,0.475,96.341,5.372,2.294
19890107,3.78,3.498,0.441,4.249,0.624,19.759,341.694,0.025,96.732,1.93,2.043
19890108,2.697,2.017,1.144,3.832,1.628,25.297,327.429,0.041,97.026,0.134,0.884
19890109,1.969,1.239,1.153,3.186,1.884,58.366,300.719,0.056,96.577,0.002,0.716
19890110,3.48,2.798,1.591,4.617,1.577,45.175,304.839,0.266,96.728,0.04,1.122
19890111,3.294,2.313,1.579,4.928,1.918,49.308,307.285,0.238,96.953,0.016,0.602
19890112,4.077,3.367,2.732,5.26,3.077,57.284,306.754,1.185,97.008,0.341,1.391
19890113,5.312,4.145,2.769,7.256,1.562,37.483,316.762,1.198,97.82,1.812,1.355
19890114,3.085,1.703,3.346,5.389,3.495,72.486,292.577,1.141,98.072,0.955,1.134
19890115,3.261,2.743,1.216,4.123,1.612,40.013,325.475,0.04,98.316,0.404,0.59
19890116,0.159,-1.034,1.674,2.147,2.383,65.51,287.824,0.111,97.977,0.035,0.326
19890117,-0.058,-1.0,1.281,1.379,1.822,62.787,283.808,0.069,97.803,0.009,0.984
19890118,0.512,-0.417,0.851,1.93,1.753,69.198,287.084,0.278,97.855,0.009,1.424
19890119,-0.661,-1.589,0.669,0.757,0.957,67.306,271.766,0.086,97.726,0.001,0.747
19890120,-0.065,-1.178,1.683,1.635,2.348,80.799,263.859,0.337,97.446,0.0,0.576
19890121,0.742,-0.48,2.02,2.607,2.101,65.668,284.184,0.898,96.94,1.887,1.287
19890122,1.588,1.053,0.709,2.404,0.73,42.009,314.974,0.218,96.965,4.357,1.47
19890123,0.081,-0.385,0.602,0.792,0.712,50.717,297.737,0.001,97.706,0.014,1.656
19890124,-0.585,-1.356,1.415,0.59,0.927,68.335,276.22,0.126,97.473,0.01,0.962
19890125,-1.666,-3.211,1.159,0.691,2.879,81.839,267.23,0.288,97.417,0.0,0.792
19890126,-1.562,-3.534,1.416,1.449,3.123,91.131,255.674,0.606,97.437,0.0,0.748
19890127,-3.245,-5.054,1.835,-0.485,3.096,92.933,252.966,0.502,97.912,0.0,0.451
19890128,-1.391,-3.543,3.538,1.893,3.539,94.291,254.724,1.378,98.11,0.0,0.543
19890129,-1.028,-2.813,1.645,1.696,2.942,96.785,253.504,1.12,98.393,0.0,1.12
19890130,-1.623,-2.779,0.959,0.141,2.05,96.772,254.475,0.568,98.448,0.0,1.049
19890131,-2.183,-3.676,0.688,0.096,2.619,99.405,255.974,0.5,98.405,0.0,0.565
19890201,-1.245,-3.605,3.342,2.356,4.69,101.656,256.289,1.417,98.103,0.0,0.506
19890202,-1.559,-3.361,1.742,1.193,3.334,102.476,258.314,1.651,97.787,0.0,0.41
19890203,-1.55,-3.114,2.769,0.64,3.692,103.46,259.52,1.636,97.643,0.0,0.463
19890204,-0.858,-2.011,2.858,0.757,2.802,104.568,262.578,1.229,97.527,0.0,0.705
19890205,0.685,0.241,2.694,1.305,2.958,105.056,272.895,1.372,97.73,0.0,1.445
19890206,3.372,2.175,1.746,4.912,2.457,76.744,306.234,0.895,98.009,0.009,0.808
19890207,0.772,-0.91,1.343,2.935,3.089,105.246,277.118,0.334,97.783,0.001,0.534
19890208,1.162,-1.447,1.633,4.517,3.958,112.402,271.028,0.996,97.393,0.0,0.699
19890209,1.07,-1.223,2.461,4.019,3.907,114.789,269.185,1.224,96.858,0.0,0.616
19890210,0.253,-2.048,2.879,3.212,3.837,116.282,266.456,1.248,97.276,0.0,0.634
19890211,-0.03,-2.021,3.112,2.53,3.709,118.33,264.481,1.186,98.201,0.0,0.527
19890212,1.838,0.34,3.572,3.764,3.235,103.068,289.84,1.157,98.325,0.833,1.7
19890213,3.817,3.069,0.931,4.779,2.255,97.191,308.046,1.604,97.858,0.989,1.64
19890214,1.585,1.372,1.629,1.86,0.34,44.944,310.256,0.331,97.164,10.81,2.863
19890215,2.556,1.229,2.333,4.262,2.534,115.404,272.482,2.145,97.144,0.022,2.893
19890216,3.499,3.551,0.442,3.433,0.479,29.604,330.978,0.959,96.516,5.646,2.585
19890217,3.931,2.983,1.04,5.15,2.305,71.158,316.975,1.024,96.542,0.434,0.92
19890218,6.103,5.4,1.516,7.008,1.196,38.96,323.873,1.674,96.863,1.319,2.68
19890219,9.472,7.712,1.272,11.734,1.895,88.132,324.287,3.316,97.403,0.0,2.935
19890220,8.886,7.709,2.038,10.401,1.615,57.651,333.971,2.525,97.23,1.337,1.784
19890221,6.821,6.585,0.508,7.125,0.593,21.83,354.93,0.001,96.631,16.874,0.743
19890222,6.279,5.482,0.889,7.22,0.945,39.596,341.788,0.221,96.223,2.96,1.553
19890223,4.414,2.837,1.297,6.277,2.491,83.278,330.523,0.523,95.468,5.254,1.281
19890224,2.753,2.1,0.811,3.525,1.381,70.682,319.615,0.04,93.913,5.137,0.857
19890225,4.994,3.958,1.222,6.12,2.44,114.589,307.834,1.807,92.3,3.952,2.532
19890226,3.12,2.532,1.084,3.76,0.834,103.724,291.633,1.926,92.072,4.023,4.647
19890227,1.829,1.502,0.857,2.183,0.738,67.176,310.063,0.603,93.268,7.846,4.512
19890228,2.297,2.14,0.284,2.466,0.832,70.939,306.724,0.436,94.009,8.932,3.819
19890301,4.449,3.187,0.928,5.821,1.61,143.504,285.667,2.08,94.907,2.883,4.226
19890302,5.331,4.183,1.378,6.58,1.894,99.534,307.85,2.195,95.691,2.402,3.123
19890303,5.801,5.44,0.803,6.194,1.227,78.397,328.683,0.725,95.138,11.684,3.441
19890304,6.086,4.587,0.826,7.715,1.995,97.336,315.273,1.702,96.514,3.116,2.209
19890305,7.313,4.694,3.588,10.158,4.54,160.0,290.711,3.335,96.771,0.0,0.924
19890306,8.585,5.591,3.879,11.839,5.338,168.297,291.062,4.145,96.597,0.0,0.987
19890307,9.439,6.977,3.291,12.115,3.979,142.982,306.737,4.84,96.401,1.38,1.285
19890308,4.319,4.372,2.367,4.262,0.507,81.566,327.677,0.94,96.521,4.124,3.117
19890309,3.15,0.764,2.674,5.743,3.593,177.03,269.438,1.895,96.898,0.033,1.33
19890310,7.037,4.957,5.297,9.118,5.415,167.685,293.633,4.215,96.856,0.0,0.47
19890311,10.913,9.026,4.595,12.8,5.574,182.551,291.978,6.759,96.973,0.0,0.736
19890312,10.954,8.719,3.621,13.19,5.247,164.718,304.386,5.824,96.505,0.016,1.11
19890313,8.285,6.788,2.331,9.782,2.677,92.05,325.294,2.46,96.212,4.429,2.714
19890314,4.923,3.248,2.258,6.599,3.164,173.496,290.572,2.767,96.6,0.034,1.184
19890315,6.532,6.317,1.596,6.746,1.26,37.896,344.955,1.623,95.462,7.219,3.683
19890316,9.755,9.076,1.238,10.434,1.052,56.105,347.044,1.9,94.868,6.888,2.639
19890317,6.412,6.38,2.104,6.444,1.164,57.95,334.755,0.617,95.193,6.776,2.358
19890318,2.901,2.546,0.947,3.228,0.488,95.754,325.545,0.234,96.257,2.217,1.353
19890319,2.947,0.913,2.465,4.819,3.146,201.844,270.457,1.267,96.372,0.007,1.927
19890320,5.222,2.666,4.157,7.573,4.466,197.152,291.212,2.838,95.575,0.106,1.368
19890321,5.559,4.941,0.855,6.128,0.837,106.781,316.603,2.479,95.856,0.935,2.982
19890322,7.876,6.771,2.056,8.893,2.234,72.045,336.482,1.911,96.444,1.238,3.178
19890323,5.685,5.894,3.077,5.494,0.96,168.394,302.888,2.615,96.738,3.954,2.746
19890324,4.196,3.068,4.01,5.233,2.893,101.011,303.829,2.819,96.576,0.405,2.922
19890325,9.367,8.228,1.369,10.331,2.094,95.123,336.013,3.243,96.644,0.147,2.703
19890326,10.428,7.949,3.143,12.525,4.951,212.358,307.525,3.726,96.615,0.003,2.048
19890327,12.181,8.534,4.538,15.268,6.662,225.101,297.397,6.641,96.308,0.0,1.354
19890328,15.155,12.42,3.745,17.469,5.614,222.804,310.164,10.124,96.341,0.0,1.049
19890329,15.212,12.435,2.77,17.563,4.99,222.495,309.658,9.75,96.76,0.023,1.139
19890330,15.212,12.2,4.38,17.761,5.744,224.911,312.168,9.245,96.716,0.011,1.019
19890331,15.563,13.555,2.652,17.263,4.027,188.019,322.887,8.347,96.283,0.01,1.105
19890401,10.22,10.605,1.699,9.895,0.654,51.782,344.753,1.725,95.739,13.558,1.785
19890402,9.519,8.932,0.762,10.016,1.157,120.47,336.185,1.733,95.323,3.593,2.402
19890403,8.827,7.086,1.828,10.3,3.048,209.131,320.596,1.679,94.714,0.186,2.107
19890404,6.632,6.057,0.602,7.119,0.934,99.592,338.448,0.338,94.174,4.662,2.15
19890405,5.111,4.109,1.299,5.958,2.202,130.591,323.088,1.386,94.206,11.576,3.302
19890406,5.591,4.034,1.345,6.909,2.327,187.398,293.474,2.988,95.236,0.672,2.713
19890407,7.9,6.003,1.522,9.504,2.395,169.517,316.823,3.253,95.818,3.389,2.422
19890408,7.251,6.009,0.745,8.217,1.906,107.44,335.545,0.781,95.831,10.784,1.291
19890409,9.668,7.212,3.699,11.422,4.735,242.79,305.177,2.879,95.853,0.011,1.647
19890410,10.582,8.967,0.653,11.735,2.59,139.95,329.302,2.466,95.385,0.611,1.281
19890411,12.521,10.927,1.995,13.66,3.214,189.416,336.083,4.085,95.533,0.366,1.103
19890412,8.948,6.346,2.212,10.808,3.248,115.021,333.692,2.412,94.653,4.8,1.745
19890413,3.381,2.984,0.999,3.666,0.781,55.042,345.539,0.0,94.494,17.281,1.544
19890414,3.878,3.88,0.391,3.876,0.508,40.831,347.176,0.0,95.203,17.57,2.779
19890415,6.593,4.921,1.28,7.786,2.136,160.146,324.775,1.78,95.979,2.066,1.611
19890416,5.896,3.883,1.382,7.334,3.32,178.292,316.532,1.122,95.193,7.499,1.486
19890417,4.51,4.256,0.354,4.691,0.349,56.986,342.622,0.051,95.038,13.212,2.009
19890418,6.272,5.113,1.129,7.099,1.681,144.873,332.956,0.875,95.696,4.549,1.024
19890419,6.646,5.672,0.541,7.342,1.35,158.114,327.082,0.643,95.931,4.117,1.733
19890420,8.391,7.236,1.549,9.215,2.119,146.478,332.21,1.382,95.916,8.575,0.978
19890421,5.886,5.288,1.735,6.313,1.431,82.395,333.596,0.228,95.809,9.437,1.693
19890422,4.262,3.136,0.9,5.066,1.65,193.283,320.23,1.375,95.866,3.038,2.32
19890423,6.975,4.83,2.08,8.508,3.228,214.482,312.256,2.322,96.081,0.676,1.634
19890424,10.598,7.535,5.401,12.785,5.351,239.525,305.034,5.904,95.718,0.033,1.225
19890425,10.084,8.585,1.049,11.155,2.429,135.517,327.463,2.606,95.08,2.347,0.924
19890426,7.018,4.147,2.348,8.898,3.195,127.648,337.964,1.117,94.704,4.228,2.137
19890427,2.609,1.387,0.821,3.41,1.682,136.461,308.951,0.843,95.605,2.812,1.488
19890428,1.765,0.672,1.299,2.481,1.707,138.389,315.632,0.151,95.733,7.651,2.198
19890429,3.876,2.88,1.202,4.529,1.965,181.6,316.512,1.269,96.314,2.353,2.535
19890430,5.289,3.262,2.203,6.505,2.62,197.419,305.22,1.999,96.602,1.26,2.448
19890501,7.635,5.223,3.182,9.083,4.127,204.666,310.17,3.312,96.765,0.008,2.742
19890502,11.004,7.65,2.975,13.017,4.848,290.687,296.446,5.93,96.731,0.0,2.57
19890503,13.83,10.41,3.333,15.882,4.928,279.078,307.777,7.469,96.705,0.0,3.076
19890504,15.627,12.306,2.27,17.62,4.514,291.41,314.96,7.485,96.786,0.0,2.59
19890505,15.689,13.036,3.39,17.281,5.131,302.972,311.495,7.561,96.956,0.0,1.738
19890506,15.291,12.299,2.133,17.086,3.762,256.084,319.396,7.243,96.791,0.543,1.933
19890507,10.345,7.48,2.037,12.064,4.052,306.934,287.513,6.338,96.694,0.0,2.602
19890508,11.795,8.047,3.217,14.043,5.225,311.529,290.074,7.759,96.413,0.0,2.113
19890509,15.743,11.492,5.307,18.294,6.315,299.143,319.946,10.138,95.968,0.172,1.718
19890510,13.644,13.467,1.373,13.75,0.862,92.18,355.722,2.429,95.942,11.962,2.137
19890511,13.516,11.832,0.814,14.526,1.671,169.868,349.683,2.608,95.665,14.673,2.305
19890512,11.905,10.312,1.14,12.861,1.164,154.413,338.425,1.605,95.477,10.973,2.503
19890513,10.381,8.674,0.974,11.405,1.745,183.754,335.256,2.034,95.892,1.803,1.867
19890514,9.88,7.999,1.469,11.009,1.967,219.231,324.145,2.105,96.876,6.932,1.561
19890515,10.353,7.64,3.217,11.981,3.709,216.739,315.936,3.801,97.303,0.295,3.522
19890516,12.614,9.628,3.362,14.252,4.715,262.198,319.785,5.728,97.093,0.0,2.388
19890517,14.68,11.613,3.161,16.362,4.498,243.187,326.684,6.114,96.919,0.06,2.466
19890518,16.752,13.9,3.242,18.316,4.413,266.152,333.248,6.809,96.666,0.793,1.262
