TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-1.388,-1.432,0.915,-1.306,1.011,26.243,293.337,0.486,92.629,2.42,1.624
19890102,-4.3,-4.753,1.997,-3.474,1.274,46.145,243.882,0.567,93.129,0.046,1.342
19890103,-5.371,-6.285,1.513,-3.705,2.16,48.858,238.918,0.627,93.361,0.001,1.796
19890104,-5.987,-6.602,0.981,-4.866,1.711,50.876,237.657,0.747,92.891,0.0,2.661
19890105,-5.642,-5.725,2.292,-5.491,1.593,49.985,262.139,0.341,92.222,0.463,2.311
19890106,-3.508,-3.641,0.699,-3.265,0.226,23.025,293.828,0.319,91.122,7.46,2.173
19890107,-4.13,-4.0,1.118,-4.367,0.638,23.166,291.597,0.274,90.831,2.995,1.677
19890108,-2.198,-1.904,0.709,-2.733,1.25,33.142,290.947,0.561,91.082,4.028,1.87
19890109,0.752,0.523,0.86,1.168,0.435,16.149,320.852,0.403,91.508,4.528,1.75
19890110,0.735,0.601,0.224,0.978,0.67,30.085,310.571,0.533,91.448,1.062,3.203
19890111,-0.123,-0.351,1.843,0.256,0.405,43.209,277.53,0.759,91.899,3.241,1.993
19890112,-3.149,-3.679,2.319,-2.264,2.65,51.988,267.795,0.804,92.267,0.092,2.537
19890113,-1.688,-1.794,0.863,-1.512,0.747,20.234,290.2,0.583,92.477,2.691,2.467
19890114,-2.171,-2.172,0.968,-2.171,1.592,52.242,261.119,0.651,92.678,0.988,2.112
19890115,-0.381,-0.748,0.981,0.23,1.591,49.456,270.36,0.893,92.749,0.454,2.125
19890116,0.538,0.343,0.954,0.863,0.963,25.941,301.436,0.665,92.664,0.662,1.702
19890117,0.153,0.355,1.383,-0.183,0.431,35.871,298.693,0.567,92.383,0.238,2.033
19890118,-0.658,-1.287,0.925,0.389,0.9,46.409,281.373,0.723,92.609,1.028,1.703
19890119,-1.928,-2.46,1.007,-1.042,1.357,43.425,268.553,0.555,92.804,0.073,0.892
19890120,-2.908,-3.719,1.265,-1.556,2.155,60.722,260.702,0.551,92.771,0.003,1.449
19890121,-3.741,-4.062,0.512,-3.206,0.462,52.073,268.968,0.564,92.199,0.14,2.773
19890122,-4.281,-4.427,0.669,-4.036,0.624,45.543,275.897,0.402,92.021,0.041,1.635
19890123,-2.376,-2.918,0.728,-1.473,0.322,27.432,294.984,0.453,92.785,0.582,0.804
19890124,-3.664,-4.275,1.162,-2.646,1.687,54.934,267.319,0.382,92.861,0.034,0.881
19890125,-4.997,-6.077,1.885,-3.197,2.445,68.288,252.594,0.505,92.868,0.001,1.12
19890126,-3.897,-4.8,1.087,-2.391,1.317,52.82,267.909,0.451,92.823,0.013,1.893
19890127,-3.991,-4.386,0.971,-3.334,1.645,69.021,254.124,0.439,93.188,0.004,1.541
19890128,-4.726,-5.662,1.137,-3.166,1.875,72.908,248.617,0.361,93.211,0.002,1.883
19890129,-4.963,-5.452,1.267,-4.216,1.88,72.332,256.388,0.436,93.329,0.032,0.999
19890130,-2.717,-3.258,1.519,-1.959,1.181,49.281,285.983,0.56,93.337,0.049,1.774
19890131,-1.344,-1.347,1.678,-1.339,0.767,12.477,309.648,0.282,93.279,2.616,1.154
19890201,0.959,0.775,0.329,1.217,0.311,27.807,320.151,0.368,93.291,0.512,0.96
19890202,-0.266,-0.23,0.198,-0.315,0.266,48.632,302.687,0.629,92.925,0.36,2.144
19890203,-1.489,-1.588,0.662,-1.351,0.412,56.232,279.656,0.757,92.678,0.138,1.902
19890204,-2.914,-3.429,0.441,-2.192,1.453,78.161,266.514,0.62,92.605,0.065,1.928
19890205,-2.562,-2.757,1.155,-2.288,0.925,65.203,281.23,0.723,92.22,0.513,3.074
19890206,-0.059,-0.268,2.596,0.235,1.246,31.017,299.777,0.636,92.615,0.244,2.174
19890207,2.441,1.974,0.93,3.096,0.814,55.706,298.081,0.944,92.818,0.234,1.87
19890208,0.561,-0.006,0.863,1.354,1.018,58.046,291.278,0.576,92.685,0.003,1.34
19890209,-0.792,-1.347,1.503,-0.014,1.534,70.19,278.673,0.67,92.544,0.076,0.849
19890210,-0.93,-2.421,1.779,1.156,2.885,92.009,253.282,1.091,92.824,0.0,1.575
19890211,0.331,-0.204,0.724,1.08,0.982,59.202,277.47,1.217,93.264,0.052,3.075
19890212,-0.499,-0.524,1.118,-0.464,1.268,90.964,274.467,0.811,92.771,1.773,2.252
19890213,-0.795,-1.094,1.445,-0.376,0.439,48.304,294.862,0.517,92.105,10.811,1.951
19890214,-3.077,-3.182,2.132,-2.929,2.105,75.887,274.09,0.499,91.347,3.851,2.588
19890215,-2.358,-2.271,2.61,-2.481,2.466,80.343,270.349,0.64,91.365,1.264,2.438
19890216,-0.329,-0.746,1.008,0.255,0.497,44.435,287.49,0.815,90.875,6.752,2.726
19890217,-3.022,-3.927,2.146,-1.953,1.716,84.397,249.636,1.01,91.59,1.414,1.773
19890218,-4.492,-5.595,4.877,-3.187,3.817,82.626,273.513,0.792,91.843,0.688,2.246
19890219,1.111,1.266,2.354,0.928,0.999,14.127,324.473,0.399,91.834,9.298,2.36
19890220,5.59,4.65,1.246,6.702,1.381,48.383,323.081,1.13,91.65,5.061,3.048
19890221,0.636,0.288,1.161,1.047,0.947,58.178,285.868,1.27,91.835,0.28,1.095
19890222,0.747,-0.122,1.301,1.774,2.803,117.462,251.909,1.805,91.68,0.022,1.381
19890223,2.883,2.646,0.749,3.163,0.662,51.537,317.838,1.224,90.909,0.361,3.66
19890224,6.228,6.039,2.073,6.451,1.481,32.164,317.762,1.85,89.831,0.187,4.173
19890225,8.361,7.979,0.661,8.811,0.982,100.419,289.97,3.59,88.437,1.704,6.561
19890226,5.11,4.583,2.715,5.732,1.401,44.673,314.056,1.485,87.289,11.164,4.725
19890227,1.638,0.791,1.075,2.639,2.07,112.419,257.058,2.055,88.226,0.118,2.885
19890228,2.156,1.456,1.102,2.983,1.682,81.025,279.594,1.855,88.968,2.471,3.216
19890301,1.766,0.926,1.364,2.759,1.832,111.314,265.396,1.68,89.763,1.427,2.524
19890302,1.815,0.67,1.106,3.168,1.758,105.938,263.872,1.612,90.478,1.199,2.592
19890303,1.372,0.618,1.453,2.264,1.691,70.587,288.069,1.223,90.303,0.285,2.403
19890304,2.866,1.928,0.574,3.887,1.597,72.977,302.332,1.11,91.017,1.388,1.432
19890305,2.358,0.984,1.71,3.852,2.294,63.386,296.984,1.333,91.962,0.464,1.133
19890306,2.295,-0.231,3.998,5.04,5.053,137.377,261.25,2.248,92.154,0.0,0.744
19890307,3.075,0.126,2.932,6.024,4.506,142.849,260.565,2.481,91.651,0.0,0.849
19890308,1.173,-0.877,1.285,3.224,3.419,136.552,273.274,1.359,90.808,0.035,1.08
19890309,1.42,0.753,1.695,2.087,1.791,56.711,304.601,0.99,91.484,2.435,0.935
19890310,2.366,1.627,0.844,3.104,1.532,75.1,305.006,1.464,91.971,1.369,1.148
19890311,2.465,1.226,1.971,3.705,2.475,60.541,299.125,1.701,91.991,1.079,1.774
19890312,1.346,1.296,0.781,1.395,0.611,17.447,316.168,0.623,91.647,11.855,1.459
19890313,1.626,0.884,2.373,2.368,2.678,112.176,297.062,1.094,91.113,0.186,2.355
19890314,3.338,2.102,1.443,4.575,1.257,119.67,290.422,2.17,91.276,2.812,2.147
19890315,3.002,1.788,2.844,4.215,2.541,120.128,288.652,2.559,90.496,0.2,3.534
19890316,6.78,6.184,2.095,7.376,2.227,75.957,316.739,2.513,90.106,1.206,3.41
19890317,9.367,8.24,1.616,10.495,2.678,133.022,304.746,3.551,90.18,0.209,2.721
19890318,3.426,3.666,3.127,3.185,1.135,52.875,310.686,1.19,91.118,6.267,2.314
19890319,2.49,0.457,1.79,4.36,3.813,175.61,262.337,2.289,91.644,0.0,1.197
19890320,3.683,1.729,4.013,5.481,4.04,107.592,299.172,2.151,91.033,0.364,2.205
19890321,5.689,4.921,0.771,6.396,1.185,52.389,332.288,1.041,90.561,10.587,2.154
19890322,4.496,3.973,2.356,4.978,3.412,157.004,279.995,2.692,91.092,0.015,2.173
19890323,3.899,2.57,3.001,5.122,2.379,88.961,304.606,1.376,91.113,8.964,2.408
19890324,2.281,1.201,3.503,3.273,3.737,184.925,261.063,2.704,91.235,0.109,3.141
19890325,4.556,3.485,1.162,5.542,1.015,82.617,294.157,2.246,90.811,4.362,3.476
19890326,3.473,1.518,1.599,5.271,2.96,154.358,269.518,3.123,91.607,0.004,2.592
19890327,3.753,1.126,2.509,5.976,4.379,195.277,256.706,3.535,91.917,0.0,0.864
19890328,5.847,2.408,3.852,8.756,4.994,196.625,267.751,4.277,91.672,0.0,2.301
19890329,7.132,4.026,2.167,9.76,3.773,159.312,293.207,3.254,91.561,3.637,2.336
19890330,6.921,5.028,4.693,8.522,5.922,167.207,287.506,3.616,91.711,0.017,1.602
19890331,10.777,8.154,2.146,12.995,4.157,178.73,303.73,4.661,91.312,2.16,1.555
19890401,5.952,4.937,3.793,6.811,1.398,96.383,312.344,1.498,90.548,8.671,2.07
19890402,-1.668,-2.342,0.693,-1.143,1.336,160.124,264.72,1.512,90.555,0.148,2.266
19890403,0.222,-0.466,2.328,0.757,2.062,127.918,295.429,1.837,90.84,0.5,1.324
19890404,3.887,2.952,2.064,4.615,2.525,53.326,325.694,0.781,90.367,12.948,1.409
19890405,7.5,5.635,2.048,8.951,3.423,148.128,302.471,2.332,90.032,4.721,2.864
19890406,7.906,6.045,1.701,9.353,3.305,186.21,290.116,3.498,90.476,1.741,1.433
19890407,6.896,5.034,1.282,8.345,2.2,131.107,300.929,1.901,90.841,8.78,1.203
19890408,9.078,6.944,4.181,10.738,4.677,209.96,285.314,4.815,91.198,0.062,2.572
19890409,9.341,7.639,1.821,10.664,2.23,141.374,303.233,3.372,91.129,5.969,1.902
19890410,9.769,7.996,4.419,11.147,5.031,188.029,303.401,4.502,91.173,0.001,2.342
19890411,14.908,13.22,1.708,16.22,3.147,224.409,297.284,8.408,91.037,0.0,3.617
19890412,13.898,12.578,1.123,14.925,2.077,193.33,305.63,7.354,90.699,0.0,3.859
19890413,14.204,12.236,1.379,15.735,2.637,215.356,307.052,8.488,90.137,0.143,3.103
19890414,11.768,9.429,1.897,13.587,3.121,164.541,310.794,5.409,90.002,0.393,1.48
19890415,10.521,8.545,2.017,11.933,2.729,197.427,303.384,4.334,90.253,0.114,2.071
19890416,8.723,6.244,1.726,10.347,3.162,206.781,295.737,3.026,90.313,2.162,1.459
19890417,7.936,5.462,1.144,9.557,2.015,152.84,312.804,2.36,89.958,10.559,2.354
19890418,1.813,1.621,1.651,1.938,1.198,46.976,313.835,0.546,90.547,11.402,1.334
19890419,4.341,2.244,3.717,5.715,4.449,222.65,273.105,2.699,91.174,0.001,1.617
19890420,8.354,6.749,1.47,9.405,1.96,161.695,309.909,2.574,91.299,3.811,2.271
19890421,10.904,8.529,3.151,12.461,3.864,182.173,312.749,4.412,91.166,2.254,2.336
19890422,10.435,8.79,1.811,11.512,1.211,176.836,315.686,2.795,90.489,13.484,2.97
19890423,4.994,4.124,1.759,5.563,1.459,157.226,291.728,2.102,90.954,3.447,2.191
19890424,5.804,2.644,2.814,7.874,3.946,247.893,267.701,3.323,91.241,0.0,2.121
19890425,8.218,5.019,4.838,10.313,4.915,258.133,277.351,4.397,90.996,0.0,2.44
19890426,13.069,11.515,3.013,14.087,3.323,251.127,295.373,7.149,90.246,0.0,4.958
19890427,11.181,9.983,2.86,11.966,1.681,169.939,320.515,3.509,90.35,13.947,2.433
19890428,8.384,6.51,1.021,9.611,2.092,127.636,339.068,1.093,90.358,21.036,2.09
19890429,1.771,2.552,1.146,1.26,0.537,35.305,324.083,0.398,90.919,15.738,2.731
19890430,3.189,3.331,1.177,3.095,0.443,36.516,328.849,0.349,91.108,7.613,3.69
19890501,4.101,4.811,1.107,3.635,1.188,39.132,333.459,0.423,91.068,10.822,3.95
19890502,5.195,5.843,1.126,4.806,1.404,41.193,328.921,1.327,91.297,4.773,3.482
19890503,8.257,6.532,2.32,9.292,3.216,228.449,300.666,3.057,91.663,0.108,2.393
19890504,8.937,8.183,1.414,9.389,1.623,105.801,336.431,2.025,91.823,1.405,2.205
19890505,10.808,8.897,1.717,11.857,3.053,237.761,311.476,3.914,91.725,0.441,2.479
19890506,5.342,4.921,3.85,5.573,2.227,108.426,314.575,1.246,90.907,15.324,2.483
19890507,3.394,2.556,1.449,3.853,1.67,137.555,295.985,1.22,91.078,11.542,4.443
19890508,6.135,3.985,1.442,7.314,2.625,218.894,290.229,3.108,91.214,0.152,4.285
19890509,8.617,6.112,2.328,9.991,3.417,118.597,319.012,3.281,91.202,0.104,1.196
19890510,12.37,9.279,3.994,14.065,4.248,261.949,302.272,5.177,90.9,1.08,2.879
19890511,12.166,10.775,0.955,12.93,1.926,168.686,327.706,2.514,90.733,16.043,1.289
19890512,12.471,10.058,1.6,13.794,2.248,206.494,314.246,2.864,90.55,3.335,1.697
19890513,11.519,9.473,1.396,12.64,2.58,117.263,340.549,2.196,90.822,19.549,1.121
19890514,10.202,8.907,0.972,10.912,1.538,130.297,332.413,2.05,91.477,4.09,2.919
19890515,10.236,8.716,1.415,11.069,2.041,180.626,309.331,4.042,92.264,0.915,4.432
19890516,11.293,7.962,2.698,13.12,3.528,272.225,284.561,4.992,92.292,0.0,2.623
19890517,12.562,8.216,4.605,14.945,5.187,278.479,297.539,5.464,92.124,0.0,1.469
19890518,13.967,10.029,3.937,16.126,4.824,266.646,308.939,5.906,92.016,0.669,1.802
19890519,13.596,9.834,1.902,15.659,3.976,209.788,318.703,4.263,91.945,10.102,1.278
19890520,11.958,9.104,2.011,13.522,3.18,173.917,326.067,2.356,91.741,10.052,1.181
19890521,12.812,9.944,2.394,14.384,3.165,239.028,319.926,3.687,91.675,1.166,2.776
19890522,9.928,7.367,2.482,11.332,2.446,275.742,281.48,5.079,92.119,0.0,3.397
19890523,9.343,5.732,3.549,11.149,4.076,290.462,278.247,5.029,92.408,0.0,1.961
19890524,10.93,7.103,4.149,12.844,4.693,238.995,300.482,5.198,92.372,0.318,1.397
19890525,12.589,9.011,3.475,14.377,4.014,186.38,321.099,5.445,92.294,0.163,0.994
19890526,13.388,10.528,3.736,14.818,3.728,241.252,310.679,5.985,92.12,0.137,1.231
19890527,13.774,10.893,2.858,15.214,3.785,231.766,315.066,5.761,91.853,0.711,0.854
19890528,12.335,9.197,1.093,13.762,3.241,212.925,321.346,3.101,91.607,6.083,1.124
19890529,12.56,9.906,3.689,13.767,3.733,228.002,323.176,3.988,91.328,1.256,0.791
19890530,13.436,11.05,3.51,14.521,4.106,232.679,326.846,4.549,90.953,1.249,1.947
19890531,10.65,9.863,2.416,11.008,1.489,142.679,331.008,1.911,90.782,8.616,2.218
19890601,10.661,9.066,2.047,11.387,2.414,128.065,336.63,1.376,90.893,7.794,1.294
19890602,13.175,11.399,1.695,13.982,2.424,130.475,344.829,2.141,90.543,12.558,0.894
19890603,10.525,10.226,1.236,10.661,0.599,47.465,352.061,0.801,90.606,6.582,1.077
19890604,11.479,8.981,1.191,12.614,1.983,198.056,327.898,2.129,90.696,7.245,1.856
19890605,11.169,8.729,1.594,12.279,2.34,189.284,319.151,2.247,90.763,7.882,0.99
19890606,9.911,9.278,0.918,10.199,0.663,102.104,339.46,1.544,90.766,2.279,1.869
19890607,9.96,8.212,1.318,10.754,2.144,162.763,320.619,2.875,90.792,2.749,1.793
19890608,10.206,7.696,1.94,11.347,2.908,226.588,308.202,2.526,91.369,6.178,1.156
19890609,11.734,9.38,2.075,12.805,3.13,235.533,303.69,4.481,91.606,0.519,1.363
19890610,12.481,9.46,2.24,13.855,3.725,251.196,299.982,5.435,91.617,0.009,1.542
19890611,12.477,9.566,2.063,13.8,3.163,242.574,301.118,5.27,91.709,0.004,2.471
19890612,10.438,8.93,0.707,11.123,1.979,156.191,325.131,2.273,91.728,3.859,3.495
19890613,10.803,10.494,0.849,10.943,0.751,32.66,356.069,0.95,91.648,4.429,3.307
19890614,11.017,8.526,2.503,12.149,1.808,259.156,304.993,3.844,91.654,0.544,3.165
19890615,7.296,4.711,1.239,8.471,1.849,214.82,294.662,2.277,91.685,4.863,1.601
19890616,8.085,5.886,2.001,9.085,2.855,217.735,308.949,1.969,91.682,2.769,2.206
19890617,9.085,8.109,1.544,9.529,1.56,40.202,341.017,1.254,91.483,0.768,0.876
19890618,12.027,10.457,2.095,12.74,2.672,181.171,334.033,2.397,91.503,2.85,1.87
19890619,11.441,8.42,1.712,12.814,2.673,200.819,319.369,2.839,91.772,1.876,2.461
19890620,9.945,8.64,1.407,10.538,2.084,197.398,322.979,1.715,91.556,5.598,1.675
19890621,11.123,9.746,2.568,11.749,2.424,195.203,327.177,1.793,91.208,1.325,1.298
19890622,14.303,11.816,2.385,15.434,3.444,198.842,339.97,3.358,90.991,2.143,0.821
19890623,15.325,12.514,2.138,16.603,3.357,210.523,340.601,3.682,90.913,4.455,1.16
19890624,14.551,13.592,0.767,14.987,1.155,96.386,359.706,1.494,91.065,9.286,1.439
19890625,16.064,13.408,1.896,17.271,2.862,222.575,337.14,4.121,91.353,0.49,1.884
19890626,16.233,12.415,2.188,17.969,3.875,234.837,334.59,5.246,91.361,1.438,0.951
19890627,16.288,13.45,1.81,17.578,2.876,189.732,343.115,3.635,91.032,11.604,1.051
19890628,14.208,12.392,0.81,15.033,2.007,150.844,351.626,2.011,90.923,21.853,2.058
19890629,12.357,11.047,1.485,12.953,1.922,151.516,335.485,2.769,91.211,5.45,1.262
19890630,13.556,10.603,2.499,14.898,3.415,205.568,324.82,4.559,91.2,0.009,1.405
19890701,14.37,12.017,1.897,15.44,3.365,213.888,334.404,4.633,91.276,0.348,1.006
19890702,15.858,12.535,2.388,17.369,3.05,230.564,335.058,4.525,90.984,3.703,1.778
19890703,16.492,13.676,2.13,17.772,3.262,193.547,342.635,3.412,91.428,5.945,1.596
19890704,17.843,14.585,2.24,19.324,3.58,264.734,336.557,6.12,91.772,0.04,2.242
19890705,16.744,12.69,2.277,18.586,3.464,278.703,321.053,6.344,91.926,0.0,2.2
19890706,17.174,13.442,3.017,18.871,4.194,253.278,327.664,6.555,91.993,0.01,1.648
19890707,19.425,15.107,3.064,21.388,4.518,250.712,340.678,8.774,91.769,0.0,1.01
19890708,20.058,16.096,3.167,21.859,4.167,247.515,347.275,8.295,91.438,0.034,1.806
19890709,19.758,16.026,1.817,21.454,3.302,228.212,353.49,6.421,91.419,3.386,2.155
19890710,17.954,15.329,1.425,19.147,2.252,202.412,353.901,3.887,91.671,3.219,0.769
19890711,16.777,14.623,1.737,17.755,2.376,162.228,358.029,2.899,91.578,8.825,0.837
19890712,16.129,14.631,0.972,16.809,1.688,125.649,367.296,2.078,91.47,16.819,0.746
19890713,16.286,14.874,1.716,16.928,2.554,173.732,347.416,4.73,91.205,7.715,1.03
19890714,13.168,11.347,2.056,14.078,1.367,216.766,323.381,2.463,91.055,9.322,1.404
19890715,10.588,8.276,1.355,11.744,2.152,212.119,306.19,3.692,91.415,1.74,2.032
19890716,11.576,9.201,1.139,12.763,2.248,177.915,327.181,4.069,91.281,0.626,2.865
19890717,9.73,7.32,1.356,10.935,2.193,195.564,309.419,2.948,91.529,2.72,1.993
19890718,8.825,5.886,1.543,10.295,2.991,161.914,317.433,2.279,91.057,12.199,2.803
19890719,7.765,7.005,1.435,8.144,1.748,50.96,324.251,1.03,91.252,19.444,2.874
19890720,10.752,8.248,2.285,12.004,2.644,170.16,321.049,3.103,91.696,1.107,1.891
19890721,11.769,9.416,1.716,12.945,2.37,165.917,326.998,2.886,91.884,1.743,1.872
19890722,12.792,9.243,2.003,14.567,3.539,212.498,309.368,4.917,92.038,0.002,1.152
19890723,14.69,10.483,3.504,16.794,4.869,272.717,309.849,6.321,91.955,0.0,0.759
19890724,13.772,12.957,1.354,14.179,1.245,45.991,363.757,1.793,91.861,20.344,1.238
19890725,15.927,13.282,1.84,17.249,2.477,149.35,352.601,3.595,91.746,1.189,1.281
19890726,15.505,11.183,2.462,17.667,3.96,216.86,326.197,5.478,91.639,0.024,1.742
19890727,15.968,12.66,3.778,17.781,4.304,215.975,326.127,6.245,91.495,0.244,1.219
19890728,15.033,12.76,1.44,16.279,2.282,189.378,340.299,3.238,91.589,6.459,1.155
19890729,13.447,11.614,1.399,14.452,1.714,136.802,346.929,1.586,91.773,3.644,1.632
19890730,14.539,12.333,2.701,15.75,4.273,203.18,339.529,4.204,91.219,0.081,1.506
19890731,13.325,11.99,1.725,14.056,1.454,109.401,343.855,2.092,90.585,10.05,2.457
19890801,10.544,8.564,0.883,11.63,2.367,199.88,313.867,1.863,90.336,3.591,0.936
19890802,9.632,7.943,1.018,10.559,1.63,174.748,320.15,1.78,90.571,8.391,1.627
19890803,8.592,7.7,0.65,9.081,0.974,106.149,329.51,0.935,90.694,7.659,2.297
19890804,10.023,9.318,1.821,10.409,1.891,111.351,333.994,1.909,90.84,2.717,2.742
19890805,13.382,11.208,2.749,14.574,3.495,161.74,326.183,4.515,90.87,0.101,2.12
19890806,16.159,13.446,4.195,17.647,4.835,230.611,322.257,6.321,90.807,0.07,1.007
19890807,16.36,13.4,2.432,18.136,3.698,193.68,332.162,5.332,91.088,0.088,0.955
19890808,15.345,13.36,1.61,16.536,1.611,123.525,349.861,2.423,91.122,17.61,1.814
19890809,14.529,12.739,1.249,15.603,1.845,146.588,348.531,2.281,91.113,0.589,1.432
19890810,15.117,12.526,2.332,16.672,3.082,177.097,335.509,4.408,91.264,0.011,1.018
19890811,16.003,13.007,2.807,17.8,3.614,197.852,336.428,4.758,90.986,3.598,2.053
19890812,16.955,14.743,1.432,18.281,2.557,183.173,344.558,4.157,90.89,2.665,1.899
19890813,16.137,14.298,1.949,17.24,2.092,175.095,342.648,3.259,91.106,3.715,1.257
19890814,16.667,13.284,3.478,18.696,4.267,197.912,335.781,5.213,91.306,0.554,1.59
19890815,19.292,16.214,3.011,21.309,4.395,215.764,351.743,6.022,91.637,0.122,1.548
19890816,20.725,17.307,2.775,22.965,4.246,221.491,352.458,7.772,91.73,0.002,1.856
19890817,19.95,16.916,1.28,21.937,2.863,203.312,356.471,6.142,91.631,6.117,2.311
19890818,16.613,15.365,0.725,17.431,1.473,99.564,363.968,1.654,91.952,16.64,1.454
19890819,15.901,14.542,1.161,16.79,1.709,90.304,358.951,2.378,91.962,4.664,2.184
19890820,17.254,14.132,2.401,19.298,4.482,201.707,340.853,4.033,91.709,3.339,0.892
19890821,18.841,15.53,2.639,21.011,4.383,200.514,349.004,5.5,91.721,1.153,1.076
19890822,18.662,15.357,2.014,20.827,3.838,188.875,347.648,5.27,91.682,3.155,0.938
19890823,16.113,13.963,0.957,17.522,2.392,171.035,342.14,2.849,91.648,0.993,1.454
19890824,14.215,12.073,1.717,15.618,3.299,196.888,320.456,4.286,91.484,0.004,1.522
19890825,14.424,11.875,2.546,16.093,3.461,183.098,328.479,5.526,90.799,0.884,2.564
19890826,11.656,11.029,1.147,12.067,2.777,155.158,330.639,3.443,90.954,0.691,1.387
19890827,12.23,11.709,0.901,12.571,1.597,81.594,347.541,1.837,90.646,4.022,2.774
19890828,10.292,9.793,1.992,10.648,1.222,30.108,337.84,1.303,90.378,16.769,1.75
