TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,1.563,1.5,1.058,1.677,0.862,34.949,310.3,0.662,96.907,0.377,2.779
19890102,1.522,0.872,2.393,2.707,0.472,24.168,296.665,0.413,97.169,0.347,1.849
19890103,-1.972,-2.656,0.83,-0.725,1.267,53.05,242.078,0.641,97.261,0.004,2.972
19890104,-2.387,-3.05,1.192,-1.178,1.494,53.683,245.046,0.424,96.903,0.0,2.202
19890105,-1.158,-1.429,1.107,-0.663,0.74,32.798,280.765,0.32,96.261,0.332,2.907
19890106,-0.232,-0.302,0.466,-0.103,0.145,9.838,303.717,0.104,95.006,7.117,3.186
19890107,-0.702,-0.533,1.398,-1.012,0.881,20.416,304.453,0.191,95.009,2.913,3.112
19890108,2.529,2.56,1.442,2.473,0.745,10.978,326.905,0.089,95.269,6.238,4.114
19890109,4.131,3.711,1.055,4.895,0.337,23.533,317.656,0.456,95.592,0.265,3.043
19890110,2.815,2.725,1.409,2.978,0.917,32.734,307.684,0.407,95.433,0.196,3.477
19890111,1.801,1.523,2.26,2.307,0.807,45.691,280.254,0.733,96.02,1.338,2.752
19890112,0.102,-0.184,0.553,0.58,0.729,48.464,265.027,0.211,96.147,0.006,2.906
19890113,2.028,1.18,0.819,3.44,0.505,43.061,278.732,0.727,96.578,2.14,3.663
19890114,2.382,2.053,2.065,2.929,1.667,59.145,267.868,1.207,96.798,0.19,3.328
19890115,2.874,2.611,0.883,3.313,1.425,50.031,277.422,1.393,97.003,0.006,4.126
19890116,2.779,2.523,0.781,3.205,0.907,28.261,301.332,0.676,96.885,0.073,3.272
19890117,1.182,0.996,0.631,1.492,0.238,56.759,277.67,0.625,96.559,0.048,3.176
19890118,1.095,0.698,0.426,1.756,0.665,33.738,295.026,0.605,96.883,0.386,3.053
19890119,0.293,-0.185,0.708,1.088,1.464,60.283,261.044,0.762,96.969,0.008,1.817
19890120,-0.69,-1.368,1.229,0.44,1.196,64.59,260.854,0.457,96.682,0.0,2.475
19890121,-0.842,-1.367,0.7,0.033,1.021,62.336,272.981,0.347,96.094,0.016,2.678
19890122,-1.601,-1.536,1.387,-1.701,1.04,61.841,273.538,0.305,96.047,0.118,2.099
19890123,-0.176,-0.866,0.952,0.876,0.785,32.525,292.461,0.303,96.933,0.183,1.65
19890124,-2.367,-2.728,0.402,-1.816,0.826,58.202,264.435,0.129,96.905,0.015,1.062
19890125,-2.709,-2.813,0.379,-2.55,0.814,69.854,253.846,0.353,96.806,0.003,2.326
19890126,-2.831,-3.007,0.184,-2.562,0.606,72.163,248.824,0.332,96.758,0.0,2.391
19890127,-2.76,-3.472,0.516,-1.673,1.408,74.351,247.772,0.317,97.204,0.0,1.287
19890128,-3.116,-3.454,0.273,-2.6,0.918,74.001,250.625,0.155,97.228,0.005,1.825
19890129,-2.423,-2.844,0.952,-1.779,1.213,79.312,253.393,0.446,97.463,0.0,1.457
19890130,-0.08,-0.507,0.465,0.572,0.781,43.945,295.818,0.367,97.51,0.08,2.366
19890131,0.368,0.328,1.31,0.428,1.031,23.296,316.848,0.005,97.556,0.227,2.434
19890201,1.796,1.626,0.556,2.056,0.533,28.293,330.281,0.0,97.331,0.03,1.652
19890202,0.301,0.099,0.541,0.61,0.514,47.718,297.865,0.078,96.891,0.093,1.7
19890203,-0.393,-0.981,0.779,0.503,0.897,82.606,257.754,0.398,96.724,0.008,1.268
19890204,-1.441,-2.044,0.382,-0.52,1.123,83.551,254.01,0.294,96.581,0.009,1.943
19890205,0.289,-0.406,1.909,1.348,1.791,86.302,270.027,1.046,96.315,0.259,3.621
19890206,3.895,3.469,1.694,4.546,1.205,30.607,325.125,0.636,96.736,0.39,3.919
19890207,4.186,3.026,1.602,5.958,1.63,74.062,292.784,0.985,96.887,0.093,2.226
19890208,1.392,0.401,1.161,2.779,1.85,87.204,271.662,0.372,96.671,0.005,1.245
19890209,-0.143,-0.107,0.866,-0.189,0.562,66.007,304.429,0.096,96.38,0.114,3.304
19890210,0.478,0.47,0.24,0.488,0.386,76.297,286.129,0.592,96.594,0.121,4.165
19890211,0.406,0.001,0.425,0.928,1.196,85.191,277.962,0.631,97.245,0.009,1.717
19890212,1.86,1.443,1.307,2.397,1.61,86.979,278.362,0.904,96.905,1.117,3.705
19890213,0.814,0.281,1.167,1.498,0.466,74.306,275.897,0.707,96.376,5.244,3.573
19890214,0.232,-0.466,0.996,1.129,1.227,47.895,280.649,0.587,95.369,2.918,4.047
19890215,1.064,0.916,1.204,1.255,0.653,62.665,292.463,1.122,95.469,2.141,4.493
19890216,2.178,1.727,0.883,2.759,0.463,66.565,293.23,1.061,94.964,3.406,4.101
19890217,-0.597,-1.582,1.541,0.669,1.296,79.936,258.176,1.266,95.677,0.622,2.487
