TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,2.845,2.603,1.627,3.286,1.277,43.402,291.329,1.569,101.54,0.119,2.205
19890102,1.23,0.957,2.699,1.685,0.98,52.958,271.738,1.239,101.953,0.106,1.571
19890103,-1.082,-1.829,1.057,0.163,1.424,57.376,246.944,0.878,102.236,0.001,2.217
19890104,-3.854,-4.183,0.721,-3.306,1.089,57.197,239.261,0.468,101.862,0.0,1.349
19890105,-3.843,-3.451,1.756,-4.495,0.959,56.631,254.107,0.299,101.138,0.017,1.274
19890106,-1.538,-1.719,0.435,-1.237,0.192,20.218,289.286,0.466,99.819,4.183,1.904
19890107,-0.648,-0.573,2.45,-0.774,0.928,29.771,291.358,0.595,99.653,0.794,1.691
19890108,2.723,3.041,0.954,2.194,0.825,19.719,310.501,0.873,99.865,4.58,2.093
19890109,4.843,4.013,1.322,6.225,0.748,28.073,311.793,1.058,100.258,1.077,2.164
19890110,2.307,2.454,1.361,2.062,0.392,35.145,300.966,0.61,100.198,0.028,2.045
19890111,3.366,2.479,2.344,4.844,0.82,52.233,274.052,1.466,100.718,0.047,1.928
19890112,0.809,0.795,0.935,0.833,0.216,37.686,292.875,0.587,101.055,0.233,1.896
19890113,2.266,1.55,1.078,3.459,2.447,41.852,287.656,1.04,101.384,0.76,2.09
19890114,1.454,1.125,1.265,2.002,1.768,64.137,259.619,1.1,101.584,0.012,1.478
19890115,4.391,3.82,0.89,5.343,1.914,60.322,274.23,1.954,101.7,0.005,2.176
19890116,3.996,3.047,0.985,5.578,1.79,55.484,280.637,1.784,101.572,0.0,2.003
19890117,0.96,0.363,1.085,1.953,1.665,62.537,265.243,0.881,101.258,0.001,1.503
19890118,2.502,1.527,0.909,4.129,1.218,52.547,279.548,1.364,101.556,0.051,2.103
19890119,1.481,1.068,1.663,2.17,1.775,65.487,257.652,1.236,101.692,0.0,1.326
19890120,-0.421,-0.61,1.142,-0.108,1.093,68.981,261.841,0.592,101.59,0.0,1.938
19890121,-1.261,-0.983,0.283,-1.725,0.424,32.708,302.737,0.547,101.079,0.069,2.487
19890122,-1.56,-1.559,0.638,-1.562,0.416,21.481,296.032,0.511,100.875,0.062,1.161
