TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,0.422,0.4,1.202,0.462,0.913,34.495,298.283,0.857,95.493,0.057,2.971
19890102,-1.022,-1.343,2.763,-0.438,0.412,41.269,270.266,0.63,95.916,0.229,1.098
19890103,-3.66,-4.42,1.305,-2.274,1.417,48.724,241.582,0.374,96.109,0.004,1.848
19890104,-5.594,-6.058,0.758,-4.82,1.382,52.867,238.071,0.099,95.689,0.0,1.597
19890105,-3.932,-3.999,2.319,-3.821,1.76,39.926,273.331,0.112,94.991,0.166,1.536
19890106,-2.802,-2.698,1.009,-2.975,0.39,13.499,290.925,0.106,93.805,6.344,1.743
19890107,-2.128,-1.847,1.75,-2.597,0.78,23.588,293.643,0.287,93.661,1.104,2.514
19890108,0.817,0.846,1.342,0.768,0.59,15.823,307.239,0.373,93.886,1.816,2.495
19890109,3.119,2.408,1.698,4.304,0.442,19.357,317.145,0.514,94.271,0.039,2.512
19890110,1.163,1.585,1.484,0.459,1.012,25.087,316.831,0.224,94.191,0.31,2.034
19890111,0.851,0.502,2.586,1.431,0.609,52.798,269.683,0.839,94.699,0.509,2.388
19890112,-1.827,-2.101,0.513,-1.371,0.348,37.265,284.114,0.175,94.991,0.279,1.978
19890113,0.0,-0.729,1.372,1.216,1.795,38.051,283.141,0.584,95.268,2.771,2.595
19890114,0.546,0.229,2.118,1.074,2.41,58.821,261.377,0.955,95.466,0.1,1.732
19890115,2.329,2.064,1.006,2.771,1.371,51.481,268.221,1.666,95.59,0.001,3.175
19890116,3.057,2.775,0.682,3.526,0.843,33.199,304.267,1.058,95.478,0.013,2.745
19890117,1.265,1.23,0.552,1.323,0.231,46.628,287.752,0.873,95.191,0.034,2.151
19890118,0.918,0.516,0.438,1.587,0.658,49.76,276.253,0.961,95.47,0.047,3.18
19890119,-0.534,-1.199,1.111,0.573,1.307,58.051,258.172,0.775,95.619,0.0,1.951
19890120,-2.051,-2.56,1.163,-1.204,1.029,64.203,263.024,0.247,95.511,0.007,1.669
19890121,-3.523,-3.405,0.573,-3.721,0.233,36.799,295.531,0.081,94.958,0.306,2.573
19890122,-3.905,-3.877,1.029,-3.952,0.438,42.734,279.795,0.144,94.814,0.179,1.558
19890123,-0.822,-1.339,0.807,0.039,0.492,30.621,298.715,0.409,95.606,0.04,1.515
19890124,-3.029,-3.511,1.107,-2.225,0.75,46.194,274.772,0.208,95.644,0.01,0.786
19890125,-4.149,-4.295,0.395,-3.904,0.742,63.721,259.24,0.156,95.631,0.004,1.24
19890126,-3.815,-4.087,0.32,-3.4,0.363,58.731,259.702,0.268,95.591,0.005,1.835
19890127,-3.796,-4.13,0.275,-3.285,0.672,69.114,253.223,0.22,95.98,0.001,1.04
19890128,-4.17,-4.109,0.275,-4.265,0.397,54.156,272.558,0.041,96.014,0.03,1.448
19890129,-3.812,-4.669,0.766,-2.504,1.49,77.918,250.509,0.303,96.149,0.004,0.923
19890130,-0.941,-1.428,0.877,-0.199,1.198,37.399,296.901,0.518,96.156,0.013,1.28
19890131,0.283,0.161,1.059,0.47,0.609,25.874,312.856,0.213,96.136,0.031,2.684
19890201,1.319,1.157,0.499,1.565,0.7,24.386,325.486,0.05,96.066,0.055,1.001
19890202,0.061,0.277,0.171,-0.27,0.291,31.861,314.954,0.118,95.673,0.503,1.628
19890203,-1.259,-1.664,1.519,-0.641,0.643,56.748,281.089,0.366,95.46,0.138,1.167
19890204,-3.037,-2.894,0.337,-3.238,0.475,56.896,287.488,0.059,95.389,0.072,1.572
19890205,-0.564,-1.141,2.274,0.244,2.529,84.737,282.678,0.925,95.017,0.193,2.269
19890206,2.833,2.352,2.125,3.506,1.343,29.469,311.495,0.999,95.388,0.165,2.301
19890207,3.216,1.858,2.029,5.117,1.652,62.12,291.494,1.045,95.579,0.05,1.416
19890208,0.148,-0.226,0.504,0.67,0.87,48.725,307.182,0.096,95.435,0.031,0.835
19890209,-0.764,-0.447,0.44,-1.209,0.304,42.736,309.888,0.107,95.265,0.315,1.802
19890210,-0.548,-0.433,0.461,-0.707,0.632,57.576,290.086,0.649,95.524,0.226,3.246
19890211,-0.245,-0.444,0.554,0.034,0.718,46.874,291.39,0.595,96.02,0.038,1.9
19890212,0.557,-0.068,2.591,1.431,2.015,90.48,279.646,0.912,95.561,0.222,2.175
19890213,0.512,0.104,1.386,1.037,0.375,86.835,270.968,0.906,94.969,2.862,3.343
19890214,-1.403,-1.777,1.779,-0.923,1.378,42.166,268.374,0.461,94.093,1.692,2.548
19890215,0.162,-0.216,1.214,0.647,1.13,64.854,275.254,1.065,94.146,0.512,3.034
19890216,1.824,1.049,0.671,2.819,0.585,72.244,284.374,1.321,93.638,2.135,2.682
19890217,-0.601,-1.322,1.216,0.327,1.018,92.074,248.601,1.56,94.395,0.066,2.203
19890218,-0.589,-1.21,2.499,0.21,1.762,79.122,288.81,0.923,94.505,2.202,2.044
19890219,5.637,5.07,3.132,6.366,1.062,26.174,336.485,0.853,94.559,0.936,2.688
19890220,8.316,7.047,1.358,9.949,1.278,70.379,314.64,2.269,94.402,0.678,3.538
19890221,1.873,1.606,1.294,2.188,1.003,48.878,289.732,1.344,94.618,0.067,1.314
19890222,0.615,-0.516,2.825,1.951,2.844,123.397,254.675,1.566,94.38,0.0,1.763
19890223,2.618,2.54,0.915,2.71,0.433,40.549,320.723,0.295,93.547,0.229,2.392
19890224,5.926,6.344,2.317,5.433,1.831,51.951,313.846,1.541,92.336,0.109,2.974
19890225,8.843,8.364,0.669,9.408,1.248,105.525,305.014,3.471,90.821,1.784,5.914
19890226,4.178,4.057,2.377,4.32,0.982,27.73,301.011,1.274,89.81,11.376,3.963
19890227,2.142,1.17,1.384,3.291,2.516,109.837,254.851,2.301,90.859,0.163,2.628
19890228,2.889,1.828,1.481,4.143,2.269,99.59,277.897,2.283,91.593,0.855,2.662
19890301,2.604,1.251,1.721,4.203,2.406,125.115,257.275,2.207,92.411,0.263,2.28
19890302,2.494,1.144,1.173,4.09,1.748,101.522,270.496,1.933,93.161,1.021,2.549
19890303,1.722,1.069,1.64,2.432,1.618,74.107,296.481,0.924,92.927,0.521,1.563
19890304,4.016,2.709,1.857,5.437,1.941,101.317,294.242,1.215,93.805,0.359,1.921
19890305,4.914,3.306,1.284,6.661,2.595,75.059,304.719,2.195,94.706,0.016,1.137
19890306,3.766,1.108,1.414,6.655,4.185,153.48,259.305,2.513,94.861,0.0,1.182
19890307,4.117,1.388,2.406,7.082,4.395,145.544,262.316,2.617,94.352,0.0,1.178
19890308,4.016,2.826,2.211,5.206,3.685,114.258,294.17,1.507,93.546,2.277,1.92
19890309,2.972,2.9,0.59,3.045,0.27,38.921,318.855,0.864,94.309,1.567,3.576
19890310,2.948,1.92,2.058,3.976,2.887,92.977,287.598,1.588,94.743,0.396,1.029
19890311,4.865,3.522,2.114,6.209,3.285,112.194,296.055,2.06,94.688,0.717,1.644
19890312,3.219,3.033,1.233,3.406,0.379,24.383,323.969,0.38,94.366,8.548,1.088
19890313,2.231,2.304,1.736,2.158,1.183,71.558,318.045,0.375,93.811,0.231,2.263
19890314,3.942,2.581,2.156,5.302,1.75,140.719,282.754,2.686,94.056,0.156,2.843
19890315,3.734,2.612,3.366,4.856,3.133,104.268,301.508,2.57,93.12,0.317,2.798
19890316,7.087,6.544,1.775,7.63,1.928,45.567,318.449,1.697,92.733,3.562,2.166
19890317,9.076,7.546,1.442,10.606,3.143,117.082,309.183,2.455,92.82,5.086,1.717
19890318,4.214,4.034,2.839,4.394,0.457,74.126,312.184,1.176,93.892,3.009,1.988
19890319,3.057,0.911,3.233,5.203,4.302,182.251,258.763,2.688,94.418,0.0,1.007
19890320,3.332,2.194,3.58,4.469,2.48,60.689,310.498,1.212,93.639,0.295,2.795
19890321,4.972,4.238,0.957,5.706,1.67,85.58,318.676,1.256,93.279,2.085,1.475
19890322,5.143,3.987,3.815,6.122,4.128,120.139,291.225,3.037,93.816,0.011,2.047
19890323,4.397,3.753,3.24,4.941,1.793,86.056,295.553,1.676,93.871,2.089,2.732
19890324,3.218,1.696,4.302,4.507,3.82,184.355,267.042,3.22,93.95,0.261,2.841
19890325,6.371,5.31,0.972,7.268,0.537,89.394,296.603,2.865,93.567,1.861,3.698
19890326,4.389,2.228,1.953,6.218,2.999,194.257,263.966,3.288,94.445,0.0,2.911
19890327,5.106,1.824,3.521,7.884,4.886,204.474,264.224,3.648,94.627,0.0,1.001
19890328,7.874,5.113,3.84,10.21,5.239,209.569,275.141,4.562,94.316,0.0,2.116
19890329,8.806,5.896,2.513,11.268,4.361,159.832,301.518,3.368,94.297,0.844,1.825
19890330,9.052,6.279,4.572,11.397,5.908,154.023,301.761,3.868,94.429,0.227,1.17
19890331,11.824,8.756,3.183,14.42,5.226,204.815,303.409,4.921,94.028,0.237,1.336
19890401,7.565,6.067,3.161,8.833,1.321,109.88,315.515,1.924,93.297,8.716,2.295
19890402,0.201,-0.33,0.806,0.651,1.561,162.2,271.481,2.228,93.31,0.054,1.829
19890403,0.431,0.07,1.699,0.736,1.458,117.754,302.273,1.903,93.52,0.837,2.271
19890404,1.101,1.103,0.561,1.1,0.762,40.704,325.235,0.362,92.97,7.204,2.603
19890405,5.815,4.069,2.766,7.173,3.412,144.478,309.663,1.793,92.529,3.99,2.893
19890406,7.471,5.488,2.6,9.013,3.48,179.905,296.589,2.559,93.124,2.476,1.227
19890407,8.202,6.14,2.268,9.806,3.047,220.292,286.06,3.688,93.576,0.355,1.665
19890408,9.058,6.492,2.655,11.054,4.41,225.005,281.997,4.233,93.793,0.0,1.931
19890409,8.123,6.425,1.753,9.444,2.674,154.375,298.455,2.766,93.841,2.742,1.614
19890410,9.265,7.062,4.593,10.838,4.751,222.647,296.177,3.9,93.723,0.0,2.869
19890411,13.773,11.746,3.206,15.22,4.393,235.62,296.652,7.795,93.581,0.0,2.543
19890412,14.54,13.012,1.764,15.631,2.942,217.727,311.715,8.02,93.132,0.0,4.554
19890413,14.137,12.489,1.544,15.315,2.891,226.871,306.632,7.879,92.633,0.444,3.721
19890414,12.943,10.909,1.274,14.396,2.584,201.293,324.058,5.622,92.637,0.719,1.803
19890415,11.307,9.73,1.306,12.433,2.21,176.561,317.112,4.122,93.035,0.294,2.603
19890416,10.544,8.48,1.264,12.018,2.946,212.503,313.581,2.832,93.031,3.085,1.719
19890417,8.355,6.163,1.917,9.921,1.689,132.816,327.741,1.816,92.523,14.48,1.938
19890418,0.483,-0.075,2.358,0.881,0.928,116.98,297.744,0.577,93.308,15.818,2.218
19890419,2.928,0.473,5.982,4.682,5.584,213.28,280.727,2.001,93.828,0.173,2.152
19890420,8.646,6.877,1.703,9.805,2.856,189.163,312.143,2.758,93.914,0.823,1.728
19890421,11.362,9.494,3.108,12.587,3.782,209.36,311.257,4.57,93.713,0.887,2.472
19890422,9.544,8.252,1.892,10.39,1.451,193.355,306.49,3.483,93.138,0.165,2.717
19890423,5.642,4.021,1.569,6.704,1.93,182.936,295.903,2.43,93.722,0.148,2.432
19890424,7.517,4.335,3.252,9.603,4.689,257.259,273.2,4.009,93.954,0.0,1.168
19890425,8.688,6.419,4.473,10.175,4.169,270.71,283.397,4.365,93.516,0.0,3.456
19890426,13.18,11.687,3.582,14.157,4.033,267.351,296.735,6.99,92.721,0.0,4.548
19890427,8.117,8.107,3.082,8.124,1.48,93.169,330.394,1.534,93.034,4.149,2.467
19890428,5.67,4.231,0.553,6.613,1.799,107.454,341.037,0.402,93.094,8.023,2.627
19890429,1.831,2.062,0.723,1.68,0.796,65.636,321.9,0.382,93.783,15.405,3.271
19890430,3.588,3.09,1.691,3.887,1.064,74.288,326.304,0.741,93.984,4.154,3.667
19890501,5.67,6.019,1.473,5.46,2.481,95.175,317.749,2.413,93.972,4.741,4.328
19890502,8.563,7.091,1.782,9.446,2.98,202.27,302.393,4.86,94.169,0.054,3.767
19890503,10.298,8.451,2.375,11.405,2.415,139.701,326.168,3.148,94.462,0.359,2.256
19890504,11.09,9.926,1.802,11.788,2.201,125.974,336.657,3.694,94.625,0.028,2.309
19890505,13.163,10.899,1.875,14.521,3.458,258.83,303.3,5.671,94.542,0.036,2.791
19890506,6.926,6.716,3.625,7.052,1.855,160.878,309.401,2.068,93.763,2.998,3.892
19890507,5.636,4.097,1.741,6.479,2.325,226.383,289.981,2.539,94.094,1.312,4.847
19890508,7.24,5.341,1.801,8.281,2.506,194.892,299.557,3.337,94.134,0.086,3.484
19890509,10.642,7.47,3.663,12.382,4.777,219.636,307.227,5.201,93.895,0.0,1.514
19890510,12.572,9.962,3.517,14.002,4.447,243.454,314.208,3.812,93.538,11.219,1.839
19890511,13.071,11.494,1.047,13.935,2.175,182.663,330.012,3.106,93.389,5.349,1.657
19890512,12.67,11.119,1.685,13.52,2.963,184.729,329.21,2.859,93.197,2.618,1.635
19890513,11.41,10.147,1.734,12.103,1.146,131.793,328.542,2.513,93.566,5.005,1.395
