TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,0.647,0.596,1.168,0.74,1.003,41.262,288.469,0.863,96.711,0.144,2.104
19890102,-0.646,-1.06,0.944,0.109,1.291,50.671,255.171,1.116,97.175,0.002,1.521
19890103,-2.657,-3.261,0.911,-1.555,1.288,47.104,250.458,0.553,97.528,0.005,1.576
19890104,-4.914,-5.414,0.708,-4.003,1.156,55.817,236.698,0.452,97.11,0.0,1.61
19890105,-5.158,-5.089,1.405,-5.285,0.909,54.866,259.313,0.25,96.395,0.123,1.172
19890106,-3.0,-2.879,0.511,-3.22,0.213,20.353,295.817,0.288,95.206,6.009,2.028
19890107,-4.342,-4.649,2.711,-3.831,2.109,27.522,276.445,0.303,94.907,1.023,1.824
19890108,-0.378,0.111,0.797,-1.194,1.906,46.381,284.76,0.658,95.141,1.574,1.769
19890109,1.902,1.461,0.748,2.636,0.645,16.729,326.264,0.45,95.595,1.214,1.134
19890110,1.326,1.533,0.18,0.982,0.756,22.948,319.753,0.333,95.588,0.317,2.452
19890111,1.557,0.835,1.312,2.762,0.727,51.682,275.204,0.785,95.983,0.533,1.801
19890112,-1.001,-1.563,1.153,-0.063,1.333,52.084,278.193,0.673,96.398,0.551,1.882
19890113,-0.776,-0.942,0.878,-0.498,0.919,23.447,290.782,0.498,96.646,1.402,1.856
19890114,-0.836,-1.556,0.574,0.362,1.187,62.152,252.96,0.597,96.835,0.029,1.183
19890115,1.086,0.443,0.892,2.156,1.655,55.102,269.865,0.933,96.901,0.034,1.94
19890116,2.434,1.939,1.003,3.258,1.152,40.183,298.45,0.961,96.785,0.008,1.743
19890117,0.519,0.637,1.28,0.323,0.396,43.311,286.568,0.5,96.503,0.017,1.434
19890118,0.489,-0.396,0.909,1.964,0.929,43.117,279.36,0.849,96.735,0.079,1.919
19890119,-0.567,-1.402,0.849,0.826,1.628,61.331,256.673,0.703,96.893,0.001,1.41
19890120,-1.395,-1.93,0.847,-0.505,1.09,66.183,263.008,0.514,96.896,0.014,1.555
19890121,-2.627,-2.432,0.305,-2.952,0.402,29.595,298.099,0.477,96.387,0.16,2.532
19890122,-2.643,-2.663,0.482,-2.61,0.253,26.207,292.406,0.441,96.135,0.108,1.148
19890123,-0.833,-1.591,0.968,0.43,0.935,36.84,297.03,0.715,96.863,0.021,1.389
19890124,-1.558,-1.993,1.007,-0.833,1.181,47.427,278.793,0.465,96.961,0.027,0.538
19890125,-2.639,-3.195,0.674,-1.712,1.02,66.571,257.557,0.408,96.979,0.001,0.827
19890126,-1.972,-2.221,0.824,-1.557,0.373,40.004,286.513,0.479,96.964,0.019,1.299
19890127,-2.282,-2.324,0.513,-2.212,0.464,64.137,269.092,0.48,97.337,0.006,0.733
19890128,-2.385,-2.396,0.304,-2.369,0.367,61.578,284.847,0.467,97.384,0.027,0.985
19890129,-3.269,-3.461,0.463,-2.977,0.552,71.091,264.946,0.453,97.469,0.015,0.901
19890130,-2.282,-2.562,1.386,-1.891,0.814,46.607,285.78,0.533,97.509,0.007,0.852
19890131,-0.777,-1.203,2.194,-0.181,1.103,28.781,303.459,0.351,97.404,0.045,1.145
19890201,1.911,1.614,0.486,2.326,0.458,34.47,325.454,0.41,97.395,0.029,0.949
19890202,0.93,1.033,0.229,0.788,0.274,28.775,316.607,0.492,97.059,1.091,1.514
19890203,-0.384,-0.04,0.555,-0.866,0.281,31.99,301.502,0.597,96.817,0.176,1.157
19890204,-1.576,-1.441,0.479,-1.764,0.362,50.744,291.362,0.615,96.763,0.058,1.334
19890205,-1.061,-1.086,0.873,-1.027,0.562,53.14,295.481,0.675,96.397,0.187,1.698
19890206,1.311,1.042,2.365,1.686,1.531,30.017,308.839,0.655,96.749,0.08,1.368
19890207,3.771,3.017,0.91,4.827,1.334,55.494,302.252,1.022,96.927,0.004,1.276
