TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,0.651,0.523,0.95,0.886,0.883,36.744,312.434,0.44,98.305,0.251,1.3
19890102,0.861,0.079,2.076,2.287,0.472,15.143,314.519,0.026,98.508,0.602,0.931
19890103,-2.867,-3.488,0.952,-1.737,1.135,55.552,255.554,0.1,98.598,0.002,1.313
19890104,-2.885,-3.515,1.049,-1.736,1.505,57.076,256.709,0.197,98.291,0.0,0.791
19890105,-1.582,-1.68,0.785,-1.402,1.201,45.949,280.64,0.26,97.669,0.077,1.417
19890106,-0.568,-0.682,0.247,-0.359,0.217,11.121,310.73,0.0,96.372,6.547,1.634
19890107,-0.672,-0.594,1.417,-0.813,0.977,19.752,313.039,0.036,96.378,2.629,1.517
19890108,2.499,2.48,1.32,2.533,0.785,9.802,332.624,0.004,96.675,7.976,2.247
19890109,3.37,2.71,1.39,4.574,0.483,38.108,314.405,0.198,96.972,0.277,1.32
19890110,2.146,1.777,1.746,2.818,1.116,47.474,299.773,0.235,96.818,0.044,1.371
19890111,1.465,0.958,2.112,2.312,0.311,27.075,298.425,0.259,97.392,0.83,1.18
19890112,-0.414,-0.958,0.761,0.493,1.444,59.411,269.837,0.082,97.504,0.003,1.03
19890113,1.545,0.676,1.056,2.993,0.738,48.447,282.212,0.546,98.008,0.724,1.59
19890114,1.475,1.123,1.846,2.062,1.969,62.285,278.296,0.615,98.225,0.214,1.373
19890115,2.496,2.091,0.929,3.171,1.716,56.66,288.048,0.887,98.45,0.005,1.755
19890116,2.054,1.538,0.753,2.916,1.348,49.125,286.901,0.771,98.298,0.009,1.121
19890117,0.157,-0.283,0.484,0.89,0.84,64.35,272.21,0.215,97.962,0.002,0.996
19890118,0.39,0.153,0.594,0.785,0.631,24.865,310.787,0.076,98.296,0.601,1.244
19890119,0.009,-0.312,1.089,0.544,1.587,63.859,274.231,0.45,98.349,0.0,0.596
19890120,-1.285,-1.868,0.46,-0.396,0.672,67.829,269.427,0.156,98.009,0.0,1.213
19890121,-1.459,-2.258,0.616,-0.24,1.333,70.577,268.053,0.143,97.446,0.002,1.005
19890122,-2.285,-2.154,1.374,-2.485,1.054,65.621,279.91,0.123,97.398,0.073,0.898
19890123,-0.407,-0.918,0.388,0.373,0.966,43.173,291.821,0.289,98.309,0.116,0.688
19890124,-2.355,-2.749,0.596,-1.753,1.158,70.797,259.546,0.094,98.237,0.004,0.616
19890125,-3.135,-3.195,0.301,-3.043,0.738,71.44,261.396,0.092,98.134,0.001,1.229
19890126,-3.442,-3.571,0.171,-3.245,0.648,73.917,262.035,0.065,98.093,0.0,1.068
19890127,-3.212,-3.672,0.499,-2.51,1.375,78.572,258.249,0.232,98.557,0.0,0.607
19890128,-3.393,-3.667,0.281,-2.975,1.101,76.79,262.855,0.115,98.587,0.006,0.752
19890129,-2.83,-3.057,0.84,-2.483,1.489,82.311,255.496,0.234,98.851,0.0,0.551
19890130,-2.367,-2.86,1.273,-1.615,1.39,47.809,285.425,0.194,98.921,0.004,0.672
19890131,-1.254,-1.58,1.695,-0.756,1.73,51.868,305.255,0.085,98.97,0.08,0.816
19890201,0.467,0.093,0.605,1.039,0.966,43.942,331.191,0.0,98.686,0.026,0.802
19890202,-0.584,-1.385,0.72,0.638,1.459,80.393,276.834,0.142,98.234,0.069,0.602
19890203,-0.419,-0.925,1.172,0.352,0.867,89.46,261.236,0.26,98.08,0.003,0.349
19890204,-1.718,-2.329,0.308,-0.786,1.325,91.574,259.467,0.305,97.935,0.006,0.789
19890205,-0.101,-0.648,2.236,0.733,2.04,93.295,276.08,0.866,97.734,0.256,1.484
19890206,3.171,2.356,1.162,4.417,1.589,40.379,318.267,0.374,98.167,0.219,1.61
19890207,3.33,1.954,1.965,5.257,3.029,88.428,283.583,0.878,98.261,0.003,0.566
19890208,0.226,-1.098,0.944,1.928,2.509,98.461,277.383,0.298,98.005,0.009,0.555
19890209,-0.827,-0.851,1.222,-0.797,0.634,69.559,311.69,0.0,97.661,0.157,1.897
19890210,0.212,-0.048,0.419,0.547,0.626,85.907,292.372,0.186,97.893,0.023,1.94
19890211,0.089,-0.532,0.555,0.887,1.604,97.17,279.56,0.401,98.598,0.01,0.588
19890212,1.41,0.748,1.619,2.26,2.171,97.991,283.202,0.688,98.335,0.435,1.479
19890213,0.602,0.153,1.43,1.179,0.54,77.777,282.953,0.468,97.795,3.091,1.927
19890214,-0.15,-0.898,1.297,0.812,1.37,51.925,287.689,0.349,96.78,1.573,2.023
19890215,0.661,0.447,1.142,0.936,0.931,66.681,294.826,0.845,96.907,1.641,2.221
