TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,4.475,3.81,1.181,5.936,0.234,9.298,335.713,0.337,103.238,0.371,2.395
19890102,3.305,3.18,1.228,3.579,0.728,10.897,325.465,0.25,103.779,0.335,1.527
19890103,2.002,2.143,2.094,1.692,0.667,23.689,295.075,0.493,103.481,0.244,2.05
19890104,0.893,0.729,0.783,1.255,0.463,17.834,302.32,0.725,102.72,0.267,2.519
19890105,3.696,3.343,0.48,4.473,0.252,16.696,324.327,0.845,101.965,1.356,3.023
19890106,2.186,2.081,0.936,2.396,0.16,21.099,309.505,0.531,101.279,0.149,1.832
19890107,2.253,1.678,0.593,3.519,0.556,20.91,294.064,0.924,100.995,1.049,3.795
19890108,5.312,5.199,2.184,5.538,1.076,4.919,343.191,0.403,101.119,2.414,2.778
19890109,7.455,7.433,0.093,7.5,0.179,9.645,353.068,0.728,101.228,2.043,3.289
19890110,6.398,5.962,1.422,7.27,0.414,4.546,338.073,0.598,101.102,4.013,2.964
19890111,3.245,2.964,0.502,3.808,0.926,28.226,285.559,0.883,101.957,0.049,3.366
19890112,2.602,2.467,1.323,2.847,1.476,32.329,281.131,0.975,101.811,0.162,3.194
19890113,5.136,4.885,1.069,5.593,0.367,34.763,292.447,1.771,102.098,0.286,4.433
19890114,4.817,4.266,1.769,5.823,1.775,28.95,297.02,1.835,102.263,0.756,4.312
19890115,6.582,6.821,1.715,6.147,1.121,22.854,316.093,2.279,102.274,0.001,5.639
19890116,8.148,8.14,0.49,8.162,0.239,22.843,332.981,2.076,102.461,1.061,4.41
19890117,6.009,5.592,1.742,6.768,0.508,11.026,312.7,1.952,102.229,1.114,4.313
19890118,5.099,4.743,1.142,5.748,0.516,24.808,305.547,1.576,102.79,0.113,4.481
19890119,5.148,4.952,0.409,5.505,0.427,25.063,325.175,1.259,103.036,0.231,3.413
19890120,1.283,1.485,1.8,0.916,0.28,38.667,283.878,0.846,102.977,0.093,1.812
19890121,0.321,0.366,1.79,0.24,0.929,17.797,301.459,0.45,101.959,0.662,2.461
19890122,3.712,3.139,0.688,4.758,0.756,10.904,311.357,0.966,102.005,0.22,3.02
19890123,2.163,1.879,1.58,2.682,1.226,26.918,295.292,0.634,103.031,0.203,2.861
19890124,4.199,4.019,0.521,4.526,0.676,14.07,338.608,1.121,103.043,0.237,2.841
19890125,2.048,1.773,1.16,2.551,1.593,50.369,276.378,0.856,103.146,0.011,1.662
19890126,-0.618,-0.743,0.735,-0.389,1.338,54.634,248.715,0.628,102.956,0.0,1.968
19890127,0.73,0.053,1.712,1.964,2.378,55.436,251.553,1.371,103.334,0.0,2.301
19890128,2.725,1.896,1.697,4.237,2.369,58.409,260.06,2.912,103.128,0.002,3.397
19890129,2.834,2.844,0.36,2.819,0.754,51.92,283.433,0.644,103.562,0.271,2.956
19890130,4.551,4.481,1.937,4.666,0.679,13.754,330.855,1.112,103.268,0.23,4.371
19890131,6.538,6.326,0.435,6.893,0.136,19.509,339.352,0.709,103.561,0.13,3.613
19890201,4.629,4.744,0.344,4.438,0.275,21.074,341.609,0.535,103.521,0.864,2.232
19890202,2.55,2.464,1.043,2.681,0.254,25.764,323.522,0.935,103.127,0.657,2.648
19890203,1.632,1.397,1.078,1.99,1.121,42.712,305.75,1.197,102.768,0.087,3.447
19890204,2.483,2.302,0.408,2.761,1.063,48.074,296.575,1.218,102.396,0.169,3.604
19890205,3.845,3.185,1.142,4.851,0.916,41.89,287.307,1.655,101.616,3.368,5.012
19890206,7.055,6.363,2.897,8.11,1.255,19.682,323.014,2.193,102.086,0.251,4.712
19890207,8.97,8.89,0.604,9.093,0.564,34.513,333.707,3.005,102.428,0.355,4.396
19890208,6.512,5.878,1.321,7.479,1.425,55.572,297.893,1.382,102.758,0.039,2.302
19890209,3.798,3.384,1.637,4.431,1.871,41.982,320.559,0.575,102.948,0.167,1.996
19890210,3.479,3.111,0.894,4.042,0.542,72.542,275.059,1.553,102.957,0.038,3.126
19890211,3.348,2.947,2.831,3.961,2.791,76.364,286.169,1.042,103.318,0.077,2.27
19890212,4.024,3.726,1.101,4.479,1.21,17.469,309.627,0.995,102.603,1.293,3.741
19890213,3.601,2.913,0.274,4.565,1.081,73.236,274.903,1.987,102.287,0.103,3.752
19890214,3.7,3.144,0.96,4.479,0.74,23.766,309.056,2.326,100.786,1.518,4.96
19890215,3.994,3.91,1.87,4.113,0.799,21.908,311.124,1.053,100.782,2.88,4.235
19890216,2.404,2.209,0.899,2.677,0.437,82.042,262.664,1.467,100.531,0.855,4.34
19890217,1.414,0.636,0.518,2.415,1.378,88.748,251.495,1.959,101.729,0.044,2.905
19890218,2.52,2.802,3.168,2.157,1.478,40.326,310.827,1.137,101.431,5.395,3.41
19890219,9.161,8.171,1.19,10.435,0.523,22.61,337.633,1.833,101.171,2.313,4.285
19890220,5.707,4.95,0.89,6.679,0.902,60.543,306.422,1.998,101.384,2.716,3.725
19890221,3.499,2.738,0.747,4.477,1.698,88.89,268.492,1.82,102.008,0.353,3.376
19890222,2.825,2.099,1.243,3.758,2.117,89.154,267.715,1.771,101.656,0.001,2.667
19890223,3.871,3.136,0.627,4.816,0.843,43.244,307.301,1.036,100.39,1.041,2.925
19890224,3.446,2.879,1.538,4.175,2.172,81.888,287.118,1.094,99.659,0.797,2.458
19890225,5.751,5.17,1.291,6.499,1.872,83.91,302.55,1.01,97.587,2.151,2.254
19890226,4.907,4.481,1.106,5.454,0.599,54.528,292.317,1.184,96.503,0.622,2.689
19890227,4.323,3.538,0.612,5.332,1.164,88.917,288.727,2.386,97.286,0.354,3.479
19890228,4.004,3.092,0.64,5.081,1.189,79.23,301.142,1.628,98.178,2.391,2.853
19890301,3.679,3.141,1.277,4.316,1.481,72.654,308.312,1.329,99.033,1.436,3.034
19890302,4.746,4.556,0.45,4.953,0.494,51.824,326.096,0.854,99.745,5.399,2.756
