TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,5.477,5.236,1.193,5.916,0.903,6.814,329.136,0.639,101.588,0.532,2.258
19890102,5.518,5.083,1.242,6.311,0.292,10.947,326.622,0.774,101.759,0.351,1.438
19890103,0.443,0.031,1.015,1.193,2.113,42.468,251.865,0.89,101.544,0.0,1.854
19890104,0.947,0.557,1.289,1.659,1.444,43.593,246.204,1.026,101.12,0.015,3.818
19890105,3.363,2.982,0.393,4.057,0.584,28.917,288.358,1.217,100.539,0.844,4.262
19890106,1.838,1.852,0.18,1.811,0.35,13.172,310.194,0.613,99.349,6.664,1.738
19890107,2.991,3.164,1.26,2.675,0.689,12.742,313.992,0.826,99.705,1.021,3.665
19890108,7.456,7.045,1.648,8.206,0.785,5.035,338.356,1.035,99.843,2.856,4.833
19890109,8.147,7.904,0.7,8.589,0.258,17.922,331.419,1.406,99.839,0.192,3.695
19890110,6.671,6.626,0.666,6.755,0.445,8.226,331.663,1.33,99.705,3.397,4.396
19890111,2.113,1.515,1.662,3.203,1.227,44.759,259.63,1.1,100.471,0.117,2.854
19890112,3.655,3.272,2.805,4.352,1.635,46.692,270.331,1.329,100.146,0.047,4.003
19890113,5.098,4.722,1.906,5.783,1.028,43.183,271.29,2.418,100.93,0.274,4.767
19890114,5.053,4.328,1.904,6.376,1.714,40.62,280.005,1.907,101.038,0.136,5.288
19890115,4.54,4.417,1.76,4.765,1.395,39.668,274.436,1.8,101.4,0.012,5.666
19890116,6.401,6.279,0.217,6.604,0.429,19.02,326.092,1.735,101.3,0.203,4.148
19890117,4.924,4.86,1.058,5.031,0.324,19.152,319.11,1.834,101.038,0.265,4.414
19890118,3.006,2.405,1.415,4.007,0.591,43.936,282.687,1.251,101.499,0.017,2.966
19890119,0.071,-0.759,1.177,1.456,1.333,56.328,240.227,0.952,101.537,0.0,2.102
19890120,-0.661,-1.3,1.391,0.405,1.83,56.973,240.425,0.687,101.066,0.001,1.067
19890121,1.533,1.039,1.404,2.355,1.524,51.539,270.751,1.06,100.239,0.015,3.571
19890122,3.114,2.784,0.91,3.664,0.712,27.896,304.288,1.043,100.444,0.071,2.415
19890123,1.717,1.023,0.885,2.872,0.927,28.839,292.985,0.973,101.479,0.038,2.453
19890124,0.144,-0.354,0.7,0.973,0.934,52.358,251.34,1.021,101.378,0.0,1.456
19890125,-1.227,-1.715,1.455,-0.414,2.028,64.94,228.239,0.842,101.136,0.0,1.27
19890126,-2.206,-3.426,2.423,-0.173,3.22,66.54,231.421,0.909,101.108,0.0,1.848
19890127,-2.339,-3.841,1.572,0.164,3.269,68.845,228.607,0.944,101.601,0.0,1.848
19890128,-2.449,-3.77,2.035,-0.249,3.129,69.618,229.351,1.032,101.608,0.0,2.184
19890129,-0.862,-1.098,1.881,-0.469,0.576,11.535,297.882,0.67,102.045,0.034,2.159
19890130,1.632,1.325,0.335,2.143,0.839,47.878,300.319,0.903,102.08,0.032,3.591
19890131,1.996,1.462,0.559,2.887,0.652,21.6,317.676,0.582,102.199,0.219,2.355
19890201,0.923,0.296,0.643,1.967,1.552,48.377,296.316,0.46,101.732,0.058,1.235
19890202,-1.123,-1.58,0.834,-0.426,0.723,63.436,251.684,0.603,101.429,0.007,1.882
19890203,-1.257,-2.114,0.506,-0.056,1.161,69.598,246.251,0.651,101.229,0.007,2.651
19890204,-1.534,-2.573,1.286,-0.078,2.383,80.806,230.068,1.021,100.929,0.0,3.017
19890205,1.055,0.599,1.836,1.693,1.16,26.706,290.752,0.926,100.593,0.782,5.448
19890206,5.994,5.335,1.688,6.916,1.039,29.264,322.861,1.458,101.032,0.034,5.325
19890207,6.031,5.131,1.186,7.29,1.252,45.993,299.716,1.683,101.187,0.013,3.911
19890208,2.55,1.647,1.946,3.813,2.283,59.749,282.237,0.718,101.061,0.003,1.268
19890209,-0.151,-1.343,0.952,1.517,2.421,76.391,267.949,0.513,100.65,0.068,1.252
19890210,0.725,-0.551,1.682,2.512,2.459,89.024,246.413,0.992,100.856,0.0,1.716
19890211,0.644,-0.731,1.34,2.568,2.754,92.985,245.309,1.057,101.693,0.0,2.038
19890212,2.166,1.657,2.026,2.879,1.101,32.651,290.626,0.934,101.296,1.271,4.531
19890213,2.835,2.296,0.264,3.591,1.273,67.7,275.783,1.922,100.957,0.627,4.437
19890214,3.298,2.755,0.362,4.058,0.318,66.772,287.149,1.511,99.795,2.342,6.28
19890215,3.456,3.4,1.092,3.534,0.644,37.715,303.546,1.423,99.69,1.653,6.321
19890216,2.975,2.497,1.345,3.644,0.789,77.173,273.139,1.675,99.422,1.914,4.977
19890217,0.809,0.235,1.155,1.613,2.035,88.027,257.249,1.75,100.109,0.489,2.367
19890218,5.688,5.195,2.726,6.378,1.271,19.715,327.865,1.417,99.646,2.533,4.571
19890219,11.227,10.599,0.876,11.97,0.86,18.203,352.223,2.156,99.985,3.189,5.586
19890220,9.297,8.819,3.456,9.861,1.195,54.364,311.222,2.977,100.013,1.897,5.77
19890221,2.323,1.077,1.275,3.795,2.171,66.87,263.136,1.925,100.471,0.0,1.54
19890222,1.87,1.136,3.211,2.737,3.178,75.89,277.432,1.269,99.768,0.725,2.262
19890223,5.585,4.622,0.777,6.724,1.04,53.121,310.103,1.627,98.746,0.926,3.417
19890224,3.059,2.949,1.407,3.189,1.12,39.354,303.018,0.569,97.587,2.269,2.302
19890225,5.002,3.452,0.601,6.834,1.144,80.788,279.776,1.869,95.61,0.684,3.476
19890226,4.422,3.443,1.094,5.578,1.51,99.133,267.077,2.256,94.766,1.499,5.507
19890227,2.737,2.155,0.442,3.424,0.716,66.276,272.346,1.613,95.83,2.667,5.785
19890228,3.318,2.471,0.544,4.32,0.604,88.461,266.997,1.506,96.699,1.074,4.776
19890301,4.129,3.326,1.868,5.078,1.259,69.701,292.411,1.737,97.425,2.088,5.902
19890302,5.223,4.477,0.794,6.104,1.033,99.563,274.754,2.215,98.417,2.394,5.537
19890303,5.876,4.466,1.235,7.542,1.165,72.231,299.517,1.483,98.197,4.663,2.419
19890304,6.448,5.673,0.627,7.365,0.92,59.893,308.392,1.777,99.634,0.271,3.004
19890305,7.133,5.662,2.45,8.732,2.336,55.876,311.666,1.837,100.247,0.122,2.299
19890306,8.548,6.601,3.213,10.664,5.7,134.773,285.044,3.364,100.271,0.0,1.758
19890307,10.413,8.874,3.722,12.085,5.023,142.278,277.258,5.061,99.779,0.0,1.566
19890308,6.931,6.439,1.307,7.423,0.373,28.697,325.419,1.644,99.317,4.204,3.193
19890309,5.857,4.63,0.983,7.084,2.721,134.961,280.739,3.062,100.273,0.457,3.281
