TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,2.631,2.637,1.714,2.619,1.039,9.859,323.496,0.371,98.583,3.257,1.902
19890102,2.588,2.07,2.466,3.535,0.353,20.279,307.23,0.494,98.845,0.475,0.892
19890103,-0.61,-1.075,0.603,0.237,1.578,44.948,242.628,0.911,98.723,0.0,2.227
19890104,-0.092,-0.885,1.162,1.355,1.715,47.118,240.902,1.269,98.287,0.0,2.166
19890105,1.196,1.044,0.565,1.472,0.33,13.271,295.111,0.735,97.661,0.553,2.622
19890106,0.525,0.347,0.439,0.849,0.145,13.382,304.074,0.449,96.525,5.339,1.558
19890107,0.32,0.419,1.235,0.138,0.501,13.198,309.568,0.35,96.639,4.472,2.721
19890108,4.739,4.533,2.132,5.115,1.043,4.34,338.097,0.35,96.835,8.2,3.135
19890109,6.028,5.278,1.534,7.394,0.529,26.598,317.711,1.144,97.016,0.31,2.286
19890110,3.982,3.64,1.62,4.606,0.325,12.677,320.795,0.844,96.844,1.114,2.666
19890111,1.447,0.841,1.909,2.552,1.104,48.071,267.876,0.917,97.574,3.643,2.076
19890112,1.197,0.717,1.634,2.071,1.437,47.074,255.856,0.928,97.479,0.0,2.524
19890113,3.414,3.125,1.123,3.941,0.747,41.682,272.796,1.791,97.998,0.889,3.355
19890114,4.125,3.121,2.38,5.955,2.195,50.645,270.869,2.18,98.177,0.683,3.261
19890115,3.475,3.088,1.136,4.181,1.265,42.372,275.761,1.89,98.44,0.02,3.794
19890116,4.856,4.605,0.38,5.314,0.404,14.961,326.535,1.259,98.376,0.716,2.833
19890117,3.658,3.485,0.674,3.972,0.419,26.86,316.384,1.502,98.07,1.187,2.978
19890118,1.889,1.495,0.651,2.607,0.601,43.553,281.306,0.796,98.489,0.196,2.486
19890119,0.023,-0.767,0.717,1.462,1.138,54.345,252.338,0.788,98.586,0.001,1.701
19890120,-0.284,-1.176,1.239,1.343,1.577,57.859,251.04,0.802,98.197,0.0,1.347
19890121,0.653,0.173,1.25,1.527,1.377,56.81,251.326,0.965,97.468,0.003,2.047
19890122,1.103,0.841,1.075,1.538,1.331,39.027,286.141,0.903,97.567,0.294,1.959
19890123,0.645,-0.033,1.038,1.775,1.037,36.266,289.49,0.751,98.541,0.18,1.604
19890124,-1.381,-2.12,0.439,-0.15,0.861,58.484,251.263,0.749,98.485,0.004,1.192
19890125,-2.024,-2.639,0.735,-0.999,1.618,64.445,240.22,0.639,98.308,0.0,1.855
19890126,-2.323,-3.03,0.536,-1.245,1.88,67.354,237.406,0.713,98.258,0.0,1.807
19890127,-1.67,-2.807,0.85,0.065,2.4,69.715,235.941,1.043,98.734,0.0,1.655
19890128,-1.743,-2.659,0.895,-0.345,2.224,71.151,236.852,0.886,98.722,0.0,1.827
19890129,-0.841,-0.902,2.019,-0.748,0.917,20.185,291.864,0.809,99.076,0.071,1.571
19890130,1.686,1.358,0.164,2.187,1.008,55.347,302.908,0.911,99.08,0.25,2.474
19890131,2.126,1.954,0.456,2.39,0.491,14.943,328.183,0.325,99.196,0.217,2.149
19890201,2.326,1.657,0.524,3.347,1.167,41.188,316.582,0.274,98.855,0.067,1.297
19890202,0.174,-0.223,1.174,0.78,0.147,39.957,290.796,0.394,98.473,0.086,0.895
19890203,-1.046,-1.954,0.46,0.339,1.252,72.791,246.905,0.822,98.296,0.002,1.529
19890204,-0.925,-2.256,0.954,1.107,2.369,81.545,238.342,1.278,98.044,0.0,1.584
19890205,0.68,0.253,1.138,1.331,0.642,39.892,272.442,1.347,97.698,0.464,3.392
19890206,4.72,3.995,1.75,5.827,1.244,47.912,309.312,1.484,98.147,0.184,3.441
19890207,5.332,4.102,1.128,7.21,1.749,76.217,279.918,1.921,98.339,0.034,2.238
19890208,2.519,0.809,1.154,4.913,3.317,81.092,267.647,1.274,98.208,0.0,1.242
19890209,1.236,0.698,0.392,1.99,1.164,76.282,275.156,0.698,97.875,0.033,2.378
19890210,1.317,0.869,0.487,1.945,0.962,80.197,264.484,1.143,98.058,0.012,2.431
19890211,1.71,0.306,1.245,3.675,2.246,90.841,253.46,1.438,98.777,0.0,1.4
19890212,1.992,1.077,1.253,3.274,1.199,57.969,289.434,1.294,98.36,2.557,2.903
19890213,0.922,0.585,0.701,1.393,0.724,62.912,276.069,0.879,97.97,3.326,2.96
19890214,1.404,0.818,0.423,2.157,0.64,46.66,288.715,1.082,96.791,4.403,4.132
19890215,2.243,2.001,1.238,2.555,0.835,54.995,300.695,1.385,96.827,1.328,4.06
19890216,2.029,1.793,1.354,2.333,0.646,85.121,279.463,1.276,96.441,3.575,3.695
19890217,-0.146,-0.94,1.117,0.874,1.901,94.955,248.557,1.811,97.235,0.082,2.073
19890218,3.223,2.613,2.646,4.007,1.991,41.339,317.626,1.484,96.974,4.608,2.915
19890219,9.317,8.966,1.43,9.769,1.078,22.074,351.309,1.705,97.205,2.224,3.735
19890220,8.058,7.515,3.021,8.755,1.904,31.308,322.211,1.979,97.128,2.805,3.827
19890221,1.509,0.428,1.422,2.9,2.083,80.946,266.313,1.531,97.544,0.0,1.362
19890222,1.491,0.704,3.469,2.504,2.571,105.17,267.809,1.638,97.032,1.222,2.006
19890223,6.573,5.532,1.14,7.912,2.0,75.357,317.129,2.102,96.008,0.687,2.374
19890224,4.794,4.724,0.496,4.876,0.846,38.05,312.931,0.857,94.849,2.512,1.756
19890225,6.118,4.698,1.689,7.796,2.196,89.662,283.428,2.444,93.015,0.4,1.938
19890226,4.082,3.615,1.34,4.634,0.715,66.689,282.831,2.288,92.197,0.775,2.936
19890227,2.484,1.414,0.333,3.749,1.557,102.651,263.171,2.232,93.215,1.571,3.382
19890228,2.834,1.773,0.314,4.087,1.222,91.141,271.748,1.728,94.016,2.047,3.168
19890301,3.512,2.847,1.571,4.234,1.683,83.339,280.887,2.174,94.809,0.652,3.574
19890302,4.226,3.57,0.97,4.939,0.616,100.216,275.627,1.94,95.652,2.068,3.681
19890303,4.563,3.303,1.977,5.933,2.2,81.213,302.419,1.464,95.479,4.477,1.671
19890304,4.369,3.929,0.667,4.847,0.53,37.953,310.698,0.556,96.743,1.441,1.675
19890305,6.194,4.362,2.573,8.186,3.719,77.844,307.253,2.153,97.467,0.008,1.305
19890306,7.518,5.469,2.907,9.744,3.954,140.62,275.434,3.228,97.56,0.0,1.784
19890307,7.448,5.065,2.011,10.038,4.98,149.716,260.775,4.082,97.049,0.0,1.675
19890308,5.463,4.026,0.822,7.024,1.426,56.671,313.022,1.777,96.422,2.594,2.423
19890309,3.54,2.925,1.13,4.208,1.56,69.504,301.803,1.628,97.308,1.506,2.487
19890310,4.874,3.292,2.108,6.594,2.495,70.821,292.888,2.511,97.53,0.02,1.244
19890311,7.649,5.909,3.631,9.54,3.908,137.226,295.916,3.314,97.428,0.485,1.551
19890312,6.376,6.188,1.216,6.581,1.343,85.119,318.889,1.948,97.248,6.652,1.68
19890313,7.615,5.717,1.536,9.679,3.158,105.389,309.655,2.896,96.289,0.696,3.561
19890314,4.564,3.443,0.875,5.594,1.824,129.805,262.568,3.297,96.812,0.62,3.364
19890315,5.206,4.557,1.9,5.803,1.645,69.996,311.999,2.328,95.511,2.224,3.702
19890316,6.405,6.317,2.971,6.486,2.189,57.271,307.863,1.673,95.239,4.172,2.205
19890317,8.721,6.948,1.984,10.352,1.101,135.905,306.762,3.038,95.353,3.427,3.27
19890318,2.379,1.604,1.056,3.091,1.48,127.585,284.138,1.945,96.941,1.898,1.735
19890319,3.273,0.281,2.847,6.026,4.156,178.321,246.659,3.118,97.198,0.0,1.653
19890320,5.441,3.089,3.291,7.605,3.902,170.856,273.25,3.044,96.192,0.0,2.016
19890321,4.73,2.631,0.752,6.661,2.372,116.478,275.332,2.916,95.957,0.433,2.936
19890322,6.307,5.412,3.885,7.13,2.747,52.347,319.61,2.474,96.365,0.88,2.929
19890323,4.309,4.623,3.643,4.02,0.772,145.507,280.257,2.64,96.658,3.003,3.683
19890324,3.927,3.162,2.168,4.63,1.513,112.985,285.326,2.741,96.329,1.223,4.686
19890325,5.841,5.104,0.709,6.519,1.108,146.977,285.354,3.09,96.377,2.386,4.507
19890326,5.0,3.384,2.003,6.488,3.674,186.938,259.303,3.674,97.402,0.0,2.162
19890327,7.888,4.749,5.148,10.776,5.53,199.713,264.805,5.46,97.346,0.0,1.649
19890328,12.405,10.044,4.108,14.404,5.851,197.529,286.589,7.835,96.873,0.0,2.174
19890329,9.202,9.147,2.72,9.248,0.796,105.196,300.805,3.835,97.274,0.64,1.64
19890330,10.634,7.351,4.61,13.413,5.286,132.471,303.169,4.537,97.19,0.106,1.881
19890331,10.97,9.055,3.292,12.59,4.636,185.328,307.536,4.598,96.911,0.326,1.224
19890401,5.861,5.402,3.759,6.249,1.378,120.731,306.984,1.169,96.383,2.519,2.001
19890402,-0.243,-1.079,0.75,0.407,1.584,153.625,264.38,2.39,96.277,0.108,2.047
19890403,0.769,-0.591,2.113,1.826,2.309,157.431,279.152,2.758,96.319,0.518,2.505
19890404,0.815,0.74,0.503,0.873,0.376,66.727,315.493,1.539,95.849,2.306,3.387
19890405,3.858,1.99,2.151,5.312,2.954,128.611,315.365,1.082,95.061,4.921,3.419
19890406,8.083,6.026,1.634,9.682,2.852,196.982,283.307,3.857,95.795,1.355,2.2
19890407,7.871,5.604,1.8,9.634,2.67,187.471,284.573,3.665,96.355,1.334,1.823
19890408,6.867,5.422,1.815,7.99,2.18,98.135,306.75,1.847,96.534,2.576,0.963
19890409,7.419,6.508,0.956,8.128,1.625,152.77,308.011,1.913,96.723,2.601,1.262
19890410,7.83,6.412,2.9,8.844,2.949,220.707,290.133,2.553,96.303,0.0,2.368
19890411,12.749,10.378,4.309,14.443,4.652,218.298,304.561,5.933,96.169,0.089,1.712
19890412,15.724,13.651,3.263,17.205,4.126,221.108,311.356,9.211,95.393,0.003,2.731
19890413,15.55,13.977,1.693,16.674,2.882,227.468,302.421,9.158,95.035,0.034,3.591
19890414,13.738,11.546,1.288,15.303,2.577,169.307,324.933,6.445,95.405,0.7,1.961
19890415,8.6,8.639,0.763,8.572,0.352,69.041,348.428,0.714,96.229,3.5,2.281
19890416,8.402,7.925,1.019,8.742,1.511,94.491,350.712,0.827,95.991,1.108,1.318
19890417,4.231,4.798,2.755,3.826,0.713,42.843,323.698,0.539,95.669,2.519,2.741
19890418,3.53,1.858,2.994,4.725,3.078,157.499,281.554,2.704,96.327,0.373,1.405
