TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,5.697,5.208,1.848,6.674,0.583,5.572,340.572,0.922,100.679,0.991,2.729
19890102,6.036,5.784,0.925,6.539,0.182,9.693,344.973,1.092,100.936,0.439,1.281
19890103,0.666,0.337,1.531,1.324,1.419,36.686,276.608,1.008,100.658,0.0,2.073
19890104,0.729,0.171,1.911,1.844,1.555,41.627,275.565,1.452,100.13,0.068,2.692
19890105,3.848,3.45,0.413,4.646,0.396,24.652,309.408,1.802,99.554,0.616,3.508
19890106,1.477,1.365,0.351,1.701,0.507,18.925,314.669,0.986,98.56,3.38,1.761
19890107,2.923,2.891,1.628,2.985,1.192,11.549,325.374,1.209,98.783,0.994,3.745
19890108,7.46,7.086,1.639,8.141,0.702,3.681,351.519,1.308,98.836,1.671,4.406
19890109,8.11,7.767,0.359,8.736,0.623,13.01,350.673,1.858,98.87,0.51,2.933
19890110,7.074,6.766,0.982,7.637,0.117,7.081,348.519,1.685,98.734,3.177,3.271
19890111,2.337,1.731,1.443,3.443,1.326,36.721,270.761,1.522,99.543,0.002,2.791
19890112,3.634,3.191,2.767,4.441,2.203,46.705,281.162,1.759,99.164,0.024,3.59
19890113,5.304,5.039,1.764,5.787,0.832,36.315,290.067,2.816,99.913,0.022,4.566
19890114,5.287,4.34,1.726,7.013,1.697,35.127,294.681,2.523,99.963,0.358,4.668
19890115,5.738,5.621,1.706,5.952,1.246,38.549,299.603,2.573,100.295,0.027,5.354
19890116,7.488,7.367,0.111,7.71,0.227,16.795,346.166,2.347,100.274,0.594,3.775
19890117,5.922,5.852,0.96,6.05,0.21,14.713,338.658,2.459,100.032,0.695,4.044
19890118,3.022,2.909,0.521,3.229,0.621,34.267,302.417,1.627,100.581,0.023,3.361
19890119,1.311,0.927,0.784,1.95,0.59,39.052,284.264,1.419,100.642,0.051,2.243
19890120,-1.16,-1.749,0.453,-0.178,1.361,55.898,256.773,0.857,100.218,0.0,1.055
19890121,1.573,0.921,2.322,2.661,1.4,48.187,290.33,1.456,99.295,0.014,2.894
19890122,3.949,3.427,0.723,4.818,0.957,25.158,315.226,1.62,99.533,0.067,2.767
19890123,2.88,2.068,0.806,4.233,1.382,32.351,298.638,1.619,100.538,0.02,2.511
19890124,0.222,-0.644,1.271,1.664,1.6,52.183,268.976,1.225,100.501,0.002,1.581
19890125,-1.773,-2.647,1.008,-0.316,1.832,63.418,249.376,0.935,100.266,0.0,1.569
19890126,-2.075,-3.159,1.617,-0.268,3.029,65.184,249.659,1.089,100.19,0.0,1.666
19890127,-0.727,-2.018,1.448,1.426,3.303,67.433,248.489,1.649,100.643,0.0,1.973
19890128,0.192,-1.295,1.772,2.671,3.342,69.064,249.716,2.194,100.596,0.0,2.513
19890129,1.782,1.623,0.712,2.049,0.337,20.25,321.161,1.276,101.092,0.03,2.483
19890130,2.967,2.801,1.282,3.245,1.105,29.871,319.93,1.397,101.063,0.061,3.541
19890131,4.256,3.887,0.393,4.871,0.402,22.534,339.267,1.095,101.228,0.189,3.045
19890201,2.543,2.009,0.909,3.434,0.907,37.364,318.203,0.836,100.835,0.083,1.364
19890202,0.308,0.251,1.143,0.404,0.188,33.571,299.385,1.118,100.556,0.123,1.703
19890203,0.261,-0.447,0.452,1.442,1.014,53.958,284.284,1.201,100.298,0.062,2.362
19890204,-0.044,-1.016,1.281,1.438,2.511,77.09,254.962,1.54,99.944,0.0,2.551
19890205,2.874,1.946,1.411,4.174,1.461,38.521,295.017,1.859,99.495,0.87,4.979
