TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,2.15,2.156,1.668,2.138,1.011,10.071,317.773,0.544,98.583,3.033,3.012
19890102,2.109,1.604,2.4,3.03,0.344,20.715,301.106,0.652,98.845,0.442,1.412
19890103,-1.004,-1.456,0.587,-0.18,1.535,45.913,234.91,1.018,98.723,0.0,3.526
19890104,-0.5,-1.272,1.131,0.908,1.669,48.129,233.142,1.334,98.287,0.0,3.429
19890105,0.753,0.606,0.55,1.022,0.321,13.555,288.688,0.864,97.661,0.515,4.15
19890106,0.1,-0.073,0.427,0.416,0.141,13.669,297.872,0.613,96.525,4.972,2.467
19890107,-0.099,-0.002,1.202,-0.276,0.488,13.481,303.501,0.525,96.639,4.165,4.308
19890108,4.202,4.001,2.075,4.568,1.015,4.433,332.734,0.526,96.835,7.636,4.963
19890109,5.456,4.727,1.493,6.786,0.515,27.169,311.845,1.224,97.016,0.288,3.619
19890110,3.465,3.132,1.576,4.072,0.316,12.949,315.006,0.96,96.844,1.037,4.22
19890111,0.998,0.408,1.858,2.074,1.074,49.194,260.781,1.024,97.574,3.393,3.286
19890112,0.754,0.287,1.59,1.606,1.399,48.084,248.464,1.034,97.479,0.0,3.996
19890113,2.912,2.631,1.093,3.425,0.727,42.576,265.822,1.793,97.998,0.828,5.311
19890114,3.604,2.627,2.317,5.385,2.137,51.732,263.848,2.135,98.177,0.636,5.162
19890115,2.972,2.595,1.106,3.659,1.231,43.281,268.861,1.88,98.44,0.019,6.005
19890116,4.316,4.072,0.37,4.761,0.393,15.282,320.887,1.325,98.376,0.667,4.485
19890117,3.15,2.982,0.656,3.456,0.407,27.437,310.486,1.538,98.07,1.105,4.714
19890118,1.428,1.045,0.634,2.127,0.585,44.487,274.542,0.918,98.489,0.182,3.935
19890119,-0.388,-1.157,0.697,1.013,1.107,55.512,244.86,0.911,98.586,0.001,2.692
19890120,-0.687,-1.555,1.206,0.897,1.534,59.101,243.529,0.923,98.197,0.0,2.132
19890121,0.225,-0.323,1.149,1.137,1.325,58.029,243.823,1.067,97.468,0.003,3.24
19890122,0.663,0.409,1.046,1.087,1.295,39.864,279.496,1.012,97.567,0.273,3.102
19890123,0.218,-0.442,1.011,1.317,1.009,37.045,282.928,0.878,98.541,0.168,2.539
19890124,-1.755,-2.473,0.428,-0.556,0.838,59.739,243.758,0.876,98.485,0.004,1.887
19890125,-2.38,-2.978,0.715,-1.383,1.575,65.828,232.443,0.78,98.308,0.0,2.936
