TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,1.004,0.968,1.535,1.069,0.963,10.728,310.036,0.57,94.724,2.988,2.627
19890102,0.769,0.33,2.371,1.57,0.368,21.828,294.241,0.643,94.992,0.517,1.253
19890103,-2.421,-2.856,0.585,-1.628,1.33,43.637,233.684,0.839,94.898,0.001,2.978
19890104,-2.64,-3.537,1.202,-1.005,2.088,45.672,232.363,0.914,94.478,0.0,2.619
19890105,-0.722,-1.011,0.923,-0.194,0.314,11.967,282.819,0.776,93.884,0.696,3.179
19890106,-1.082,-1.255,0.371,-0.767,0.217,13.667,291.393,0.591,92.83,5.586,2.031
19890107,-1.096,-1.035,1.144,-1.206,0.523,13.39,297.561,0.563,92.908,5.006,3.77
19890108,2.98,2.827,2.059,3.257,1.07,4.503,324.478,0.556,93.084,8.466,4.215
19890109,4.033,3.175,1.987,5.595,0.61,24.712,304.98,1.117,93.274,0.308,3.067
19890110,1.861,1.392,2.114,2.716,0.776,12.994,309.288,0.867,93.114,1.007,3.46
19890111,-0.082,-0.735,2.112,1.107,1.012,46.197,260.169,0.933,93.795,4.286,2.973
19890112,-1.367,-1.821,1.362,-0.54,1.214,43.575,247.82,0.781,93.738,0.001,3.312
19890113,1.395,0.868,1.168,2.357,0.66,41.605,263.432,1.48,94.191,0.957,4.387
19890114,2.124,1.149,2.709,3.902,2.388,49.623,260.656,1.8,94.361,0.631,4.245
19890115,1.952,1.562,1.074,2.665,1.322,41.532,264.884,1.721,94.593,0.016,5.055
19890116,3.382,3.123,0.333,3.856,0.423,15.41,314.167,1.267,94.536,0.61,3.813
19890117,2.287,2.13,0.516,2.572,0.427,27.172,305.049,1.457,94.249,1.02,4.033
19890118,0.475,0.06,0.868,1.232,0.595,43.323,271.26,0.916,94.638,0.105,3.474
19890119,-1.386,-2.157,0.528,0.018,1.213,52.88,244.469,0.85,94.738,0.003,2.218
19890120,-1.959,-2.68,0.811,-0.645,1.502,56.052,242.975,0.747,94.395,0.0,1.96
19890121,-1.544,-2.187,1.111,-0.372,1.399,54.993,242.465,0.83,93.716,0.003,2.563
19890122,-1.113,-1.412,1.603,-0.615,1.7,42.512,273.34,0.796,93.801,0.202,2.466
19890123,-0.924,-1.688,1.249,0.349,0.936,33.821,281.494,0.814,94.699,0.132,2.205
19890124,-3.009,-3.804,0.463,-1.685,0.837,56.417,243.761,0.761,94.662,0.006,1.78
19890125,-3.938,-4.514,0.672,-3.06,1.529,61.756,233.875,0.641,94.51,0.0,2.551
19890126,-4.318,-4.955,0.541,-3.346,1.697,65.086,229.966,0.736,94.459,0.0,2.574
19890127,-3.756,-4.627,0.664,-2.427,2.071,67.539,227.148,0.8,94.902,0.0,2.465
19890128,-4.227,-5.015,0.966,-3.025,2.112,69.072,227.954,0.682,94.889,0.0,2.56
19890129,-2.637,-2.825,2.336,-2.351,1.254,21.802,280.235,0.777,95.198,0.064,2.029
19890130,0.183,-0.204,0.196,0.774,1.026,54.242,291.2,0.975,95.195,0.288,3.245
19890131,0.658,0.454,0.378,0.968,0.502,14.272,316.166,0.543,95.293,0.371,2.975
19890201,0.584,0.043,0.432,1.408,0.987,37.676,308.531,0.479,95.003,0.113,1.786
19890202,-1.212,-1.643,0.943,-0.555,0.068,34.366,287.754,0.5,94.641,0.22,1.12
19890203,-2.427,-3.186,0.547,-1.269,1.393,71.124,241.792,0.774,94.474,0.003,1.981
19890204,-2.799,-3.857,0.649,-1.183,2.198,79.359,230.492,0.869,94.251,0.0,2.235
19890205,-1.051,-1.785,1.657,0.07,0.878,41.41,260.536,1.201,93.912,0.47,4.341
19890206,3.012,2.194,1.738,4.262,1.34,49.887,295.079,1.431,94.327,0.185,4.471
19890207,3.394,2.025,1.277,5.483,1.892,76.395,266.54,1.687,94.512,0.012,2.941
19890208,0.272,-1.093,1.193,2.184,2.999,75.503,260.987,1.008,94.399,0.0,1.768
19890209,-0.544,-0.917,0.392,-0.022,0.87,70.22,272.877,0.718,94.117,0.025,3.15
19890210,-0.529,-0.964,0.46,0.081,0.746,74.216,259.147,1.036,94.282,0.039,3.584
19890211,-0.74,-1.927,0.974,0.922,2.03,86.409,245.975,1.047,94.932,0.0,2.035
19890212,0.291,-0.777,1.737,1.787,1.409,57.87,278.686,1.22,94.528,2.445,3.786
19890213,-0.518,-0.942,0.952,0.028,0.648,62.646,265.759,0.879,94.156,2.961,4.189
