TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,3.392,3.351,0.188,3.466,0.193,11.238,329.852,0.535,97.643,0.613,0.806
19890102,3.381,3.037,0.771,4.01,0.555,22.935,320.839,0.739,97.481,0.236,2.324
19890103,0.768,0.391,0.327,1.455,0.668,49.643,250.062,1.11,97.149,0.0,3.401
19890104,1.222,1.136,0.847,1.377,0.958,27.435,293.386,0.94,96.925,3.173,4.823
19890105,1.94,1.952,0.29,1.917,0.515,35.979,304.795,0.782,96.575,4.034,4.514
19890106,4.89,4.423,1.556,5.741,0.453,10.624,339.623,0.421,95.285,7.202,4.226
19890107,3.028,3.108,1.319,2.882,1.048,12.041,327.762,0.43,96.088,0.796,3.222
19890108,6.018,5.757,0.689,6.493,0.325,9.624,348.596,0.224,96.201,1.192,3.613
19890109,5.508,5.348,0.474,5.799,0.367,17.579,342.515,0.42,95.817,0.648,2.926
19890110,4.099,3.839,0.795,4.572,0.489,9.084,337.197,0.447,95.847,3.578,3.888
19890111,1.217,1.166,1.229,1.311,1.693,45.652,291.181,0.644,96.354,0.017,2.623
19890112,4.255,3.913,1.728,4.879,1.165,32.31,306.763,0.943,95.822,2.104,5.522
19890113,2.318,2.152,1.135,2.621,1.553,46.616,276.68,1.023,97.013,0.07,3.869
19890114,4.062,3.296,1.074,5.458,0.386,18.983,290.651,1.148,97.052,0.701,5.132
19890115,2.357,2.03,1.133,2.954,1.262,52.412,271.757,0.81,97.587,0.069,4.481
19890116,3.768,3.358,0.71,4.516,0.665,25.885,311.722,0.898,97.348,0.174,3.013
19890117,0.565,0.545,1.128,0.601,0.948,18.53,311.276,0.464,97.14,1.171,3.268
19890118,1.42,0.978,0.9,2.226,0.463,20.167,316.664,0.422,97.504,0.197,0.916
19890119,-1.239,-1.882,0.33,-0.065,1.222,49.016,275.149,0.413,97.388,0.009,0.787
19890120,-0.869,-1.033,1.233,-0.569,0.59,39.147,282.805,0.594,96.847,0.123,2.155
19890121,1.78,1.517,1.218,2.216,0.965,22.041,317.739,0.726,95.865,1.756,4.482
19890122,2.334,2.187,0.706,2.578,0.954,15.398,319.982,0.419,96.503,0.441,1.738
19890123,-0.058,-0.548,0.78,0.758,1.227,41.901,291.314,0.406,97.363,0.045,2.012
19890124,-1.988,-2.368,0.48,-1.409,1.16,63.458,252.747,0.453,97.095,0.007,1.677
19890125,-0.993,-1.655,1.748,0.018,1.828,70.71,238.768,1.165,96.722,0.0,2.735
19890126,1.945,1.005,0.989,3.38,2.09,71.48,247.023,2.423,96.788,0.0,3.237
19890127,2.188,1.283,1.164,3.569,1.923,73.838,244.947,2.475,97.323,0.0,3.142
19890128,1.91,1.248,0.537,2.92,1.647,74.894,247.473,2.526,97.397,0.001,3.575
