TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,5.987,5.903,0.24,6.14,0.321,9.826,339.123,0.584,102.604,0.236,0.833
19890102,5.873,5.545,0.778,6.47,0.789,24.1,328.041,0.918,102.477,0.035,1.351
19890103,2.844,2.249,0.952,3.93,1.355,47.9,257.935,1.176,102.116,0.0,1.575
19890104,3.561,3.18,1.674,4.256,1.263,30.611,295.53,1.262,101.828,2.848,2.482
19890105,4.813,4.751,0.368,4.927,0.542,34.429,309.427,1.2,101.449,2.617,2.712
19890106,7.635,7.067,1.479,8.67,0.375,9.266,350.548,0.665,100.07,5.51,2.812
19890107,5.583,5.531,1.44,5.677,1.134,12.91,335.815,0.666,100.949,0.331,2.121
19890108,8.72,8.483,0.675,9.151,0.371,9.085,359.114,0.407,101.009,0.778,2.406
19890109,8.351,8.118,0.571,8.776,0.434,17.863,351.096,0.747,100.638,0.452,1.55
19890110,6.976,6.696,0.794,7.488,0.493,9.817,343.979,0.77,100.672,2.613,2.325
19890111,3.769,3.6,0.748,4.077,1.529,46.316,291.872,0.798,101.266,0.009,1.542
19890112,6.547,5.942,2.553,7.65,1.633,39.111,303.538,1.46,100.657,0.713,3.018
19890113,5.035,4.787,1.241,5.487,1.959,52.205,270.161,1.653,101.904,0.001,2.386
19890114,7.032,6.188,1.107,8.571,0.474,18.467,297.462,2.058,101.899,0.321,3.201
19890115,5.545,5.21,1.467,6.156,1.347,50.504,283.905,1.452,102.471,0.028,2.958
19890116,7.044,6.667,0.771,7.731,0.68,24.56,324.829,1.611,102.249,0.159,1.981
19890117,3.773,3.696,1.115,3.912,0.972,17.507,320.831,0.926,102.044,1.061,2.245
19890118,3.564,3.286,0.971,4.07,0.403,19.319,323.79,0.529,102.486,0.112,0.723
19890119,0.692,0.229,0.525,1.535,0.953,40.392,287.585,0.174,102.388,0.008,0.538
19890120,0.615,0.432,1.458,0.949,1.129,38.952,284.284,0.533,101.828,0.051,0.889
19890121,4.646,4.316,1.532,5.247,1.11,28.104,321.98,1.295,100.736,1.097,2.615
19890122,4.877,4.663,0.988,5.266,1.143,14.935,324.41,0.614,101.404,0.1,1.277
19890123,2.688,2.052,0.85,3.747,1.526,43.346,297.613,0.615,102.32,0.027,1.231
19890124,-0.028,-0.37,1.027,0.493,1.273,60.132,257.889,0.41,102.093,0.0,1.132
19890125,0.477,-0.329,1.526,1.707,2.379,68.69,244.158,1.017,101.698,0.0,1.436
19890126,2.538,0.941,1.57,4.977,3.126,69.656,251.657,2.053,101.708,0.0,1.474
19890127,2.758,1.304,1.966,4.977,3.242,71.845,249.43,2.099,102.252,0.0,1.496
19890128,3.367,2.272,1.16,5.039,2.614,73.071,254.304,2.593,102.307,0.0,1.831
19890129,4.492,4.385,0.672,4.654,0.265,11.786,333.981,0.814,102.942,0.22,1.29
19890130,3.563,3.073,0.682,4.311,1.735,69.095,299.197,0.679,103.078,0.025,1.547
19890131,2.738,2.617,0.351,2.922,0.542,29.829,324.762,0.37,103.082,0.031,1.074
19890201,1.559,0.915,0.825,2.542,1.202,75.626,266.632,0.811,102.476,0.007,1.136
19890202,0.1,-0.714,1.598,1.342,2.053,70.939,266.844,0.562,102.336,0.011,0.709
19890203,1.381,0.658,0.918,2.485,1.838,51.476,297.948,0.544,102.088,0.226,1.188
19890204,0.44,0.157,0.966,0.872,1.515,68.151,271.971,0.699,101.749,0.03,2.209
19890205,4.608,4.436,2.037,4.871,0.717,15.636,326.164,0.82,101.498,1.647,3.279
19890206,8.716,8.192,0.608,9.515,0.96,30.519,339.43,1.653,101.971,0.141,3.173
19890207,8.371,7.307,1.141,9.996,1.566,71.382,293.899,2.077,101.97,0.033,2.06
19890208,5.191,3.735,1.567,7.415,3.053,86.354,279.777,1.428,101.716,0.001,1.095
19890209,5.246,3.896,1.549,7.137,2.713,87.244,279.508,1.747,101.126,0.0,1.606
19890210,4.918,3.336,1.782,7.133,3.075,95.026,265.388,2.191,101.466,0.0,1.423
19890211,4.694,3.765,1.492,5.995,2.006,79.257,288.05,1.207,102.503,0.004,1.293
19890212,5.723,5.109,0.537,6.581,0.644,15.725,317.63,1.289,102.287,1.658,2.866
19890213,4.514,4.123,1.157,5.017,2.099,72.597,291.657,1.46,101.93,2.288,2.825
19890214,4.864,4.515,1.0,5.312,0.734,78.74,289.364,1.864,101.243,2.346,3.662
19890215,5.663,5.487,1.838,5.89,0.53,30.856,323.934,1.241,100.651,4.363,3.986
19890216,3.591,3.055,1.172,4.281,1.206,80.492,281.103,1.362,100.625,0.794,2.574
19890217,2.949,2.276,3.489,3.814,3.214,84.662,281.854,1.829,100.753,0.777,1.833
19890218,9.476,9.501,1.921,9.445,0.711,11.853,355.005,1.494,100.266,2.562,3.534
19890219,12.179,12.029,0.459,12.373,0.362,15.166,365.988,1.958,100.793,5.266,3.371
19890220,8.789,8.596,3.794,9.038,0.552,70.053,318.994,2.418,101.052,3.213,2.678
19890221,3.255,1.969,1.15,4.909,2.083,85.427,276.802,1.511,101.32,0.0,0.752
19890222,3.644,2.375,3.357,5.275,2.826,69.317,289.597,1.519,100.357,0.008,1.87
19890223,4.838,4.534,1.028,5.229,0.696,56.373,308.615,1.311,99.499,2.657,2.186
19890224,4.342,3.904,2.206,4.904,1.868,96.139,287.601,1.506,97.988,0.217,2.566
19890225,6.066,5.661,1.019,6.545,1.405,86.871,308.642,2.481,95.777,4.302,3.844
19890226,4.07,4.25,0.597,3.857,0.758,44.921,291.498,1.697,95.321,2.694,3.488
19890227,3.853,3.977,0.582,3.706,0.765,77.172,297.222,1.453,96.528,2.96,3.529
19890228,4.089,3.746,0.199,4.462,0.684,91.553,289.753,1.402,97.455,1.277,2.92
19890301,5.462,5.188,0.88,5.761,0.608,62.665,308.063,1.745,98.085,2.263,4.347
19890302,6.301,5.92,0.536,6.716,0.867,76.772,319.84,1.664,99.225,6.005,3.198
19890303,7.778,7.248,0.629,8.355,0.995,72.239,313.988,1.386,98.908,4.632,1.987
19890304,8.344,7.681,1.244,9.065,1.612,76.21,332.752,2.237,100.493,0.313,2.147
19890305,10.191,9.202,1.003,11.267,1.771,34.872,345.145,1.394,100.873,2.245,1.493
19890306,11.939,9.886,2.735,14.171,3.821,144.711,293.334,5.063,100.675,0.0,1.977
19890307,11.555,10.498,1.132,12.703,1.866,80.768,330.397,3.635,100.358,4.469,1.189
19890308,5.424,6.664,2.312,4.077,1.393,26.277,321.701,1.008,100.396,10.76,2.477
19890309,6.718,5.373,3.451,8.18,3.288,126.75,292.054,3.238,101.112,0.376,1.953
19890310,10.862,8.993,1.311,12.894,3.266,158.841,290.885,5.962,100.902,0.0,1.906
19890311,10.715,9.842,0.921,11.664,1.643,99.572,332.303,3.425,101.139,0.304,1.699
19890312,9.33,8.98,2.15,9.711,2.381,84.503,329.676,2.422,100.683,0.126,1.481
19890313,8.916,9.234,2.526,8.599,0.663,98.304,311.862,2.975,99.929,2.541,3.564
19890314,6.88,6.165,1.642,7.595,2.147,121.361,289.16,3.252,100.537,0.63,2.935
19890315,7.656,6.543,0.893,8.68,1.383,68.95,320.136,1.999,98.838,3.648,3.5
19890316,7.604,7.233,2.041,7.945,2.35,49.163,325.637,1.346,98.444,4.875,2.085
19890317,4.625,5.821,2.672,3.526,1.036,62.028,308.059,0.889,99.134,1.994,2.351
19890318,2.599,1.093,2.083,3.984,3.554,138.223,269.436,2.02,100.829,0.01,0.872
19890319,6.879,5.131,2.652,8.487,2.514,47.116,305.916,3.662,100.613,0.0,2.055
19890320,7.353,5.44,1.563,9.113,3.259,159.601,289.094,3.274,99.667,0.813,1.734
19890321,5.925,5.479,0.906,6.335,1.415,142.394,302.304,2.601,99.587,1.629,3.194
19890322,9.555,8.442,1.473,10.58,0.718,64.439,344.633,2.025,99.884,1.313,3.928
19890323,5.796,5.446,1.226,6.119,1.825,183.308,273.438,3.522,100.662,0.713,3.566
19890324,7.459,7.692,1.894,7.246,1.623,25.128,333.285,1.866,99.795,4.49,4.959
19890325,7.367,6.362,1.885,8.291,1.048,123.968,297.898,2.849,100.496,0.047,2.831
19890326,9.186,6.383,4.359,11.766,4.351,158.785,293.667,3.467,101.012,0.021,1.074
19890327,14.182,11.883,3.952,16.128,4.86,203.193,296.71,7.429,100.318,0.0,2.61
19890328,16.771,14.804,1.796,18.435,3.419,195.775,317.909,9.792,100.17,0.024,1.97
19890329,11.572,11.361,1.312,11.75,2.383,113.185,339.858,2.836,101.017,0.395,1.079
19890330,12.122,10.691,1.337,13.333,2.505,176.503,311.673,3.386,100.89,0.002,1.476
19890331,12.005,9.995,3.246,13.706,4.312,196.762,304.944,4.199,100.537,0.008,0.836
19890401,9.806,8.58,1.21,10.844,2.132,185.271,302.08,2.74,100.055,0.0,1.727
19890402,5.263,4.957,0.67,5.522,0.681,51.087,328.463,2.054,99.632,1.056,2.112
19890403,3.611,3.4,0.802,3.774,1.278,93.479,320.211,2.223,99.599,1.022,2.536
19890404,3.133,3.27,0.74,3.026,1.271,84.957,314.508,1.916,99.099,0.881,2.827
19890405,3.344,2.799,0.41,3.768,0.371,42.474,325.694,0.874,98.431,6.221,1.842
19890406,5.817,5.147,1.075,6.338,0.802,94.509,327.233,1.392,98.881,3.506,2.976
19890407,8.007,6.407,0.813,9.252,1.827,179.007,292.554,3.435,99.644,0.406,2.811
19890408,8.036,6.541,1.13,9.199,1.515,178.484,302.077,2.726,100.015,1.988,1.545
19890409,8.651,6.953,4.169,9.864,4.605,233.468,281.786,4.585,100.137,0.001,1.936
19890410,13.073,12.045,0.628,13.807,0.897,141.108,335.939,5.039,99.24,0.489,2.965
19890411,12.785,11.858,1.783,13.447,2.652,219.056,314.383,5.517,99.232,0.922,3.316
19890412,10.89,10.829,1.406,10.933,0.31,54.421,349.144,1.884,98.676,11.325,1.674
19890413,8.613,8.309,0.428,8.83,0.516,83.737,339.32,0.994,98.713,6.866,1.178
19890414,7.178,7.606,0.68,6.872,0.316,29.387,349.159,0.501,99.276,13.603,2.895
19890415,8.594,7.281,1.31,9.532,2.414,154.036,327.117,2.571,100.296,0.205,1.569
19890416,8.673,7.575,1.566,9.457,1.663,95.478,334.016,1.719,99.552,0.103,1.599
19890417,7.368,6.728,1.543,7.826,0.803,59.274,329.19,1.323,99.515,2.37,1.81
19890418,5.819,4.306,2.057,6.9,2.705,157.87,299.537,2.432,100.162,0.285,1.086
19890419,6.135,5.647,0.352,6.484,1.15,177.442,310.757,1.458,100.062,3.494,1.986
19890420,5.319,5.098,1.152,5.477,1.05,104.349,316.012,0.933,100.158,5.689,0.793
19890421,7.03,6.428,0.837,7.425,1.235,129.035,334.771,1.342,100.172,11.557,0.736
19890422,7.642,6.936,0.744,8.105,1.769,103.044,325.795,1.972,100.126,7.428,2.445
19890423,7.156,6.401,0.691,7.651,1.426,101.028,327.818,1.558,100.373,0.697,1.457
19890424,9.616,7.792,2.634,10.711,3.275,143.728,324.688,2.685,99.786,1.453,0.996
19890425,9.007,8.776,1.584,9.146,0.752,61.97,348.102,0.899,99.22,7.245,1.741
19890426,3.622,3.87,1.065,3.473,0.237,23.98,332.432,0.298,99.301,14.498,2.673
19890427,5.515,3.681,1.852,6.615,2.799,223.234,285.447,2.961,99.947,0.077,1.232
19890428,5.375,3.597,2.462,6.442,2.957,192.577,282.439,2.597,100.609,0.313,1.956
19890429,6.892,4.281,3.006,8.459,3.836,235.983,282.776,3.748,101.009,0.151,0.925
19890430,9.149,7.289,3.266,10.265,3.712,234.307,287.948,5.273,101.254,0.136,0.688
19890501,10.621,7.242,4.054,12.648,4.792,267.858,287.525,6.5,101.319,0.0,0.648
19890502,13.637,11.198,3.649,15.1,3.847,219.703,335.15,5.42,101.268,0.007,0.883
19890503,13.397,11.235,2.031,14.695,3.851,234.721,324.708,4.177,101.351,0.0,1.121
19890504,15.221,12.252,3.59,17.003,4.978,286.223,308.194,6.389,101.449,0.0,1.194
19890505,16.82,13.782,3.025,18.643,4.364,283.354,320.433,7.313,101.443,0.0,0.903
19890506,10.898,10.707,2.206,11.012,1.452,199.054,317.497,4.403,101.473,0.043,2.547
19890507,8.686,7.441,1.706,9.433,2.411,215.18,314.577,3.971,101.522,0.0,1.347
19890508,11.642,8.739,3.105,13.383,4.514,291.285,293.317,5.57,100.976,0.0,0.788
19890509,15.825,11.795,3.409,18.243,5.293,294.774,310.318,8.876,99.912,0.008,1.16
19890510,12.52,11.328,0.858,13.173,1.902,194.72,331.811,3.222,99.783,0.4,1.008
19890511,11.765,10.496,1.703,12.399,1.565,91.678,341.833,1.722,99.324,7.091,1.879
19890512,10.469,10.18,1.067,10.614,1.305,181.459,322.36,3.161,99.078,1.461,2.953
19890513,10.324,8.534,1.011,11.218,2.157,248.271,298.326,3.926,99.844,0.572,2.608
19890514,11.17,8.783,1.381,12.364,3.143,245.917,302.71,4.417,101.15,0.526,1.281
19890515,13.587,9.748,3.403,15.506,4.633,296.746,299.802,7.04,101.911,0.0,1.092
19890516,16.031,12.487,4.291,17.803,4.573,306.119,305.201,9.364,101.703,0.0,0.731
19890517,16.263,13.161,2.9,17.814,4.288,273.501,324.996,7.416,101.528,0.0,1.176
19890518,17.917,14.937,3.046,19.407,4.792,288.234,326.211,9.392,101.181,0.0,1.067
19890519,19.375,15.846,2.945,21.139,4.79,286.15,333.838,10.477,101.025,0.0,1.061
19890520,19.742,16.977,2.283,21.125,4.221,270.421,339.625,9.493,100.976,0.164,1.219
19890521,19.517,16.335,2.468,21.108,4.083,288.677,338.51,9.525,100.966,0.097,1.799
19890522,18.448,16.099,1.676,19.622,3.681,309.844,320.886,10.715,101.015,0.0,2.493
19890523,18.284,15.605,2.187,19.624,3.773,321.515,310.115,11.597,100.977,0.0,2.257
19890524,19.524,15.8,2.936,21.387,4.336,321.35,313.69,13.054,100.925,0.0,1.867
19890525,19.914,15.956,2.324,21.893,3.938,319.43,320.863,12.858,100.898,0.0,1.288
19890526,18.642,15.133,2.507,20.397,4.047,293.571,334.208,9.197,100.963,0.0,1.567
19890527,14.89,13.059,1.925,15.805,4.057,291.13,318.485,7.122,101.213,0.0,2.205
19890528,15.889,13.344,3.198,17.161,4.784,307.523,315.872,7.36,100.959,0.0,1.176
19890529,15.813,13.73,1.779,16.855,3.675,315.132,311.647,7.587,100.586,0.0,1.237
19890530,13.962,10.745,1.411,15.571,2.816,243.107,319.248,6.256,99.985,0.329,1.923
19890531,9.992,7.775,2.37,11.1,2.638,204.473,307.672,4.882,100.317,0.007,1.042
19890601,11.254,7.561,2.805,13.101,3.555,220.079,312.105,6.077,100.014,0.177,0.969
19890602,11.244,8.542,1.58,12.471,2.358,265.406,315.536,3.918,100.05,0.75,1.123
19890603,9.466,8.466,0.587,9.92,0.856,115.605,337.569,1.317,99.86,6.056,1.126
19890604,8.531,8.177,0.446,8.692,1.231,183.947,328.785,1.513,99.901,3.461,1.942
19890605,8.523,7.603,0.844,8.942,1.353,121.571,327.817,1.627,100.022,4.329,1.411
19890606,9.85,7.264,2.054,11.025,2.687,229.712,313.414,2.501,99.907,7.099,1.279
19890607,10.082,8.806,0.525,10.607,1.36,241.397,315.764,2.434,99.778,3.507,1.261
19890608,11.005,9.169,0.997,11.761,2.068,240.952,323.652,2.537,100.436,2.847,1.243
19890609,13.456,11.147,1.78,14.406,3.08,217.473,329.258,5.452,100.739,1.205,1.284
19890610,15.798,12.291,2.23,17.242,4.361,238.434,338.477,6.192,100.534,3.506,1.14
19890611,17.058,15.655,2.596,17.636,2.86,235.756,351.843,5.173,101.039,0.998,0.947
19890612,17.741,15.626,1.592,18.612,3.271,244.286,340.688,6.853,101.358,0.003,1.509
19890613,19.021,15.462,2.776,20.486,4.325,323.742,322.384,10.3,101.24,0.0,1.462
19890614,19.34,15.799,2.754,20.798,4.473,303.39,331.592,11.004,101.131,0.0,0.953
19890615,19.589,16.236,2.277,20.969,4.107,272.806,341.0,10.844,101.075,0.002,1.034
19890616,19.125,16.065,1.472,20.385,3.676,309.107,327.936,10.685,101.241,0.0,1.126
19890617,19.253,16.34,2.01,20.452,3.651,304.212,332.452,11.456,101.274,0.0,1.226
19890618,18.635,15.923,2.68,19.752,4.32,306.27,328.511,9.452,101.302,0.0,1.536
19890619,21.254,17.378,2.437,22.85,4.4,316.283,339.682,12.726,101.331,0.0,1.52
19890620,21.918,18.559,2.153,23.301,4.295,320.229,343.258,13.376,101.149,0.0,1.027
19890621,20.475,17.047,1.004,21.887,3.658,300.062,347.345,10.118,100.548,0.032,1.84
19890622,14.332,14.554,1.628,14.24,1.819,91.062,365.463,1.666,100.444,16.466,1.526
19890623,16.474,16.05,0.807,16.649,2.11,191.873,368.988,3.289,100.581,2.742,1.759
19890624,17.442,15.606,1.737,18.198,3.528,235.361,353.347,6.53,100.642,0.006,0.968
19890625,19.282,16.271,2.634,20.521,4.503,272.465,351.266,8.696,100.404,0.394,0.605
19890626,21.405,17.88,2.167,22.857,4.264,247.936,361.321,11.742,100.047,0.052,0.793
19890627,17.201,15.991,2.485,17.699,2.429,193.633,360.06,4.766,99.645,4.296,2.104
19890628,14.747,13.383,1.174,15.309,1.964,260.915,332.335,5.73,100.256,0.268,2.673
19890629,14.425,13.321,0.645,14.927,1.082,63.567,369.992,3.813,100.17,5.935,2.592
19890630,13.634,11.904,2.424,14.421,3.626,312.536,318.522,4.713,100.48,0.129,1.162
19890701,16.962,15.323,1.371,17.707,1.08,150.892,365.584,3.591,99.941,1.639,1.979
19890702,15.01,14.991,0.388,15.019,1.072,159.046,366.786,2.175,100.319,1.709,2.39
19890703,16.492,14.841,0.921,17.243,2.362,211.419,356.144,5.792,101.163,0.111,2.16
19890704,17.182,15.596,3.1,17.902,3.649,153.029,362.856,5.479,101.049,1.759,2.175
19890705,22.463,19.035,2.693,24.021,4.247,298.687,370.729,9.21,101.05,0.131,1.633
19890706,24.143,20.797,2.719,25.664,4.076,283.979,371.549,12.826,100.839,0.009,1.736
19890707,24.064,21.609,1.171,25.18,2.293,204.809,381.747,11.939,100.224,1.639,2.034
19890708,20.147,18.611,0.797,20.845,2.007,205.506,376.792,6.065,100.25,5.19,1.031
19890709,18.524,17.628,0.445,18.932,1.574,160.586,375.03,3.481,100.402,4.828,1.482
19890710,16.215,15.665,0.837,16.465,1.162,127.615,379.463,3.6,101.051,0.093,1.394
19890711,17.068,14.565,2.6,18.206,3.631,274.92,344.949,6.882,101.178,0.009,1.253
19890712,19.066,15.721,1.708,20.586,3.607,272.653,349.199,8.237,100.969,0.018,1.656
19890713,17.342,15.258,0.79,18.289,2.736,199.258,357.396,6.417,100.728,0.733,2.202
19890714,14.349,12.887,1.057,15.013,1.952,180.454,338.829,5.46,100.861,0.402,2.55
19890715,15.64,12.966,3.388,16.855,4.057,175.927,342.281,6.553,101.004,0.016,2.212
19890716,15.555,13.602,1.084,16.442,2.468,144.851,342.745,5.218,101.182,0.074,2.283
19890717,14.81,13.063,2.816,15.604,2.887,129.07,355.021,5.046,101.289,0.179,1.55
19890718,15.801,14.765,1.297,16.272,1.009,138.348,360.937,5.641,100.826,0.344,2.595
