TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,3.434,3.398,0.171,3.498,0.209,10.36,352.71,0.373,96.085,0.659,0.784
19890102,3.389,3.087,0.65,3.939,0.524,21.655,346.639,0.56,95.944,0.316,1.895
19890103,0.96,0.581,0.504,1.65,0.785,48.731,290.342,0.993,95.615,0.0,2.811
19890104,1.383,1.228,1.025,1.666,0.984,30.393,320.832,0.913,95.377,4.381,3.592
19890105,2.147,2.13,0.289,2.179,0.48,34.994,331.647,0.815,95.03,4.294,3.493
19890106,4.934,4.437,1.577,5.841,0.427,10.237,359.849,0.403,93.754,9.062,3.505
19890107,3.025,3.107,1.318,2.877,1.045,11.637,350.075,0.361,94.536,0.877,2.742
19890108,6.147,5.898,0.707,6.602,0.361,9.291,367.073,0.23,94.646,0.833,2.969
19890109,5.747,5.537,0.512,6.131,0.473,18.906,361.502,0.457,94.291,0.665,2.142
19890110,4.347,4.087,0.789,4.822,0.501,9.203,357.776,0.487,94.31,4.291,3.063
19890111,1.364,1.305,1.1,1.471,1.561,43.305,322.266,0.516,94.829,0.024,2.079
19890112,4.249,3.91,1.957,4.868,1.277,35.047,332.922,0.911,94.308,2.164,4.251
19890113,2.57,2.361,1.107,2.951,1.651,47.044,309.817,1.115,95.464,0.07,3.041
19890114,4.185,3.386,1.037,5.643,0.385,17.603,321.585,1.209,95.494,0.6,4.065
19890115,2.614,2.235,1.151,3.305,1.245,51.805,306.072,0.853,96.015,0.066,3.506
19890116,4.042,3.652,0.725,4.753,0.701,24.177,340.035,0.934,95.791,0.396,2.249
19890117,1.022,0.981,1.141,1.095,0.992,18.043,336.987,0.502,95.579,1.274,2.521
19890118,1.51,1.049,1.139,2.352,0.459,19.106,341.726,0.299,95.95,0.239,0.805
19890119,-1.453,-2.062,0.465,-0.342,1.266,44.543,309.202,0.22,95.845,0.01,0.748
19890120,-0.984,-1.145,1.109,-0.691,0.62,37.286,314.918,0.414,95.314,0.128,1.642
19890121,1.678,1.479,1.472,2.041,1.059,24.095,340.253,0.624,94.361,2.121,3.422
19890122,2.384,2.255,0.744,2.598,0.838,14.877,345.412,0.296,94.957,0.493,1.485
19890123,-0.034,-0.527,0.742,0.717,1.435,42.804,321.031,0.259,95.816,0.055,1.462
19890124,-1.847,-2.262,0.673,-1.213,1.076,61.286,291.142,0.303,95.565,0.009,1.497
19890125,-0.882,-1.451,1.395,-0.013,1.869,69.439,280.327,0.994,95.205,0.0,2.388
19890126,1.489,0.469,1.052,3.046,2.242,70.206,286.428,2.173,95.261,0.0,2.439
19890127,1.662,0.669,1.224,3.178,2.13,72.543,284.68,2.154,95.782,0.0,2.36
19890128,1.591,0.876,0.602,2.683,1.892,73.604,286.478,2.318,95.847,0.001,2.616
19890129,2.022,1.868,0.684,2.258,0.235,12.178,342.762,0.428,96.411,0.39,1.512
