TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,3.298,3.305,1.675,3.287,1.015,9.956,323.733,1.118,99.017,3.15,2.606
19890102,3.257,2.75,2.41,4.182,0.345,20.478,308.455,1.24,99.275,0.459,1.222
19890103,0.132,-0.322,0.589,0.96,1.541,45.389,247.776,1.653,99.154,0.0,3.051
19890104,0.638,-0.137,1.136,2.052,1.676,47.58,246.155,2.009,98.726,0.0,2.967
19890105,1.896,1.748,0.552,2.166,0.322,13.401,297.072,1.479,98.11,0.535,3.591
19890106,1.241,1.067,0.429,1.558,0.142,13.513,305.49,1.196,96.992,5.163,2.134
19890107,1.041,1.138,1.206,0.863,0.49,13.327,310.651,1.097,97.104,4.325,3.728
19890108,5.358,5.157,2.083,5.725,1.019,4.382,337.447,1.098,97.297,7.93,4.294
19890109,6.617,5.885,1.499,7.953,0.517,26.859,318.299,1.884,97.475,0.299,3.131
19890110,4.619,4.284,1.582,5.228,0.318,12.801,321.196,1.588,97.306,1.077,3.651
19890111,2.142,1.55,1.865,3.222,1.079,48.542,271.491,1.659,98.024,3.524,2.844
19890112,1.897,1.428,1.596,2.752,1.404,47.535,260.2,1.67,97.93,0.0,3.458
19890113,4.064,3.781,1.097,4.578,0.73,42.09,276.112,2.526,98.442,0.86,4.596
19890114,4.758,3.777,2.326,6.546,2.145,51.142,274.302,2.912,98.618,0.66,4.467
19890115,4.123,3.745,1.11,4.813,1.236,42.787,278.897,2.624,98.876,0.019,5.196
19890116,5.473,5.228,0.372,5.92,0.395,15.108,326.588,1.999,98.814,0.693,3.88
19890117,4.302,4.133,0.659,4.609,0.409,27.123,317.053,2.239,98.512,1.148,4.079
19890118,2.574,2.189,0.637,3.276,0.587,43.98,284.105,1.54,98.924,0.189,3.405
19890119,0.75,-0.021,0.7,2.157,1.112,54.878,256.897,1.532,99.02,0.001,2.33
19890120,0.45,-0.421,1.211,2.04,1.54,58.426,255.677,1.545,98.637,0.0,1.845
19890121,1.366,0.897,1.221,2.22,1.345,57.367,255.946,1.708,97.92,0.003,2.804
19890122,1.805,1.55,1.05,2.231,1.301,39.409,288.646,1.646,98.017,0.284,2.684
