TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,6.248,6.073,0.663,6.675,0.311,13.487,325.905,0.41,101.81,0.207,2.956
19890102,3.894,3.628,0.393,4.539,0.353,11.982,319.178,0.406,102.121,0.089,3.078
19890103,2.91,2.957,0.391,2.797,0.198,8.223,324.256,0.308,101.644,0.205,3.173
19890104,4.031,4.028,0.484,4.038,0.197,9.181,324.905,0.58,100.699,0.4,4.539
19890105,3.396,3.14,1.572,4.018,0.147,12.427,287.189,0.495,99.992,2.76,4.199
19890106,0.67,0.727,1.589,0.533,1.387,17.638,255.114,0.205,99.724,0.047,2.417
19890107,4.115,4.108,0.403,4.133,0.555,24.863,276.816,0.948,99.638,0.387,4.783
19890108,6.856,6.676,0.746,7.292,0.484,7.208,333.678,0.419,99.488,2.442,4.724
19890109,6.677,6.71,0.172,6.603,0.205,4.401,341.692,0.362,99.333,2.671,5.115
19890110,4.208,4.085,1.468,4.453,0.674,19.811,282.177,0.577,99.521,0.742,3.635
19890111,3.392,3.011,0.83,4.154,1.041,20.655,272.714,0.65,100.076,0.021,4.591
19890112,4.66,4.423,0.92,5.136,0.246,6.781,330.687,0.571,99.532,3.384,5.685
19890113,4.403,4.155,0.494,4.898,0.682,28.165,271.053,1.092,100.298,0.724,5.659
19890114,5.596,5.545,0.286,5.698,0.823,8.31,305.327,0.912,100.075,6.647,7.196
19890115,7.284,7.036,1.043,7.779,0.549,15.614,296.517,1.171,100.196,1.193,8.891
19890116,6.909,6.896,0.478,6.934,0.414,16.761,304.537,0.834,100.575,0.058,6.561
19890117,5.598,5.712,0.956,5.37,0.696,27.876,288.521,1.145,100.529,0.6,6.294
19890118,5.509,5.412,0.398,5.702,0.553,18.388,299.302,0.764,101.178,0.086,5.809
19890119,5.573,5.321,0.306,6.075,0.318,18.022,315.321,0.526,101.321,0.014,5.211
19890120,4.486,4.092,0.873,5.272,0.38,18.553,319.863,0.775,101.088,0.169,4.573
19890121,2.543,2.537,1.64,2.554,0.99,7.979,319.486,0.338,99.914,3.582,4.032
19890122,3.602,3.011,1.291,4.782,1.15,32.703,267.909,0.941,100.454,0.268,3.818
19890123,3.963,3.652,2.126,4.586,0.642,20.951,310.537,0.505,101.079,0.118,4.807
19890124,5.54,5.476,0.703,5.666,0.329,8.834,343.099,0.139,101.237,0.028,3.968
19890125,1.436,1.525,2.191,1.257,0.472,23.411,288.004,0.406,101.371,0.006,2.735
19890126,1.612,1.321,1.62,2.144,0.787,27.87,297.732,0.446,101.054,0.541,3.61
19890127,4.476,4.211,0.858,4.959,1.169,39.31,271.748,0.815,101.231,0.004,4.889
19890128,5.784,5.195,1.234,6.859,0.445,12.464,293.132,0.967,101.026,2.787,5.583
19890129,4.068,3.616,1.834,4.891,1.202,43.969,250.515,0.862,101.638,0.0,5.764
19890130,7.196,6.968,0.709,7.612,0.72,37.25,305.803,1.051,101.348,0.006,6.567
19890131,6.528,6.036,1.13,7.349,0.625,38.292,292.027,0.625,102.016,0.003,4.491
19890201,4.131,4.131,0.275,4.131,0.093,16.674,327.521,0.592,101.803,0.309,3.837
19890202,4.552,4.334,0.37,4.915,0.649,34.49,303.339,0.845,101.227,0.106,5.091
19890203,5.193,5.181,0.386,5.213,0.066,7.655,332.729,0.576,100.643,0.887,6.261
19890204,5.771,5.799,0.095,5.725,0.097,11.358,337.563,0.48,99.991,5.26,7.77
19890205,4.935,4.994,0.702,4.838,0.715,45.284,277.955,1.173,99.504,8.961,7.462
19890206,7.887,7.588,1.088,8.386,0.497,37.166,322.344,1.392,99.9,0.124,7.757
19890207,7.858,7.708,0.336,8.109,0.547,38.33,311.687,1.341,100.288,0.033,7.512
19890208,6.53,6.514,0.78,6.554,0.125,11.514,340.253,0.357,100.958,1.183,3.258
19890209,4.731,4.593,0.485,4.941,0.386,32.392,322.389,0.445,101.232,0.026,4.032
19890210,3.088,3.235,0.92,2.864,0.57,29.682,315.991,0.726,101.185,0.024,3.706
19890211,3.449,2.388,1.666,5.068,1.197,33.825,287.844,0.549,101.455,0.189,3.926
19890212,4.675,4.184,1.071,5.424,0.381,53.361,293.168,0.788,100.622,6.032,5.759
19890213,3.61,2.977,0.403,4.576,0.999,60.615,269.579,1.296,100.4,3.764,6.062
19890214,4.268,3.831,1.125,4.881,0.525,69.591,265.25,1.632,99.022,1.351,7.567
