TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,CO2_F_MDS,CO2_F_MDS_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20200101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.215,3.805,0.613,5.211,0.223,4.215,0.0,3.805,0.613,0.0,5.211,0.223,0.0,49.7832,-9999,-9999,18.137,18.137,0.0,-9999,-9999,280.444,280.444,0.0,-9999,-9999,291.057,291.057,0.0,-9999,-9999,0.886,0.886,0.0,101.297,101.297,0.0,0.016,0.016,0.0,4.367,4.367,0.0,-9999,0.0,-9999,-9999,-9999,-9999,67.3484,-9999,-9999,-9999,-9999,-9999,-9999,68.7773,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,34,14,0,0,-5.24707,0.0,-9999,-9999,-5.15911,0.0,-9999,-9999,-5.19048,0.0,0.0095343,-5.29709,-5.24707,-5.24707,-5.15911,-5.12186,-5.12186,-5.12186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.24348,6.38257,0.0,-9999,-9999,-14.3161,2.22241,0.0,-9999,-9999,-1.12382,6.26075,0.0,-9999,-9999,-14.3161,2.22241,0.0,-9999,-9999,-1.31154,-1.24348,-1.24348,-1.12382,-1.07315,-1.07315,-1.07315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.3161,-14.3161,-14.3161,-14.3161,-14.3161,-14.3161,-14.3161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.84993,1.81977,1.83075,0.0027689,1.80296,1.81486,1.81486,1.8235,1.84962,1.84997,1.85791,1.78454,1.74224,1.76213,0.00364487,1.7393,1.7393,1.74062,1.74476,1.78436,1.78455,1.78978,-9999,-9999
20200102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.546,4.424,0.263,4.84,0.255,4.546,0.0,4.424,0.263,0.0,4.84,0.255,0.0,50.3156,-9999,-9999,10.006,10.006,0.0,-9999,-9999,328.966,328.966,0.0,-9999,-9999,314.654,314.654,0.0,-9999,-9999,0.489,0.489,0.0,100.354,100.354,0.0,0.121,0.121,0.0,5.708,5.708,0.0,-9999,0.0,-9999,-9999,-9999,-9999,73.6131,-9999,-9999,-9999,-9999,-9999,-9999,79.1663,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,34,14,0,0,-5.29003,0.0,-9999,-9999,-5.28182,0.0,-9999,-9999,-5.22464,0.0,0.0160047,-5.32193,-5.29003,-5.29003,-5.28182,-5.07362,-5.07362,-5.07362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.91452,6.83372,0.0,-9999,-9999,-12.8284,3.0007,0.0,-9999,-9999,-1.90334,6.83624,0.0,-9999,-9999,-12.8284,3.0007,0.0,-9999,-9999,-1.95791,-1.91452,-1.91452,-1.90334,-1.6201,-1.6201,-1.6201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.8284,-12.8284,-12.8284,-12.8284,-12.8284,-12.8284,-12.8284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.93826,1.90666,1.91817,0.00290111,1.88905,1.90151,1.90151,1.91056,1.93793,1.9383,1.94662,1.11645,1.08462,1.09979,0.00276446,1.0826,1.0826,1.08351,1.08635,1.11633,1.11646,1.12012,-9999,-9999
20200103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.539,5.263,1.049,6.211,0.682,5.539,0.0,5.263,1.049,0.0,6.211,0.682,0.0,50.9002,-9999,-9999,10.142,10.142,0.0,-9999,-9999,304.948,304.948,0.0,-9999,-9999,302.974,302.974,0.0,-9999,-9999,0.681,0.681,0.0,99.417,99.417,0.0,3.215,3.215,0.0,5.606,5.606,0.0,-9999,0.0,-9999,-9999,-9999,-9999,64.0873,-9999,-9999,-9999,-9999,-9999,-9999,67.9588,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,34,14,0,0,-5.20754,0.0,-9999,-9999,-4.97011,0.0,-9999,-9999,-5.06871,0.0,0.023269,-5.23758,-5.20754,-5.20754,-4.97145,-4.90812,-4.90812,-4.90812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.45472,6.24576,0.0,-9999,-9999,-13.6725,2.18417,0.0,-9999,-9999,-1.13172,6.00085,0.0,-9999,-9999,-13.6725,2.18417,0.0,-9999,-9999,-1.49558,-1.45472,-1.45472,-1.13354,-1.04738,-1.04738,-1.04738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.6725,-13.6725,-13.6725,-13.6725,-13.6725,-13.6725,-13.6725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.27563,2.23853,2.25204,0.00340607,2.21785,2.23248,2.23248,2.24311,2.27524,2.27568,2.28545,1.10963,1.0788,1.09346,0.002675,1.07681,1.07681,1.0777,1.08049,1.10951,1.10963,1.11322,-9999,-9999
20200104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.591,3.417,1.829,4.013,0.708,3.591,0.0,3.417,1.829,0.0,4.013,0.708,0.0,51.5374,-9999,-9999,24.427,24.427,0.0,-9999,-9999,252.794,252.794,0.0,-9999,-9999,277.611,277.611,0.0,-9999,-9999,1.295,1.295,0.0,100.121,100.121,0.0,3.614,3.614,0.0,6.156,6.156,0.0,-9999,0.0,-9999,-9999,-9999,-9999,67.3484,-9999,-9999,-9999,-9999,-9999,-9999,68.7773,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,34,14,0,0,-5.24707,0.0,-9999,-9999,-5.15911,0.0,-9999,-9999,-5.19048,0.0,0.0095343,-5.29709,-5.24707,-5.24707,-5.15911,-5.12186,-5.12186,-5.12186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.24348,6.38257,0.0,-9999,-9999,-14.3161,2.22241,0.0,-9999,-9999,-1.12382,6.26075,0.0,-9999,-9999,-14.3161,2.22241,0.0,-9999,-9999,-1.31154,-1.24348,-1.24348,-1.12382,-1.07315,-1.07315,-1.07315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.3161,-14.3161,-14.3161,-14.3161,-14.3161,-14.3161,-14.3161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.70258,1.67482,1.68493,0.00254835,1.65935,1.6703,1.6703,1.67825,1.70229,1.70262,1.70992,2.21196,2.16599,2.18737,0.00394057,2.16257,2.16257,2.1641,2.16893,2.21175,2.21198,2.21799,-9999,-9999
20200105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.074,2.54,3.292,4.37,1.586,3.074,0.0,2.54,3.292,0.0,4.37,1.586,0.0,52.2276,-9999,-9999,8.227,8.227,0.0,-9999,-9999,302.592,302.592,0.0,-9999,-9999,301.828,301.828,0.0,-9999,-9999,0.547,0.547,0.0,101.119,101.119,0.0,0.21,0.21,0.0,3.773,3.773,0.0,-9999,0.0,-9999,-9999,-9999,-9999,73.6131,-9999,-9999,-9999,-9999,-9999,-9999,79.1663,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,34,14,0,0,-5.29003,0.0,-9999,-9999,-5.28182,0.0,-9999,-9999,-5.22464,0.0,0.0160047,-5.32193,-5.29003,-5.29003,-5.28182,-5.07362,-5.07362,-5.07362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.91452,6.83372,0.0,-9999,-9999,-12.8284,3.0007,0.0,-9999,-9999,-1.90334,6.83624,0.0,-9999,-9999,-12.8284,3.0007,0.0,-9999,-9999,-1.95791,-1.91452,-1.91452,-1.90334,-1.6201,-1.6201,-1.6201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.8284,-12.8284,-12.8284,-12.8284,-12.8284,-12.8284,-12.8284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.6636,1.63648,1.64636,0.00249002,1.62136,1.63206,1.63206,1.63983,1.66332,1.66364,1.67078,0.935728,0.908236,0.921359,0.00239084,0.906513,0.906513,0.907289,0.909705,0.935624,0.935731,0.938865,-9999,-9999
20200106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.981,5.74,0.702,6.565,0.185,5.981,0.0,5.74,0.702,0.0,6.565,0.185,0.0,52.971,-9999,-9999,6.98,6.98,0.0,-9999,-9999,329.401,329.401,0.0,-9999,-9999,314.865,314.865,0.0,-9999,-9999,0.351,0.351,0.0,100.442,100.442,0.0,0.14,0.14,0.0,4.392,4.392,0.0,-9999,0.0,-9999,-9999,-9999,-9999,64.0873,-9999,-9999,-9999,-9999,-9999,-9999,67.9588,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,34,14,0,0,-5.20754,0.0,-9999,-9999,-4.97011,0.0,-9999,-9999,-5.06871,0.0,0.023269,-5.23758,-5.20754,-5.20754,-4.97145,-4.90812,-4.90812,-4.90812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.45472,6.24576,0.0,-9999,-9999,-13.6725,2.18417,0.0,-9999,-9999,-1.13172,6.00085,0.0,-9999,-9999,-13.6725,2.18417,0.0,-9999,-9999,-1.49558,-1.45472,-1.45472,-1.13354,-1.04738,-1.04738,-1.04738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.6725,-13.6725,-13.6725,-13.6725,-13.6725,-13.6725,-13.6725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.41827,2.37885,2.3932,0.00361957,2.35687,2.37242,2.37242,2.38372,2.41786,2.41833,2.4287,0.82805,0.802289,0.814629,0.00224572,0.800716,0.800716,0.801425,0.803629,0.827955,0.828052,0.830932,-9999,-9999
20200107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.764,5.425,0.77,6.588,0.319,5.764,0.0,5.425,0.77,0.0,6.588,0.319,0.0,53.7679,-9999,-9999,21.759,21.759,0.0,-9999,-9999,310.843,310.843,0.0,-9999,-9999,305.841,305.841,0.0,-9999,-9999,0.562,0.562,0.0,100.05,100.05,0.0,0.097,0.097,0.0,5.046,5.046,0.0,-9999,-9999,-9999,-9999,-9999,-9999,67.3484,-9999,-9999,-9999,-9999,-9999,-9999,68.7773,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,34,14,0,0,-5.24707,0.0,-9999,-9999,-5.15911,0.0,-9999,-9999,-5.19048,0.0,0.0095343,-5.29709,-5.24707,-5.24707,-5.15911,-5.12186,-5.12186,-5.12186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.24348,6.38257,0.0,-9999,-9999,-14.3161,2.22241,0.0,-9999,-9999,-1.12382,6.26075,0.0,-9999,-9999,-14.3161,2.22241,0.0,-9999,-9999,-1.31154,-1.24348,-1.24348,-1.12382,-1.07315,-1.07315,-1.07315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.3161,-14.3161,-14.3161,-14.3161,-14.3161,-14.3161,-14.3161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.34626,2.30801,2.32194,0.00351179,2.28669,2.30178,2.30178,2.31274,2.34586,2.34632,2.35638,2.04837,2.00303,2.02423,0.00389651,1.99976,1.99976,2.00122,2.00583,2.04817,2.04838,2.05415,-9999,-9999
20200108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.93,6.441,1.616,8.008,0.509,6.93,0.0,6.441,1.616,0.0,8.008,0.509,0.0,54.6186,-9999,-9999,21.268,21.268,0.0,-9999,-9999,300.315,300.315,0.0,-9999,-9999,300.721,300.721,0.0,-9999,-9999,0.773,0.773,0.0,99.798,99.798,0.0,0.07,0.07,0.0,5.908,5.908,0.0,-9999,0.0,-9999,-9999,-9999,-9999,73.6131,-9999,-9999,-9999,-9999,-9999,-9999,79.1663,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,33,15,0,0,-5.29003,0.0,-9999,-9999,-5.28182,0.0,-9999,-9999,-5.22464,0.0,0.0160047,-5.32193,-5.29003,-5.29003,-5.28182,-5.07362,-5.07362,-5.07362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.56419,6.62237,0.0,-9999,-9999,-12.8715,2.89637,0.0,-9999,-9999,-1.55267,6.62443,0.0,-9999,-9999,-12.8715,2.89637,0.0,-9999,-9999,-1.6089,-1.56419,-1.56419,-1.55267,-1.26085,-1.26085,-1.26085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.8715,-12.8715,-12.8715,-12.8715,-12.8715,-12.8715,-12.8715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.81307,2.76721,2.78391,0.00421049,2.74165,2.75974,2.75974,2.77288,2.8126,2.81314,2.82521,2.04687,2.00019,2.02207,0.00401597,1.99688,1.99688,1.99836,2.00303,2.04667,2.04688,2.05274,-9999,-9999
20200109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.233,5.595,2.359,4.436,1.0,5.233,0.0,5.595,2.359,0.0,4.436,1.0,0.0,55.5231,-9999,-9999,3.968,3.968,0.0,-9999,-9999,321.489,321.489,0.0,-9999,-9999,311.018,311.018,0.0,-9999,-9999,0.258,0.258,0.0,99.425,99.425,0.0,4.981,4.981,0.0,3.819,3.819,0.0,-9999,0.0,-9999,-9999,-9999,-9999,64.0873,-9999,-9999,-9999,-9999,-9999,-9999,67.9588,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,33,15,0,0,-5.20754,0.0,-9999,-9999,-4.97011,0.0,-9999,-9999,-5.06871,0.0,0.023269,-5.23758,-5.20754,-5.20754,-4.97145,-4.90812,-4.90812,-4.90812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.11375,6.01266,0.0,-9999,-9999,-13.6081,2.11944,0.0,-9999,-9999,-0.780955,5.72902,0.0,-9999,-9999,-13.6081,2.11944,0.0,-9999,-9999,-1.15585,-1.11375,-1.11375,-0.78283,-0.69406,-0.69406,-0.69406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.6081,-13.6081,-13.6081,-13.6081,-13.6081,-13.6081,-13.6081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.23441,2.19799,2.21125,0.00334438,2.17768,2.19205,2.19205,2.20249,2.23403,2.23446,2.24405,0.48924,0.473145,0.48088,0.00140648,0.472187,0.472187,0.472619,0.473961,0.489182,0.489241,0.491008,-9999,-9999
20200110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.402,4.611,2.052,3.984,0.282,4.402,0.0,4.611,2.052,0.0,3.984,0.282,0.0,56.4817,-9999,-9999,7.005,7.005,0.0,-9999,-9999,313.882,313.882,0.0,-9999,-9999,307.319,307.319,0.0,-9999,-9999,0.381,0.381,0.0,99.656,99.656,0.0,0.828,0.828,0.0,3.666,3.666,0.0,-9999,0.0,-9999,-9999,-9999,-9999,67.3484,-9999,-9999,-9999,-9999,-9999,-9999,68.7773,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32,16,0,0,-5.24707,0.0,-9999,-9999,-5.15911,0.0,-9999,-9999,-5.19048,0.0,0.0095343,-5.29709,-5.24707,-5.24707,-5.15911,-5.12186,-5.12186,-5.12186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.57639,5.93185,0.0,-9999,-9999,-14.0162,2.39063,0.0,-9999,-9999,-0.449243,5.77679,0.0,-9999,-9999,-14.0162,2.39063,0.0,-9999,-9999,-0.648695,-0.57639,-0.57639,-0.449243,-0.395406,-0.395406,-0.395406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0162,-14.0162,-14.0162,-14.0162,-14.0162,-14.0162,-14.0162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.94306,1.91138,1.92292,0.00290829,1.89373,1.90622,1.90622,1.9153,1.94273,1.94311,1.95144,0.820536,0.795429,0.807444,0.00218715,0.793885,0.793885,0.794581,0.796746,0.820443,0.820538,0.823361,-9999,-9999
