TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,5.798,5.638,0.622,6.15,0.329,13.97,330.588,0.434,102.73,0.567,3.424
19890102,3.385,3.562,0.99,2.996,0.223,12.244,321.858,0.206,103.191,0.108,2.563
19890103,2.545,2.409,0.507,2.844,0.313,11.538,327.215,0.244,102.781,0.218,3.796
19890104,2.251,2.431,0.474,1.857,0.413,11.108,321.81,0.537,101.936,0.657,5.119
19890105,3.649,3.429,0.845,4.134,0.231,19.885,298.767,0.653,101.116,1.205,5.845
19890106,1.105,1.046,0.692,1.233,0.695,18.841,270.146,0.134,100.693,0.007,3.232
19890107,2.982,2.758,0.728,3.473,0.381,25.762,282.251,0.896,100.481,0.654,5.653
19890108,5.757,5.418,1.57,6.501,0.559,6.064,337.297,0.274,100.451,4.673,4.959
19890109,6.483,6.523,0.148,6.397,0.173,6.524,341.306,0.413,100.437,5.097,6.498
19890110,4.848,4.764,1.577,5.033,0.351,13.266,307.28,0.465,100.472,3.186,4.492
19890111,3.119,2.86,0.747,3.688,0.754,26.827,271.035,0.535,101.195,0.013,5.417
19890112,3.65,3.583,1.389,3.797,0.451,17.621,315.276,0.68,100.85,0.698,6.532
19890113,4.462,4.205,0.909,4.977,0.494,31.582,270.674,1.241,101.297,0.449,7.385
19890114,4.962,4.637,0.816,5.612,0.698,6.195,306.496,1.073,101.299,2.668,8.012
19890115,6.866,6.662,1.273,7.275,0.622,11.065,316.604,1.415,101.32,0.302,9.703
19890116,7.012,7.037,0.426,6.962,0.336,19.546,313.634,1.052,101.681,0.199,7.246
19890117,5.713,5.692,1.204,5.756,0.27,31.235,295.14,1.565,101.503,0.488,7.497
19890118,5.316,5.092,0.51,5.763,0.526,26.628,293.455,1.013,102.122,0.122,7.033
19890119,5.352,5.099,0.326,5.858,0.439,21.367,308.866,0.709,102.351,0.276,5.944
19890120,2.977,2.922,1.238,3.086,0.535,14.346,318.755,0.795,102.25,0.289,4.794
19890121,1.808,1.81,1.897,1.804,0.896,15.535,318.712,0.524,101.141,1.192,5.006
19890122,4.032,3.541,1.08,5.015,0.779,37.546,282.161,1.252,101.368,0.09,5.348
19890123,3.304,3.033,2.164,3.846,0.552,17.164,311.903,0.525,102.235,0.18,5.661
19890124,5.195,5.057,0.458,5.446,0.15,11.183,342.234,0.248,102.317,0.32,5.247
