TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,6.135,4.294,3.184,8.712,4.309,115.234,270.514,2.044,99.486,0.0,1.099
19890102,4.377,2.07,2.664,7.608,5.182,113.027,271.037,1.457,99.344,0.0,1.147
19890103,4.295,2.204,3.606,7.221,4.92,114.47,272.722,1.478,99.615,0.0,1.066
19890104,3.464,1.958,2.33,5.572,3.815,101.43,277.299,0.818,100.202,0.0,1.347
19890105,5.04,3.542,4.647,7.136,4.426,107.631,283.193,1.732,100.362,0.042,0.886
19890106,7.599,6.653,3.304,8.924,3.128,42.393,320.202,0.668,99.282,4.442,3.433
19890107,7.18,6.485,1.027,8.153,1.606,52.657,302.364,1.492,98.269,2.525,3.921
19890108,9.177,7.79,2.32,11.119,3.262,114.755,289.072,1.45,98.565,0.0,2.688
19890109,7.352,6.47,2.479,8.587,3.244,78.994,302.433,1.142,98.558,0.04,1.073
19890110,8.562,7.981,2.525,9.375,1.366,34.21,340.542,0.54,98.024,9.758,3.822
19890111,8.942,8.02,2.349,10.234,1.83,41.552,316.468,0.642,98.355,2.347,3.045
19890112,10.307,9.014,1.035,12.117,2.389,91.811,321.614,1.651,99.022,0.657,1.867
19890113,8.517,6.777,1.918,10.954,3.838,121.86,285.642,1.675,99.663,0.0,1.74
19890114,7.222,5.391,2.676,9.787,4.057,123.761,278.434,1.784,99.978,0.0,1.695
19890115,8.406,7.005,1.976,10.367,3.165,122.73,282.741,2.158,99.898,0.0,2.274
19890116,8.018,6.809,2.075,9.71,3.147,104.249,286.117,1.822,99.692,0.0,2.329
19890117,7.439,6.008,1.806,9.441,3.3,123.627,284.662,1.675,99.637,0.0,2.036
19890118,7.211,5.699,2.084,9.326,3.628,122.05,287.27,1.444,99.441,0.0,1.648
19890119,7.299,5.576,2.078,9.711,3.404,114.739,297.118,1.557,99.234,0.025,1.485
19890120,7.083,5.671,3.428,9.06,3.925,119.034,286.214,1.767,99.215,0.0,0.912
19890121,6.372,5.018,2.514,8.268,3.713,129.289,278.104,1.404,99.591,0.0,0.862
19890122,6.287,4.387,2.619,8.729,4.103,132.644,275.199,1.639,99.595,0.0,1.27
19890123,6.304,4.327,2.332,8.845,3.573,135.612,272.283,2.491,99.305,0.0,2.001
19890124,7.058,5.03,2.722,9.665,3.849,131.722,288.086,2.322,99.08,0.0,1.475
19890125,7.86,6.196,3.187,9.998,3.703,98.633,297.835,2.605,98.823,0.0,2.281
19890126,8.928,7.813,1.289,10.362,1.861,81.576,313.223,2.397,98.625,3.025,2.411
19890127,8.167,6.51,3.487,10.298,3.814,138.94,281.694,3.003,99.503,0.0,1.602
19890128,7.49,5.668,2.062,9.832,3.038,132.625,292.555,2.776,99.658,0.0,1.663
19890129,7.749,6.184,2.704,9.761,3.14,142.456,277.0,3.087,99.777,0.0,3.213
19890130,9.09,7.587,2.669,11.023,3.401,137.369,285.866,3.87,99.667,0.0,3.326
19890131,9.06,7.67,2.525,10.846,2.989,127.475,304.751,4.133,99.547,0.327,2.781
19890201,9.304,7.618,2.675,11.472,3.34,119.16,306.539,3.19,99.67,0.036,1.529
19890202,9.984,8.158,2.737,12.331,3.828,139.674,293.915,4.081,99.539,0.0,1.448
19890203,9.022,7.044,2.827,11.565,3.824,112.713,302.131,3.334,99.378,0.0,1.427
19890204,8.692,6.724,2.362,11.223,4.046,149.029,284.769,3.168,99.394,0.003,1.43
19890205,8.277,6.441,2.738,10.638,4.28,155.046,276.091,4.05,99.559,0.0,2.053
19890206,8.769,7.005,3.593,11.037,3.746,158.746,280.406,5.279,99.428,0.0,3.42
19890207,7.737,6.923,1.25,8.784,1.787,102.005,297.416,2.558,98.857,1.672,3.539
19890208,8.305,7.14,1.753,9.804,1.467,87.744,323.705,1.314,98.6,4.939,1.497
19890209,6.658,5.5,3.24,8.147,2.254,75.05,324.728,0.529,98.588,4.919,2.286
19890210,9.701,9.023,1.435,10.573,1.429,50.735,350.369,0.976,98.363,1.962,2.844
19890211,11.373,10.282,1.337,12.662,2.195,134.141,310.57,4.437,99.283,0.0,4.313
19890212,11.033,9.746,2.256,12.555,3.026,169.1,283.246,4.885,100.153,0.0,4.301
19890213,9.717,7.686,2.26,12.116,3.82,173.572,278.944,4.229,100.144,0.0,2.673
19890214,10.831,7.759,3.814,14.461,5.222,174.791,284.513,5.842,99.794,0.0,2.536
19890215,10.5,7.772,2.975,13.723,4.572,178.889,274.89,6.504,99.449,0.0,2.223
19890216,9.666,6.555,4.0,13.343,6.137,180.345,279.517,5.794,98.938,0.0,1.566
19890217,10.835,8.228,5.162,13.669,5.913,174.558,281.84,6.845,98.864,0.0,1.019
19890218,11.835,9.608,4.631,14.255,5.655,182.886,286.944,6.927,99.363,0.0,1.042
19890219,12.136,9.473,3.102,15.03,5.127,182.333,295.256,6.024,99.495,0.0,1.62
19890220,13.229,12.061,2.406,14.498,3.301,146.88,326.42,5.396,99.264,0.0,1.53
19890221,12.822,11.466,1.722,14.296,2.269,118.061,339.549,3.732,98.892,0.742,1.398
19890222,9.967,8.755,2.052,11.285,2.834,145.424,314.743,2.497,98.727,0.217,2.221
19890223,8.897,8.174,1.634,9.682,1.561,151.636,310.104,2.739,98.09,3.769,4.253
19890224,9.618,7.446,2.88,11.978,2.42,101.393,328.205,2.058,96.853,10.322,5.519
19890225,13.037,12.316,1.122,13.821,0.712,61.745,367.229,1.608,96.763,4.713,7.602
19890226,11.595,10.844,1.174,12.411,0.832,133.79,331.448,3.475,97.113,0.368,7.391
19890227,10.09,9.179,2.318,11.08,1.719,75.168,336.48,2.034,98.141,1.378,4.864
19890228,13.287,12.295,0.932,14.365,1.63,90.956,357.936,2.212,98.319,0.799,4.547
19890301,13.471,11.892,1.351,15.186,1.694,104.468,350.799,3.231,98.555,0.271,3.872
19890302,12.313,10.918,1.808,13.83,1.86,66.21,345.345,2.41,98.809,0.049,2.053
19890303,13.193,11.408,1.519,15.132,2.141,176.486,330.393,3.414,98.886,0.093,2.431
19890304,13.903,11.4,3.901,16.623,4.654,200.207,309.874,5.554,98.571,0.0,1.868
19890305,14.509,12.008,3.162,17.01,5.043,208.967,309.739,6.05,98.159,0.0,1.725
19890306,13.609,12.068,2.719,15.151,3.009,190.164,320.002,4.235,98.389,0.107,1.326
19890307,13.47,11.133,2.325,15.807,3.498,146.884,336.351,3.823,98.624,0.11,1.239
19890308,14.218,11.892,3.394,16.545,4.211,218.433,307.342,5.967,98.736,0.0,1.415
19890309,14.967,12.115,5.052,17.819,5.321,221.957,303.298,7.797,98.715,0.0,0.979
19890310,15.539,12.443,4.189,18.635,5.705,225.882,302.399,8.787,98.573,0.0,1.258
19890311,17.243,13.854,4.911,20.632,5.908,222.382,315.612,10.06,98.46,0.0,1.848
19890312,17.792,14.768,4.586,20.816,5.916,225.476,319.509,11.124,98.475,0.0,1.137
19890313,15.215,13.695,2.289,16.735,3.33,150.112,325.556,7.025,98.241,0.0,2.36
19890314,13.99,12.086,3.016,15.894,4.085,222.901,306.333,7.651,98.517,0.0,2.838
19890315,14.029,11.19,3.683,16.868,5.304,228.468,302.575,8.407,98.261,0.0,1.313
19890316,11.55,9.757,2.101,13.342,2.779,105.891,335.53,2.985,97.749,1.477,2.921
19890317,9.658,8.631,1.888,10.684,2.165,175.901,311.592,2.541,97.506,2.554,2.678
19890318,10.319,8.21,2.395,12.26,3.393,238.152,288.142,6.63,97.856,0.0,4.033
19890319,10.154,7.152,3.047,12.915,4.073,246.664,280.228,6.73,97.946,0.0,2.287
19890320,11.934,8.926,3.649,14.701,4.264,245.412,286.162,6.468,98.232,0.0,3.772
19890321,14.177,10.921,3.761,17.172,4.445,247.017,299.089,7.497,98.782,0.0,3.313
19890322,15.695,12.45,3.179,18.68,5.211,252.073,300.477,9.878,99.018,0.0,1.968
19890323,17.611,13.902,3.385,21.022,5.745,256.985,299.351,14.568,99.075,0.0,2.031
19890324,15.632,11.715,4.019,19.236,5.35,253.061,306.141,10.173,98.747,0.0,1.659
19890325,18.156,14.257,4.587,21.455,6.868,255.096,315.627,14.1,98.349,0.0,1.474
19890326,16.874,14.473,3.561,18.905,4.981,215.21,322.52,11.313,97.956,0.0,2.526
19890327,14.817,13.715,2.301,15.749,0.751,110.276,340.951,5.978,97.455,6.33,3.531
19890328,7.369,6.14,1.418,8.409,2.32,222.066,300.04,2.316,97.832,2.382,2.936
19890329,9.352,7.523,3.496,10.899,3.891,175.922,307.162,3.28,98.341,0.363,2.139
19890330,13.605,10.692,2.504,16.07,3.813,257.835,312.812,5.643,98.019,0.143,1.877
19890331,12.741,11.208,1.478,14.039,2.467,128.421,337.062,3.291,98.063,0.139,1.59
19890401,12.33,10.084,3.007,14.231,4.227,260.024,302.096,4.363,98.231,0.0,2.014
19890402,10.315,8.568,1.421,11.792,2.072,199.593,314.411,3.832,97.657,0.002,2.445
19890403,7.247,6.265,1.349,8.078,2.275,229.634,303.661,2.864,96.483,3.187,4.816
19890404,8.422,6.95,2.19,9.667,2.276,120.922,317.765,2.564,96.712,2.894,4.401
19890405,8.842,6.938,2.268,10.452,2.582,198.664,295.646,3.848,97.771,0.333,4.353
19890406,10.313,8.818,1.567,11.578,2.016,86.204,329.102,1.439,98.191,4.847,3.169
19890407,10.261,9.716,1.118,10.723,1.36,84.879,350.597,0.853,97.757,14.864,1.603
19890408,11.359,10.139,0.626,12.392,1.526,106.03,346.019,1.734,97.033,10.47,4.51
19890409,11.309,9.567,1.489,12.784,1.915,135.401,327.86,2.339,96.901,0.828,3.163
19890410,11.82,9.874,2.068,13.466,2.715,189.162,321.467,3.02,97.71,0.209,3.497
19890411,12.234,10.842,2.299,13.412,2.014,146.803,339.588,1.716,98.351,0.502,3.706
19890412,12.915,11.832,0.894,13.832,1.486,175.772,345.374,4.242,98.236,0.79,5.872
19890413,12.461,10.291,1.134,14.148,2.133,169.685,331.115,4.056,98.262,0.454,4.941
19890414,12.091,10.111,3.673,13.632,3.662,88.08,341.475,2.603,98.607,0.516,2.976
19890415,13.188,11.269,1.79,14.681,2.595,157.274,347.397,3.321,98.564,0.054,3.103
19890416,10.491,8.648,1.745,11.926,2.841,259.506,295.36,5.19,98.667,0.0,3.902
19890417,9.993,7.724,4.353,11.757,4.77,309.25,273.988,5.835,98.291,0.0,2.42
19890418,13.689,9.531,3.74,16.659,5.431,306.633,291.502,9.087,97.678,0.0,2.486
19890419,13.513,11.116,1.709,15.225,3.537,205.702,327.5,5.739,97.682,0.558,2.318
19890420,13.326,11.133,1.806,14.892,3.058,154.835,339.547,4.26,98.047,0.311,2.106
19890421,15.235,12.002,3.388,17.544,4.725,261.467,319.09,7.101,98.196,0.0,1.249
19890422,15.653,12.409,2.544,17.971,3.945,281.718,322.383,6.773,97.948,0.59,2.137
