TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,8.175,6.907,1.069,9.952,2.038,102.678,270.901,1.78,100.356,0.0,2.373
19890102,8.152,7.207,1.488,9.475,1.494,90.424,285.479,2.199,100.259,0.0,2.39
19890103,8.599,8.299,0.79,9.018,1.204,79.522,306.308,3.15,100.545,0.01,2.96
19890104,8.296,7.588,1.144,9.286,2.271,98.329,289.74,3.242,100.956,0.001,1.952
19890105,8.809,7.925,1.901,10.047,2.228,95.922,284.927,2.648,100.985,0.0,1.658
19890106,10.561,9.771,1.943,11.577,1.508,92.064,303.883,2.83,99.895,0.33,3.396
19890107,11.842,11.211,0.604,12.654,0.658,70.126,331.88,2.232,99.073,5.731,3.317
19890108,11.253,10.743,0.581,11.909,1.19,87.318,306.862,1.509,99.567,0.02,4.203
19890109,10.603,9.78,0.65,11.661,1.053,100.207,288.658,2.442,99.424,0.0,2.834
19890110,10.377,9.722,0.996,11.219,1.224,99.646,296.745,1.299,99.462,0.0,0.897
19890111,11.109,10.577,0.873,11.792,1.044,89.264,304.175,1.972,99.523,0.004,3.316
19890112,11.071,10.442,0.495,11.88,0.813,94.527,300.526,3.213,99.85,0.0,4.14
19890113,10.518,9.858,1.257,11.366,1.321,96.65,298.351,3.538,100.54,0.002,4.178
19890114,10.565,10.062,0.661,11.212,1.017,85.04,309.32,3.555,100.766,0.339,4.852
19890115,10.13,9.895,0.881,10.432,0.845,74.548,319.951,2.049,100.71,4.466,5.716
19890116,10.565,10.27,0.529,10.944,0.869,81.727,318.232,2.131,100.517,7.329,5.348
19890117,9.963,9.906,0.427,10.036,0.241,61.444,331.232,1.013,100.386,11.712,4.583
19890118,9.955,9.572,0.691,10.447,0.664,87.264,311.715,1.563,100.271,1.604,3.673
19890119,9.578,9.527,0.56,9.643,0.481,71.384,316.872,1.269,100.159,3.135,3.985
19890120,9.875,9.396,0.717,10.491,0.836,92.323,302.87,2.267,100.056,0.39,3.498
19890121,9.106,8.019,1.664,10.504,1.905,115.625,281.548,1.737,100.309,0.0,1.728
19890122,9.533,8.57,1.564,10.771,1.854,115.188,282.223,1.709,100.234,0.0,2.031
19890123,9.897,9.299,0.862,10.665,1.094,100.638,290.806,4.175,100.246,0.069,3.26
19890124,9.587,9.046,0.604,10.284,0.861,95.588,302.005,4.06,100.122,0.158,3.497
19890125,9.444,8.951,1.007,10.078,1.233,101.94,300.511,2.773,99.989,0.115,3.25
19890126,9.835,9.376,0.864,10.426,0.737,97.465,311.575,3.454,99.773,0.036,4.083
19890127,9.474,9.041,0.912,10.032,1.114,102.953,296.14,4.442,100.222,0.02,4.682
19890128,9.155,8.699,1.037,9.74,1.311,99.109,298.525,4.938,100.404,0.644,4.561
19890129,8.776,8.337,1.127,9.34,1.144,96.937,300.562,1.986,100.68,3.169,5.272
19890130,9.463,9.183,0.649,9.822,0.741,89.44,318.385,1.914,100.716,7.809,4.996
19890131,10.009,9.852,0.534,10.211,0.644,90.869,314.915,2.699,100.641,5.462,4.31
19890201,10.445,9.967,0.761,11.059,1.073,115.121,302.405,2.117,100.662,0.117,4.416
19890202,9.937,9.496,1.058,10.504,1.267,114.585,298.395,2.536,100.561,0.082,3.72
19890203,10.013,9.539,0.556,10.622,0.786,107.813,300.467,2.895,100.327,0.063,4.231
19890204,9.186,8.552,0.638,9.936,0.926,117.196,295.485,2.873,100.189,0.014,3.655
19890205,8.268,7.69,1.346,8.952,1.287,114.702,295.218,2.892,100.292,1.709,3.634
19890206,8.367,8.17,0.308,8.598,0.6,94.019,305.805,1.716,100.263,7.496,6.243
19890207,9.71,9.198,1.08,10.315,0.272,29.919,339.266,1.58,99.893,12.364,3.831
19890208,10.875,10.333,0.553,11.515,1.081,138.612,295.214,2.253,99.557,0.759,3.17
19890209,9.373,8.777,0.756,10.077,1.097,102.456,308.441,1.924,99.592,1.134,1.781
19890210,9.611,9.45,0.8,9.802,0.356,42.741,332.466,0.847,99.516,5.273,2.218
19890211,10.57,10.35,0.504,10.83,0.614,77.431,330.678,0.942,100.126,5.115,6.464
19890212,10.687,10.405,0.584,11.021,0.871,112.52,314.195,1.574,101.028,2.535,6.421
19890213,9.854,9.224,0.813,10.599,0.84,140.204,286.95,2.872,100.974,0.081,3.767
19890214,10.226,8.102,2.114,12.736,2.85,150.665,278.643,3.428,100.354,0.0,1.018
19890215,10.125,9.127,1.261,11.304,1.412,156.409,271.842,5.481,100.28,0.0,1.836
19890216,9.486,8.053,2.37,11.179,2.316,159.005,263.717,5.303,99.94,0.0,0.879
19890217,9.94,8.105,2.088,12.11,2.25,161.236,265.949,4.788,99.72,0.0,1.013
19890218,11.047,8.948,2.764,13.328,2.793,161.442,275.785,3.089,100.059,0.0,0.846
19890219,10.999,9.23,1.698,12.922,2.066,144.594,283.515,3.526,100.363,0.0,2.205
19890220,11.257,10.65,1.186,11.918,1.648,141.61,298.126,2.911,100.134,0.0,1.724
19890221,12.824,11.902,0.723,13.826,1.198,94.968,335.467,2.969,99.607,0.01,1.609
19890222,11.759,10.792,0.77,12.812,1.211,135.368,314.313,1.539,99.472,0.001,2.341
19890223,11.608,10.982,0.418,12.288,0.665,119.686,304.985,2.055,98.74,0.198,4.721
19890224,9.575,9.735,1.207,9.4,0.586,71.869,303.273,3.305,97.798,5.403,6.216
19890225,13.383,12.374,1.428,14.479,2.001,147.152,304.967,4.422,97.338,0.026,7.607
19890226,14.953,13.846,0.662,16.157,1.138,162.155,305.028,5.809,97.399,0.031,8.51
19890227,12.887,12.316,0.738,13.507,1.241,156.565,293.188,6.332,98.602,0.002,4.151
19890228,13.869,12.639,1.722,15.207,1.667,168.181,302.809,4.409,98.852,0.0,5.227
19890301,13.785,12.717,1.596,14.947,1.611,176.064,293.498,4.608,99.08,0.0,3.037
19890302,12.697,11.989,1.338,13.467,1.696,162.523,299.33,2.459,99.445,0.0,1.71
19890303,13.222,12.254,1.509,14.274,1.925,178.625,289.935,4.344,99.334,0.0,1.583
19890304,12.617,11.284,1.153,14.067,1.885,177.799,294.711,4.428,99.454,0.0,2.595
19890305,12.295,11.179,0.833,13.508,1.202,178.674,290.066,5.19,99.272,0.0,4.335
19890306,11.142,10.445,0.759,11.84,0.855,177.412,291.994,2.463,99.365,0.0,2.383
19890307,10.705,9.949,1.354,11.46,1.296,165.15,302.87,1.53,99.473,0.0,0.867
19890308,11.242,10.633,0.689,11.851,0.698,141.456,320.21,1.237,99.504,0.132,1.431
19890309,12.03,10.947,0.906,13.113,1.733,182.295,305.843,1.801,99.601,0.002,1.454
19890310,11.413,10.539,1.175,12.287,1.307,184.179,306.503,2.263,99.637,0.018,3.081
19890311,11.374,10.5,0.921,12.247,1.003,176.946,295.161,3.414,99.684,0.0,4.995
19890312,11.714,10.186,1.006,13.12,1.429,195.777,285.293,4.386,99.499,0.0,3.58
19890313,12.259,11.197,1.664,13.236,2.051,192.031,295.243,2.497,98.963,0.002,1.827
19890314,11.938,11.497,0.736,12.343,0.551,158.455,308.929,3.255,99.414,0.71,5.207
19890315,11.306,9.859,1.621,12.638,1.639,199.843,287.885,4.743,99.132,0.0,1.729
19890316,13.251,11.846,2.223,14.543,1.907,196.771,300.941,3.683,98.367,0.0,3.887
19890317,12.654,11.637,0.937,13.59,1.758,197.539,301.771,4.665,98.081,0.349,4.009
19890318,9.995,9.729,1.455,10.24,0.45,77.121,337.236,3.084,98.267,12.472,3.189
19890319,8.43,8.466,0.959,8.396,0.623,40.495,348.548,2.134,98.204,25.983,4.625
19890320,12.111,10.892,1.463,13.232,1.642,147.94,320.469,3.245,98.507,0.346,1.731
19890321,12.568,10.658,1.708,14.326,2.408,208.842,286.914,4.06,99.09,0.0,1.415
19890322,13.495,12.09,1.028,14.787,1.743,211.131,293.399,5.747,99.58,0.0,1.759
19890323,12.76,10.998,1.894,14.381,2.313,214.821,292.877,3.177,99.717,0.0,1.896
19890324,12.531,11.074,1.108,13.87,1.316,214.857,294.427,4.127,99.499,0.0,2.407
19890325,12.521,10.952,1.283,13.964,1.978,215.169,293.602,3.882,99.451,0.0,1.736
19890326,13.262,11.749,1.817,14.654,1.838,218.559,292.951,5.482,99.087,0.0,2.729
19890327,14.214,13.349,0.795,15.011,0.898,209.344,311.513,6.019,98.567,0.028,4.103
19890328,12.401,11.986,1.425,12.784,0.851,126.916,328.115,3.973,98.554,0.201,4.006
19890329,9.132,9.33,0.392,8.95,0.513,135.801,322.171,2.999,99.059,1.949,1.449
19890330,10.212,9.965,0.434,10.44,0.337,128.053,326.05,1.82,98.932,2.844,1.905
19890331,11.081,10.116,1.137,11.969,1.37,213.352,298.762,1.701,98.933,0.068,2.464
19890401,12.654,11.088,1.439,14.095,1.686,225.758,300.095,1.913,99.008,0.0,1.668
19890402,12.817,11.556,2.111,13.883,2.015,214.612,308.166,2.21,98.323,0.0,2.103
19890403,10.977,11.247,2.022,10.748,0.414,170.327,296.22,5.024,97.428,0.324,6.649
19890404,9.424,8.713,1.702,10.026,1.303,181.047,294.494,4.407,97.503,0.492,6.747
19890405,11.702,10.58,1.29,12.651,1.801,227.367,285.482,7.252,98.344,0.339,5.369
19890406,11.684,10.656,1.489,12.553,1.695,238.104,282.297,4.836,99.108,0.0,3.798
19890407,12.609,11.605,1.699,13.459,1.671,188.363,310.143,3.971,98.779,0.0,3.065
19890408,13.858,12.849,0.87,14.642,1.49,226.199,303.925,6.008,98.349,0.0,2.903
19890409,13.881,12.672,0.536,14.821,0.764,165.743,325.564,6.001,97.909,0.267,3.248
19890410,14.554,13.026,1.666,15.742,1.973,212.836,319.694,7.021,98.088,0.213,2.989
19890411,15.227,14.189,1.372,16.035,1.771,238.753,308.01,7.456,98.753,0.0,2.204
19890412,16.198,14.507,1.171,17.513,2.272,242.64,305.697,9.031,98.584,0.0,5.421
19890413,15.918,14.496,1.278,17.024,2.306,234.739,305.693,9.48,98.653,0.0,4.862
19890414,14.572,13.68,1.001,15.266,1.465,241.965,301.641,6.875,99.079,0.001,2.468
19890415,14.82,13.915,1.247,15.524,1.6,234.105,310.715,5.393,99.135,0.0,1.719
19890416,14.876,14.212,0.69,15.393,1.007,235.304,308.626,6.926,98.851,0.0,1.625
19890417,12.951,12.221,1.141,13.518,1.162,243.439,292.633,11.343,98.799,0.0,2.389
19890418,12.445,10.667,1.55,13.828,1.464,256.38,282.019,6.817,98.632,0.0,4.133
19890419,13.244,11.854,0.829,14.325,1.408,253.88,286.408,9.58,98.707,0.0,3.259
19890420,14.035,12.38,1.863,15.322,2.045,234.287,300.909,5.951,98.709,0.014,3.139
19890421,14.494,12.808,1.657,15.805,2.062,244.645,307.761,5.268,98.952,0.0,1.154
19890422,14.81,13.406,1.021,15.902,1.908,235.338,315.983,5.491,98.797,0.0,1.203
19890423,14.337,13.404,0.942,15.004,1.65,246.497,304.56,3.647,98.615,0.014,1.73
19890424,12.707,13.028,0.213,12.477,0.489,114.881,352.746,1.056,98.077,35.622,3.351
19890425,12.779,12.561,0.587,12.934,0.967,178.885,334.157,2.227,97.621,9.549,3.699
19890426,12.596,11.865,0.922,13.118,0.854,189.902,316.567,3.86,98.003,6.793,5.012
19890427,12.443,11.434,1.823,13.163,1.647,265.538,278.73,8.141,99.284,0.0,2.77
19890428,15.233,14.038,1.986,16.086,1.846,237.278,312.265,5.43,99.225,0.01,2.374
19890429,15.157,14.637,0.848,15.529,1.467,259.226,310.589,4.74,99.191,0.02,2.388
19890430,14.176,14.125,1.316,14.213,0.42,251.617,298.752,8.277,99.193,0.0,3.277
19890501,12.788,11.936,1.259,13.397,1.918,259.194,298.152,5.252,99.348,0.0,1.619
19890502,13.252,11.806,1.362,14.284,2.132,272.338,285.985,5.745,99.365,0.0,2.359
19890503,13.866,12.194,1.7,15.06,2.232,274.281,286.24,6.897,98.994,0.0,3.815
19890504,15.191,13.713,1.35,16.246,1.794,273.106,288.976,10.183,99.249,0.0,4.043
19890505,15.833,14.441,1.221,16.827,1.877,273.77,289.913,10.539,99.543,0.0,4.563
19890506,16.745,15.193,1.123,17.854,1.744,273.88,294.88,13.431,99.286,0.0,5.09
19890507,16.615,14.774,1.249,17.931,2.105,272.733,295.524,12.092,98.834,0.0,2.011
19890508,16.573,14.491,1.414,18.06,2.445,265.023,300.557,10.466,98.755,0.0,1.791
19890509,15.866,14.363,1.254,16.939,1.663,267.217,309.312,5.048,98.836,0.0,1.31
19890510,15.361,14.248,1.178,16.156,1.426,233.225,329.445,2.144,98.848,0.002,1.173
19890511,15.975,14.833,1.473,16.791,1.796,234.75,339.69,2.652,98.616,0.011,1.201
19890512,18.255,16.274,1.517,19.552,2.2,259.02,334.013,6.609,98.43,0.0,2.222
19890513,18.466,17.372,0.599,19.183,1.41,257.389,332.08,8.081,98.724,0.0,1.844
19890514,16.945,16.314,0.565,17.359,0.944,239.286,335.387,4.161,99.497,0.008,2.936
19890515,16.921,15.663,0.962,17.745,1.629,270.254,319.8,5.719,99.705,0.001,2.54
19890516,16.918,15.668,1.142,17.737,1.741,258.829,324.206,5.97,99.702,0.0,1.564
19890517,17.66,15.912,1.239,18.806,1.893,272.273,321.877,8.031,99.484,0.0,2.089
19890518,18.761,16.916,1.147,19.97,1.948,272.893,316.226,11.626,99.141,0.0,3.556
19890519,19.189,17.737,1.006,20.14,1.596,245.534,326.633,12.875,99.042,0.0,5.132
19890520,19.407,18.227,0.528,20.18,1.33,258.634,328.845,14.035,98.927,0.0,5.245
19890521,18.165,17.508,0.406,18.595,0.901,204.758,350.155,6.804,98.841,0.021,3.112
19890522,17.115,16.609,0.778,17.447,0.742,177.8,356.446,3.221,98.514,2.245,2.626
19890523,17.415,16.859,0.504,17.748,1.195,194.559,349.091,4.729,98.294,2.402,2.237
19890524,17.096,16.102,0.562,17.693,1.057,162.817,341.805,4.925,98.442,1.789,2.64
19890525,17.585,15.888,1.557,18.603,2.377,272.681,319.35,6.947,98.768,0.0,1.627
19890526,17.015,16.397,0.985,17.386,1.06,166.737,343.092,3.098,99.039,3.335,3.154
