TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,4.509,1.505,4.385,9.093,5.893,122.031,265.967,4.525,96.1,0.0,0.932
19890102,4.077,0.951,4.487,8.849,5.555,122.382,264.499,4.094,95.983,0.0,0.861
19890103,3.782,1.196,4.202,7.403,4.457,122.344,267.094,3.635,96.173,0.0,0.873
19890104,2.219,-0.211,3.334,5.621,4.419,121.991,263.73,2.676,96.544,0.0,0.914
19890105,3.76,1.444,4.466,7.002,4.224,119.926,274.082,2.761,96.648,0.0,0.753
19890106,5.197,3.845,2.481,7.089,2.738,96.658,307.905,2.406,95.833,6.775,1.301
19890107,8.518,7.093,1.101,10.513,2.114,59.929,344.079,1.591,94.971,4.699,1.821
19890108,8.796,6.649,1.853,11.801,3.431,116.355,310.418,2.866,95.43,0.0,1.739
19890109,6.744,4.664,4.314,9.657,4.665,120.531,284.69,3.824,95.408,0.0,1.137
19890110,7.839,5.646,3.547,10.908,4.408,91.111,315.603,3.541,95.335,2.393,1.277
19890111,9.136,7.15,2.653,11.917,3.196,96.054,326.632,2.607,95.415,0.052,1.372
19890112,7.533,5.604,2.683,10.234,3.321,120.733,293.051,3.28,95.742,0.0,1.188
19890113,5.649,2.545,3.847,9.995,5.526,129.679,271.164,3.703,96.244,0.0,1.431
19890114,5.23,2.43,3.547,9.15,4.729,127.711,276.792,3.196,96.435,0.0,1.391
19890115,6.175,4.326,2.55,8.762,2.989,95.192,320.307,2.53,96.393,0.006,1.751
19890116,8.292,6.725,1.299,10.486,2.828,84.678,335.965,2.907,96.241,0.023,1.715
19890117,7.601,6.941,1.69,8.524,1.568,53.898,340.785,1.501,96.15,0.812,1.207
19890118,7.858,6.513,1.578,9.742,2.071,90.236,326.416,2.294,96.014,0.202,1.089
19890119,7.933,6.615,1.801,9.779,2.21,98.665,321.255,3.041,95.889,0.002,1.222
19890120,7.377,5.874,2.035,9.481,2.913,111.626,309.213,2.883,95.851,0.004,1.021
19890121,6.465,5.22,2.78,8.207,3.379,130.505,282.36,3.085,96.103,0.0,0.754
19890122,5.556,3.484,4.482,8.456,4.264,139.991,271.013,3.568,96.108,0.0,1.058
19890123,5.032,2.325,3.364,8.514,5.513,140.565,271.524,3.536,95.957,0.0,1.603
19890124,4.792,2.468,2.833,7.779,3.753,125.02,285.554,3.126,95.84,0.0,1.329
19890125,5.328,3.312,3.235,7.92,3.846,125.234,294.243,3.078,95.741,0.0,1.39
19890126,6.486,4.21,1.882,9.413,2.954,105.195,313.315,2.967,95.572,0.219,1.66
19890127,5.301,3.513,2.739,7.601,3.815,113.883,304.405,2.984,96.012,0.0,1.258
19890128,5.214,3.397,2.288,7.551,3.394,122.347,300.837,2.92,96.138,0.071,1.553
19890129,5.828,3.701,2.569,8.563,3.62,105.236,312.449,3.003,96.307,0.001,2.033
19890130,6.597,4.358,1.451,9.475,2.969,123.585,311.623,3.579,96.298,0.007,2.191
19890131,7.018,5.261,2.328,9.277,2.513,95.67,323.694,3.139,96.229,0.042,2.183
19890201,7.71,5.938,2.418,9.988,3.626,120.613,313.494,3.633,96.322,0.029,1.595
19890202,7.892,5.973,3.317,10.159,3.955,145.996,309.061,4.01,96.2,0.0,1.23
19890203,7.212,5.373,2.701,9.386,3.838,124.294,304.123,3.714,96.017,0.0,1.298
19890204,6.85,5.222,2.725,8.774,3.078,134.85,307.234,3.271,95.964,0.116,1.349
19890205,5.106,2.892,2.633,7.722,3.993,142.123,284.428,3.345,96.059,0.143,1.734
19890206,5.129,3.165,2.948,7.45,3.705,102.88,311.398,2.692,96.007,0.062,2.229
19890207,7.204,6.35,1.244,8.213,1.054,69.116,339.735,2.092,95.588,3.721,2.597
19890208,8.133,6.39,1.025,10.192,2.294,121.716,328.522,2.331,95.455,9.532,1.629
19890209,6.561,5.203,2.423,8.167,2.898,108.614,319.167,2.123,95.497,0.27,1.278
19890210,8.582,7.81,1.082,9.495,1.409,52.194,354.676,2.137,95.363,1.761,1.597
19890211,9.142,7.839,1.115,10.682,1.486,106.07,337.682,3.429,95.906,0.073,2.821
19890212,8.695,6.812,1.781,10.919,2.671,125.081,321.404,4.017,96.604,0.0,2.675
19890213,7.744,5.704,4.496,10.155,4.344,174.718,287.645,4.164,96.58,0.0,1.226
19890214,8.38,4.664,3.062,12.771,4.91,176.435,283.718,5.253,96.277,0.0,1.774
19890215,7.966,5.074,5.915,11.385,5.601,183.435,270.509,6.873,96.038,0.0,1.202
19890216,8.051,4.251,5.305,12.542,6.107,182.927,281.156,6.776,95.756,0.0,0.989
19890217,9.502,6.142,5.894,13.472,5.802,179.509,290.118,7.226,95.687,0.0,1.013
19890218,10.103,6.56,5.725,14.289,6.123,187.954,287.433,7.804,96.026,0.0,0.992
19890219,10.263,6.845,4.603,14.303,5.69,158.962,302.338,7.361,96.2,0.0,1.112
19890220,10.785,9.125,3.234,12.747,3.597,125.332,330.733,5.392,96.047,0.0,1.01
19890221,10.969,10.619,1.691,11.382,1.941,66.414,353.331,3.029,95.684,3.31,0.61
19890222,9.579,7.635,2.444,11.877,3.662,134.055,327.668,2.799,95.485,0.079,1.034
19890223,7.677,6.706,1.299,8.732,0.589,70.292,337.888,1.216,94.927,7.557,2.008
19890224,5.952,5.801,2.847,6.117,1.976,55.212,330.837,1.313,94.108,13.313,2.686
19890225,10.658,9.904,1.556,11.477,1.279,21.282,378.56,1.114,93.959,22.166,4.917
19890226,10.992,10.475,1.33,11.554,0.758,94.216,359.12,1.977,94.063,18.026,6.023
19890227,7.943,7.625,1.668,8.288,1.406,119.64,337.53,2.368,94.967,5.209,4.145
19890228,11.244,10.421,1.574,12.139,0.814,79.79,371.445,1.96,95.16,7.736,3.471
19890301,11.579,11.297,1.169,11.86,0.859,83.854,360.028,2.292,95.392,2.464,2.462
19890302,11.556,9.27,2.398,13.842,3.63,186.162,307.82,3.972,95.582,0.0,1.314
19890303,12.178,10.827,2.712,13.529,2.801,182.306,312.919,3.993,95.613,0.005,1.218
19890304,12.645,9.208,4.107,16.082,5.886,209.063,308.764,6.363,95.477,0.0,1.005
19890305,12.694,9.162,4.548,16.226,5.434,211.597,306.148,6.88,95.26,0.0,1.428
19890306,12.494,9.771,4.11,15.216,4.425,216.375,303.71,5.949,95.347,0.0,0.976
19890307,12.069,9.311,5.736,14.827,4.886,197.69,316.887,6.646,95.48,0.0,0.792
19890308,13.654,12.312,2.201,14.996,2.514,164.344,326.694,6.146,95.509,0.205,1.172
19890309,12.222,9.045,4.967,15.399,5.123,222.26,298.413,7.797,95.58,0.0,0.924
19890310,13.627,9.542,5.982,17.711,6.072,224.664,309.219,8.645,95.507,0.0,0.997
19890311,13.406,9.456,3.101,17.355,5.151,223.747,310.058,8.026,95.514,0.0,2.083
19890312,13.81,9.985,6.125,17.636,5.989,232.385,298.096,10.572,95.46,0.0,1.053
19890313,13.674,11.281,2.971,16.067,4.118,219.487,321.226,6.998,95.162,0.619,1.153
19890314,13.418,12.355,2.739,14.482,2.9,180.411,338.225,5.368,95.331,1.12,1.336
19890315,12.454,10.056,3.737,14.66,4.083,224.018,313.812,5.41,95.197,0.0,0.932
19890316,12.441,10.022,2.004,14.666,3.931,228.085,307.585,5.91,94.736,0.0,1.796
19890317,9.894,8.566,0.975,11.115,1.205,164.053,339.159,3.224,94.464,3.276,1.55
19890318,6.884,6.385,1.314,7.344,0.735,70.507,345.898,1.677,94.493,11.404,1.771
19890319,6.139,5.163,1.763,7.037,1.855,85.305,344.79,1.462,94.65,7.567,1.487
19890320,10.902,8.754,2.252,12.878,2.974,233.036,317.264,5.36,94.9,0.092,1.601
19890321,11.529,9.245,2.686,13.631,3.646,236.265,297.3,6.438,95.382,0.0,2.0
19890322,12.407,9.686,4.109,14.911,4.312,255.208,293.274,6.982,95.685,0.0,1.512
19890323,13.48,10.658,5.655,16.076,5.668,256.745,295.063,9.983,95.784,0.0,1.313
19890324,14.213,11.511,5.18,16.698,5.268,254.805,305.522,10.642,95.558,0.0,1.132
19890325,14.847,10.945,5.532,18.436,6.265,250.859,315.439,10.254,95.409,0.0,0.942
19890326,15.841,12.45,6.0,18.961,5.884,255.594,320.961,10.762,95.157,0.001,1.313
19890327,16.551,14.267,1.871,18.653,3.868,185.287,348.847,9.354,94.758,2.964,1.939
19890328,7.676,9.376,4.285,6.112,2.472,56.029,344.545,1.618,94.788,15.324,1.074
19890329,5.145,4.644,1.308,5.606,1.55,95.095,337.345,0.863,95.109,18.695,0.839
19890330,7.223,5.933,1.83,8.409,2.348,126.294,350.121,1.971,94.941,14.182,1.451
19890331,9.029,7.136,2.818,10.77,3.187,176.799,327.958,2.542,95.038,0.392,1.229
19890401,12.544,9.968,4.036,14.914,3.711,255.61,319.459,5.268,95.161,0.015,1.085
19890402,11.304,7.539,3.332,14.49,4.533,250.298,311.844,4.607,94.642,2.657,1.375
19890403,7.058,6.573,2.575,7.469,1.035,201.749,310.235,2.177,93.812,7.358,2.345
19890404,4.568,3.39,1.127,5.566,1.638,133.192,327.073,0.796,93.876,11.775,2.946
19890405,6.451,5.607,1.441,7.108,2.061,194.97,325.665,2.258,94.615,5.398,3.107
19890406,8.989,6.688,3.044,10.778,3.093,187.209,319.257,3.801,95.203,0.047,1.728
19890407,11.393,8.739,3.197,13.457,4.352,204.49,326.44,5.758,94.908,0.0,1.565
19890408,12.541,9.191,3.692,15.147,5.11,210.795,316.727,6.838,94.556,0.131,1.968
19890409,10.911,9.034,0.951,12.371,2.056,189.297,337.52,2.896,94.343,12.726,1.206
19890410,11.238,10.131,1.504,12.099,2.291,171.175,341.724,3.234,94.569,2.994,1.907
19890411,12.859,11.589,2.649,13.847,2.611,194.188,344.469,4.469,95.113,0.226,2.108
19890412,12.32,12.015,1.162,12.557,1.078,136.521,358.802,3.434,95.029,6.38,4.212
19890413,10.679,10.306,2.083,10.969,1.979,67.182,349.183,2.743,95.06,2.96,3.277
19890414,10.44,9.282,2.991,11.34,3.038,164.149,334.584,3.449,95.361,0.079,1.914
19890415,13.535,11.649,1.082,15.001,2.276,191.033,356.769,4.236,95.319,0.78,1.692
19890416,10.959,9.947,2.375,11.746,2.265,247.001,313.469,5.167,95.199,0.169,2.285
19890417,9.238,6.808,3.528,11.129,3.705,309.695,273.805,6.564,95.014,0.0,1.231
19890418,10.81,6.145,4.73,14.439,6.046,305.799,288.507,7.202,94.779,0.0,1.895
19890419,11.941,7.881,3.577,15.099,5.258,288.595,301.788,6.938,94.822,0.036,1.701
19890420,11.713,10.447,2.668,12.698,2.228,211.5,339.42,3.507,94.977,1.289,1.47
19890421,14.238,12.43,3.294,15.645,4.123,226.21,328.151,7.112,95.134,0.0,0.774
19890422,15.118,11.926,3.328,17.601,4.302,271.13,334.948,7.924,94.982,0.701,1.125
19890423,15.251,13.711,2.816,16.449,3.172,248.182,328.965,6.384,94.753,1.339,0.946
19890424,12.438,11.345,0.683,13.288,1.274,153.998,351.569,2.822,94.298,8.134,1.4
19890425,11.411,9.565,1.074,12.729,2.193,218.13,334.982,3.26,93.963,8.836,1.743
19890426,8.079,7.782,1.976,8.292,0.662,122.839,341.12,2.026,94.435,10.218,2.52
19890427,8.583,6.112,4.261,10.348,3.818,271.368,294.189,5.579,95.416,0.0,2.253
19890428,12.282,11.167,2.649,13.078,3.431,130.17,355.492,3.627,95.49,3.687,2.299
19890429,14.435,12.61,3.38,15.738,4.204,277.956,322.538,7.704,95.461,0.007,1.651
19890430,13.307,11.892,1.881,14.317,4.023,327.644,296.235,7.766,95.373,0.001,1.935
19890501,13.266,10.96,4.957,14.912,5.442,316.191,301.012,8.959,95.373,0.0,1.523
19890502,15.23,12.205,5.959,17.391,5.874,319.947,308.711,9.507,95.327,0.0,1.236
19890503,16.054,11.32,4.12,19.435,6.549,322.2,314.019,10.428,95.075,0.0,1.398
19890504,15.462,11.043,3.788,18.619,6.043,325.426,305.354,10.72,95.285,0.0,1.988
19890505,15.07,9.91,3.012,18.451,6.015,326.362,302.039,10.402,95.522,0.0,2.705
