TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,3.371,1.46,1.942,6.048,3.238,115.222,249.029,6.23,85.159,0.0,1.5
19890102,2.542,0.792,2.448,4.993,3.123,108.883,255.181,5.622,85.044,0.0,1.415
19890103,1.669,0.059,1.836,3.923,2.402,109.172,255.913,4.249,85.265,0.0,1.863
19890104,1.609,0.08,1.76,3.575,2.957,106.792,270.063,3.913,85.649,0.003,1.061
19890105,2.883,1.454,1.872,4.883,2.332,81.533,287.564,5.154,85.709,0.896,1.22
19890106,4.875,3.584,2.053,6.535,2.245,93.447,294.26,5.697,84.778,3.998,2.707
19890107,4.744,3.93,0.744,5.883,1.126,89.491,309.292,3.054,83.955,11.353,2.622
19890108,5.874,4.442,1.738,7.714,2.007,114.71,270.24,5.347,84.42,0.001,3.603
19890109,6.169,5.095,1.365,7.673,1.165,113.53,266.454,6.614,84.34,0.0,1.806
19890110,4.387,3.347,1.818,5.724,1.861,98.522,294.388,2.968,84.37,0.409,0.798
19890111,6.595,5.663,0.799,7.793,0.883,100.844,291.43,4.677,84.408,0.015,2.0
19890112,4.802,3.278,1.249,6.761,1.988,115.138,269.976,4.705,84.701,0.0,1.765
19890113,3.714,1.792,2.315,6.184,3.31,122.259,252.456,5.403,85.287,0.0,2.413
19890114,3.266,1.474,2.083,5.569,2.883,119.142,264.324,4.731,85.477,0.0,2.337
19890115,3.515,2.417,1.709,4.926,2.187,93.638,292.71,3.838,85.406,0.084,3.965
19890116,3.945,3.073,0.958,5.065,1.66,88.386,295.502,3.417,85.249,0.793,4.091
19890117,3.867,3.254,1.057,4.656,1.376,72.68,313.482,2.984,85.14,3.702,2.77
19890118,3.973,3.441,0.703,4.657,1.058,81.248,312.74,3.016,85.044,6.697,2.164
