TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,5.44,2.932,3.015,8.951,4.837,114.219,268.311,3.686,99.604,0.0,1.068
19890102,3.503,1.098,2.473,6.871,4.434,112.235,265.304,2.639,99.449,0.0,0.793
19890103,2.815,0.683,2.598,5.8,3.408,113.023,266.082,2.115,99.728,0.0,1.165
19890104,2.723,1.101,3.53,4.994,3.653,112.356,268.948,1.753,100.299,0.0,0.916
19890105,3.54,1.906,3.694,5.828,4.252,107.889,286.77,0.883,100.424,0.0,0.844
19890106,4.898,3.562,3.487,6.768,2.281,30.559,330.053,0.409,99.167,6.815,2.517
19890107,8.124,6.804,3.064,9.971,2.391,69.527,317.325,2.619,98.415,0.073,3.886
19890108,8.164,6.615,2.065,10.332,3.072,112.759,286.148,1.961,98.751,0.0,2.662
19890109,7.135,5.814,2.386,8.984,2.746,99.168,301.086,2.078,98.657,0.063,1.216
19890110,6.921,6.681,1.819,7.257,1.243,36.319,341.974,0.837,98.297,12.168,3.594
19890111,8.477,8.007,2.128,9.136,2.135,53.419,340.907,0.759,98.575,2.425,2.869
19890112,8.998,7.898,2.086,10.539,2.703,105.869,316.887,1.102,99.187,0.476,1.486
19890113,8.334,6.617,2.284,10.736,3.495,120.171,284.796,2.14,99.845,0.0,2.124
19890114,7.414,5.789,3.389,9.688,4.276,121.368,281.3,2.665,100.162,0.0,1.741
19890115,7.638,6.07,1.844,9.834,2.683,118.119,287.31,2.364,100.115,0.0,2.732
19890116,6.809,5.563,1.598,8.554,2.683,108.253,287.978,1.647,99.922,0.0,3.139
19890117,6.456,5.129,2.342,8.314,3.137,119.338,287.788,1.685,99.815,0.0,1.885
19890118,6.495,4.819,2.417,8.84,3.283,115.737,290.198,1.394,99.583,0.0,1.542
19890119,6.407,5.028,2.265,8.339,2.774,113.155,302.894,1.382,99.371,0.0,1.674
19890120,6.597,5.391,1.806,8.285,2.637,111.327,297.115,1.304,99.297,0.0,1.164
19890121,4.453,2.537,3.448,7.136,4.541,116.191,283.842,0.99,99.62,0.0,1.037
19890122,5.129,4.368,3.961,6.193,4.391,120.052,285.696,1.485,99.684,0.01,1.121
19890123,4.787,3.212,2.256,6.992,3.353,136.063,265.893,2.292,99.467,0.0,2.112
19890124,5.3,4.064,2.188,7.03,2.657,108.718,301.018,2.047,99.241,0.0,2.063
19890125,6.297,5.233,2.449,7.785,2.938,106.355,298.208,2.262,98.992,0.0,2.665
19890126,8.231,6.957,1.277,10.015,2.147,121.795,305.098,2.913,98.847,0.018,3.257
19890127,6.576,4.694,2.622,9.211,3.775,136.374,285.188,1.89,99.63,0.002,1.453
19890128,6.146,4.42,2.155,8.364,2.861,131.643,290.593,1.991,99.821,0.015,1.857
19890129,6.281,4.283,3.171,8.848,3.364,140.849,274.099,2.958,100.039,0.0,3.175
19890130,7.4,5.408,2.839,9.962,3.506,144.045,273.15,4.436,99.949,0.0,3.51
19890131,6.891,5.875,2.456,8.198,2.673,121.455,287.52,3.544,99.809,0.063,3.969
19890201,8.135,7.122,1.277,9.437,2.073,117.667,304.396,2.599,99.889,0.005,2.803
19890202,8.951,7.609,1.498,10.677,2.39,123.854,303.586,3.359,99.74,0.03,2.35
19890203,8.07,6.638,1.764,9.911,2.467,96.592,310.527,2.656,99.541,0.0,1.657
19890204,7.351,5.443,3.229,9.805,3.811,138.814,286.633,2.63,99.484,0.093,1.189
19890205,6.409,4.368,3.079,9.033,4.021,154.132,271.956,3.045,99.721,0.0,1.826
19890206,6.299,3.814,3.738,9.493,4.085,157.741,271.41,3.957,99.671,0.0,2.787
19890207,6.911,5.894,2.24,8.219,2.023,115.126,301.016,2.715,99.106,3.126,4.235
19890208,8.011,7.098,1.284,9.185,1.267,81.206,327.99,1.138,98.732,4.406,2.815
19890209,5.6,5.172,1.905,6.105,1.19,54.727,341.574,0.152,98.642,5.789,1.89
19890210,8.373,8.027,1.322,8.781,1.287,50.972,355.316,1.201,98.572,1.771,3.14
19890211,9.601,8.377,1.096,11.048,1.594,126.301,308.385,3.666,99.607,0.0,4.193
19890212,9.099,7.51,2.118,10.977,2.977,167.725,279.652,4.008,100.486,0.0,3.775
19890213,8.617,6.539,5.433,11.073,5.048,170.092,282.582,4.535,100.351,0.0,1.288
19890214,11.043,8.208,3.995,14.392,4.948,175.45,283.978,6.207,99.992,0.0,1.836
19890215,9.341,6.86,5.113,12.272,5.248,176.692,276.486,6.612,99.609,0.0,1.397
19890216,9.164,6.192,5.15,12.675,5.955,181.244,275.78,6.238,99.083,0.0,0.91
19890217,9.783,6.921,5.643,13.166,6.028,173.9,285.64,6.166,98.979,0.0,1.0
19890218,10.279,7.656,6.101,13.378,6.115,181.938,291.086,5.696,99.473,0.0,0.723
19890219,11.774,9.289,3.359,14.711,4.523,180.213,302.51,5.41,99.678,0.0,1.572
19890220,12.631,11.674,2.151,13.762,2.536,141.354,333.134,5.369,99.361,0.0,1.153
19890221,12.231,10.921,1.729,13.779,2.459,130.177,340.989,3.713,98.941,0.164,1.233
19890222,9.218,7.468,2.661,11.12,3.163,154.321,313.815,1.982,98.679,0.343,1.707
19890223,8.299,7.743,1.362,8.903,1.224,155.744,323.958,1.913,97.904,5.684,3.57
19890224,6.485,5.705,2.535,7.332,2.543,85.296,334.462,1.333,96.615,12.401,3.249
19890225,11.857,10.358,1.29,13.486,1.092,52.477,370.772,1.478,96.242,10.535,7.806
19890226,8.809,8.246,1.018,9.421,0.686,143.503,314.126,2.615,96.737,2.521,7.336
19890227,7.817,7.139,2.741,8.554,1.738,87.065,331.547,1.109,97.872,4.742,4.95
19890228,12.041,11.157,1.103,13.002,1.881,78.147,353.35,1.639,98.099,1.152,5.068
19890301,12.637,11.044,1.501,14.37,1.745,93.8,356.247,2.816,98.411,2.246,4.461
19890302,11.143,9.684,2.253,12.73,1.931,81.706,349.549,2.019,98.787,0.444,2.359
19890303,13.127,11.653,1.7,14.729,2.232,186.468,340.455,3.878,98.841,0.756,3.076
19890304,12.925,10.478,3.524,15.371,4.371,199.556,309.071,5.325,98.73,0.0,2.216
19890305,14.309,11.754,3.079,16.864,3.924,209.629,314.248,6.659,98.282,0.0,2.266
19890306,12.793,11.624,3.298,13.963,2.353,188.024,320.214,4.208,98.461,0.015,1.189
19890307,12.631,10.379,3.062,14.883,3.544,147.651,346.529,3.573,98.695,0.036,1.075
19890308,14.139,12.154,3.549,16.124,3.742,213.484,313.989,5.64,98.813,0.136,1.346
19890309,13.817,11.104,4.988,16.529,5.172,221.619,301.466,7.452,98.83,0.0,0.928
19890310,13.466,10.385,5.299,16.548,6.114,227.693,299.005,7.116,98.724,0.0,0.865
19890311,16.323,13.072,4.375,19.575,4.746,225.853,313.955,8.905,98.683,0.0,2.663
19890312,17.593,15.001,4.379,20.185,4.654,225.719,324.215,10.365,98.62,0.0,1.665
19890313,14.104,11.512,2.274,16.696,3.574,129.517,333.539,6.227,98.304,0.002,2.088
19890314,11.355,9.154,4.171,13.556,4.332,233.211,293.891,6.33,98.712,0.0,2.156
19890315,12.047,9.039,3.794,15.055,5.137,230.338,302.269,6.121,98.305,0.0,1.619
19890316,10.153,9.275,1.866,11.032,2.537,80.398,332.33,1.92,97.653,0.752,2.305
19890317,9.134,7.601,2.114,10.667,2.381,182.695,313.011,2.932,97.43,0.634,2.439
19890318,8.217,5.569,3.216,10.864,3.901,249.466,273.951,5.141,97.921,0.0,2.936
19890319,8.612,5.824,4.167,11.401,4.633,249.07,277.007,5.419,97.97,0.0,1.99
19890320,10.974,7.892,3.975,14.057,4.574,235.815,286.621,6.711,98.149,0.0,3.365
19890321,13.554,10.547,4.14,16.562,4.172,240.079,304.157,7.024,98.799,0.0,2.927
19890322,14.679,11.773,4.819,17.137,5.829,256.397,294.603,9.381,99.147,0.0,1.624
19890323,15.414,11.835,3.299,18.442,5.663,259.151,297.855,11.391,99.166,0.0,2.236
19890324,15.003,11.515,4.626,17.954,5.185,256.309,306.126,9.369,98.83,0.0,1.434
19890325,16.621,13.086,3.839,19.612,5.573,255.27,318.54,10.155,98.515,0.0,2.127
19890326,16.296,13.853,3.958,18.363,4.174,234.848,328.84,10.194,98.062,0.001,2.049
19890327,14.64,13.697,1.54,15.438,1.312,127.127,346.774,5.856,97.544,9.437,2.431
