TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-20.655,-20.655,1.869,-9999,-9999,0.0,189.614,0.019,98.805,0.018,2.67
19890102,-7.349,-7.349,6.195,-9999,-9999,0.0,248.135,0.46,96.977,1.151,5.416
19890103,-2.354,-2.354,1.266,-9999,-9999,0.0,215.537,0.853,96.432,0.095,5.366
19890104,-2.757,-2.757,0.6,-9999,-9999,0.0,258.485,0.499,96.728,0.571,2.296
19890105,-1.799,-1.799,0.651,-9999,-9999,0.0,279.783,0.228,95.674,1.913,2.727
19890106,-4.063,-4.063,0.251,-9999,-9999,0.0,268.297,0.202,95.602,2.279,2.549
19890107,-11.4,-11.4,5.022,-9999,-9999,0.0,217.178,0.19,96.438,1.437,3.097
19890108,-16.746,-16.746,2.287,-9999,-9999,0.0,225.251,0.094,96.356,2.36,3.546
19890109,-9.059,-9.059,0.935,-9999,-9999,0.0,259.722,0.184,95.077,5.247,4.104
19890110,-11.835,-11.835,1.274,-9999,-9999,0.0,235.817,0.064,95.074,0.498,2.283
19890111,-12.167,-12.151,1.131,-12.532,0.18,0.028,241.562,0.083,96.533,0.261,2.498
19890112,-11.333,-11.486,1.485,-9.647,0.108,0.04,242.229,0.094,96.045,2.096,3.868
19890113,-15.616,-15.368,1.775,-18.349,0.135,0.15,221.992,0.041,96.534,0.352,1.47
19890114,-9.491,-9.601,1.543,-8.285,0.223,0.129,262.458,0.188,96.709,8.453,5.465
19890115,-10.35,-10.258,0.707,-11.139,0.068,0.122,267.98,0.128,94.546,3.138,3.851
19890116,-11.322,-10.912,1.658,-14.19,0.161,0.563,239.263,0.037,95.031,0.357,1.972
19890117,-11.15,-11.121,1.039,-11.353,0.278,0.418,230.805,0.041,94.965,0.357,2.559
19890118,-5.071,-5.311,1.68,-3.386,0.189,0.622,260.326,0.351,96.756,0.193,3.607
19890119,-5.371,-5.681,1.271,-3.55,0.563,0.425,243.015,0.272,96.347,3.562,5.411
19890120,-6.186,-6.372,1.593,-5.255,0.686,1.307,201.54,0.364,96.247,0.378,4.589
19890121,-5.316,-5.305,0.861,-5.369,0.23,1.65,213.257,0.563,96.582,0.506,4.959
19890122,-4.378,-4.345,0.836,-4.546,0.196,1.406,257.88,0.351,95.197,5.26,3.989
19890123,-7.278,-7.131,4.383,-8.009,1.065,2.458,198.457,0.589,96.681,0.168,5.299
19890124,-13.989,-13.377,2.172,-16.638,0.431,1.897,222.452,0.144,97.867,1.551,3.546
19890125,-4.765,-4.686,4.421,-5.108,1.337,1.054,260.923,0.506,96.988,2.12,4.621
19890126,0.956,0.512,1.385,2.642,0.474,2.507,264.613,1.047,96.702,0.074,4.465
19890127,0.48,0.451,0.644,0.587,0.801,3.453,251.518,1.484,96.239,0.326,5.531
19890128,1.352,0.982,1.413,2.756,0.424,2.403,270.047,1.8,94.62,1.543,8.018
19890129,0.554,0.568,0.885,0.502,0.821,1.837,238.518,1.867,94.239,0.467,7.506
19890130,-3.064,-3.2,2.483,-2.605,0.137,4.016,253.893,0.746,94.654,0.984,3.758
19890131,-6.542,-6.827,1.904,-5.581,0.972,6.356,229.004,0.551,96.957,1.398,3.865
19890201,-2.667,-2.454,2.664,-3.306,1.763,3.978,263.69,0.612,96.642,1.022,3.663
19890202,-1.883,-1.791,2.073,-2.159,0.351,8.582,217.979,1.632,95.031,0.811,6.309
19890203,-2.25,-2.649,2.513,-1.055,1.305,4.709,242.268,0.869,94.328,3.413,5.348
19890204,-3.097,-3.847,3.886,-0.847,1.458,3.233,245.865,0.872,94.68,3.245,5.557
19890205,-3.442,-3.068,1.347,-4.448,0.581,7.398,252.094,0.534,93.918,0.096,3.143
