TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-9.473,-9.464,3.426,-9.502,1.055,7.355,328.361,0.123,101.175,0.278,1.702
19890102,-4.383,-5.266,4.664,-1.732,1.027,5.88,349.823,0.051,100.933,0.356,2.86
19890103,0.69,0.677,0.299,0.732,0.335,9.768,335.755,0.363,100.21,0.029,3.527
19890104,0.02,-0.022,0.361,0.145,0.149,4.865,358.052,0.132,99.678,0.119,2.77
19890105,0.994,0.787,0.49,1.616,0.079,3.249,367.316,0.179,99.091,2.07,2.9
19890106,-0.319,-0.296,1.023,-0.386,0.18,6.762,349.742,0.184,98.359,0.175,2.631
19890107,-0.854,-1.012,0.384,-0.38,0.191,6.384,354.714,0.257,97.87,0.458,2.243
19890108,-1.894,-1.834,0.342,-2.075,0.188,7.216,349.353,0.191,98.495,1.875,2.205
19890109,0.423,0.152,0.533,1.236,0.667,12.685,323.742,0.663,97.36,2.515,3.64
19890110,0.607,0.349,2.04,1.379,0.335,12.414,331.97,0.684,97.332,0.701,3.917
19890111,-3.047,-3.287,0.75,-2.328,0.098,8.667,331.558,0.293,98.556,0.054,1.892
19890112,-0.383,-0.971,2.293,1.2,0.246,2.894,359.958,0.338,99.12,1.628,3.505
19890113,0.775,0.803,0.459,0.7,0.102,2.729,369.279,0.049,98.64,5.779,2.223
19890114,0.247,0.347,0.28,-0.023,0.204,8.401,363.825,0.1,98.935,6.978,2.721
19890115,1.048,1.342,1.198,0.336,0.675,5.436,337.451,0.394,97.477,6.965,4.086
19890116,1.64,1.319,1.347,2.419,0.22,16.29,317.798,2.026,97.996,0.032,4.971
19890117,1.432,1.167,1.158,2.077,0.986,14.623,340.975,1.634,97.542,0.426,5.306
19890118,-1.532,-1.608,2.259,-1.348,0.87,11.665,339.497,1.196,98.484,0.059,4.794
19890119,-3.737,-3.383,3.375,-4.595,2.25,12.091,342.299,0.194,99.798,0.036,2.404
19890120,1.259,0.872,0.575,2.199,0.374,11.777,361.972,0.223,99.555,0.004,2.582
19890121,-0.381,-0.092,0.643,-1.085,0.423,12.922,359.037,0.085,99.837,1.433,1.82
19890122,0.265,0.023,0.641,0.853,0.242,7.499,348.595,0.384,98.634,1.805,3.545
19890123,-2.657,-3.052,1.477,-1.698,0.098,18.862,308.227,0.886,99.558,0.002,3.651
19890124,-4.935,-5.302,1.78,-4.127,1.313,17.357,329.766,0.055,100.327,0.02,1.392
19890125,0.292,-0.382,0.884,1.775,0.494,6.315,353.306,0.131,100.395,0.415,2.682
19890126,-0.745,-1.034,0.494,-0.111,0.288,13.012,343.956,0.185,100.51,0.242,3.134
19890127,0.496,0.591,0.773,0.287,0.518,25.338,342.181,0.582,100.433,0.239,3.486
19890128,2.996,2.971,0.658,3.052,0.186,12.036,364.103,0.753,99.57,0.053,5.02
19890129,1.269,1.467,1.207,0.835,1.05,28.797,324.397,1.496,99.468,0.383,4.703
19890130,1.543,1.319,1.373,1.989,0.525,29.357,322.059,1.888,98.582,1.007,5.157
19890131,-1.377,-1.567,0.519,-0.999,0.683,31.992,312.864,1.238,100.178,0.035,3.33
19890201,1.783,0.901,1.108,3.548,0.755,31.954,325.363,1.053,100.351,0.036,3.043
19890202,0.608,0.413,0.721,0.999,0.521,32.628,333.822,0.582,99.504,0.019,3.473
19890203,2.974,2.278,0.911,4.365,0.704,33.233,337.87,1.724,98.518,0.047,4.658
19890204,1.82,0.908,2.547,3.484,0.666,6.593,356.642,0.438,98.809,1.973,4.443
19890205,1.962,1.688,1.433,2.461,0.554,9.622,353.982,0.505,97.463,7.048,4.872
19890206,0.524,0.842,2.34,-0.056,1.665,26.223,336.229,0.672,97.939,0.305,3.844
19890207,3.075,2.871,0.668,3.448,0.53,31.505,361.293,0.29,98.131,6.51,2.807
19890208,0.509,-0.056,0.822,1.539,0.876,40.492,316.721,0.997,99.312,0.002,3.828
19890209,-4.57,-5.212,2.135,-3.398,1.961,47.111,299.089,0.916,101.642,0.001,1.727
19890210,-3.28,-4.316,3.764,-1.552,1.973,44.419,315.198,0.381,102.079,0.109,2.526
19890211,0.84,0.685,0.181,1.099,0.28,11.278,365.338,0.18,100.722,1.025,2.572
19890212,0.795,0.507,0.167,1.277,0.37,14.593,365.428,0.19,99.451,4.437,2.366
19890213,-0.688,-0.993,2.024,-0.179,0.519,47.959,330.096,0.558,98.905,0.994,3.033
19890214,-1.334,-2.281,2.009,0.245,0.807,34.612,336.633,0.488,98.907,2.583,4.102
19890215,0.164,0.039,0.264,0.355,0.136,16.378,363.458,0.15,97.984,10.705,4.546
19890216,-0.795,-1.255,2.236,-0.093,0.531,41.88,338.726,0.196,96.791,1.621,2.789
19890217,-3.756,-4.812,1.289,-2.145,1.88,60.962,309.747,0.465,98.401,0.451,2.328
19890218,-5.793,-6.427,2.627,-4.825,3.627,64.26,299.287,0.294,100.225,0.002,1.808
19890219,-2.175,-2.062,1.819,-2.347,0.332,18.553,343.082,0.463,98.839,9.214,4.747
19890220,0.349,-0.282,1.091,1.311,0.889,55.077,329.477,0.531,97.893,0.566,2.751
19890221,-1.345,-2.155,1.031,-0.21,1.673,68.44,309.612,0.707,98.575,0.0,2.645
19890222,-3.467,-4.637,1.696,-1.83,2.693,67.024,303.836,0.535,98.856,0.0,2.572
19890223,-2.552,-3.583,3.394,-1.109,1.835,36.695,342.094,0.186,98.495,4.764,2.748
19890224,0.054,-0.079,0.41,0.241,0.584,49.957,344.138,0.437,97.643,0.71,3.334
19890225,0.135,-0.181,0.328,0.576,0.403,47.98,349.622,0.539,97.895,2.188,3.173
19890226,0.993,0.868,0.519,1.152,0.232,17.414,365.884,0.186,96.948,5.605,4.527
19890227,2.553,2.064,0.911,3.181,0.922,27.385,371.134,0.454,96.452,5.465,4.355
19890228,1.389,1.508,0.704,1.235,0.789,30.362,363.244,0.255,96.446,7.751,2.83
19890301,1.264,1.008,0.297,1.593,0.374,33.64,363.43,0.249,97.688,1.671,2.605
19890302,0.814,0.429,0.58,1.309,0.57,48.802,353.147,0.385,98.858,0.758,2.01
19890303,0.803,0.566,0.153,1.082,0.296,34.323,361.459,0.152,99.435,0.401,1.912
19890304,0.751,0.452,0.15,1.105,0.518,53.897,360.759,0.247,99.944,0.244,0.987
19890305,0.515,0.285,0.162,0.787,0.65,39.478,361.494,0.129,100.132,2.487,2.288
19890306,0.552,0.116,0.274,1.066,0.834,66.919,353.866,0.295,100.849,0.074,1.05
19890307,-0.377,-0.695,0.316,-0.001,0.438,48.448,351.53,0.35,101.388,0.158,2.622
19890308,-0.918,-1.763,0.799,0.08,1.332,64.075,341.687,0.715,100.788,0.068,1.849
19890309,-0.391,-1.007,1.113,0.338,1.28,43.977,357.738,0.384,100.521,0.597,0.947
19890310,0.069,-0.391,0.36,0.57,0.607,60.007,348.364,0.729,100.68,0.162,2.844
19890311,1.1,0.748,0.242,1.483,0.242,34.941,366.58,0.527,100.2,13.387,4.905
19890312,0.489,0.152,0.418,0.856,0.406,57.222,365.094,0.219,99.906,1.629,2.181
19890313,0.457,-0.126,0.479,1.04,0.611,45.27,361.784,0.271,99.684,0.064,2.948
19890314,1.183,1.037,0.524,1.328,0.472,23.947,363.565,0.247,97.936,4.342,4.191
19890315,1.137,0.135,0.466,2.139,1.184,96.416,332.528,0.635,97.86,0.193,2.801
19890316,0.067,-0.283,0.992,0.418,0.969,71.205,352.562,0.558,98.033,0.119,2.33
19890317,0.594,0.083,0.639,1.105,0.735,35.202,360.752,0.246,97.974,0.642,1.714
19890318,-0.543,-1.773,0.965,0.687,1.282,120.85,324.947,1.389,98.593,0.039,3.149
19890319,-0.491,-1.477,1.721,0.495,0.318,37.711,349.632,0.376,98.439,5.119,3.183
19890320,1.817,1.133,1.845,2.502,2.842,124.921,345.202,0.745,99.032,0.034,2.284
19890321,3.886,3.016,0.333,4.687,0.876,63.582,368.715,0.98,98.682,1.844,3.076
19890322,1.986,1.778,1.495,2.162,0.535,55.93,353.31,0.246,97.477,4.92,3.53
19890323,1.488,0.719,0.336,2.139,0.975,61.683,352.97,0.262,97.276,6.61,3.434
19890324,1.687,0.86,0.414,2.388,1.684,127.155,340.358,0.984,97.774,1.905,2.882
19890325,1.826,1.4,0.384,2.187,0.948,60.491,363.691,0.232,96.951,6.414,2.068
19890326,1.414,0.941,0.377,1.814,0.787,86.761,357.685,0.822,98.452,1.271,2.978
19890327,1.417,-0.692,1.065,3.202,3.357,140.169,324.295,1.667,99.992,0.258,1.672
19890328,2.396,0.557,1.03,3.951,2.639,137.977,334.466,2.327,99.919,1.381,2.245
19890329,2.945,2.242,0.638,3.539,0.769,95.867,343.52,1.825,98.031,4.4,5.652
19890330,1.509,-0.432,0.959,3.152,2.2,158.642,309.313,3.293,99.107,0.0,3.073
19890331,0.567,-2.177,2.258,2.889,2.89,150.897,311.622,3.071,99.741,0.001,1.891
19890401,-1.194,-2.034,0.418,-0.542,1.065,159.829,306.56,2.253,100.27,0.421,3.64
19890402,-2.035,-2.715,0.639,-1.55,1.607,112.647,327.418,2.112,100.181,0.262,4.064
19890403,-1.871,-3.062,1.348,-1.02,2.124,106.942,323.952,2.374,100.155,0.402,2.908
19890404,-2.002,-4.066,1.525,-0.529,2.885,128.846,325.814,2.404,100.95,0.003,1.325
19890405,0.652,-2.583,2.867,2.963,4.011,187.612,306.636,3.391,101.29,0.0,0.61
19890406,2.319,-1.042,3.433,4.719,3.805,188.056,318.037,3.774,100.82,0.018,2.728
19890407,3.459,2.272,0.942,4.306,1.787,59.779,366.389,2.509,100.273,1.255,2.546
19890408,2.54,2.364,0.417,2.666,0.383,34.209,371.571,0.25,99.742,1.282,2.471
19890409,3.816,2.757,1.223,4.573,1.611,137.872,363.269,1.083,99.844,0.135,2.32
19890410,4.261,2.726,0.915,5.356,1.62,106.338,358.969,0.82,100.012,1.09,1.767
19890411,4.926,4.018,2.455,5.521,2.657,134.379,366.45,1.51,100.235,1.346,2.849
19890412,9.242,7.848,1.377,10.155,2.765,154.812,369.542,1.601,99.876,0.173,2.937
19890413,12.596,9.695,2.09,14.496,4.074,179.605,357.138,5.331,100.071,0.0,2.757
19890414,12.742,9.102,2.717,14.926,4.746,204.322,346.849,6.852,100.506,0.0,2.317
