TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-7.666,-7.32,3.217,-8.705,0.65,6.433,252.262,0.616,102.73,0.136,1.38
19890102,-2.862,-3.376,3.153,-1.322,0.224,8.426,290.044,0.443,102.517,0.364,1.855
19890103,-0.948,-0.902,0.377,-1.085,0.225,8.722,270.411,0.39,101.896,0.08,2.093
19890104,-1.042,-0.961,0.466,-1.288,0.217,7.551,297.861,0.388,101.306,0.23,1.914
19890105,1.397,1.239,0.636,1.868,0.378,5.79,309.658,0.731,100.643,2.184,2.523
19890106,-1.034,-1.021,1.815,-1.071,0.617,9.752,268.032,0.543,99.926,0.172,1.632
19890107,-2.207,-2.401,0.442,-1.684,0.163,9.704,273.809,0.552,99.432,0.488,1.754
19890108,-2.24,-1.901,1.133,-3.151,0.387,10.136,285.313,0.542,99.962,1.631,1.739
19890109,0.584,0.546,0.609,0.689,0.18,15.787,252.261,1.19,98.967,1.881,3.03
19890110,0.077,0.155,2.007,-0.132,0.438,16.235,243.751,1.289,98.999,0.118,2.98
19890111,-1.827,-2.063,0.353,-1.193,0.179,10.639,260.548,0.833,100.11,0.021,1.669
19890112,0.688,0.307,1.778,1.715,0.181,6.026,304.936,1.009,100.648,2.227,2.986
19890113,1.405,1.342,0.429,1.574,0.056,3.216,323.002,0.449,100.076,6.429,2.055
19890114,0.783,1.0,0.956,0.199,0.433,11.614,303.266,0.696,100.444,6.008,2.542
19890115,2.442,2.425,1.248,2.489,0.556,5.086,261.836,1.539,99.086,6.699,3.69
19890116,2.519,2.429,0.876,2.76,0.144,19.975,238.568,3.076,99.769,0.012,3.865
19890117,2.409,2.433,1.109,2.353,0.778,20.03,264.827,2.545,99.296,0.397,4.266
19890118,-0.256,-0.573,1.683,0.515,0.202,20.867,239.582,1.949,100.216,0.038,3.578
19890119,-2.474,-3.047,3.403,-1.085,1.914,16.309,264.408,0.562,101.335,0.064,1.593
19890120,1.305,1.009,0.804,2.022,0.593,16.673,268.755,0.798,101.145,0.06,2.271
19890121,0.346,0.658,0.48,-0.34,0.298,7.45,315.235,0.367,101.284,1.486,1.696
19890122,-0.191,-0.537,0.698,0.569,0.429,12.258,282.7,0.686,100.211,1.931,2.688
19890123,-2.11,-2.433,0.482,-1.397,0.549,14.276,235.093,1.691,101.265,0.054,2.69
19890124,-0.583,-0.728,0.773,-0.265,0.301,12.284,299.243,0.469,101.783,0.133,0.804
19890125,0.681,0.09,0.823,1.982,0.453,12.36,292.703,0.413,101.951,0.389,2.047
19890126,-0.603,-0.682,0.435,-0.43,0.295,21.103,281.352,0.502,102.09,0.226,2.212
19890127,0.576,0.745,0.693,0.205,0.424,25.282,280.584,0.809,102.045,0.227,2.553
19890128,3.148,3.155,0.96,3.132,0.499,23.148,286.998,1.515,101.198,0.092,3.999
19890129,2.476,2.652,1.044,2.09,0.562,32.258,248.886,2.518,101.129,0.233,3.701
19890130,3.313,3.107,1.211,3.767,0.291,31.622,237.312,3.593,100.335,0.044,4.264
19890131,0.325,0.284,0.266,0.406,0.24,33.168,243.26,2.447,101.849,0.038,2.539
19890201,0.827,0.11,0.559,2.134,0.803,34.518,246.704,1.34,101.987,0.021,1.966
19890202,1.119,1.187,0.664,0.996,0.803,35.138,260.082,1.073,101.141,0.132,2.769
19890203,3.711,3.009,0.977,4.993,0.657,37.89,265.758,2.6,100.2,0.149,3.568
19890204,3.014,2.484,1.278,3.98,0.261,11.292,307.173,1.091,100.396,2.58,3.775
19890205,2.828,2.669,0.647,3.118,0.296,22.001,287.059,1.592,99.049,3.118,4.342
19890206,2.382,2.529,1.852,2.115,0.995,20.461,265.445,1.82,99.53,0.345,3.251
19890207,4.421,4.22,0.735,4.788,0.14,29.416,309.034,1.167,99.697,4.337,2.992
19890208,1.575,1.07,0.697,2.495,0.553,40.46,238.651,1.803,100.986,0.068,2.829
19890209,-3.897,-4.177,1.37,-3.385,0.76,50.016,203.387,1.269,103.152,0.0,1.068
19890210,-2.645,-3.091,2.359,-1.832,0.932,46.701,240.844,0.592,103.582,0.097,1.808
19890211,0.389,0.238,0.226,0.665,0.263,21.415,305.593,0.542,102.269,0.687,1.952
19890212,0.94,0.71,0.531,1.292,0.458,16.415,313.551,0.526,100.964,4.364,2.103
19890213,0.376,0.202,0.683,0.641,1.035,54.327,249.545,1.334,100.54,0.588,2.345
19890214,0.488,0.087,0.355,1.101,0.29,32.946,276.248,1.203,100.317,4.916,3.374
19890215,-0.126,-0.142,0.209,-0.102,0.218,26.443,302.758,0.393,99.409,10.488,3.361
19890216,-0.359,-0.371,0.756,-0.34,0.526,56.069,250.07,0.956,98.288,0.615,2.135
19890217,-1.801,-2.495,1.028,-0.742,0.771,61.533,229.615,1.35,99.969,0.652,1.977
19890218,-2.114,-3.098,2.575,-0.613,2.76,66.502,219.678,1.271,101.7,0.004,1.505
19890219,-0.161,0.297,1.638,-0.859,0.272,10.48,279.722,1.152,100.116,10.484,4.043
19890220,-0.091,-0.638,1.877,0.743,0.534,69.985,241.099,0.908,99.483,0.307,2.198
19890221,-1.254,-2.031,0.947,-0.067,1.528,71.66,228.676,1.254,100.182,0.013,1.797
19890222,-1.591,-2.461,0.814,-0.264,1.076,75.417,220.119,1.088,100.449,0.0,1.74
19890223,-0.297,-0.692,1.015,0.211,0.374,27.712,287.083,0.595,99.907,5.482,2.275
19890224,0.563,0.485,0.361,0.664,0.289,67.885,254.842,0.942,99.169,0.643,2.746
19890225,0.347,0.385,0.181,0.297,0.338,55.754,285.349,0.759,99.11,5.95,2.758
19890226,1.902,1.678,0.857,2.19,0.408,23.327,315.114,0.538,98.023,8.295,3.472
19890227,2.713,2.08,0.742,3.528,0.747,14.409,324.737,0.68,97.538,5.81,3.169
19890228,1.334,1.057,0.511,1.69,0.443,39.172,303.285,0.561,97.84,2.694,2.07
19890301,1.409,1.143,0.463,1.75,0.303,43.069,306.898,0.548,99.07,2.178,2.081
19890302,1.003,0.664,0.29,1.439,0.407,48.718,300.157,0.775,100.235,1.565,1.499
19890303,0.582,0.413,0.234,0.801,0.397,45.207,303.264,0.353,100.796,2.646,1.115
19890304,0.359,0.08,0.232,0.717,0.503,34.744,309.419,0.334,101.419,0.338,0.74
19890305,0.596,0.42,0.162,0.803,0.316,34.275,304.741,0.391,101.531,5.773,1.775
19890306,0.518,0.104,0.296,1.007,0.887,64.192,299.254,0.533,102.344,0.085,1.039
19890307,-0.13,-0.501,0.266,0.273,0.174,55.053,288.483,0.861,102.807,0.082,1.993
19890308,-0.992,-1.759,0.787,-0.158,0.985,71.351,274.112,1.18,102.186,0.04,1.392
19890309,-1.599,-2.397,0.667,-0.732,1.312,56.343,288.426,0.746,101.995,0.126,0.556
19890310,-0.258,-0.609,1.282,0.124,1.124,91.53,276.579,1.417,102.135,0.887,2.197
19890311,1.219,0.742,0.638,1.739,0.234,15.447,320.193,0.893,101.607,18.247,3.913
19890312,0.012,-0.179,0.233,0.22,0.553,60.609,310.077,0.221,101.372,0.662,1.34
19890313,0.696,0.65,0.295,0.745,0.456,60.181,290.987,0.847,101.072,0.104,2.653
19890314,1.797,1.65,0.439,1.944,0.635,22.357,304.111,0.821,99.223,4.967,3.448
19890315,1.476,0.925,0.696,2.027,0.659,114.16,249.649,1.378,99.324,0.059,2.15
19890316,0.78,0.35,0.961,1.209,0.93,50.36,299.632,1.033,99.335,0.239,2.071
19890317,0.627,0.261,0.413,0.994,0.424,39.303,296.95,0.723,99.418,0.611,1.301
19890318,0.058,-0.492,0.319,0.608,0.906,136.259,224.524,2.211,100.205,0.002,2.2
19890319,0.852,0.77,0.577,0.928,0.637,31.568,287.369,1.0,99.964,5.54,2.989
19890320,1.597,0.644,1.671,2.474,1.575,119.563,269.797,0.928,100.497,0.207,1.705
19890321,2.979,2.642,0.267,3.289,0.382,43.314,321.634,1.253,100.023,4.949,2.376
19890322,1.51,1.721,0.251,1.315,0.691,79.286,284.368,1.075,98.953,7.594,2.731
19890323,1.669,1.002,0.537,2.282,0.733,91.241,293.075,0.954,98.654,5.848,2.907
19890324,0.544,0.047,0.909,0.964,1.341,139.403,265.562,1.03,99.207,4.312,2.496
19890325,1.256,0.415,0.364,1.968,0.832,86.801,301.696,0.377,98.273,5.725,1.434
19890326,1.512,0.658,0.723,2.235,1.358,87.865,296.291,1.466,99.968,0.616,2.037
19890327,0.451,-1.025,1.038,1.699,2.356,150.554,240.592,1.252,101.532,0.0,1.185
19890328,1.217,0.767,1.945,1.598,1.776,109.096,279.996,1.227,101.31,0.3,1.584
19890329,3.316,2.887,0.632,3.678,1.079,144.218,265.823,2.897,99.737,4.592,4.417
19890330,1.039,0.034,0.997,1.889,1.275,163.485,225.628,2.934,100.738,0.0,2.157
19890331,0.958,-0.974,1.878,2.46,2.62,152.745,247.974,3.422,101.177,0.0,0.946
19890401,-1.158,-2.083,0.57,-0.438,1.197,170.302,218.372,3.071,101.721,0.523,2.57
19890402,-2.151,-2.977,0.626,-1.508,1.373,139.678,241.273,2.806,101.61,0.113,2.74
19890403,-1.935,-3.031,1.495,-1.152,2.162,149.926,237.87,3.091,101.61,0.302,1.695
19890404,-1.729,-3.111,1.442,-0.742,2.014,124.803,256.168,2.975,102.451,0.0,0.969
19890405,-0.61,-2.97,2.075,1.075,2.642,194.444,220.867,2.147,102.776,0.0,0.443
19890406,1.898,-0.064,2.996,3.3,2.87,194.732,246.074,3.534,102.122,0.141,2.376
19890407,2.778,2.388,0.264,3.056,0.699,47.094,319.246,1.98,101.568,3.124,2.039
19890408,2.155,2.126,0.209,2.176,0.165,65.723,318.68,0.603,101.155,1.541,1.814
19890409,3.244,2.451,0.82,3.811,1.102,187.247,275.347,1.188,101.232,0.018,1.702
19890410,2.229,1.923,0.739,2.448,0.832,125.281,295.94,0.527,101.484,0.059,1.27
19890411,3.901,3.162,2.001,4.429,1.696,152.847,292.923,1.291,101.51,3.186,2.273
19890412,7.131,6.342,2.24,7.648,2.928,189.228,301.275,1.355,101.14,0.501,2.178
19890413,10.27,8.965,1.255,11.054,2.391,192.537,292.492,4.109,101.31,0.0,2.33
