TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-13.221,-13.086,3.737,-13.675,1.131,5.58,257.205,0.067,100.698,0.153,1.591
19890102,-6.551,-6.958,6.352,-5.18,1.827,2.99,292.517,0.061,100.195,0.432,3.046
19890103,1.067,1.206,0.737,0.601,0.832,6.589,260.042,0.836,99.443,0.02,3.678
19890104,-0.61,-0.419,0.699,-1.183,0.295,7.32,273.474,0.259,98.974,0.01,2.652
19890105,0.191,-0.064,0.772,0.954,0.129,2.863,318.296,0.259,98.356,1.721,2.756
19890106,-0.725,-0.579,0.85,-1.164,0.126,7.427,285.033,0.267,97.626,0.214,2.659
19890107,-2.128,-2.143,0.951,-2.086,0.323,4.061,302.466,0.263,97.337,1.228,2.008
19890108,-3.066,-3.098,0.155,-2.972,0.203,5.359,297.883,0.173,97.924,1.932,1.963
19890109,-0.519,-0.931,0.95,0.717,0.619,5.492,269.536,0.706,96.588,2.458,3.468
19890110,-1.018,-1.355,1.167,-0.007,0.21,8.125,274.72,0.396,96.578,3.507,2.964
19890111,-5.861,-5.904,2.051,-5.734,0.511,6.638,277.285,0.202,98.027,0.143,1.552
19890112,-2.415,-2.965,3.625,-0.766,1.219,2.372,307.168,0.252,98.378,1.596,3.054
19890113,0.228,0.243,0.398,0.181,0.068,1.797,322.508,0.056,98.075,8.827,1.687
19890114,-0.353,-0.388,0.449,-0.247,0.148,4.873,315.524,0.081,98.325,6.731,2.178
19890115,-0.262,-0.039,1.073,-0.932,0.473,3.996,279.611,0.287,96.677,5.062,3.562
19890116,1.033,0.712,1.436,1.997,0.153,9.878,273.94,1.755,97.186,0.111,4.135
19890117,-0.106,-0.502,1.205,0.96,0.92,7.8,285.117,1.184,96.616,2.106,4.693
19890118,-4.357,-4.0,2.348,-5.316,0.431,8.276,282.575,0.715,97.909,0.154,4.061
19890119,-4.747,-4.679,2.934,-4.928,1.243,5.522,290.913,0.177,99.142,0.275,2.351
19890120,-0.231,-0.636,0.362,0.754,0.327,11.893,302.09,0.108,98.891,0.048,2.033
19890121,-3.584,-3.093,1.2,-4.777,0.264,13.484,269.114,0.071,99.273,1.114,1.929
19890122,-0.521,-0.848,0.997,0.274,0.254,8.967,283.358,0.637,97.876,1.208,3.6
19890123,-3.992,-4.439,1.425,-2.905,0.228,19.527,225.454,0.813,98.816,0.015,3.237
19890124,-6.389,-6.505,0.762,-6.107,0.603,16.641,258.023,0.051,99.787,0.083,1.505
19890125,-1.045,-1.475,1.209,-0.002,0.367,7.824,300.164,0.104,99.738,0.699,2.33
19890126,-1.757,-2.121,0.73,-0.873,0.507,9.245,280.238,0.225,99.758,0.146,3.002
19890127,-0.882,-0.928,0.89,-0.77,0.581,24.034,267.716,0.724,99.625,0.267,3.494
19890128,2.654,2.497,0.758,3.001,0.19,6.835,326.254,0.915,98.64,0.408,4.672
19890129,1.509,1.599,0.561,1.311,0.449,19.237,265.232,2.306,98.495,0.876,5.03
19890130,0.535,0.291,1.419,1.071,0.35,26.36,247.566,2.15,97.676,0.654,5.106
19890131,-3.237,-3.26,0.658,-3.187,0.574,28.864,236.37,1.169,99.494,0.134,3.065
19890201,1.147,0.179,1.202,3.083,1.003,28.63,261.733,1.024,99.593,0.005,2.927
19890202,0.156,-0.358,0.545,1.183,0.989,28.818,265.069,1.012,98.7,0.029,3.469
19890203,2.15,1.467,1.001,3.515,1.154,30.413,272.656,1.913,97.639,0.211,4.533
19890204,1.024,0.32,3.112,2.432,1.772,5.501,300.826,0.579,97.939,2.093,4.004
19890205,0.937,1.116,1.374,0.578,0.211,7.679,300.058,0.521,96.587,9.585,4.141
19890206,-0.34,0.043,1.654,-1.105,0.657,26.205,272.557,1.085,97.118,0.897,3.754
19890207,1.468,1.065,0.828,2.202,0.511,30.473,280.909,1.453,97.412,0.362,3.228
19890208,-0.905,-1.786,1.474,0.7,1.123,39.487,252.021,1.474,98.587,0.003,3.788
19890209,-9.17,-9.233,1.446,-9.055,2.086,44.835,205.925,0.288,101.141,0.002,1.419
19890210,-5.702,-6.451,4.57,-4.335,2.596,40.492,242.016,0.441,101.392,0.029,2.626
19890211,-0.049,-0.187,0.276,0.203,0.192,12.301,317.787,0.32,100.028,1.271,2.468
19890212,-0.633,-0.808,0.803,-0.343,0.757,11.86,314.591,0.198,98.814,4.036,1.969
19890213,-2.053,-2.056,1.711,-2.049,0.757,48.588,260.762,0.55,98.205,2.247,2.764
19890214,-2.536,-3.486,2.961,-0.953,1.688,27.552,280.983,0.608,98.164,1.995,3.907
19890215,-0.578,-0.639,0.225,-0.475,0.397,19.973,311.845,0.31,97.211,9.059,4.247
19890216,-1.583,-2.01,1.728,-0.872,0.502,40.715,276.2,0.206,96.101,1.806,2.76
19890217,-5.507,-6.382,1.33,-4.173,1.818,58.065,230.601,0.413,97.814,0.299,2.176
19890218,-8.705,-9.566,2.183,-7.39,3.335,61.116,213.5,0.179,99.635,0.0,1.694
19890219,-4.011,-4.522,1.471,-3.231,0.84,17.896,288.978,0.6,98.235,9.201,4.594
19890220,-1.277,-1.634,1.007,-0.733,0.953,40.943,276.951,0.418,97.24,1.936,2.46
19890221,-2.512,-3.159,1.047,-1.526,1.563,65.093,231.178,0.514,97.913,0.0,2.462
19890222,-3.783,-4.844,1.622,-2.296,2.213,58.842,232.104,0.575,98.169,0.0,2.7
19890223,-5.123,-4.998,3.796,-5.298,2.722,40.865,269.782,0.159,97.903,5.056,2.317
19890224,-0.804,-0.785,0.228,-0.832,0.547,37.124,300.369,0.574,96.903,0.713,3.189
19890225,-1.842,-2.059,0.462,-1.537,0.741,39.517,296.931,0.398,97.52,0.709,2.455
19890226,-0.666,-0.773,1.101,-0.517,0.507,12.502,318.53,0.27,96.698,8.125,4.248
19890227,1.64,1.4,1.019,1.95,0.983,21.913,325.578,0.521,96.214,2.129,3.91
19890228,0.944,1.302,0.607,0.485,0.292,20.975,319.767,0.485,95.923,6.186,3.195
19890301,0.625,0.451,0.266,0.849,0.51,32.656,314.535,0.421,97.104,0.831,2.653
19890302,0.492,0.288,0.473,0.754,0.383,35.58,309.46,0.535,98.325,0.621,2.229
19890303,0.237,-0.211,0.543,0.765,0.673,43.368,309.689,0.426,99.026,0.295,1.859
19890304,0.026,-0.162,0.16,0.249,0.391,33.242,315.326,0.369,99.422,0.327,0.918
