TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-18.403,-18.403,2.956,-9999,-9999,0.0,214.137,0.059,97.268,0.035,3.435
19890102,-9.685,-9.685,4.464,-9999,-9999,0.0,252.338,0.2,95.688,0.896,5.476
19890103,-4.38,-4.38,0.669,-9999,-9999,0.0,213.676,0.439,94.829,0.016,5.412
19890104,-5.874,-5.874,1.22,-9999,-9999,0.0,217.131,0.394,95.247,0.029,3.564
19890105,-3.096,-3.096,1.5,-9999,-9999,0.0,281.732,0.373,94.39,2.489,3.971
19890106,-5.007,-5.007,2.089,-9999,-9999,0.0,272.062,0.22,94.158,0.621,3.011
19890107,-12.894,-12.894,4.298,-9999,-9999,0.0,214.173,0.093,94.957,1.025,2.53
19890108,-21.027,-21.027,1.296,-9999,-9999,0.0,180.46,0.06,95.234,0.054,2.072
19890109,-10.627,-10.691,2.283,-9.157,0.096,0.018,241.513,0.155,94.119,0.68,4.953
19890110,-12.137,-12.07,1.625,-13.14,0.534,0.062,237.055,0.075,93.578,0.86,2.881
19890111,-13.235,-13.408,2.621,-11.333,1.141,0.139,214.666,0.064,94.984,0.058,2.82
19890112,-13.226,-13.402,3.192,-11.299,0.998,0.149,231.333,0.11,94.911,1.969,4.072
19890113,-13.159,-13.088,1.467,-13.769,0.504,0.24,232.623,0.047,95.21,0.056,1.693
19890114,-11.743,-11.806,1.277,-11.2,0.4,0.334,241.752,0.33,95.958,1.781,6.025
19890115,-14.696,-14.572,1.487,-15.564,0.179,0.273,251.259,0.168,93.65,4.797,5.313
19890116,-12.367,-12.057,0.895,-14.538,0.293,0.631,240.284,0.075,93.708,0.167,2.64
19890117,-10.239,-10.317,0.765,-9.779,0.165,0.578,257.747,0.064,93.607,0.846,3.052
19890118,-7.095,-7.387,1.495,-5.383,0.682,0.821,260.392,0.088,95.017,0.675,4.003
19890119,-7.997,-8.041,1.284,-7.741,0.22,0.347,241.286,0.134,95.269,3.208,4.616
19890120,-8.22,-8.215,1.233,-8.25,1.555,1.476,206.267,0.118,94.879,0.364,4.671
19890121,-7.287,-7.324,0.381,-7.1,0.434,2.14,210.508,0.412,95.111,0.013,5.205
19890122,-4.595,-4.942,1.329,-3.089,0.304,0.933,278.457,0.355,93.832,5.464,4.245
19890123,-6.976,-7.044,2.786,-6.682,1.641,2.041,245.252,0.501,94.575,1.483,5.978
19890124,-10.986,-10.773,1.658,-11.909,1.228,2.811,221.316,0.092,96.351,0.126,3.52
19890125,-6.369,-6.247,3.106,-6.898,0.783,1.043,267.323,0.316,95.744,2.826,4.988
19890126,-1.221,-1.526,1.651,0.1,0.916,2.75,276.172,0.608,95.429,0.376,5.263
19890127,-1.622,-1.701,0.452,-1.354,0.31,4.725,257.07,0.952,94.866,0.517,5.778
19890128,-0.027,-0.398,1.842,1.221,0.237,1.512,282.1,1.093,93.547,0.908,7.574
19890129,-0.435,-0.216,1.003,-1.172,0.133,1.977,243.329,1.735,92.91,1.814,7.822
19890130,-3.741,-4.025,2.592,-2.785,0.326,3.218,258.576,0.505,92.932,1.063,4.759
19890131,-10.976,-10.986,2.749,-10.941,0.764,6.18,210.467,0.182,95.439,0.247,3.851
19890201,-6.45,-6.376,1.91,-6.701,0.95,4.445,240.997,0.255,95.351,0.19,3.748
19890202,-2.788,-2.85,1.113,-2.603,0.185,7.769,227.707,1.455,93.633,0.296,6.599
19890203,-2.636,-3.575,1.408,-0.105,0.39,4.0,272.34,0.666,92.757,4.247,4.999
19890204,-5.195,-5.145,3.68,-5.329,2.132,2.001,237.909,0.491,93.522,3.116,5.523
19890205,-2.86,-2.776,0.446,-3.088,0.339,6.732,259.977,0.64,92.646,0.07,3.9
19890206,-5.013,-4.825,0.603,-5.518,0.27,4.976,277.239,0.207,93.077,1.245,2.65
19890207,-6.418,-6.361,1.301,-6.573,0.363,6.723,274.11,0.066,93.15,1.137,1.592
19890208,-11.55,-11.818,1.207,-10.828,0.503,10.54,215.579,0.051,95.171,0.154,2.818
19890209,-12.158,-12.673,1.634,-11.026,1.469,13.753,185.278,0.159,97.259,0.002,4.441
19890210,-11.794,-11.521,2.501,-12.396,0.859,11.954,231.83,0.105,97.684,0.141,3.243
19890211,-4.802,-5.332,0.974,-3.637,0.494,5.32,277.922,0.132,96.393,0.823,3.169
19890212,-4.323,-4.639,0.809,-3.629,0.53,7.496,280.506,0.184,95.278,0.521,3.618
19890213,-10.481,-10.239,1.483,-11.014,0.184,15.214,229.369,0.023,94.548,0.017,2.719
19890214,-7.959,-8.117,4.371,-7.611,2.201,12.761,235.131,0.209,94.216,3.157,4.885
19890215,-5.349,-4.302,2.087,-7.654,1.427,17.178,249.134,0.547,93.314,3.282,6.182
19890216,-2.791,-2.809,1.402,-2.759,0.255,22.234,253.122,1.094,92.144,0.793,7.009
19890217,-6.578,-7.216,1.681,-5.414,1.097,16.394,213.864,0.646,93.774,0.119,4.438
19890218,-10.707,-10.679,2.156,-10.758,2.01,28.051,192.893,0.475,95.786,0.09,4.773
19890219,-7.458,-7.409,2.513,-7.547,1.992,20.602,220.494,0.835,95.337,0.388,5.992
