TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-1.408,-1.594,0.675,-1.098,0.75,57.83,292.895,0.0,100.297,0.045,0.972
19890102,-2.603,-2.755,0.599,-2.35,0.882,66.381,266.943,0.0,100.073,0.006,1.12
19890103,3.363,1.574,2.561,6.345,2.246,85.603,262.881,0.319,100.106,0.0,3.149
19890104,3.434,1.896,2.447,5.997,3.876,82.547,272.853,0.581,100.521,1.69,1.707
19890105,5.523,4.765,0.859,6.788,1.586,58.878,303.857,0.465,100.61,0.986,2.685
19890106,7.278,6.692,0.758,8.253,0.741,17.668,338.104,0.473,99.099,10.967,3.23
19890107,6.608,6.522,0.969,6.75,1.184,41.675,336.662,0.081,99.496,0.083,1.742
19890108,5.576,4.971,1.143,6.584,0.996,55.925,321.428,0.313,99.53,0.003,1.158
19890109,5.804,3.805,1.531,8.855,2.321,87.463,294.004,0.581,99.094,0.005,1.491
19890110,6.503,5.455,1.173,8.104,1.24,47.448,328.145,0.257,99.176,0.002,1.991
19890111,7.497,5.96,1.791,9.843,1.824,69.1,316.949,0.461,99.231,0.002,2.762
19890112,8.519,6.861,1.328,11.049,1.918,84.733,303.111,1.046,99.56,0.0,2.418
19890113,6.565,4.602,1.887,9.562,3.2,92.612,281.872,0.895,100.282,0.001,1.808
19890114,6.523,4.584,2.567,9.482,3.968,93.314,286.653,1.104,100.6,0.0,1.648
19890115,7.471,6.143,1.39,9.497,1.956,55.929,323.149,0.348,100.695,0.003,1.31
19890116,5.211,3.558,1.604,7.734,2.389,76.14,300.066,0.471,100.362,0.001,1.832
19890117,4.487,3.885,1.533,5.405,1.192,37.833,323.941,0.14,100.409,0.092,1.308
19890118,4.359,4.123,0.46,4.719,0.697,31.212,327.99,0.814,100.268,0.111,1.253
19890119,3.941,3.022,2.218,5.344,2.901,74.134,295.625,0.524,99.971,0.031,2.014
19890120,5.843,4.748,1.449,7.376,2.375,66.851,300.892,0.77,99.693,0.054,1.612
19890121,6.101,4.952,2.852,7.709,2.418,67.381,308.748,1.187,99.725,0.309,2.791
19890122,6.592,5.972,1.92,7.462,0.851,84.806,303.765,1.114,99.936,2.552,4.492
19890123,2.189,0.321,1.551,4.804,2.953,93.626,270.204,0.643,100.141,0.0,1.552
19890124,2.438,-0.129,3.463,6.032,4.353,110.984,254.458,1.166,99.695,0.0,2.347
19890125,5.506,2.96,2.783,9.071,4.122,110.606,264.452,1.924,99.47,0.001,3.209
19890126,5.538,3.166,1.955,8.859,3.872,111.916,264.662,1.676,99.509,0.0,2.813
19890127,5.387,3.263,2.161,8.361,3.653,111.94,267.634,1.771,100.183,0.0,2.399
19890128,5.533,3.007,1.973,9.069,3.937,113.653,268.761,1.647,100.348,0.0,2.627
