TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,1.155,1.026,0.473,1.369,0.564,39.278,300.917,0.42,102.859,0.092,1.034
19890102,-0.481,-0.462,0.544,-0.515,0.328,66.807,259.88,0.24,102.595,0.05,1.053
19890103,0.845,-0.225,1.653,2.63,2.259,79.748,238.355,0.49,102.58,0.0,1.537
19890104,3.591,2.796,3.523,4.805,2.562,67.564,282.666,0.785,103.016,3.007,1.87
19890105,7.417,6.577,2.392,8.699,2.543,58.841,297.659,0.764,103.119,0.33,1.638
19890106,9.386,8.944,1.443,10.061,0.717,14.598,328.26,0.42,101.251,16.137,3.0
19890107,8.263,7.991,0.425,8.679,0.589,40.227,339.703,0.569,101.969,0.171,1.326
19890108,7.685,7.127,0.384,8.536,0.865,51.462,328.015,0.949,101.972,0.087,1.509
19890109,6.295,5.958,1.472,6.808,1.47,52.274,315.799,0.338,101.415,0.019,1.035
19890110,6.23,5.697,0.959,7.044,1.311,50.74,293.612,0.472,101.541,0.001,1.741
19890111,6.662,5.357,1.736,8.654,2.342,76.795,286.085,0.725,101.546,0.002,1.969
19890112,8.374,6.857,2.08,10.689,2.919,78.456,287.281,1.482,101.859,0.029,2.03
19890113,8.729,7.092,1.877,11.228,3.159,87.015,278.96,1.693,102.675,0.001,1.788
19890114,9.165,7.487,2.247,11.726,3.432,80.098,291.623,1.484,103.105,0.058,1.362
19890115,8.085,7.521,1.634,8.947,0.766,55.454,317.973,0.581,103.295,0.008,1.68
19890116,6.346,5.489,0.854,7.655,1.228,59.719,317.533,0.514,102.845,0.011,1.132
19890117,6.044,5.146,1.529,7.415,1.252,34.981,322.947,0.882,102.962,0.127,0.924
19890118,5.396,4.36,0.9,6.977,2.123,66.757,288.896,1.332,102.819,0.027,1.346
19890119,3.584,2.578,1.904,5.12,1.971,72.235,280.03,0.847,102.456,0.004,1.271
19890120,4.933,3.736,1.421,6.762,2.579,84.675,273.611,0.97,102.108,0.018,1.438
19890121,7.827,7.099,2.068,8.939,1.179,36.438,314.101,0.829,102.045,2.368,2.888
19890122,8.113,7.111,2.247,9.643,1.012,93.837,274.678,1.72,102.511,1.214,2.196
19890123,3.68,1.941,1.614,6.334,2.824,99.548,245.127,1.152,102.664,0.001,1.484
19890124,4.32,2.313,2.597,7.385,3.787,103.889,243.287,1.598,102.074,0.0,1.856
19890125,5.43,3.147,2.646,8.915,4.36,103.507,247.009,2.189,101.793,0.0,2.053
19890126,6.438,4.139,2.411,9.948,3.699,104.239,254.534,2.214,101.877,0.0,1.96
19890127,5.496,3.592,2.697,8.403,3.909,107.429,250.947,1.683,102.633,0.0,1.644
19890128,6.349,3.98,2.878,9.965,4.498,109.107,251.324,2.425,102.828,0.0,1.834
19890129,5.715,2.919,2.521,9.628,4.486,109.819,252.593,2.192,103.283,0.0,1.374
19890130,4.548,2.748,1.619,7.068,3.306,109.598,241.95,2.132,103.229,0.0,1.688
19890131,4.106,1.919,2.429,7.167,3.782,115.045,245.031,1.692,103.018,0.0,1.536
19890201,6.174,3.856,2.583,9.153,4.11,105.29,262.384,2.175,102.889,0.0,1.832
19890202,6.013,3.589,2.31,9.13,4.406,115.009,261.849,2.047,102.707,0.0,1.218
19890203,6.104,3.816,2.891,9.046,4.44,111.68,262.792,2.289,102.523,0.0,1.718
19890204,6.507,4.516,1.179,9.067,3.58,106.742,277.565,1.635,102.452,1.822,1.043
19890205,5.395,3.172,2.575,8.252,4.563,103.368,282.143,1.363,102.881,0.001,0.818
19890206,5.658,3.717,2.954,8.153,3.844,106.19,276.654,1.61,102.889,0.0,1.688
19890207,6.819,4.445,2.687,9.872,4.594,126.152,254.646,2.738,102.41,0.0,1.591
19890208,7.071,4.694,2.862,10.127,4.564,126.329,262.953,2.553,101.916,0.0,1.548
19890209,8.792,6.397,2.939,11.873,4.349,127.65,274.546,3.54,101.228,0.006,2.115
19890210,9.69,8.184,1.221,11.626,2.531,95.129,312.67,2.259,101.779,6.405,1.197
19890211,7.582,5.765,2.359,9.919,3.582,98.193,297.184,1.494,103.041,0.034,1.213
19890212,8.158,5.653,2.711,11.379,4.579,131.075,272.214,2.516,103.583,0.0,1.382
19890213,8.223,7.291,2.734,9.422,3.056,91.732,311.733,1.398,103.27,0.31,1.328
19890214,8.735,7.82,2.112,9.911,1.367,121.354,283.745,2.817,103.214,0.629,2.933
19890215,6.195,3.701,3.365,9.403,4.176,135.514,251.984,2.631,102.571,0.0,1.182
19890216,7.383,4.888,2.736,10.592,3.489,117.223,277.593,2.082,101.719,0.002,1.596
19890217,8.425,6.522,3.936,10.872,3.661,133.721,282.473,2.542,101.497,0.001,1.392
19890218,12.449,10.257,2.337,15.267,3.077,115.818,304.358,4.818,101.865,0.002,1.308
19890219,12.691,9.651,3.639,16.283,5.384,145.993,294.827,5.364,102.318,0.0,1.37
19890220,12.549,10.701,1.88,14.734,2.491,81.33,316.595,3.282,102.037,0.001,1.6
19890221,11.228,10.179,1.193,12.467,1.852,106.229,331.322,1.889,101.526,0.281,2.606
19890222,9.929,8.363,1.882,11.632,3.025,120.932,312.128,3.353,101.223,0.062,1.467
19890223,8.425,7.73,1.774,9.18,1.059,77.563,316.185,1.657,100.431,9.665,1.901
19890224,5.937,5.055,1.757,6.896,1.437,41.232,296.03,0.765,98.492,8.527,3.827
19890225,8.315,7.268,0.482,9.452,0.878,56.285,316.745,1.305,97.15,27.378,5.855
19890226,5.467,5.465,0.618,5.469,0.513,80.471,306.506,0.579,97.762,18.224,5.72
19890227,7.495,6.608,0.684,8.458,0.641,97.685,313.693,0.907,99.161,14.919,4.87
19890228,8.924,8.104,0.56,9.814,0.857,87.358,317.368,1.682,99.654,12.583,4.131
19890301,8.87,7.829,0.94,10.001,1.663,123.469,316.616,1.557,100.377,13.111,2.378
19890302,12.049,9.878,1.874,14.409,2.501,118.038,329.061,2.929,100.671,10.296,3.304
19890303,11.47,10.748,0.558,12.255,0.683,90.121,315.698,2.283,100.906,4.448,5.143
19890304,11.812,10.698,0.989,13.023,0.939,92.415,344.358,0.988,101.598,1.384,1.631
19890305,13.746,11.247,2.804,16.463,3.679,173.71,304.658,3.796,101.1,0.0,2.535
19890306,14.601,11.898,2.512,17.539,3.86,178.664,302.159,5.261,100.905,0.0,2.064
19890307,10.754,10.152,1.372,11.408,0.944,94.925,309.783,1.563,101.381,0.878,2.553
19890308,8.5,6.613,2.323,10.552,3.032,168.932,279.104,2.867,101.982,0.001,1.271
19890309,10.319,8.018,2.95,12.82,4.21,181.371,283.637,5.122,101.707,0.0,1.947
19890310,12.677,9.629,2.757,15.99,4.498,192.859,287.935,5.75,101.457,0.0,1.347
19890311,12.926,9.904,3.987,15.948,5.486,194.726,291.498,4.766,101.641,0.0,1.189
19890312,13.738,10.715,1.683,16.76,4.019,196.374,295.925,4.523,101.202,0.0,1.912
19890313,10.016,9.497,1.766,10.494,0.776,83.183,318.084,2.125,101.722,2.361,2.523
19890314,8.935,6.418,3.579,11.25,4.109,198.818,273.619,3.534,101.774,0.0,1.181
19890315,12.143,10.752,1.054,13.423,1.606,112.39,333.829,3.204,100.671,1.536,3.411
19890316,12.055,10.46,0.933,13.523,2.432,145.178,326.726,2.545,99.839,3.237,2.665
19890317,9.489,8.221,1.534,10.656,1.502,156.54,295.845,2.619,100.447,1.304,2.409
19890318,7.303,5.148,1.898,9.286,2.882,199.73,257.448,2.871,101.397,0.0,1.673
19890319,7.528,4.724,3.021,10.107,4.265,221.624,250.121,3.644,101.228,0.0,1.729
19890320,8.044,6.291,2.521,9.656,2.343,124.71,293.975,1.795,100.912,3.475,2.355
19890321,10.785,9.897,1.626,11.602,1.399,101.536,329.289,1.993,101.475,1.962,3.032
19890322,12.58,11.515,0.614,13.559,1.253,165.61,321.084,2.207,102.031,0.4,2.927
19890323,10.218,9.234,1.89,11.124,1.673,192.11,304.339,3.384,102.237,0.903,2.271
19890324,10.122,8.307,3.099,11.791,2.218,120.65,322.677,2.758,101.944,0.087,2.064
19890325,12.765,11.292,1.121,14.121,1.557,124.318,332.967,2.944,101.696,0.146,1.253
19890326,15.036,11.442,5.825,18.343,6.479,230.451,296.222,7.758,100.796,0.0,2.481
19890327,17.441,14.92,2.112,19.761,3.98,227.629,315.804,7.902,100.277,0.006,2.888
19890328,15.346,13.9,1.33,16.569,2.233,121.818,327.668,5.427,100.588,0.102,1.64
19890329,13.13,11.016,1.676,14.918,2.554,186.52,316.954,2.746,101.485,0.002,1.319
19890330,13.475,10.908,3.024,15.647,4.306,217.059,316.265,4.736,101.291,0.001,1.08
19890331,13.408,11.649,1.14,14.896,2.28,179.897,327.382,3.541,100.645,1.124,2.044
19890401,12.169,11.204,0.596,12.986,1.111,136.169,338.228,1.825,100.677,2.434,2.517
19890402,9.191,9.223,1.259,9.163,0.371,60.601,337.926,0.808,100.38,10.959,1.526
19890403,9.114,7.847,1.08,10.186,1.609,91.342,335.352,1.438,99.098,5.11,1.889
19890404,6.6,6.511,0.414,6.675,0.875,30.711,331.913,0.399,98.398,35.061,2.487
19890405,6.999,6.078,0.526,7.778,0.965,163.187,296.721,0.695,99.559,7.694,3.087
19890406,9.408,7.991,1.992,10.51,2.076,174.043,301.775,1.737,100.288,2.371,3.286
19890407,10.315,9.198,0.394,11.184,1.719,170.947,313.611,2.18,100.623,9.51,1.838
19890408,11.288,9.262,2.605,12.864,3.157,192.377,312.656,3.842,100.446,4.884,1.831
19890409,13.014,11.808,0.784,13.953,0.969,104.982,324.124,2.669,99.769,7.473,1.963
19890410,11.391,10.041,0.749,12.44,0.986,205.853,305.537,2.006,100.145,1.496,2.666
19890411,12.63,10.218,3.071,14.506,3.387,135.618,335.635,3.075,100.235,7.121,2.129
19890412,10.501,9.742,1.474,11.092,0.984,201.264,314.731,1.622,99.735,21.498,3.852
19890413,8.332,7.957,0.374,8.624,0.767,165.47,308.898,1.053,99.853,12.014,4.199
19890414,9.779,7.781,0.979,11.206,1.918,236.077,288.754,2.222,100.914,2.355,2.48
19890415,11.163,8.08,3.454,13.365,4.093,208.733,314.873,3.074,100.641,10.286,2.086
19890416,9.238,9.404,0.714,9.119,0.404,115.818,312.971,1.418,100.077,17.096,6.952
19890417,10.089,9.128,0.615,10.775,0.738,165.468,320.421,1.058,100.156,9.289,3.758
19890418,11.332,9.211,0.92,12.847,2.068,224.279,303.038,2.444,100.884,1.077,1.472
19890419,13.039,9.732,3.393,15.401,4.669,237.878,301.91,4.962,100.594,0.067,1.605
19890420,12.226,10.675,0.991,13.334,2.331,154.017,314.967,3.016,100.711,2.054,1.57
19890421,10.972,8.986,1.133,12.39,1.951,245.763,284.09,3.067,101.168,1.062,2.027
