TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,4.441,2.588,2.432,7.269,3.328,83.501,266.427,2.374,97.504,0.001,0.899
19890102,5.37,3.919,1.781,7.584,2.446,84.425,266.489,2.623,97.607,0.001,1.315
19890103,6.06,4.328,1.328,8.702,1.737,86.911,259.305,3.233,98.088,0.0,2.665
19890104,4.873,3.358,2.032,7.184,2.987,87.043,249.789,3.817,98.306,0.0,1.463
19890105,4.06,2.658,1.928,6.2,2.661,86.717,248.107,3.326,97.696,0.001,3.059
19890106,3.576,2.641,2.038,5.003,1.967,48.963,286.389,2.117,96.734,1.081,1.587
19890107,4.808,3.854,1.803,6.264,3.045,85.93,262.96,2.334,96.312,0.008,2.88
19890108,5.646,4.057,2.591,8.072,3.891,89.01,261.828,3.064,96.511,0.002,1.412
19890109,7.527,6.887,1.225,8.503,1.339,55.557,317.153,2.144,96.88,0.301,2.12
19890110,8.627,7.901,0.641,9.734,1.362,56.306,320.602,2.22,97.023,0.189,1.612
19890111,7.684,6.783,0.987,9.059,1.686,62.258,307.717,2.609,97.114,0.145,1.818
19890112,8.274,7.357,0.938,9.673,1.685,74.783,298.734,3.034,97.489,0.059,2.386
19890113,7.24,5.768,1.858,9.486,3.002,93.86,268.317,2.354,97.881,0.0,1.564
19890114,6.675,5.289,1.487,8.79,2.757,90.325,277.95,1.994,98.163,0.002,1.781
19890115,7.13,5.705,2.12,9.305,2.383,69.276,286.303,2.446,98.211,0.053,1.4
19890116,6.001,4.809,1.332,7.819,2.48,78.192,285.086,1.932,98.164,0.006,0.885
19890117,4.672,3.733,1.284,6.106,2.223,73.509,286.538,1.739,97.865,0.006,1.371
19890118,5.74,4.755,1.994,7.243,1.64,65.065,301.982,2.515,97.659,0.077,1.848
19890119,6.824,5.815,0.675,8.364,1.8,65.237,292.664,2.847,97.685,0.028,2.478
19890120,7.171,6.348,1.603,8.428,2.052,82.766,288.634,3.063,97.601,1.485,2.986
19890121,7.398,7.045,0.714,7.936,0.601,46.569,322.563,2.607,97.354,2.192,2.367
19890122,5.604,5.181,0.932,6.25,0.346,88.003,275.427,2.795,96.779,3.94,3.711
19890123,5.06,3.205,1.998,7.656,3.26,106.987,247.811,3.836,97.449,0.0,1.539
19890124,5.637,3.846,1.784,8.143,3.117,108.951,251.5,4.069,97.492,0.0,1.085
19890125,5.641,3.715,2.136,8.338,2.999,109.062,255.194,3.594,97.505,0.0,1.415
19890126,6.01,4.207,2.007,8.533,2.951,111.328,256.357,4.142,97.443,0.0,0.974
19890127,5.718,3.613,1.512,8.666,3.028,113.067,251.902,4.022,97.945,0.0,1.962
19890128,5.3,3.355,1.557,8.023,3.272,115.924,248.43,3.991,98.112,0.0,1.688
19890129,5.831,3.584,3.221,8.976,4.43,118.273,248.6,4.595,97.992,0.0,1.148
19890130,6.56,4.385,2.246,9.604,3.643,118.145,255.31,4.513,98.307,0.0,0.948
19890131,5.425,3.372,1.789,8.299,3.297,121.473,249.052,3.484,98.418,0.0,1.126
19890201,4.849,2.463,1.636,7.918,3.715,122.584,246.994,3.735,98.152,0.0,1.589
19890202,4.863,2.956,2.147,7.315,3.416,110.129,257.321,3.428,97.825,0.0,1.039
19890203,4.743,2.965,2.015,7.029,3.21,123.428,255.653,3.114,97.784,0.0,0.832
19890204,5.005,3.555,1.884,6.869,2.461,95.659,274.299,2.933,97.684,0.0,1.146
19890205,5.132,3.62,2.434,7.077,3.237,128.283,255.268,3.228,97.64,0.0,1.054
19890206,6.091,4.175,2.063,8.553,3.599,129.268,257.861,3.438,98.001,0.0,0.9
19890207,6.02,3.949,2.19,8.684,3.965,125.777,270.362,3.186,97.884,0.001,1.079
19890208,6.862,4.372,2.222,10.063,3.8,131.452,263.019,4.219,97.435,0.0,1.178
19890209,6.938,5.001,1.81,9.429,3.263,130.966,265.514,3.866,96.995,0.0,1.159
19890210,7.829,6.145,1.121,9.993,1.863,113.454,278.237,3.446,97.375,0.066,3.014
19890211,6.814,4.89,1.278,9.289,3.235,138.04,262.673,3.768,98.27,0.0,1.712
19890212,7.257,5.867,3.097,9.044,3.466,142.278,254.462,4.626,98.295,0.0,3.143
19890213,9.095,7.809,1.035,10.748,2.1,143.97,258.079,6.182,97.551,0.0,3.958
19890214,6.865,6.49,0.71,7.347,0.583,133.469,258.23,5.564,96.802,0.013,6.346
19890215,5.408,4.083,1.818,6.973,3.326,142.459,241.959,5.878,97.051,0.0,2.175
19890216,7.034,4.711,2.927,9.78,4.241,152.195,250.287,6.444,96.615,0.0,2.736
19890217,7.403,5.623,1.304,9.508,2.925,153.543,259.793,4.607,96.655,0.0,2.05
19890218,9.377,7.307,3.11,11.824,3.306,132.83,280.398,6.042,97.113,0.0,1.811
19890219,10.866,9.025,2.395,13.04,3.918,144.392,290.511,6.259,97.527,0.0,1.461
19890220,8.943,7.268,1.087,10.923,2.289,147.187,285.796,2.749,97.455,0.004,1.41
19890221,9.93,8.526,1.458,11.589,2.011,100.222,312.365,3.538,96.869,0.0,1.795
19890222,9.476,8.367,0.859,10.787,1.623,128.147,303.964,2.691,96.571,0.017,1.025
19890223,9.653,9.187,0.67,10.16,0.786,70.319,331.313,2.025,95.899,8.979,3.052
19890224,9.099,8.747,0.899,9.482,0.416,111.69,326.372,2.235,94.344,18.893,4.132
19890225,7.34,6.861,1.279,7.862,1.818,65.567,305.653,2.466,93.12,8.578,3.843
19890226,6.6,5.789,0.502,7.483,0.957,148.957,263.304,4.134,93.021,1.045,6.375
19890227,6.46,5.705,1.39,7.28,1.408,147.919,268.874,3.896,94.218,2.65,5.481
19890228,7.813,7.114,0.989,8.573,1.353,153.758,279.183,3.826,94.88,1.286,5.004
19890301,7.92,7.779,0.99,8.074,1.37,128.849,293.708,4.38,95.341,2.444,3.632
19890302,8.188,7.073,1.325,9.401,2.246,176.39,266.464,3.997,96.246,0.001,2.952
19890303,9.946,9.056,1.454,10.914,1.733,157.33,288.242,4.279,95.755,1.341,4.057
19890304,10.467,8.765,1.313,12.318,2.26,189.088,259.659,6.359,96.376,0.0,4.313
19890305,9.951,7.538,1.27,12.574,2.448,187.787,269.215,5.475,96.821,0.0,2.507
19890306,9.441,7.717,1.629,11.315,2.6,184.227,277.053,4.326,96.908,0.012,1.786
19890307,8.85,6.606,2.08,11.289,3.392,184.919,272.463,4.547,96.849,0.0,1.474
19890308,8.971,8.078,0.49,9.941,1.197,194.445,266.13,5.509,96.301,0.0,5.072
19890309,8.675,7.068,2.042,10.421,3.539,200.381,254.349,6.876,96.582,0.0,2.226
19890310,9.111,6.734,1.657,11.489,3.038,198.159,266.27,5.726,96.996,0.0,1.098
19890311,9.137,6.91,1.525,11.364,2.663,192.758,280.553,3.838,97.013,0.001,1.266
19890312,9.009,7.291,1.419,10.728,2.473,178.99,291.943,2.622,96.791,0.004,1.06
19890313,9.955,8.494,1.74,11.299,2.974,183.343,297.065,3.764,96.242,0.01,2.44
19890314,9.977,8.169,1.114,11.641,2.622,166.883,277.242,7.275,96.198,0.0,3.617
19890315,9.372,6.949,2.451,11.6,2.579,205.484,275.745,6.101,95.977,0.0,2.226
19890316,9.924,8.559,2.162,11.179,2.312,186.624,300.264,3.155,95.451,0.075,2.352
19890317,10.759,10.053,0.513,11.408,0.887,107.418,350.729,2.068,95.357,6.326,3.067
19890318,8.78,7.513,1.336,9.946,2.257,147.463,296.99,4.106,95.903,0.001,2.597
19890319,9.767,7.462,2.94,11.888,2.981,189.712,293.108,3.841,95.999,0.006,1.439
19890320,11.011,9.215,1.213,12.663,2.626,195.545,304.802,5.199,95.504,1.076,2.225
19890321,10.122,9.053,0.773,11.106,2.182,226.575,270.326,7.762,95.466,0.007,6.427
19890322,13.116,11.183,1.663,14.894,2.535,227.602,278.145,8.414,96.21,0.0,4.908
19890323,11.298,10.306,1.706,12.211,1.364,236.87,260.648,8.204,96.338,0.0,5.899
19890324,10.079,8.71,3.129,11.338,3.782,231.337,266.995,8.462,96.411,0.0,3.226
19890325,12.216,10.016,1.891,14.241,4.14,239.215,274.557,8.237,96.216,0.0,3.004
19890326,11.713,8.821,1.983,14.374,3.486,241.677,276.863,6.074,96.464,0.0,1.956
19890327,12.459,10.467,1.498,14.292,2.354,231.905,290.984,6.116,96.624,0.018,2.836
19890328,13.952,11.608,1.696,16.11,2.591,244.531,282.369,10.023,96.557,0.0,3.241
19890329,13.35,11.088,1.568,15.431,2.997,229.879,291.456,8.425,96.793,0.0,2.044
19890330,14.388,12.305,2.172,16.15,2.855,219.909,292.9,11.171,96.798,0.004,3.295
19890331,15.259,13.87,0.701,16.434,1.402,215.172,315.802,10.267,96.321,0.813,4.863
19890401,11.789,11.182,0.645,12.302,1.139,188.406,313.376,2.822,96.024,1.75,1.991
19890402,11.934,10.191,1.255,13.409,2.952,250.654,288.054,3.773,95.507,0.001,2.313
19890403,10.987,10.282,1.008,11.582,0.967,72.879,330.479,2.337,94.662,6.073,2.773
19890404,9.692,9.301,1.579,9.996,0.913,112.928,322.224,2.57,94.319,16.308,3.195
19890405,8.155,7.311,0.79,8.812,1.621,240.644,283.038,4.215,94.779,1.107,2.824
19890406,7.879,6.684,1.557,8.808,2.405,252.541,260.402,4.505,95.729,0.105,3.006
19890407,10.241,8.724,2.655,11.421,2.603,199.958,300.108,3.247,96.208,1.029,2.166
19890408,12.374,11.285,0.626,13.222,1.158,191.863,316.737,3.765,95.994,0.079,4.275
19890409,12.527,11.238,2.131,13.529,2.064,212.424,303.211,5.424,95.917,0.023,4.257
19890410,14.011,13.827,0.605,14.154,0.769,125.174,327.19,7.803,95.382,1.831,5.271
19890411,13.469,11.865,1.268,14.716,2.026,196.859,316.573,5.302,95.522,0.92,1.695
19890412,10.452,10.318,2.399,10.557,1.465,57.696,331.659,2.434,94.953,26.129,4.004
19890413,9.254,8.23,0.899,10.05,1.533,217.47,294.81,5.337,94.404,0.536,6.335
19890414,9.636,8.643,1.318,10.408,2.03,166.838,289.756,5.872,95.012,1.006,6.562
19890415,10.706,8.793,1.264,12.193,2.656,287.496,262.868,6.401,95.694,0.0,4.535
19890416,9.735,8.624,0.661,10.598,0.678,178.769,305.625,3.799,95.423,2.56,3.552
19890417,8.801,8.007,0.649,9.368,1.441,234.283,290.336,4.094,95.336,1.101,4.565
19890418,10.74,8.721,2.426,12.182,2.99,226.786,290.424,4.843,95.682,0.201,3.118
19890419,10.543,8.792,1.676,11.794,2.57,279.284,278.529,3.688,96.119,0.0,1.47
19890420,10.433,8.536,2.247,11.788,3.384,241.086,297.667,3.688,96.147,0.001,1.539
19890421,10.732,9.059,1.113,11.927,1.901,219.939,294.643,4.097,95.957,0.793,2.235
19890422,9.146,7.83,1.303,10.086,2.197,299.053,254.567,6.894,95.984,0.435,3.848
19890423,9.202,7.495,1.697,10.421,3.095,301.702,264.657,5.874,96.087,1.058,2.049
19890424,11.725,10.287,1.194,12.752,1.838,258.002,315.328,6.644,96.057,1.055,3.448
19890425,11.613,11.005,1.38,12.047,1.569,176.945,335.057,3.925,95.043,9.97,7.171
19890426,9.374,9.031,2.391,9.619,0.714,171.238,325.346,2.986,94.83,8.587,5.084
19890427,8.578,7.086,2.0,9.644,2.914,300.646,260.809,5.927,95.422,0.002,6.341
19890428,9.253,8.308,1.071,9.927,1.928,282.636,264.671,6.046,95.252,0.026,5.37
19890429,9.899,8.043,1.741,11.225,3.229,279.197,273.638,7.024,95.634,0.0,3.572
19890430,10.837,8.331,2.309,12.479,3.129,306.608,269.594,7.3,95.857,0.0,3.481
19890501,12.17,9.451,2.292,13.951,3.77,301.816,278.408,7.461,96.089,0.0,2.36
19890502,13.704,10.913,2.6,15.533,3.362,305.892,288.458,7.085,96.219,0.0,1.513
19890503,14.304,11.786,1.524,15.954,2.352,299.158,295.2,7.203,96.398,0.0,1.491
19890504,14.755,11.873,1.375,16.644,2.586,282.747,306.896,7.947,96.626,0.0,1.333
19890505,15.35,12.3,1.457,17.348,2.874,301.028,307.344,8.607,96.815,0.0,1.416
19890506,17.759,15.051,4.076,19.533,4.047,310.425,310.429,11.127,96.333,0.0,2.584
19890507,17.216,15.672,1.979,18.142,2.674,271.59,314.99,11.448,95.99,0.0,2.504
19890508,15.022,12.031,1.341,16.817,3.037,307.237,292.3,10.223,96.327,0.0,2.052
19890509,14.133,12.002,1.624,15.412,2.291,303.733,302.172,6.259,96.376,0.0,1.969
19890510,14.518,12.714,1.298,15.601,2.114,292.835,306.104,5.598,96.329,0.0,1.487
19890511,13.88,12.311,0.838,14.821,1.715,272.724,311.791,4.049,96.056,0.0,1.314
19890512,15.622,13.605,1.86,16.833,2.606,275.769,324.269,5.095,95.704,0.617,1.679
19890513,16.465,14.716,1.408,17.514,2.341,312.466,306.073,8.754,95.801,0.0,3.293
19890514,16.337,14.671,1.192,17.337,2.559,323.641,290.677,11.501,96.328,0.0,5.142
19890515,15.177,13.056,1.082,16.449,2.424,279.441,304.038,9.011,96.796,0.258,2.003
19890516,16.027,13.861,2.528,17.326,3.402,301.983,311.139,8.439,96.793,0.0,1.83
19890517,16.47,14.87,1.018,17.43,1.957,272.9,330.236,7.848,96.726,0.042,1.434
