TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,3.101,3.179,0.352,2.96,0.271,35.45,289.937,0.781,102.287,0.086,1.347
19890102,2.352,1.825,0.891,3.313,0.668,44.517,259.345,0.7,101.983,0.001,1.554
19890103,0.231,-0.321,1.531,1.238,1.616,59.189,234.683,0.615,101.9,0.0,1.672
19890104,3.581,3.458,1.92,3.807,1.076,18.149,314.689,0.568,101.902,8.096,3.292
19890105,5.407,5.292,1.493,5.6,1.165,38.255,313.787,0.678,101.724,2.942,3.147
19890106,8.571,7.917,0.821,9.662,0.435,17.916,338.318,0.545,100.158,3.875,2.733
19890107,7.141,7.033,0.541,7.322,0.334,16.551,341.031,0.495,101.095,0.286,1.859
19890108,7.803,7.689,0.187,7.994,0.219,13.994,349.936,0.52,101.183,0.194,1.555
19890109,6.041,6.305,0.378,5.601,0.336,22.153,343.763,0.336,100.531,0.448,1.869
19890110,6.914,6.617,0.507,7.411,0.492,10.034,343.103,0.59,100.772,0.631,2.318
19890111,6.041,5.077,0.731,7.646,1.085,39.928,310.689,0.673,100.965,0.05,1.659
19890112,7.196,6.081,1.907,9.055,1.541,36.489,305.187,1.248,100.676,2.228,4.093
19890113,4.914,4.404,1.46,5.763,1.907,31.514,287.734,0.596,101.919,0.007,2.175
19890114,6.212,4.831,1.205,8.515,1.2,21.435,290.454,0.815,102.111,0.281,2.591
19890115,2.262,0.777,1.526,4.738,2.392,52.867,267.157,0.693,102.671,0.005,1.4
19890116,0.794,-0.003,1.387,2.124,1.03,63.335,252.652,0.368,102.213,0.007,1.435
19890117,2.589,2.708,0.455,2.389,0.502,45.409,308.129,0.626,102.127,0.151,1.369
19890118,4.222,4.085,0.808,4.451,0.37,9.482,333.123,0.581,102.224,0.56,1.121
19890119,3.056,3.155,0.618,2.891,0.259,30.899,313.581,0.576,102.039,0.198,1.516
19890120,2.978,2.456,0.688,3.848,1.456,55.292,283.67,0.637,101.528,0.033,1.296
19890121,5.719,5.17,1.362,6.633,0.803,14.961,319.016,0.875,100.639,6.337,3.798
19890122,4.62,3.705,0.945,6.144,0.882,29.981,302.036,0.907,101.387,1.968,2.795
19890123,1.541,1.144,1.566,2.204,1.77,40.99,298.645,0.278,102.112,0.146,0.903
19890124,1.049,0.912,0.385,1.278,0.527,79.213,247.144,0.448,101.682,0.033,1.617
19890125,1.32,-0.042,1.818,3.589,2.551,81.819,231.032,0.982,101.284,0.0,1.696
19890126,2.27,0.487,1.631,5.241,3.032,82.951,237.717,1.271,101.381,0.0,1.755
19890127,2.25,0.17,1.9,5.426,3.272,84.509,239.33,1.037,102.036,0.0,1.467
19890128,3.046,1.283,1.918,5.737,3.002,85.976,239.041,1.362,102.221,0.0,1.856
19890129,2.7,1.865,2.204,3.87,3.139,80.638,261.042,0.66,102.842,0.026,0.865
19890130,3.031,2.206,1.105,4.186,1.015,57.103,295.841,0.608,102.951,0.264,1.134
19890131,0.003,-0.294,0.607,0.417,1.005,76.943,252.754,0.41,102.693,0.002,1.775
19890201,0.016,-1.27,0.922,1.816,2.693,92.64,234.339,0.498,102.277,0.0,1.399
19890202,-0.207,-1.645,1.098,1.807,2.242,88.648,244.445,0.575,102.111,0.0,1.271
19890203,-1.557,-2.416,0.751,-0.355,1.315,69.251,265.732,0.175,101.959,0.034,0.92
19890204,-0.23,-1.129,0.6,1.028,2.028,92.416,249.55,0.419,101.785,0.008,1.772
19890205,3.322,2.597,3.733,4.337,1.863,30.227,303.782,0.454,101.842,0.538,3.062
19890206,8.037,7.401,0.79,8.929,1.062,35.036,336.902,0.624,102.128,0.226,2.173
19890207,5.152,4.098,1.706,6.626,3.167,94.367,277.087,0.853,101.817,0.008,1.569
19890208,3.488,1.973,2.464,5.61,3.806,102.958,252.779,0.916,101.372,0.0,1.367
19890209,5.353,3.374,2.356,8.122,3.793,106.494,250.148,2.214,100.663,0.0,2.012
19890210,5.769,4.148,1.909,8.038,3.0,106.299,257.769,2.532,101.151,0.0,2.14
19890211,4.544,2.822,2.945,6.954,3.797,102.784,261.158,1.437,102.356,0.0,0.954
19890212,5.335,3.901,2.339,7.343,1.943,33.859,295.856,0.835,102.542,0.617,2.333
19890213,4.733,4.383,2.984,5.223,2.41,38.964,308.608,0.715,102.108,2.355,2.476
19890214,6.61,5.772,1.604,7.688,0.813,98.721,262.147,2.692,101.795,0.545,3.922
19890215,6.987,5.468,3.075,8.939,2.294,94.226,278.576,1.947,101.18,0.011,3.925
19890216,7.21,6.88,1.367,7.635,1.066,86.291,307.063,2.373,100.737,1.57,2.046
19890217,7.152,6.396,2.648,8.045,2.385,44.138,316.88,1.899,100.48,1.382,2.741
19890218,11.231,10.849,1.797,11.682,1.365,28.443,347.573,1.853,100.523,3.277,4.482
19890219,12.924,13.007,0.535,12.825,0.691,48.833,350.342,2.801,101.056,0.226,4.696
19890220,10.846,10.567,1.139,11.176,0.525,56.615,338.147,2.482,101.12,3.958,2.821
19890221,6.966,7.531,0.661,6.298,0.636,29.711,329.912,1.101,100.798,11.144,3.024
19890222,6.314,5.878,0.821,6.828,0.78,63.66,324.174,1.563,100.193,0.287,2.569
19890223,5.754,4.942,1.117,6.713,1.19,67.62,301.097,1.623,99.419,7.262,2.257
19890224,4.752,3.511,2.084,6.219,2.001,83.587,283.636,1.295,97.394,2.461,3.902
19890225,4.794,4.355,0.64,5.312,0.585,36.377,294.436,1.339,95.421,7.311,5.462
19890226,4.903,3.972,0.595,6.004,1.409,113.859,281.872,1.965,95.593,4.189,5.123
19890227,5.502,4.681,1.265,6.473,1.066,98.504,277.673,1.784,96.985,4.147,5.215
19890228,5.225,4.595,0.639,5.97,1.056,96.226,281.68,1.801,97.755,2.509,4.643
19890301,6.463,5.383,1.332,7.74,1.63,126.712,272.369,2.614,98.712,0.264,4.986
19890302,6.823,6.476,2.598,7.234,1.798,22.923,307.677,1.114,99.286,7.976,4.234
19890303,8.445,8.235,0.55,8.695,1.086,76.212,318.18,1.63,98.986,5.782,3.928
19890304,8.677,8.242,1.612,9.191,1.384,67.248,332.881,1.38,100.523,1.029,2.898
19890305,10.829,9.583,1.348,12.076,2.487,109.357,309.851,2.317,100.577,0.081,2.011
19890306,11.584,9.426,3.076,13.741,3.885,150.248,292.495,3.951,100.223,0.0,2.104
19890307,9.078,8.043,1.265,10.113,1.668,45.742,330.419,1.34,100.196,13.517,2.462
19890308,6.858,5.946,1.228,7.769,2.162,133.696,286.888,2.478,100.854,1.246,2.815
19890309,7.299,5.463,2.95,9.135,3.13,152.438,279.024,2.874,100.976,0.0,2.064
19890310,9.821,7.48,1.98,12.162,3.602,169.995,273.45,4.417,100.764,0.0,2.149
19890311,9.663,7.394,3.155,11.931,4.0,164.347,286.464,2.986,100.988,0.007,1.428
19890312,12.454,10.853,2.728,14.055,3.501,155.677,312.921,3.487,100.32,0.004,2.153
19890313,8.816,8.393,2.06,9.24,0.624,140.199,295.826,3.018,100.367,0.3,3.939
19890314,7.014,5.86,2.727,8.169,2.752,113.525,293.441,2.824,100.659,0.964,2.924
19890315,9.777,8.44,1.805,11.115,1.324,43.378,347.878,1.376,99.009,8.457,4.005
19890316,11.265,10.403,0.801,12.127,0.918,87.657,340.188,1.79,98.272,6.99,4.873
19890317,6.478,6.545,1.773,6.411,0.404,114.174,304.41,1.282,99.197,2.922,3.024
19890318,5.432,3.956,2.03,6.909,2.658,144.442,263.764,2.143,100.621,0.053,1.249
19890319,6.017,3.192,2.846,8.843,3.608,190.599,255.254,3.002,100.483,0.0,1.549
19890320,5.149,3.514,2.331,6.654,2.651,97.296,279.67,1.275,99.593,3.216,2.344
