TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,4.464,4.564,0.492,4.281,0.226,25.143,326.485,0.885,102.086,0.129,1.677
19890102,3.37,3.231,0.815,3.622,0.423,30.334,312.74,0.648,101.791,0.035,1.88
19890103,-0.727,-0.611,0.827,-0.919,1.082,42.347,277.501,0.071,101.618,0.003,2.15
19890104,2.18,2.104,2.123,2.305,0.944,4.909,327.751,0.015,101.554,4.815,3.73
19890105,4.691,4.449,2.176,5.094,1.59,40.594,317.147,0.242,101.382,3.61,3.9
19890106,8.619,7.947,1.045,9.739,0.381,26.633,341.512,0.438,99.878,3.134,2.697
19890107,7.317,7.159,0.624,7.579,0.403,19.669,353.638,0.159,100.889,0.18,2.339
19890108,7.774,7.667,0.273,7.954,0.194,15.262,361.01,0.082,100.927,0.216,2.099
19890109,5.862,6.031,0.516,5.58,0.308,16.88,357.146,0.002,100.26,0.587,2.134
19890110,7.019,6.557,0.979,7.789,0.513,12.547,355.318,0.226,100.494,0.258,2.702
19890111,4.101,3.349,1.746,5.355,1.768,21.27,326.84,0.19,100.731,0.032,2.052
19890112,6.403,5.413,1.262,8.055,0.703,16.673,330.348,0.432,100.296,2.989,4.81
19890113,4.026,3.964,1.975,4.13,1.974,33.223,311.85,0.07,101.597,0.053,3.036
19890114,6.66,5.266,1.778,8.983,0.969,30.304,307.862,0.844,101.788,0.141,3.561
19890115,3.654,2.261,1.542,5.976,2.483,61.27,286.525,0.791,102.373,0.0,2.274
19890116,0.746,0.023,0.875,1.953,1.475,63.514,278.33,0.143,101.946,0.002,1.68
19890117,1.966,1.797,1.865,2.248,1.323,35.542,325.291,0.147,101.838,0.469,2.135
19890118,4.847,4.63,0.463,5.209,0.328,10.219,352.317,0.0,101.974,0.38,1.36
19890119,3.167,3.248,0.658,3.031,0.24,32.63,334.679,0.392,101.82,0.178,1.523
19890120,3.322,3.18,1.155,3.56,0.724,30.929,335.023,0.585,101.268,0.047,1.819
19890121,5.357,4.769,1.002,6.336,0.833,13.859,331.785,0.522,100.286,4.657,4.355
19890122,4.255,3.274,1.072,5.89,1.146,53.761,306.803,0.897,101.229,0.426,2.631
19890123,1.13,0.363,1.185,2.409,1.545,50.632,308.935,0.373,101.873,0.03,1.445
19890124,0.709,0.682,0.331,0.754,0.267,71.471,282.584,0.158,101.455,0.061,2.033
19890125,0.958,0.096,1.241,2.273,2.335,80.662,263.668,0.502,101.015,0.003,2.227
19890126,2.08,0.281,1.907,4.825,2.991,81.069,266.206,0.961,101.107,0.0,2.079
19890127,2.782,0.827,2.233,5.768,3.465,83.341,266.21,0.985,101.745,0.0,2.166
19890128,3.251,1.431,1.723,6.029,3.052,84.72,266.849,1.13,101.908,0.0,2.627
19890129,2.408,1.161,3.606,4.312,3.027,57.796,301.44,0.404,102.605,0.071,1.153
19890130,1.714,1.54,1.271,1.979,1.618,46.203,323.747,0.053,102.759,0.052,0.971
19890131,-0.903,-0.944,0.687,-0.84,0.476,56.652,300.748,0.001,102.486,0.018,1.946
19890201,-0.444,-1.423,1.182,0.926,2.537,91.4,263.763,0.155,102.007,0.0,1.585
19890202,-0.612,-1.769,0.95,1.008,2.184,85.243,278.733,0.106,101.864,0.001,1.463
19890203,-0.752,-1.245,1.383,-0.061,1.458,57.588,306.735,0.017,101.688,0.02,1.426
19890204,-0.124,-0.651,1.33,0.613,2.216,86.135,275.61,0.151,101.467,0.004,2.769
19890205,5.54,4.539,3.363,6.942,1.685,40.153,334.05,0.158,101.464,0.604,3.948
19890206,9.091,8.454,0.706,9.983,0.858,49.426,351.477,0.921,101.808,0.17,2.62
19890207,6.961,6.034,1.394,8.259,2.313,97.09,304.855,0.909,101.537,0.059,2.078
19890208,3.784,2.492,2.429,5.593,3.836,92.733,284.496,0.602,101.119,0.0,1.75
19890209,4.903,2.936,2.602,7.658,3.868,105.445,275.97,2.205,100.386,0.0,2.484
19890210,5.874,4.342,2.575,8.019,3.141,100.676,297.497,1.887,100.862,0.049,2.323
19890211,4.755,3.853,1.083,6.018,2.093,56.786,320.12,0.358,102.124,0.015,1.265
19890212,5.961,4.758,1.091,7.646,1.342,26.732,320.849,0.612,102.255,0.582,3.009
19890213,4.695,4.361,2.474,5.124,2.271,35.599,321.871,0.349,101.793,1.367,3.388
19890214,6.176,5.406,1.081,7.166,0.823,98.339,284.009,2.718,101.602,0.174,4.958
19890215,7.378,6.001,3.026,9.147,2.304,86.81,311.362,2.265,100.812,0.214,4.85
19890216,5.792,5.059,2.019,6.735,1.385,72.516,311.726,1.939,100.529,0.948,2.311
19890217,6.354,5.528,3.028,7.415,2.416,39.926,333.377,1.335,100.156,2.803,3.542
19890218,11.335,10.838,1.635,11.973,0.976,25.581,363.788,1.145,100.105,3.32,5.393
19890219,13.04,12.871,0.513,13.258,0.645,57.599,362.409,2.686,100.639,0.052,6.006
19890220,9.642,9.322,1.592,10.02,0.953,82.454,342.538,1.57,100.86,3.873,3.275
19890221,5.605,5.496,0.649,5.734,0.916,78.748,320.291,1.548,100.723,3.124,2.744
19890222,5.909,4.976,1.369,7.01,1.326,91.529,329.449,1.9,99.897,2.715,3.193
19890223,4.969,3.899,1.16,6.234,1.37,101.388,301.098,1.405,99.161,4.215,2.684
19890224,3.591,2.374,2.009,5.028,1.94,73.346,302.535,0.919,97.063,2.234,4.861
19890225,3.639,3.378,0.782,3.946,0.977,32.48,311.974,0.822,94.993,7.171,5.997
19890226,4.006,2.884,0.633,5.333,1.633,107.707,298.048,1.721,95.284,3.561,5.506
19890227,4.83,3.751,1.299,6.106,1.098,99.128,298.458,1.358,96.658,3.443,5.826
19890228,4.344,3.726,0.63,5.074,0.984,92.907,302.795,1.456,97.429,1.301,5.375
19890301,6.017,4.905,1.067,7.332,1.537,123.419,299.429,2.156,98.35,0.443,6.172
19890302,6.273,5.973,2.344,6.628,2.016,20.551,324.099,0.706,98.894,7.479,4.82
19890303,8.104,7.666,0.531,8.579,1.112,92.887,332.462,1.431,98.709,3.147,4.645
19890304,8.49,8.026,1.877,8.994,1.29,60.343,343.969,0.766,100.203,2.414,3.614
19890305,10.342,9.24,1.203,11.541,1.946,108.14,327.452,1.97,100.31,0.07,2.562
19890306,11.703,9.403,2.798,14.202,3.51,153.152,316.618,3.573,99.938,0.0,2.689
19890307,8.539,8.371,1.951,8.707,1.379,24.009,346.535,0.734,100.004,20.605,3.053
19890308,6.352,5.27,1.359,7.435,2.253,128.169,301.58,2.33,100.645,0.334,3.204
19890309,7.698,6.194,2.81,9.202,2.865,141.036,305.901,3.028,100.655,0.0,3.329
19890310,9.61,7.741,2.292,11.478,3.691,168.911,292.069,4.316,100.463,0.0,2.986
19890311,9.173,7.621,2.731,10.725,3.283,97.893,327.608,2.191,100.783,0.205,1.88
19890312,11.468,10.247,2.805,12.688,3.452,136.596,335.425,2.874,100.089,0.692,2.614
19890313,8.314,7.925,1.715,8.703,1.006,155.172,312.957,2.929,100.104,1.734,5.159
19890314,6.81,5.522,2.14,8.098,2.568,99.299,316.23,2.553,100.323,2.451,4.136
19890315,9.55,8.063,1.287,11.037,0.753,65.173,355.074,1.694,98.679,2.779,4.563
19890316,10.584,9.288,0.968,11.88,1.067,107.18,347.627,1.759,97.893,6.913,5.001
19890317,5.564,5.663,1.648,5.465,0.413,124.654,320.697,0.93,99.031,2.381,3.496
19890318,4.541,2.648,1.971,6.435,3.238,174.906,274.821,2.301,100.428,0.0,1.674
19890319,6.882,4.586,2.348,9.178,3.202,146.968,305.739,3.212,100.196,0.0,2.738
19890320,5.749,4.963,1.989,6.535,1.378,68.06,313.09,1.46,99.309,2.646,2.932
19890321,7.1,6.836,2.676,7.364,1.681,99.565,328.628,1.47,99.556,2.66,4.835
19890322,10.324,9.109,1.987,11.351,1.046,134.28,346.638,2.252,100.051,1.429,5.494
19890323,6.083,4.919,1.688,7.069,2.372,173.507,285.709,2.893,100.768,0.192,4.18
19890324,9.615,8.569,2.731,10.5,2.317,72.525,345.146,2.623,99.983,0.543,5.699
19890325,10.97,10.612,0.638,11.273,0.603,57.056,359.075,1.503,100.359,2.341,2.759
19890326,11.417,9.551,2.882,12.996,4.224,162.168,326.968,3.2,100.273,0.02,2.777
19890327,13.939,11.143,3.578,16.304,4.519,184.678,318.467,5.801,99.474,0.0,3.084
19890328,14.947,12.808,1.495,16.757,3.638,208.573,321.804,6.602,99.686,0.001,2.753
19890329,14.601,11.881,2.106,16.903,4.135,201.272,331.68,4.357,100.476,0.05,1.54
19890330,11.776,10.484,2.393,12.87,3.572,176.385,341.449,2.221,100.506,0.002,1.516
19890331,13.477,11.649,2.043,15.023,3.438,201.127,335.983,3.168,99.969,3.701,1.618
19890401,12.943,11.515,0.771,14.151,2.265,142.358,349.618,2.134,99.361,9.944,1.395
19890402,9.991,9.119,2.358,10.728,0.998,116.609,339.954,1.955,99.097,1.164,3.279
19890403,5.622,4.56,0.4,6.521,1.185,87.871,330.422,1.773,98.809,1.853,3.572
19890404,2.108,3.314,1.231,1.088,1.489,55.499,327.221,0.21,98.062,10.308,4.692
19890405,5.623,5.406,0.677,5.791,0.786,96.021,333.233,0.515,97.917,1.444,2.591
19890406,6.573,5.696,0.926,7.255,1.232,139.053,326.884,1.395,98.569,2.989,4.048
19890407,6.803,4.921,1.502,8.267,2.906,207.659,293.225,2.135,99.258,3.485,3.337
19890408,6.55,4.332,2.699,8.275,3.491,177.922,297.26,2.555,99.665,0.011,1.909
19890409,9.185,7.045,4.665,10.85,4.345,207.223,313.047,2.79,99.216,4.086,3.575
19890410,10.7,10.014,1.036,11.234,1.249,162.425,327.427,1.931,98.611,1.024,4.668
19890411,9.48,8.759,1.845,9.995,1.68,75.372,337.897,1.546,98.606,5.826,6.178
19890412,9.663,8.79,1.244,10.286,1.556,175.907,328.424,1.828,98.058,5.51,3.353
19890413,7.781,6.284,1.526,8.851,2.289,149.807,320.173,2.183,98.365,0.146,2.373
19890414,7.871,5.659,1.25,9.451,1.947,219.339,296.556,2.775,99.377,0.025,3.929
19890415,7.882,4.948,3.781,9.977,4.303,197.848,298.811,3.83,99.718,0.093,2.992
19890416,9.048,7.744,1.115,9.979,1.653,168.619,332.789,2.115,98.578,3.944,3.465
19890417,8.665,7.007,1.449,9.849,2.491,165.671,328.946,1.511,99.072,0.77,2.988
19890418,7.785,6.909,1.184,8.411,1.309,130.194,333.902,2.516,99.841,0.229,1.891
19890419,6.457,4.154,2.361,8.103,3.008,165.407,311.056,2.264,99.948,0.62,1.912
19890420,5.918,3.845,2.064,7.276,2.438,136.098,317.172,1.453,99.887,1.716,2.289
19890421,5.047,4.448,0.775,5.44,1.323,139.594,317.742,0.537,99.96,6.1,3.445
19890422,6.93,5.633,1.38,7.781,1.876,152.515,329.371,1.974,100.09,0.711,3.486
19890423,7.746,5.711,2.203,9.08,2.83,131.796,331.147,2.409,99.958,0.039,1.306
