TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,1.843,1.592,1.56,2.303,0.989,52.036,287.524,1.305,99.666,0.006,2.201
19890102,2.591,2.083,1.02,3.516,0.368,37.385,296.554,1.321,99.454,0.002,3.074
19890103,0.769,-0.129,1.354,2.405,1.967,61.654,252.785,1.582,99.483,0.0,1.995
19890104,2.965,2.345,1.491,4.096,1.938,60.73,270.9,1.941,99.456,1.065,3.535
19890105,3.529,3.488,0.397,3.602,0.139,25.285,328.891,1.144,99.086,4.01,4.128
19890106,5.082,5.002,0.862,5.226,0.559,8.792,339.682,1.138,97.738,5.74,4.777
19890107,5.777,5.974,0.722,5.418,0.438,20.65,338.201,1.474,98.306,0.746,3.138
19890108,6.039,5.953,0.641,6.197,0.342,8.867,346.815,1.098,98.588,1.017,3.117
19890109,6.348,6.008,0.405,6.914,0.797,47.763,322.239,1.247,98.123,0.133,1.635
19890110,5.714,5.676,0.275,5.776,0.448,23.906,332.803,1.602,98.264,0.476,3.511
19890111,5.527,4.785,1.453,6.765,0.558,33.65,319.978,1.615,98.563,0.278,1.527
19890112,6.931,6.325,2.232,7.941,1.845,57.856,297.096,2.128,98.394,2.504,4.369
19890113,5.039,4.453,1.695,6.014,1.137,27.949,312.112,1.782,99.419,0.573,2.746
19890114,5.298,4.406,2.042,6.786,1.689,50.563,295.824,1.708,99.594,0.162,3.62
19890115,2.508,2.095,1.031,3.195,1.194,42.06,299.858,1.222,100.046,0.017,1.909
19890116,1.553,0.778,0.804,2.844,1.514,59.652,272.752,1.471,99.666,0.0,1.019
19890117,1.231,1.088,0.356,1.47,0.141,24.491,302.4,1.053,99.495,0.423,2.365
19890118,2.27,2.027,0.888,2.639,0.584,15.555,322.654,1.098,99.66,0.227,1.309
19890119,1.792,1.503,0.798,2.233,0.286,48.57,291.186,1.193,99.473,0.0,1.733
19890120,0.871,0.023,1.374,2.165,1.457,71.343,260.197,1.297,99.086,0.001,1.111
19890121,3.438,2.859,2.23,4.322,1.257,50.579,301.64,1.728,98.377,2.933,3.842
19890122,3.604,3.269,0.764,4.115,0.809,22.5,324.23,1.071,98.614,3.379,1.983
