TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-0.713,-0.706,0.957,-0.726,0.303,40.774,300.993,0.0,101.799,0.018,0.553
19890102,-1.76,-2.161,0.515,-1.091,0.688,66.398,263.634,0.0,101.491,0.0,0.46
19890103,-0.992,-1.987,1.344,0.668,2.121,66.046,266.822,0.049,101.491,0.0,0.528
19890104,2.018,1.224,3.159,3.341,2.035,34.2,310.806,0.024,101.624,6.334,0.856
19890105,4.383,4.432,1.443,4.302,1.578,36.545,327.374,0.006,101.507,1.932,0.886
19890106,6.506,5.603,1.656,8.01,0.622,20.196,342.571,0.0,99.897,4.301,0.953
19890107,5.328,5.271,0.598,5.423,0.438,17.155,349.346,0.0,100.777,0.364,0.493
19890108,6.113,5.876,0.299,6.508,0.478,20.137,353.014,0.0,100.854,0.134,0.307
19890109,5.029,4.862,0.382,5.308,0.653,51.109,341.144,0.0,100.183,0.21,0.813
19890110,5.852,5.411,0.77,6.588,1.054,22.557,347.156,0.116,100.464,0.284,0.528
19890111,4.335,3.694,0.578,5.405,0.901,60.489,318.57,0.017,100.567,0.07,0.579
19890112,6.621,5.064,2.553,9.217,1.856,53.91,315.548,0.685,100.46,1.887,1.189
19890113,4.605,3.69,1.461,6.132,1.667,42.0,312.69,0.053,101.563,0.004,0.545
19890114,5.161,3.781,1.579,7.461,1.497,26.876,315.942,0.109,101.821,0.272,0.718
19890115,3.17,2.297,1.182,4.625,1.244,38.201,330.274,0.061,102.248,0.132,0.284
19890116,1.745,1.735,0.846,1.762,0.992,64.585,299.041,0.0,101.765,0.018,0.442
19890117,1.612,1.612,0.704,1.613,0.686,29.245,329.076,0.0,101.737,0.636,0.307
19890118,2.368,1.816,2.051,3.289,1.115,27.013,332.656,0.012,101.793,0.027,0.257
19890119,1.534,1.662,0.88,1.321,0.311,25.581,326.297,0.0,101.544,0.06,0.521
19890120,1.203,0.518,2.163,2.345,2.308,74.206,293.618,0.093,101.081,0.014,0.535
19890121,5.221,4.536,1.364,6.361,0.954,22.375,329.859,0.136,100.425,4.578,1.224
19890122,3.558,2.823,1.09,4.785,1.144,37.554,318.541,0.105,101.058,0.786,0.928
