TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-1.139,-1.324,0.673,-0.83,0.748,57.095,294.602,0.03,101.131,0.048,0.632
19890102,-2.33,-2.481,0.597,-2.078,0.879,65.537,268.289,0.055,100.889,0.006,0.729
19890103,3.616,1.833,2.552,6.589,2.238,84.513,264.169,0.684,100.924,0.0,2.048
19890104,3.687,2.154,2.439,6.241,3.863,81.497,274.281,0.984,101.374,1.779,1.11
19890105,5.769,5.013,0.856,7.029,1.581,58.128,305.717,0.956,101.471,1.037,1.746
19890106,7.518,6.934,0.756,8.49,0.739,17.444,340.442,1.055,99.832,11.54,2.101
19890107,6.85,6.765,0.966,6.992,1.18,41.145,338.979,0.46,100.263,0.087,1.133
19890108,5.822,5.219,1.139,6.826,0.993,55.214,323.534,0.735,100.3,0.003,0.753
19890109,6.049,4.057,1.526,9.089,2.313,86.35,295.726,0.851,99.826,0.005,0.97
19890110,6.746,5.701,1.169,8.341,1.236,46.844,330.344,0.561,99.915,0.002,1.295
19890111,7.736,6.204,1.785,10.074,1.818,68.22,318.992,0.787,99.975,0.002,1.797
19890112,8.754,7.102,1.323,11.276,1.912,83.655,304.961,1.556,100.331,0.0,1.573
19890113,6.807,4.85,1.881,9.794,3.189,91.433,283.425,1.367,101.115,0.001,1.176
19890114,6.765,4.833,2.558,9.715,3.955,92.126,288.273,1.643,101.46,0.0,1.072
19890115,7.71,6.387,1.386,9.73,1.949,55.217,325.279,0.798,101.563,0.004,0.852
19890116,5.458,3.81,1.599,7.973,2.381,75.171,301.873,0.758,101.202,0.001,1.192
19890117,4.736,4.136,1.528,5.651,1.188,37.351,326.082,0.362,101.253,0.097,0.851
19890118,4.609,4.374,0.458,4.967,0.695,30.815,330.186,1.405,101.1,0.117,0.815
19890119,4.192,3.368,2.194,5.346,3.019,73.19,297.371,0.939,100.777,0.033,1.31
19890120,6.087,4.996,1.444,7.615,2.367,66.0,302.711,1.229,100.476,0.056,1.048
19890121,6.345,5.2,2.842,7.948,2.41,66.524,310.677,1.683,100.511,0.325,1.816
19890122,6.835,6.216,1.913,7.701,0.848,83.727,305.623,1.706,100.739,2.685,2.922
19890123,2.446,0.584,1.546,5.052,2.943,92.434,271.594,1.091,100.962,0.0,1.01
19890124,2.694,0.136,3.452,6.276,4.338,109.571,255.629,1.564,100.478,0.0,1.527
19890125,5.752,3.214,2.773,9.305,4.108,109.198,265.763,2.515,100.234,0.001,2.088
19890126,5.784,3.42,1.949,9.094,3.859,110.492,265.975,2.268,100.277,0.0,1.83
19890127,5.634,3.517,2.154,8.597,3.641,110.515,268.989,2.297,101.007,0.0,1.561
19890128,5.778,3.261,1.967,9.303,3.924,112.207,270.131,2.216,101.187,0.0,1.709
19890129,3.843,1.424,2.436,7.23,4.517,104.679,273.661,1.381,101.559,0.0,0.94
19890130,3.265,1.202,2.407,6.154,3.756,100.737,276.066,1.163,101.521,0.001,1.186
19890131,4.352,1.797,2.327,7.929,4.221,120.588,259.898,2.403,101.35,0.0,1.81
19890201,5.702,3.12,1.796,9.317,3.24,104.084,289.607,1.849,101.264,0.0,1.369
19890202,5.241,3.279,2.619,7.763,4.486,113.724,282.0,1.787,101.055,0.0,0.807
19890203,4.616,2.213,2.233,7.706,4.531,121.988,269.91,1.753,100.88,0.0,1.074
19890204,4.654,2.5,1.232,7.422,3.456,96.47,289.389,1.374,100.803,0.843,0.957
19890205,5.078,3.145,2.049,7.563,3.814,106.997,286.998,1.725,101.202,0.0,0.879
19890206,5.142,2.731,2.89,8.24,4.642,121.645,273.995,2.318,101.212,0.0,1.11
19890207,6.025,2.998,2.691,9.918,3.79,126.948,271.879,2.675,100.782,0.0,1.792
19890208,7.414,4.927,1.906,10.61,3.369,126.039,289.872,2.741,100.323,0.0,1.761
19890209,8.315,6.006,2.14,11.282,3.468,133.107,281.756,3.08,99.711,0.0,2.313
19890210,8.167,6.186,1.819,10.715,2.909,120.848,291.264,2.522,100.157,0.001,1.518
19890211,7.59,4.966,1.693,10.964,2.435,95.405,304.971,2.288,101.381,0.0,1.509
19890212,6.185,3.586,2.587,9.526,4.363,137.493,280.343,1.986,101.903,0.0,1.097
19890213,7.385,5.929,3.263,9.256,3.128,94.71,308.372,2.069,101.542,0.087,1.443
19890214,7.674,7.328,1.618,8.119,1.032,96.901,312.55,2.755,101.352,3.167,3.748
19890215,4.637,2.075,2.396,7.932,3.684,136.07,264.999,2.677,100.947,0.0,0.945
19890216,5.665,2.741,4.575,9.12,5.471,149.041,268.508,2.662,100.13,0.0,1.556
19890217,6.15,4.2,3.823,8.454,4.679,145.056,286.594,1.717,99.96,0.0,0.914
19890218,11.058,7.999,2.95,14.674,4.85,145.68,300.404,5.437,100.342,0.0,1.078
19890219,10.685,7.366,4.333,14.608,5.858,151.841,296.726,5.584,100.765,0.0,1.068
19890220,10.383,8.085,3.343,13.097,3.849,103.278,311.625,3.402,100.437,0.0,0.904
19890221,10.902,9.96,0.975,12.015,1.597,89.988,334.093,2.738,99.93,0.64,2.314
19890222,8.924,7.97,1.129,10.051,1.872,112.659,314.328,3.239,99.73,0.003,1.364
19890223,7.584,7.449,1.233,7.744,0.215,25.184,338.955,0.886,98.799,9.527,1.804
19890224,5.742,4.441,1.505,7.156,2.305,62.092,310.663,1.174,97.177,2.775,2.292
19890225,6.019,5.165,0.996,6.948,1.614,45.192,309.242,1.33,96.028,15.919,3.727
19890226,4.684,4.438,0.638,4.952,0.636,118.142,291.421,1.606,96.472,2.677,6.347
19890227,4.994,4.182,1.034,5.876,0.789,82.104,312.286,0.88,97.753,13.381,5.489
