TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-0.55,-0.616,0.663,-0.438,0.813,50.907,303.86,0.168,101.491,0.106,0.903
19890102,-1.498,-1.775,0.581,-1.038,1.362,68.793,270.317,0.236,101.249,0.027,0.791
19890103,5.714,4.127,2.808,8.358,1.88,83.121,272.307,1.409,101.29,0.0,3.403
19890104,5.954,4.453,1.259,8.456,3.104,83.899,277.764,1.742,101.727,0.684,1.813
19890105,6.569,5.818,0.968,7.819,1.415,52.786,312.004,1.631,101.817,0.916,2.345
19890106,8.089,7.567,0.992,8.959,1.014,16.22,341.249,1.54,100.182,10.708,2.125
19890107,7.679,7.589,0.742,7.829,0.924,39.329,341.602,0.803,100.594,0.078,1.776
19890108,6.698,6.221,1.042,7.493,0.897,48.854,328.995,1.295,100.64,0.009,1.213
19890109,7.181,5.527,1.878,9.936,2.038,85.459,298.393,1.301,100.177,0.004,1.697
19890110,8.082,7.073,0.872,9.623,1.089,43.468,333.962,1.211,100.259,0.002,1.913
19890111,9.185,7.871,1.464,11.192,1.415,66.118,330.267,1.347,100.326,0.001,2.701
19890112,9.799,8.163,1.001,12.295,1.605,82.934,309.464,2.24,100.689,0.0,2.404
19890113,7.291,5.105,1.627,10.628,3.161,90.04,285.571,1.902,101.476,0.0,1.517
19890114,7.573,5.632,1.965,10.536,3.718,91.027,289.566,2.347,101.82,0.0,1.49
19890115,8.549,7.225,1.249,10.568,1.954,57.736,322.772,1.331,101.921,0.005,1.081
19890116,6.439,4.73,1.666,9.049,2.35,72.567,300.776,1.282,101.565,0.003,1.768
19890117,5.798,5.341,1.212,6.495,1.045,39.909,329.09,0.763,101.605,0.078,1.253
19890118,5.33,5.138,0.577,5.597,0.752,30.496,331.835,2.126,101.451,0.065,1.227
19890119,5.021,3.997,2.321,6.455,3.154,68.986,299.883,1.495,101.132,0.065,1.864
19890120,7.248,6.023,0.967,8.963,1.804,58.945,310.609,1.805,100.825,0.504,2.01
19890121,6.986,5.872,2.701,8.547,2.557,67.548,312.778,2.187,100.857,0.427,2.144
19890122,7.453,6.905,1.773,8.22,0.815,78.73,307.883,2.412,101.055,2.552,4.153
19890123,3.399,1.887,1.654,5.515,2.606,83.357,277.379,1.639,101.314,0.0,1.309
19890124,3.36,0.675,3.592,7.119,4.301,109.521,254.91,2.11,100.842,0.0,2.277
19890125,6.957,4.522,2.434,10.365,3.726,108.343,270.065,3.175,100.602,0.0,3.182
19890126,7.082,4.868,1.594,10.182,3.497,109.825,268.354,2.997,100.639,0.0,2.755
19890127,6.952,4.92,1.682,9.797,3.309,110.393,271.692,3.243,101.374,0.0,2.297
19890128,7.054,4.639,1.661,10.434,3.417,110.863,272.43,2.889,101.554,0.0,2.717
19890129,4.377,2.018,2.487,7.681,4.617,105.919,271.373,1.864,101.916,0.0,1.274
19890130,4.067,1.797,2.453,7.245,4.065,104.218,276.953,2.03,101.888,0.019,1.512
19890131,5.916,3.677,2.171,9.051,3.985,120.914,259.442,3.534,101.72,0.0,2.982
19890201,7.339,5.04,1.612,10.559,2.642,100.817,300.331,2.589,101.629,0.0,1.874
19890202,5.805,3.721,2.333,8.486,4.303,114.811,281.331,2.225,101.41,0.0,1.07
19890203,5.073,2.552,2.533,8.314,4.856,121.533,269.933,2.383,101.238,0.0,1.362
19890204,6.004,4.012,1.655,8.564,3.327,90.584,292.442,2.453,101.155,0.288,1.29
19890205,5.41,3.159,1.819,8.305,3.947,112.271,283.28,2.382,101.55,0.0,1.409
