TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,24.586,24.121,0.261,25.051,0.447,159.126,414.874,4.15,100.686,6.143,3.054
19890102,24.505,23.809,0.449,25.201,0.659,155.137,416.464,3.322,100.595,6.812,3.359
19890103,23.82,22.953,0.309,24.688,0.739,168.136,414.554,1.856,100.586,13.07,3.062
19890104,23.403,23.018,0.386,23.789,0.507,133.757,420.337,1.41,100.648,23.208,2.852
19890105,23.754,23.379,0.265,24.128,0.83,122.614,424.915,1.433,100.693,32.364,3.256
19890106,24.434,23.748,0.902,25.119,1.117,140.605,412.101,4.184,100.763,7.356,4.191
19890107,23.745,22.899,1.165,24.592,0.876,161.002,400.166,5.264,100.651,4.521,3.933
19890108,23.229,22.377,1.069,24.081,0.679,109.263,411.693,2.893,100.539,8.493,2.804
19890109,23.416,22.871,0.233,23.961,0.338,131.542,411.876,2.512,100.598,12.631,2.829
19890110,23.73,22.587,0.428,24.782,0.979,196.196,411.33,2.769,100.698,12.099,2.958
19890111,22.945,22.378,0.684,23.467,0.563,131.98,413.692,1.303,100.707,24.041,2.579
19890112,23.023,22.77,0.525,23.256,0.68,91.554,417.461,1.556,100.765,31.797,2.218
19890113,24.022,22.901,0.524,25.054,1.274,187.718,413.491,3.098,100.782,7.52,2.508
19890114,24.139,23.086,0.645,25.107,1.394,170.971,410.171,2.734,100.82,9.947,2.792
19890115,24.241,23.668,0.665,24.768,0.891,192.866,408.448,2.492,100.801,9.595,2.973
19890116,24.033,23.454,0.293,24.566,0.617,144.762,410.604,2.44,100.788,15.563,2.938
19890117,23.358,22.649,0.152,24.009,0.659,169.389,412.829,1.589,100.743,18.404,2.794
19890118,23.942,22.867,0.757,24.931,1.365,187.704,412.891,2.716,100.705,13.485,3.069
19890119,24.107,23.204,0.216,24.938,0.764,165.434,411.011,3.113,100.639,12.512,3.582
19890120,24.179,23.667,0.9,24.65,0.869,146.041,415.815,3.37,100.611,14.064,3.764
19890121,24.827,24.69,0.614,24.954,0.484,194.941,409.565,4.717,100.613,9.568,4.347
19890122,25.348,24.766,0.212,25.884,0.731,203.578,403.402,6.445,100.689,3.623,4.444
19890123,25.148,24.089,0.296,26.123,1.012,237.139,400.327,6.363,100.652,3.068,3.977
19890124,24.239,23.806,0.51,24.638,0.803,187.129,407.512,3.343,100.633,10.473,3.76
19890125,23.95,23.072,0.565,24.757,0.94,196.262,405.581,3.514,100.6,9.687,3.766
19890126,23.398,22.581,0.416,24.15,1.026,181.469,410.74,2.134,100.622,10.781,3.133
19890127,23.288,22.784,0.368,23.753,0.577,167.157,412.44,1.543,100.607,14.553,3.133
19890128,24.3,23.346,0.665,25.179,0.734,143.614,415.269,3.132,100.582,7.698,3.408
19890129,23.41,23.005,0.616,23.783,0.9,148.95,419.929,1.932,100.623,12.705,3.371
19890130,24.115,23.841,0.53,24.367,0.446,57.566,423.702,3.898,100.645,24.929,4.094
19890131,24.655,23.972,0.093,25.284,0.611,174.158,412.787,7.637,100.71,1.163,3.945
19890201,24.879,23.892,0.192,25.788,0.775,186.923,411.625,7.815,100.755,1.077,3.079
19890202,23.995,23.446,0.434,24.501,1.16,160.686,415.981,3.406,100.751,19.644,2.353
19890203,23.495,22.83,0.349,24.106,0.925,144.344,416.725,1.93,100.726,26.241,2.64
19890204,24.093,22.74,0.495,25.338,0.905,169.657,416.24,3.495,100.791,21.949,3.249
19890205,24.06,23.162,0.91,24.886,1.4,169.793,413.347,3.53,100.849,13.508,3.607
19890206,24.793,23.842,0.37,25.667,0.928,218.111,403.57,5.558,100.8,3.174,3.856
19890207,24.032,23.485,0.278,24.536,0.772,189.248,410.035,3.759,100.725,8.866,3.502
19890208,23.24,22.961,0.831,23.496,0.595,187.946,408.45,3.027,100.764,12.065,3.56
19890209,23.179,22.68,0.395,23.638,0.753,127.918,412.8,2.291,100.8,11.031,3.203
19890210,23.135,22.563,0.323,23.662,0.682,156.273,412.309,1.31,100.793,39.434,3.379
19890211,24.585,23.382,0.829,25.692,0.734,204.341,412.166,4.4,100.784,11.148,4.001
19890212,23.839,23.488,0.284,24.161,0.435,170.451,413.894,2.502,100.77,17.739,3.444
19890213,23.193,22.792,0.22,23.562,0.34,68.679,423.669,1.52,100.694,30.891,2.741
19890214,23.064,22.696,0.782,23.402,0.618,121.323,417.545,1.496,100.576,26.637,2.487
19890215,24.006,22.867,0.378,25.053,0.982,173.529,408.149,6.356,100.532,2.741,2.142
19890216,23.584,22.815,0.658,24.291,0.98,115.709,417.634,1.889,100.559,22.118,2.934
19890217,23.427,23.139,0.525,23.692,0.551,99.824,415.637,2.358,100.652,21.484,3.914
19890218,24.376,23.691,0.176,25.006,0.436,150.347,418.963,5.083,100.684,5.763,3.756
19890219,24.498,23.649,0.517,25.28,0.706,164.34,417.615,4.198,100.763,4.281,3.342
19890220,24.211,23.32,0.509,25.03,1.127,183.108,413.645,3.353,100.809,8.288,2.997
19890221,24.161,23.41,0.726,24.852,1.062,181.162,415.472,2.8,100.784,12.877,2.798
19890222,24.278,23.468,0.525,25.024,0.703,178.728,413.954,2.414,100.74,17.245,3.381
19890223,24.454,23.452,0.509,25.376,0.867,212.905,413.925,3.923,100.701,13.31,3.913
19890224,24.411,23.469,0.481,25.278,0.847,228.844,410.632,4.108,100.751,11.208,4.694
19890225,24.634,23.668,0.431,25.523,1.343,238.203,400.785,5.07,100.715,3.41,4.06
