TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-9.562,-9.562,2.955,-9999,-9999,0.0,239.169,0.342,96.869,1.049,4.513
19890102,-14.413,-14.413,0.358,-9999,-9999,0.0,222.321,0.297,98.506,0.985,2.961
19890103,-13.774,-13.774,0.612,-9999,-9999,0.0,208.868,0.308,98.174,0.132,2.838
19890104,-15.425,-15.425,0.733,-9999,-9999,0.0,216.005,0.192,99.129,0.274,2.307
19890105,-15.048,-15.048,0.608,-9999,-9999,0.0,182.374,0.365,99.716,0.077,1.909
19890106,-15.835,-15.835,0.998,-9999,-9999,0.0,170.694,0.139,98.493,0.045,2.577
19890107,-14.079,-14.079,0.741,-9999,-9999,0.0,192.561,0.251,98.065,0.124,3.188
19890108,-14.56,-14.56,0.318,-9999,-9999,0.0,196.672,0.254,99.207,0.883,4.432
19890109,-12.968,-12.968,1.985,-9999,-9999,0.0,204.913,0.491,98.119,0.384,6.957
19890110,-9.419,-9.419,0.703,-9999,-9999,0.0,240.885,0.472,96.564,1.202,2.687
19890111,-17.63,-17.63,1.913,-9999,-9999,0.0,218.0,0.147,97.727,2.284,4.285
19890112,-18.459,-18.459,1.006,-9999,-9999,0.0,206.85,0.158,97.608,1.117,2.769
19890113,-20.421,-20.421,0.565,-9999,-9999,0.0,177.521,0.088,97.364,0.241,2.174
19890114,-22.028,-22.028,1.024,-9999,-9999,0.0,175.681,0.034,97.134,0.223,3.034
19890115,-22.093,-22.093,0.562,-9999,-9999,0.0,177.43,0.072,98.478,0.228,3.705
19890116,-20.536,-20.536,0.682,-9999,-9999,0.0,156.631,0.044,98.518,0.036,5.194
19890117,-14.695,-14.695,2.305,-9999,-9999,0.0,200.53,0.196,96.958,0.025,4.007
19890118,-17.029,-16.999,2.86,-18.394,-9999,0.062,224.368,0.088,97.133,2.396,4.982
19890119,-23.125,-23.093,1.52,-23.603,0.139,0.227,179.121,0.036,98.631,0.43,3.024
19890120,-24.811,-24.811,0.299,-24.812,0.044,0.37,164.037,0.031,99.921,0.187,2.199
19890121,-19.67,-19.764,3.079,-18.86,0.223,0.582,173.736,0.132,100.012,0.014,6.439
19890122,-14.04,-13.993,0.853,-14.445,0.089,0.816,194.77,0.346,98.63,0.001,5.629
19890123,-15.615,-15.468,1.773,-16.477,0.384,1.04,194.696,0.171,97.636,0.247,3.818
19890124,-19.294,-19.202,0.797,-19.832,0.052,1.147,210.203,0.102,97.774,0.748,3.05
