TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20200101,-15.571,1.0,-15.571,1.114,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-15.571,1.0,-15.571,1.114,1.0,-9999,-9999,-9999,0.0,0.0,1.0,-9999,0.0,1.0,192.19,1.0,-9999,192.19,1.0,140.182,1.0,-9999,140.182,1.0,0.756,1.0,-9999,0.756,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.14583333333333334,1.0,0.7583333333333334,1.0,240.6520833333333,1.0,410.211,1.0,-9999,-9999,2.56573,-9999,-9999,-9999,-9999,0.531029,-9999,-16.3859,-9999,-9999,-9999,-9999,2.46806,-9999,-9999,-9999,48,0,48,0,0.187631,1.0,0.0158753,0.0171638,0.191482,1.0,0.015781,0.0170766,0.19482,1.0,0.00331392,0.184599,0.184599,0.184808,0.189367,0.191482,0.197648,0.224461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18081,0.0533618,1.0,0.0152982,0.0165398,-9999,-9999,0.0,-9999,-9999,0.184521,0.0542553,1.0,0.0152073,0.0164558,-9999,-9999,0.0,-9999,-9999,0.177888,0.177888,0.17809,0.182483,0.184521,0.190463,0.216301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0571515,0.0493283,0.0589292,0.000894561,0.0486306,0.0552631,0.0566386,0.0594857,0.0610918,0.062407,0.0635628,-0.127447,-0.142154,-0.135891,0.00302261,-0.199982,-0.148564,-0.140827,-0.13171,-0.124284,-0.122806,-0.121963,0.0224693,0.0224569,0.0261377,0.00280362,0.00641508,0.00688718,0.00725511,0.0224803,0.042316,0.0518147,0.0539197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20200102,-12.154,1.0,-12.154,1.441,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-12.154,1.0,-12.154,1.441,1.0,-9999,-9999,-9999,0.0,0.0,1.0,-9999,0.0,1.0,236.508,1.0,-9999,236.508,1.0,155.811,1.0,-9999,155.811,1.0,0.886,1.0,-9999,0.886,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,1.0,0.4479166666666667,1.0,256.71875,1.0,409.362,1.0,-9999,-9999,0.401594,-9999,-9999,-9999,-9999,0.567134,-9999,-10.6381,-9999,-9999,-9999,-9999,2.52339,-9999,-9999,-9999,48,0,48,0,0.195001,1.0,0.0161247,0.0246355,0.191023,1.0,0.0161108,0.0246264,0.178454,0.979687,0.00300266,0.150796,0.15672,0.157046,0.190863,0.193971,0.193971,0.196108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.187912,0.0528939,1.0,0.0155386,0.02374,-9999,-9999,0.0,-9999,-9999,0.184079,0.0539821,1.0,0.0155251,0.0237312,-9999,-9999,0.0,-9999,-9999,0.145314,0.151023,0.151337,0.183925,0.18692,0.18692,0.188979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.081768,0.0626215,0.0745204,0.00111887,0.061839,0.0698389,0.0711221,0.0746071,0.0783305,0.0792964,0.081768,-0.112203,-0.128402,-0.103934,0.00299748,-0.129184,-0.121024,-0.118993,-0.114047,-0.0834343,-0.0806202,-0.0774331,0.0265099,0.0264953,0.0328091,0.00381256,0.00756869,0.00812568,0.00855978,0.0265229,0.060308,0.0636159,0.0753325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20200103,-6.094,1.0,-6.094,1.456,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.094,1.0,-6.094,1.456,1.0,-9999,-9999,-9999,0.0,0.017,1.0,-9999,0.017,1.0,249.39,1.0,-9999,249.39,1.0,186.821,1.0,-9999,186.821,1.0,0.964,1.0,-9999,0.964,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.3235288911764706,0.7083333333333334,0.05416666666666667,1.0,0.4958333333333333,1.0,277.88958333333335,1.0,407.082,1.0,-9999,-9999,1.82936,-9999,-9999,-9999,-9999,0.595062,-9999,-13.8183,-9999,-9999,-9999,-9999,2.40647,-9999,-9999,-9999,48,0,48,0,0.098337,1.0,0.0161681,0.0165501,0.0957019,1.0,0.0161806,0.0165623,0.094348,0.998437,0.00110886,0.0826312,0.0912664,0.0912664,0.0957019,0.098337,0.098337,0.098337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0947621,0.0798354,1.0,0.0155804,0.0159485,-9999,-9999,0.0,-9999,-9999,0.0922228,0.08055,1.0,0.0155924,0.0159602,-9999,-9999,0.0,-9999,-9999,0.0796273,0.0879485,0.0879485,0.0922228,0.0947621,0.0947621,0.0947621,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.132508,0.0864757,0.102473,0.00171178,0.0837658,0.0934533,0.0958582,0.100315,0.107688,0.111242,0.11805,0.0341715,-0.00922617,0.00812492,0.0015753,-0.0119361,1.38715e-06,0.00326367,0.00942096,0.0133233,0.0164212,0.019713,0.0331716,0.0331533,0.0452972,0.00607081,0.00947063,0.0101676,0.0107108,0.0331879,0.0754629,0.079602,0.123035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20200104,-8.442,1.0,-8.442,1.852,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8.442,1.0,-8.442,1.852,1.0,-9999,-9999,-9999,0.0,0.06,1.0,-9999,0.06,1.0,270.346,1.0,-9999,270.346,1.0,178.621,1.0,-9999,178.621,1.0,0.543,1.0,-9999,0.543,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.014583333333333332,1.0,0.3416666666666666,1.0,275.6666666666667,1.0,407.881,1.0,-9999,-9999,1.18993,-9999,-9999,-9999,-9999,0.565643,-9999,-12.0026,-9999,-9999,-9999,-9999,2.33025,-9999,-9999,-9999,48,0,48,0,0.115131,1.0,0.0162023,0.0239554,0.114352,1.0,0.0162222,0.0239689,0.0985449,0.9875,0.00315465,0.0567235,0.0798409,0.0851897,0.113498,0.115131,0.115131,0.115131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.110946,0.0458901,1.0,0.0156133,0.0230846,-9999,-9999,0.0,-9999,-9999,0.110195,0.0462825,1.0,0.0156325,0.0230976,-9999,-9999,0.0,-9999,-9999,0.0546614,0.0769384,0.0820928,0.109372,0.110946,0.110946,0.110946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.112048,0.0772452,0.091658,0.00145418,0.0756956,0.084933,0.0858061,0.0905041,0.0961897,0.0988219,0.10484,-0.00308286,-0.0371065,-0.00688693,0.00320112,-0.0386561,-0.0276917,-0.020855,-0.0102915,0.00643924,0.011,0.0266823,0.0306612,0.0306443,0.0403921,0.00513556,0.00875389,0.00939811,0.00990019,0.0306762,0.0697518,0.0735777,0.103725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20200105,-13.687,1.0,-13.687,1.542,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-13.687,1.0,-13.687,1.542,1.0,-9999,-9999,-9999,0.0,0.046,1.0,-9999,0.046,1.0,230.517,1.0,-9999,230.517,1.0,154.103,1.0,-9999,154.103,1.0,0.468,1.0,-9999,0.468,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.25,1.0,0.65625,1.0,252.07083333333333,1.0,410.006,1.0,-9999,-9999,1.11851,-9999,-9999,-9999,-9999,0.60279,-9999,-12.733,-9999,-9999,-9999,-9999,3.06699,-9999,-9999,-9999,48,0,48,0,0.189433,1.0,0.0183904,0.0197096,0.189344,1.0,0.0181164,0.0194542,0.185249,0.998437,0.00127742,0.176171,0.17632,0.17737,0.185312,0.188999,0.1905,0.19413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.182547,0.215951,1.0,0.0177218,0.0189931,-9999,-9999,0.0,-9999,-9999,0.182461,0.215866,1.0,0.0174578,0.018747,-9999,-9999,0.0,-9999,-9999,0.169767,0.16991,0.170922,0.178575,0.182129,0.183574,0.187073,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0703787,0.0566209,0.0674845,0.00100881,0.0558745,0.0632656,0.0645993,0.068012,0.0703787,0.0713771,0.0722779,-0.11533,-0.132723,-0.117765,0.00137941,-0.132498,-0.128206,-0.12542,-0.117009,-0.112135,-0.109229,-0.104804,0.0247144,0.0247008,0.0297799,0.00333707,0.00705607,0.00757533,0.00798003,0.0247265,0.0558889,0.0578986,0.0646852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20200106,-19.802,1.0,-19.802,2.111,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19.802,1.0,-19.802,2.111,1.0,-9999,-9999,-9999,0.0,0.006,1.0,-9999,0.006,1.0,200.031,1.0,-9999,200.031,1.0,130.848,1.0,-9999,130.848,1.0,0.273,1.0,-9999,0.273,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.431725125,0.8333333333333334,0.2729166666666667,1.0,0.7875000000000001,1.0,230.80208333333334,1.0,411.225,1.0,-9999,-9999,2.43294,-9999,-9999,-9999,-9999,0.576236,-9999,-20.7556,-9999,-9999,-9999,-9999,3.2752,-9999,-9999,-9999,48,0,48,0,0.207694,1.0,0.0244509,0.0353217,0.207813,1.0,0.0242224,0.0351639,0.211165,1.0,0.0036623,0.191456,0.192539,0.192655,0.207694,0.208014,0.243521,0.253409,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.200144,0.179299,1.0,0.023562,0.0340376,-9999,-9999,0.0,-9999,-9999,0.200259,0.179251,1.0,0.0233418,0.0338856,-9999,-9999,0.0,-9999,-9999,0.184496,0.18554,0.185652,0.200144,0.200452,0.234668,0.244197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0329706,0.0338445,0.0407183,0.000695248,0.0329706,0.0381738,0.0384079,0.0412161,0.0425952,0.0429008,0.0444889,-0.209945,-0.173969,-0.170446,0.00356036,-0.210774,-0.202569,-0.201769,-0.165734,-0.152225,-0.150514,-0.14862,0.0172325,0.017223,0.0185823,0.00186211,0.00491994,0.005282,0.00556419,0.0172409,0.0208031,0.0346966,0.0392529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20200107,-17.104,1.0,-17.104,0.627,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-17.104,1.0,-17.104,0.627,1.0,-9999,-9999,-9999,0.0,0.04,1.0,-9999,0.04,1.0,230.488,1.0,-9999,230.488,1.0,139.161,1.0,-9999,139.161,1.0,0.428,1.0,-9999,0.428,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.3373827291666667,1.0,0.0,1.0,0.5145833333333333,1.0,242.16458333333335,1.0,410.777,1.0,-9999,-9999,3.41439,-9999,-9999,-9999,-9999,0.623508,-9999,-15.7317,-9999,-9999,-9999,-9999,3.41781,-9999,-9999,-9999,48,0,48,0,0.181474,1.0,0.0284595,0.0307273,0.181626,1.0,0.0288895,0.031126,0.188976,1.0,0.00373321,0.173644,0.17367,0.176435,0.181493,0.183855,0.196841,0.227111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.174877,0.289764,1.0,0.0274249,0.0296102,-9999,-9999,0.0,-9999,-9999,0.175024,0.289752,1.0,0.0278392,0.0299944,-9999,-9999,0.0,-9999,-9999,0.167332,0.167357,0.170021,0.174896,0.177171,0.189685,0.218855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0472381,0.0434936,0.0520785,0.000816735,0.04284,0.0485579,0.0490315,0.0526561,0.054067,0.0547686,0.0565932,-0.136617,-0.138133,-0.136898,0.00337607,-0.193164,-0.160499,-0.138653,-0.130299,-0.126583,-0.121245,-0.119545,0.0206012,0.0205898,0.0232631,0.00241758,0.00588172,0.00631456,0.00665191,0.0206113,0.0327922,0.0468661,0.0482625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20200108,-17.1,1.0,-17.1,0.441,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-17.1,1.0,-17.1,0.441,1.0,-9999,-9999,-9999,0.0,0.031,1.0,-9999,0.031,1.0,200.462,1.0,-9999,200.462,1.0,130.216,1.0,-9999,130.216,1.0,0.845,1.0,-9999,0.845,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.29583333333333334,1.0,0.7208333333333333,1.0,236.2541666666667,1.0,410.756,1.0,-9999,-9999,2.85032,-9999,-9999,-9999,-9999,0.547327,-9999,-19.3984,-9999,-9999,-9999,-9999,2.53437,-9999,-9999,-9999,48,0,48,0,0.139398,1.0,0.0242069,0.0255053,0.141309,1.0,0.0237689,0.02509,0.14435,1.0,0.00304954,0.132101,0.132264,0.135019,0.140155,0.14229,0.148332,0.172592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.134331,0.0354978,1.0,0.0233269,0.0245781,-9999,-9999,0.0,-9999,-9999,0.136172,0.0358258,1.0,0.0229048,0.0241779,-9999,-9999,0.0,-9999,-9999,0.127298,0.127456,0.13011,0.13506,0.137117,0.14294,0.166318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0472279,0.0435031,0.0520899,0.000817059,0.0428491,0.0485697,0.0490428,0.0526694,0.0540772,0.0547794,0.0566074,-0.0950617,-0.0978063,-0.0922603,0.00271322,-0.142442,-0.104736,-0.0960347,-0.0872271,-0.0850064,-0.0792004,-0.0768188,0.0206074,0.0205961,0.0232666,0.00241765,0.0058835,0.00631648,0.00665393,0.0206175,0.0327597,0.0468803,0.0482771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20200109,-14.163,1.0,-14.163,0.965,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-14.163,1.0,-14.163,0.965,1.0,-9999,-9999,-9999,0.0,0.119,1.0,-9999,0.119,1.0,210.829,1.0,-9999,210.829,1.0,143.316,1.0,-9999,143.316,1.0,0.952,1.0,-9999,0.952,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.30624999999999997,1.0,0.6895833333333333,1.0,246.23958333333334,1.0,410.503,1.0,-9999,-9999,1.68871,-9999,-9999,-9999,-9999,0.666832,-9999,-23.4544,-9999,-9999,-9999,-9999,3.18734,-9999,-9999,-9999,48,0,48,0,0.113616,1.0,0.0166575,0.0168569,0.114071,1.0,0.018075,0.0182589,0.116153,1.0,0.00151483,0.110321,0.111451,0.112723,0.113679,0.115127,0.116622,0.136034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.109485,0.0441783,1.0,0.016052,0.0162441,-9999,-9999,0.0,-9999,-9999,0.109925,0.0454493,1.0,0.0174179,0.0175952,-9999,-9999,0.0,-9999,-9999,0.106311,0.1074,0.108625,0.109547,0.110942,0.112382,0.131088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0667734,0.0547574,0.0652998,0.000977702,0.0540218,0.0612257,0.0625771,0.0659589,0.0678922,0.0692111,0.070049,-0.0471621,-0.059314,-0.0508533,0.00135287,-0.0739888,-0.0590423,-0.0541821,-0.0487297,-0.044636,-0.0432944,-0.0406688,0.0241632,0.0241498,0.0288341,0.00319083,0.00689868,0.00740637,0.00780204,0.024175,0.0519516,0.0566072,0.0613116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20200110,-14.481,1.0,-14.481,0.772,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-14.481,1.0,-14.481,0.772,1.0,-9999,-9999,-9999,0.0,0.027,1.0,-9999,0.027,1.0,220.727,1.0,-9999,220.727,1.0,147.141,1.0,-9999,147.141,1.0,0.659,1.0,-9999,0.659,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.3519795897435897,0.8125,0.4354166666666666,1.0,0.7458333333333332,1.0,247.73750000000004,1.0,410.513,1.0,-9999,-9999,2.82817,-9999,-9999,-9999,-9999,0.669909,-9999,-16.1616,-9999,-9999,-9999,-9999,3.43218,-9999,-9999,-9999,48,0,48,0,0.106043,1.0,0.0210529,0.0212905,0.111062,1.0,0.0210794,0.0213167,0.112071,1.0,0.00158148,0.106043,0.10677,0.107656,0.110008,0.111062,0.113113,0.126237,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.102188,0.0803858,1.0,0.0202876,0.0205165,-9999,-9999,0.0,-9999,-9999,0.107024,0.0991948,1.0,0.0203131,0.0205417,-9999,-9999,0.0,-9999,-9999,0.102188,0.102888,0.103742,0.106009,0.107024,0.109001,0.121648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0644726,0.0535127,0.0638402,0.000957797,0.0527851,0.059861,0.0612211,0.0644726,0.0663317,0.0677614,0.0685527,-0.0428145,-0.0575491,-0.0482312,0.00137743,-0.069787,-0.0578649,-0.0507967,-0.0484041,-0.0416724,-0.0408949,-0.0381641,0.0237853,0.0237721,0.0282106,0.00309787,0.00679079,0.00729054,0.00768002,0.0237969,0.049556,0.0557219,0.0591635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
