TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
202001,-12.243,1.0,-12.24,1.065,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-12.243,1.0,-12.24,1.065,1.0,-9999,-9999,-9999,1.65262,0.849,1.0,-9999,0.849,1.0,220.478,1.0,-9999,220.478,1.0,160.895,1.0,-9999,160.895,1.0,0.81,1.0,-9999,0.81,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.7606182795698924,1.0,1.4681451612903227,1.0,254.29327956989246,1.0,409.685,1.0,-9999,-9999,1.43807,-9999,-9999,0.103232,-20.8316,-9999,-9999,0.519791,-9999,-9999,45.0323,2.96774,45.0323,6.57143,0.116345,1.0,0.00360758,0.00479011,0.115559,1.0,0.00401934,0.0051074,0.114579,0.998101,0.000566821,0.110158,0.110935,0.111362,0.113939,0.1165,0.117238,0.12019,1.0,1.0,1.0,1.0,1.0,1.0,0.999328,0.113166,0.0836726,1.0,0.00374681,0.00490831,0.0680319,0.0407067,-12140.6,0.0149004,0.0150034,0.1125,0.0923453,1.0,0.00401542,0.00511631,0.0678575,0.0407378,1.0,0.0145598,0.0146652,0.107524,0.10803,0.108518,0.11138,0.113334,0.114371,0.116972,1.0,1.0,1.0,1.0,1.0,1.0,0.99925,-5483.3,-5483.3,-5483.29,-5483.29,-5483.29,-5483.29,-5483.29,-5482.87,-5482.87,-5482.87,-5482.87,-5482.87,-5482.87,-5482.87,0.0734648,0.0646754,0.0704368,0.000674983,0.0621338,0.064534,0.0684195,0.0703789,0.0730476,0.0742063,0.0767907,-0.0435881,-0.0508835,-0.0441418,0.000948836,-0.0545504,-0.0509301,-0.0479683,-0.0453682,-0.0390987,-0.036891,-0.0347777,0.0328261,0.03277,0.0438907,0.00315129,0.0275338,0.0305997,0.0313963,0.0328261,0.0695168,0.0755217,0.0770996,0.00121784,0.00134275,0.00194676,0.000240967,0.0,0.0,0.00066102,0.00130745,0.00361973,0.0036721,0.00377269,-9999,-9999
202002,-13.396,1.0,-13.634,0.815,1.0,-12.861,0.566,1.0,-9999,-9999,-9999,-9999,-9999,-13.396,1.0,-13.634,0.815,1.0,-12.861,0.566,1.0,39.3552,19.781,1.0,-9999,19.781,1.0,207.212,1.0,-9999,207.212,1.0,168.912,1.0,-9999,168.912,1.0,0.728,1.0,-9999,0.728,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.17914798723460668,0.6415229885057472,34.640014367816086,1.0,18.849353448275863,1.0,246.3084051724138,1.0,410.721,1.0,-9999,-9999,-0.291603,-9999,-9999,0.061647,-16.5482,-9999,-9999,0.470673,-9999,-9999,33.069,14.931,33.069,14.931,0.336573,0.971264,0.00404524,0.199876,0.23252,0.985632,0.00343686,0.199865,0.302904,0.936369,0.0267783,0.135391,0.142452,0.166759,0.224285,0.392772,0.542122,0.629138,0.998563,0.99569,0.993534,0.985632,0.966236,0.934626,0.932471,0.383024,0.128823,0.990911,0.00447454,0.244005,0.217911,0.193975,0.918524,0.00702537,0.0978583,0.263474,0.102609,0.991989,0.00389069,0.243995,0.153049,0.139457,0.968983,0.00625361,0.097806,0.134709,0.141587,0.168133,0.255514,0.460437,0.629515,0.731684,0.999042,0.999042,0.994862,0.991989,0.988821,0.97416,0.600957,0.121454,0.127174,0.132835,0.154162,0.248505,0.322386,0.372955,0.997701,0.971012,0.968983,0.98939,0.858673,0.734905,0.62965,0.117397,0.242869,0.227004,0.0161925,0.117397,0.129109,0.13924,0.193249,0.290672,0.339411,0.407783,-0.132115,0.0103491,-0.0759008,0.0203151,-0.383284,-0.22694,-0.0970689,-0.0180394,-0.00549343,0.00372378,0.0080486,0.0959151,0.0926531,0.0956274,0.00562027,0.0609744,0.0668282,0.0684801,0.0881825,0.1113,0.132554,0.13548,0.00729451,0.0135417,0.0129532,0.00161735,0.0,0.0,0.0051999,0.0110936,0.0197902,0.0270988,0.0283101,-9999,-9999
202003,-12.551,1.0,-12.821,1.616,1.0,-12.225,1.137,1.0,-9999,-9999,-9999,-9999,-9999,-12.551,1.0,-12.821,1.616,1.0,-12.225,1.137,1.0,140.12,68.21,0.99328,-9999,68.21,0.99328,214.368,1.0,-9999,214.368,1.0,179.952,0.99328,-9999,179.952,0.99328,0.791,1.0,-9999,0.791,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.24630741476137533,0.8333333333333334,124.56559654267632,0.9905913978494625,58.73239247311828,1.0,252.6612231182796,1.0,411.38,0.998656,-9999,-9999,1.25612,-9999,-9999,0.0764359,-16.2296,-9999,-9999,0.460213,-9999,-9999,24.2258,23.7742,24.2258,23.7742,0.151733,0.909946,0.00274328,0.0117699,0.147746,0.922043,0.00291553,0.0118112,0.1414,0.911156,0.00178642,0.11509,0.128133,0.134952,0.144518,0.148753,0.151025,0.151873,0.947581,0.940188,0.933468,0.925403,0.913978,0.870296,0.897177,0.176726,0.120016,0.95404,0.0042788,0.0183427,0.124716,0.0995249,0.865064,0.00364998,0.0102583,0.172395,0.121283,0.96172,0.00424286,0.0183343,0.120438,0.0984468,0.882763,0.00367211,0.0102662,0.130752,0.144944,0.153212,0.171125,0.176686,0.180617,0.185568,0.979116,0.979116,0.970179,0.95404,0.95404,0.947097,0.911425,0.0967092,0.102623,0.110251,0.115262,0.120487,0.121797,0.122332,0.915388,0.912182,0.898699,0.894491,0.858123,0.882763,0.872915,0.116722,0.178722,0.168875,0.00429205,0.116722,0.141024,0.145727,0.171582,0.178541,0.185657,0.215532,0.016377,0.0309764,0.0274751,0.00318657,0.00720432,0.0125767,0.0159069,0.0223751,0.0321591,0.0367574,0.0650438,0.0959678,0.111181,0.0797781,0.00179243,0.0625894,0.0691231,0.0700836,0.0792564,0.0852935,0.0953881,0.101251,0.00742226,0.0172271,0.00732503,0.000580577,0.000662677,0.00398867,0.00425685,0.00742226,0.0108324,0.0110133,0.0129442,-9999,-9999
202004,-2.467,1.0,-2.984,1.492,1.0,-2.169,1.422,1.0,-9999,-9999,-9999,-9999,-9999,-2.467,1.0,-2.984,1.492,1.0,-2.169,1.422,1.0,279.283,155.348,0.988889,-9999,155.348,0.988889,244.829,1.0,-9999,244.829,1.0,229.842,0.988889,-9999,229.842,0.988889,1.777,1.0,-9999,1.777,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.2503599921181814,0.8340277777777778,286.6808119810973,0.9798611111111112,97.03708333333336,1.0,296.98291666666665,1.0,408.948,1.0,-9999,-9999,7.32917,-9999,-9999,0.2041,-10.7552,-9999,-9999,0.696323,-9999,-9999,15.5667,32.4333,15.5667,32.4333,0.292246,0.940972,0.00413247,0.00587456,0.294835,0.950694,0.00463864,0.00624101,0.289746,0.94125,0.000866265,0.281907,0.286006,0.28718,0.289008,0.292246,0.294357,0.297832,0.986806,0.961111,0.979861,0.914583,0.940972,0.954167,0.947222,0.311978,0.105948,1.0,0.00771595,0.0106932,0.258533,0.142634,0.909773,0.00536081,0.00776308,0.315873,0.119181,1.0,0.00795506,0.010867,0.261743,0.145476,0.924985,0.00540242,0.00779187,0.296417,0.301943,0.304473,0.311988,0.314724,0.31675,0.322547,0.975926,0.998148,1.0,1.0,1.0,1.0,1.0,0.24882,0.250936,0.251411,0.256965,0.260723,0.262165,0.264568,0.95902,0.970349,0.958068,0.899773,0.930732,0.930732,0.91612,0.282541,0.275907,0.270577,0.0021033,0.247638,0.252643,0.256419,0.276106,0.279741,0.282541,0.285636,-0.0460729,-0.0189276,-0.0191691,0.00241729,-0.0395727,-0.0363653,-0.033989,-0.0175286,-0.00750888,-0.00432004,-0.00154377,0.23024,0.223374,0.239637,0.00408421,0.177975,0.222859,0.225784,0.230558,0.259972,0.269664,0.276074,0.0179095,0.0200696,0.0271733,0.00167023,0.0130546,0.0182723,0.0195286,0.0230962,0.0327101,0.040185,0.0471074,-9999,-9999
202005,1.595,0.991935,0.329,-9999,1.0,1.763,1.479,0.991202,-9999,-9999,-9999,-9999,-9999,1.595,0.991935,0.329,-9999,1.0,1.763,1.479,0.991202,413.527,232.415,0.991935,-9999,232.415,0.991935,268.807,0.991935,-9999,268.807,0.991935,258.68,0.991935,-9999,258.68,0.991935,1.894,0.991935,-9999,1.894,0.991935,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.22146104425052168,0.8918010752688171,433.6963605456845,0.9879032258064516,40.581902277039845,0.9905913978494625,337.92992172675514,0.9905913978494625,406.587,1.0,-9999,-9999,20.8841,-9999,-9999,0.245477,70.925,-9999,-9999,0.579122,-9999,-9999,5.16129,42.8387,5.16129,42.8387,0.661773,0.950941,0.00744329,0.0193682,0.664135,0.969758,0.00749849,0.0193895,0.680005,0.941515,0.0027858,0.655779,0.65983,0.663891,0.679598,0.692331,0.695592,0.705957,0.922715,0.949597,0.969758,0.980511,0.984543,0.983199,0.995296,0.703565,0.0451438,0.927343,0.0171742,0.0459036,0.640343,0.261765,0.951647,0.00782798,0.0176758,0.707829,0.0529162,0.927343,0.0168361,0.0457781,0.642432,0.265928,0.973858,0.00783827,0.0176803,0.688391,0.696869,0.70607,0.739239,0.776054,0.782009,0.798661,0.927343,0.927343,0.927343,0.771966,0.966052,0.966052,0.966052,0.635461,0.638408,0.642104,0.656066,0.667973,0.670103,0.674952,0.91861,0.950072,0.973051,0.98332,0.987884,0.986344,0.995433,0.706583,0.665726,0.692634,0.00567547,0.64018,0.661756,0.665694,0.68675,0.701368,0.710133,0.756369,-0.022418,0.00159133,0.0126287,0.00647882,-0.0490433,-0.00813003,-0.00458348,0.00434956,0.0172056,0.0409681,0.0876253,0.674052,0.665977,0.739189,0.0138795,0.638659,0.651648,0.660034,0.722608,0.797821,0.830416,0.90311,0.104705,0.106286,0.139716,0.00870102,0.0937302,0.102341,0.103159,0.11739,0.154888,0.165422,0.247874,-9999,-9999
202006,4.145,1.0,2.917,-9999,1.0,4.171,1.449,1.0,-9999,-9999,-9999,-9999,-9999,4.145,1.0,2.917,-9999,1.0,4.171,1.449,1.0,487.427,221.23,0.989583,-9999,221.23,0.989583,297.098,1.0,-9999,297.098,1.0,288.418,0.989583,-9999,288.418,0.989583,1.237,1.0,-9999,1.237,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.20750662710100093,0.9659722222222222,415.94122233514,0.9868055555555555,42.802847222222226,1.0,349.9390972222222,1.0,401.654,1.0,-9999,-9999,20.7131,-9999,-9999,0.224813,72.0675,-9999,-9999,0.538592,-9999,-9999,1.0,47.0,1.0,47.0,-0.668845,0.970139,0.0177452,0.0264086,-0.687476,0.978472,0.0186575,0.02703,-0.68389,0.952517,0.00511704,-0.726514,-0.701868,-0.699145,-0.680763,-0.66725,-0.662751,-0.64506,0.999306,0.991667,0.961111,0.945139,0.980556,0.971528,0.977083,1.06351,0.0,1.0,0.0976437,0.121822,-0.680872,1.45989,0.969504,0.017838,0.0268093,1.10879,0.0,1.0,0.0969784,0.121289,-0.700171,1.50821,0.978014,0.0182455,0.0270822,0.91769,0.97479,1.00592,1.10712,1.11408,1.12048,1.12874,0.933333,0.866667,0.866667,1.0,1.0,1.0,1.0,-0.739096,-0.714759,-0.709188,-0.689498,-0.680357,-0.674732,-0.658562,0.999291,0.991489,0.991489,0.94539,0.980142,0.970922,0.976596,1.17998,1.48968,1.38411,0.0320964,1.09532,1.18519,1.20426,1.48616,1.51194,1.51612,1.59472,1.87148,2.17716,2.068,0.0313633,1.74494,1.87148,1.88512,2.15683,2.20487,2.21468,2.25858,1.75383,1.70133,1.85633,0.0755514,1.49686,1.5268,1.54253,1.64953,1.88153,2.41336,2.80322,2.35857,2.41323,2.47836,0.0498143,2.22135,2.23636,2.24508,2.35857,2.51301,2.81354,3.07605,-9999,-9999
202007,8.64,1.0,7.761,-9999,1.0,8.684,1.247,1.0,-9999,-9999,-9999,-9999,-9999,8.64,1.0,7.761,-9999,1.0,8.684,1.247,1.0,448.603,194.987,1.0,-9999,194.987,1.0,315.277,1.0,-9999,315.277,1.0,317.267,1.0,-9999,317.267,1.0,2.434,1.0,-9999,2.434,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.20989970303964878,0.9677419354838709,375.27912091054674,0.9993279569892474,36.274193548387096,1.0,367.5997983870967,1.0,394.258,1.0,-9999,-9999,33.8775,-9999,-9999,0.366632,48.1122,-9999,-9999,0.468064,-9999,-9999,2.3871,45.6129,2.3871,45.5161,-2.03057,0.957661,0.0246446,0.0519869,-1.99214,0.979839,0.0263875,0.0528354,-2.02044,0.941952,0.00721025,-2.10919,-2.08209,-2.04974,-2.00827,-1.99341,-1.99055,-1.9746,0.839382,0.877688,0.962366,0.975134,0.982527,0.99664,0.993952,2.34478,0.0821898,1.0,0.0825463,0.213067,-2.18927,3.67233,0.955768,0.0263317,0.0451202,2.54217,0.0798765,1.0,0.0833413,0.213377,-2.1618,3.74734,0.978856,0.0264025,0.0451615,2.17062,2.22675,2.29656,2.51417,2.61344,2.6196,2.63586,0.835023,0.705991,0.835023,1.0,1.0,1.0,1.0,-2.25184,-2.22841,-2.19965,-2.17266,-2.15986,-2.15513,-2.1425,0.85067,0.889547,0.915804,0.861034,0.985719,0.994346,0.993596,2.14183,2.78408,2.36982,0.0708727,1.71617,1.88821,1.93096,2.66554,2.70505,2.7064,2.80389,4.11594,4.77622,4.39027,0.0672625,3.78204,3.9129,3.99664,4.65579,4.69846,4.70649,4.81216,3.62653,3.61536,3.77369,0.100025,3.07092,3.28123,3.45821,3.66873,3.79549,3.9992,4.68636,5.35501,5.58396,5.37535,0.101578,4.27069,4.42682,5.23324,5.56831,5.65551,5.73422,6.01227,-9999,-9999
202008,7.293,1.0,6.535,0.94,1.0,7.581,1.006,1.0,-9999,-9999,-9999,-9999,-9999,7.293,1.0,6.535,0.94,1.0,7.581,1.006,1.0,326.07,154.591,1.0,-9999,154.591,1.0,299.451,1.0,-9999,299.451,1.0,301.98,1.0,-9999,301.98,1.0,2.376,1.0,-9999,2.376,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.22491245332913606,0.8756720430107527,290.4074353694807,0.9993279569892473,29.990053763440855,1.0,355.2061155913979,1.0,396.781,1.0,-9999,-9999,23.259,-9999,-9999,0.378846,33.0659,-9999,-9999,0.490165,-9999,-9999,12.2581,35.7419,12.2581,35.7419,-0.613436,0.96371,0.0234616,0.0913085,-0.655917,0.973118,0.0239386,0.0914322,-0.603994,0.964936,0.01642,-0.705442,-0.688685,-0.661685,-0.645678,-0.591255,-0.512199,-0.424392,1.0,0.985887,0.983871,0.983199,0.96371,0.958333,0.867608,2.27255,0.458864,0.948387,0.0370435,0.116503,-1.4641,2.58256,0.970182,0.0277581,0.0946285,2.16261,0.434513,0.95745,0.0393547,0.117258,-1.49755,2.55261,0.97972,0.0278852,0.0946659,2.10047,2.12207,2.17024,2.19983,2.27445,2.34298,2.38858,1.0,0.968817,0.948387,0.964363,0.948387,0.948387,0.943779,-1.56275,-1.53911,-1.52586,-1.49896,-1.43762,-1.35818,-1.22871,0.994354,0.993377,0.991451,0.97972,0.970182,0.964896,0.934393,2.27861,2.17076,2.20238,0.0213843,1.98678,2.06061,2.0688,2.23017,2.29457,2.35429,2.36623,2.67323,2.82667,2.80637,0.0302198,2.41117,2.56684,2.67323,2.83111,2.979,2.99491,3.01171,2.32883,2.30538,2.32508,0.0229309,2.12834,2.18218,2.23163,2.28417,2.38386,2.4223,2.62057,2.94175,2.96938,2.89769,0.0130495,2.77994,2.83627,2.84124,2.87693,2.9424,2.98173,3.05813,-9999,-9999
202009,2.29,1.0,1.564,0.778,1.0,2.857,0.899,1.0,-9999,-9999,-9999,-9999,-9999,2.29,1.0,1.564,0.778,1.0,2.857,0.899,1.0,186.254,94.557,1.0,-9999,94.557,1.0,269.823,1.0,-9999,269.823,1.0,267.545,1.0,-9999,267.545,1.0,1.881,1.0,-9999,1.881,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.25770931594078494,0.8805555555555553,169.80972222222226,1.0,19.685694444444444,1.0,325.43326388888886,1.0,405.335,1.0,-9999,-9999,8.09907,-9999,-9999,0.210924,16.8054,-9999,-9999,0.499187,-9999,-9999,21.0667,26.9333,21.0667,26.9333,0.908814,0.999306,0.00799637,0.0102781,0.912619,0.999306,0.00842831,0.0106176,0.914816,0.997639,0.00163681,0.904515,0.906519,0.908588,0.914458,0.915967,0.919434,0.9218,0.999306,0.999306,0.999306,0.999306,0.999306,1.0,1.0,0.994156,0.143313,1.0,0.0108036,0.0184188,0.80144,0.234782,0.99881,0.0111851,0.0114984,0.991838,0.150339,1.0,0.0111515,0.018625,0.810002,0.236481,0.99881,0.0115514,0.0118551,0.984598,0.987512,0.994087,1.00088,1.00876,1.01735,1.0189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.798287,0.800417,0.80145,0.802359,0.804986,0.805748,0.811277,0.99881,0.99881,1.0,1.0,1.0,0.99881,0.99881,1.07424,1.05246,1.06049,0.00205385,1.03988,1.04724,1.05323,1.05551,1.06636,1.07516,1.08049,0.147233,0.139837,0.145672,0.00142361,0.123458,0.138216,0.140726,0.145174,0.150995,0.154762,0.160043,1.06557,1.05746,1.09835,0.0109038,1.04008,1.04639,1.0513,1.0802,1.10728,1.14597,1.29916,0.15394,0.175161,0.183281,0.00436783,0.15263,0.15611,0.168236,0.176248,0.190367,0.209308,0.253425,-9999,-9999
202010,0.608,1.0,0.42,1.174,1.0,0.896,0.794,1.0,-9999,-9999,-9999,-9999,-9999,0.608,1.0,0.42,1.174,1.0,0.896,0.794,1.0,69.5095,26.582,1.0,-9999,26.582,1.0,268.907,1.0,-9999,268.907,1.0,258.783,1.0,-9999,258.783,1.0,1.951,1.0,-9999,1.951,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.3011789192921714,0.7143817204301076,47.797244623655914,1.0,7.967069892473118,1.0,311.82930107526875,1.0,411.558,0.999328,-9999,-9999,1.6599,-9999,-9999,0.0971577,-15.3911,-9999,-9999,0.395142,-9999,-9999,29.6774,18.3226,29.6774,18.3226,0.524402,0.993952,0.00468427,0.00660226,0.525545,0.993952,0.00484961,0.00672058,0.52938,0.991952,0.00250123,0.522675,0.523233,0.523367,0.524381,0.52659,0.532538,0.541106,0.993952,0.993952,0.993952,0.993952,0.993952,0.99328,0.991263,0.522428,0.0956683,1.0,0.00599773,0.00906274,0.480498,0.0967782,0.982922,0.0069934,0.0112144,0.523651,0.105656,1.0,0.0061533,0.00916644,0.481818,0.0971262,0.982922,0.00710997,0.0112874,0.521274,0.522066,0.522767,0.524975,0.52939,0.535654,0.541745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.468424,0.470364,0.472441,0.478431,0.480711,0.487898,0.497898,0.998102,0.998102,0.998102,0.982922,0.982922,0.981594,0.976186,0.564149,0.546137,0.55048,0.00225413,0.536433,0.542754,0.543187,0.546367,0.551901,0.554669,0.564149,0.0123223,0.0205917,0.0210997,0.00115522,0.00932436,0.0123223,0.0187853,0.0210873,0.026117,0.0272747,0.0291672,0.599734,0.596644,0.5953,0.00426015,0.506627,0.572359,0.588722,0.602691,0.608596,0.612546,0.61506,0.0554878,0.0547912,0.0535347,0.00169231,0.0201154,0.0439832,0.049913,0.0554878,0.0580966,0.0595662,0.0638108,-9999,-9999
