TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,7.496,7.189,0.36,8.108,0.718,28.185,306.55,1.218,102.382,0.012,5.671
19890102,6.594,6.275,0.469,7.231,0.63,29.295,285.749,1.429,101.957,0.012,5.63
19890103,8.47,8.054,1.506,9.303,0.759,15.463,318.303,1.772,100.602,6.274,9.857
19890104,4.727,4.851,1.691,4.478,0.393,30.728,277.882,1.271,100.72,1.983,10.09
19890105,6.946,5.909,2.916,9.021,1.87,3.654,324.031,0.598,100.564,10.414,8.544
19890106,8.221,7.953,0.98,8.757,0.652,13.89,330.626,0.628,100.941,1.962,6.632
19890107,9.228,8.76,0.995,10.164,0.67,10.781,352.66,0.08,101.624,0.534,5.542
19890108,9.858,9.732,0.258,10.112,0.197,18.297,349.908,0.801,100.811,0.559,7.879
19890109,6.029,5.978,3.237,6.131,0.448,35.639,295.163,0.613,100.15,2.702,5.746
19890110,3.005,2.229,1.479,4.557,2.113,45.254,242.567,1.055,100.936,0.0,6.54
19890111,6.572,6.079,0.96,7.559,0.216,6.297,318.678,1.465,99.503,14.099,11.455
19890112,3.59,3.027,1.303,4.716,0.905,43.076,252.654,0.843,99.942,0.39,7.197
19890113,7.277,5.398,2.382,10.703,1.267,7.764,326.574,1.231,99.929,9.787,12.763
19890114,6.695,6.528,2.492,6.999,1.387,33.009,294.177,2.196,101.069,0.166,11.983
19890115,10.109,9.888,0.435,10.513,0.1,18.832,345.454,2.192,101.684,0.187,11.935
19890116,8.119,7.384,1.984,9.46,0.407,15.569,329.364,1.52,101.417,1.809,8.629
19890117,3.028,2.422,1.458,4.134,2.405,48.957,250.656,0.456,102.28,0.0,3.804
19890118,3.802,3.107,2.174,5.069,2.076,37.611,279.673,0.686,102.36,0.0,6.018
19890119,7.628,7.006,1.449,8.761,0.764,20.443,325.509,0.907,101.657,0.078,8.448
19890120,8.895,8.497,1.14,9.622,0.312,13.839,325.285,1.332,100.5,6.787,9.581
19890121,4.494,4.149,0.795,5.124,1.339,47.917,273.654,1.155,100.43,2.371,7.498
19890122,4.422,4.22,4.958,4.789,2.934,50.371,279.268,0.947,101.443,5.374,7.215
19890123,10.024,9.928,0.81,10.199,1.203,36.737,334.299,1.155,101.057,0.341,7.896
19890124,10.07,10.059,0.394,10.09,0.227,10.694,352.332,1.368,100.65,4.238,10.569
19890125,9.256,8.929,0.425,9.854,0.4,29.866,321.769,1.532,100.179,3.993,10.083
19890126,7.489,7.601,1.416,7.285,1.962,54.632,297.349,0.96,100.517,0.339,6.478
19890127,10.897,9.945,2.524,12.633,0.421,10.167,356.442,1.995,100.163,8.006,13.376
19890128,4.626,4.042,0.945,5.69,2.064,68.031,254.831,1.641,102.123,0.401,5.858
19890129,7.143,6.304,1.927,8.542,1.696,43.138,290.224,1.7,102.741,0.06,8.949
19890130,8.417,8.026,0.394,9.015,0.367,31.797,325.394,1.934,102.979,0.209,7.005
19890131,6.717,6.407,0.391,7.19,0.815,41.147,311.807,2.198,102.716,0.2,5.472
19890201,7.499,6.879,0.558,8.446,1.414,51.822,310.742,2.206,101.965,0.172,6.05
19890202,8.496,7.844,1.949,9.492,1.424,31.951,325.011,1.576,101.622,0.955,9.014
19890203,10.518,10.241,0.524,10.94,0.539,22.154,350.821,1.499,100.883,2.019,10.621
19890204,9.037,8.565,2.068,9.756,0.775,25.94,327.049,1.224,100.268,4.551,11.829
19890205,8.426,7.512,3.537,9.822,2.124,43.119,314.801,1.886,100.876,0.162,10.0
19890206,11.616,11.196,0.202,12.257,0.369,42.216,336.125,3.36,100.642,0.127,13.471
19890207,9.456,9.36,1.9,9.602,0.43,21.015,332.156,1.613,100.668,4.447,8.473
19890208,7.87,7.263,1.056,8.797,1.412,23.002,316.706,1.129,100.617,0.704,7.067
19890209,6.717,6.569,3.14,6.944,2.584,15.87,302.106,1.487,99.495,9.452,8.219
19890210,2.909,1.629,1.158,4.862,2.625,86.685,241.476,0.994,101.345,0.019,4.23
19890211,5.475,4.27,1.412,7.314,0.588,12.055,296.168,1.085,101.639,4.736,9.121
19890212,5.017,4.047,0.653,6.497,1.027,87.853,263.409,1.684,102.418,0.255,6.989
19890213,7.335,5.886,1.678,9.546,1.317,58.778,306.218,2.245,101.368,6.322,14.385
19890214,6.713,6.39,2.825,7.128,1.95,54.158,298.762,1.864,101.847,0.113,10.886
19890215,6.324,6.851,3.493,5.646,0.592,86.344,292.817,1.781,100.442,5.381,11.586
19890216,3.177,2.172,0.943,4.469,2.454,90.664,248.468,1.809,100.997,0.1,5.293
19890217,6.743,5.809,2.828,7.944,1.659,58.879,315.088,1.315,99.035,6.782,9.589
19890218,8.734,7.762,0.733,9.983,0.943,46.283,309.952,1.492,98.437,3.174,10.293
19890219,3.825,3.608,1.591,4.105,1.08,58.817,284.884,1.36,99.801,3.413,9.367
19890220,2.996,1.727,0.975,4.628,1.812,101.575,251.196,1.223,101.045,0.841,8.008
19890221,3.644,2.86,2.617,4.652,2.505,63.553,278.494,0.989,100.565,4.609,9.044
19890222,2.0,1.704,1.518,2.38,0.917,103.097,253.582,0.923,99.274,1.015,10.45
19890223,0.856,0.012,0.893,1.942,1.533,103.382,247.011,0.233,98.443,2.701,8.244
19890224,0.395,-0.823,1.655,1.961,2.877,105.878,255.703,0.213,96.876,1.632,4.216
19890225,-0.478,-1.564,2.235,0.919,2.603,104.089,240.098,0.614,95.205,0.667,5.263
19890226,2.74,2.726,1.166,2.757,1.038,60.119,288.532,0.614,95.409,5.115,9.654
19890227,3.632,2.893,0.97,4.582,1.067,103.373,264.187,1.174,97.276,1.387,9.021
19890228,3.713,2.63,1.668,4.992,1.351,102.443,266.9,1.314,97.485,1.644,11.834
19890301,4.881,3.477,1.165,6.408,1.495,102.536,278.745,1.767,98.662,0.288,9.496
19890302,5.625,3.925,1.786,7.473,2.242,61.52,301.341,0.862,97.863,13.169,5.706
19890303,6.146,5.218,2.166,7.155,2.629,83.496,304.845,1.344,99.178,0.163,4.956
19890304,7.333,6.158,1.066,8.611,1.94,87.369,290.257,1.38,99.705,0.608,6.595
19890305,10.655,9.43,1.648,11.986,0.817,47.944,343.544,1.875,99.053,2.906,11.758
19890306,8.649,7.169,1.721,10.259,1.896,117.96,293.134,2.6,99.059,1.1,9.528
19890307,4.209,2.706,1.049,5.842,2.353,147.694,241.353,2.612,100.649,0.477,6.466
19890308,6.432,5.193,2.387,7.778,1.294,35.125,301.004,1.223,99.903,3.591,9.858
19890309,9.507,7.666,2.519,11.509,0.379,11.546,348.561,0.717,98.777,13.041,10.266
19890310,4.15,2.213,2.485,6.257,3.17,128.537,261.939,1.825,99.963,0.563,6.375
19890311,6.571,5.165,2.184,8.098,2.439,134.296,275.878,2.225,100.728,0.789,8.933
19890312,7.323,6.832,0.791,7.856,0.641,49.296,320.427,1.604,99.017,7.9,11.525
19890313,5.492,4.611,0.507,6.373,1.415,148.783,266.312,2.23,100.388,1.846,11.18
19890314,6.037,5.588,0.836,6.487,1.708,18.376,323.739,0.253,99.092,9.981,8.067
19890315,4.834,3.706,1.746,5.963,1.71,139.794,272.647,1.725,99.077,0.648,5.161
19890316,2.258,0.667,1.295,3.849,2.482,161.018,251.011,1.598,99.224,0.683,5.604
19890317,2.612,0.765,3.091,4.312,3.635,180.832,237.986,2.289,100.297,0.035,4.391
19890318,8.113,6.759,1.903,9.358,1.179,17.289,343.781,0.361,99.728,5.777,8.616
19890319,7.655,6.367,2.806,8.84,1.879,40.553,320.671,1.071,99.19,6.445,10.189
19890320,2.076,1.018,0.403,3.049,1.472,153.677,253.03,0.974,99.146,1.833,8.511
19890321,6.145,5.695,4.582,6.558,2.749,37.188,323.335,0.34,99.332,3.37,7.893
19890322,5.232,6.097,4.779,4.437,1.395,164.782,286.71,1.803,99.665,4.192,13.257
19890323,5.437,4.239,3.882,6.538,2.207,105.125,308.066,0.78,99.966,8.741,11.732
19890324,6.019,5.331,1.894,6.651,0.702,174.59,274.552,2.836,99.341,0.395,13.784
19890325,4.714,4.912,3.976,4.547,2.039,89.928,290.871,1.144,100.178,2.975,6.823
19890326,10.424,9.368,0.36,11.319,0.863,85.721,335.517,2.447,99.769,0.601,8.741
19890327,8.075,6.962,2.503,9.018,1.707,65.615,338.614,1.211,99.402,6.137,6.253
19890328,6.098,4.148,1.315,7.749,3.009,208.999,267.671,2.728,100.616,1.716,4.28
