TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20200101,5.038,1.0,4.426,2.658,1.0,6.26,2.246,1.0,5.386,5.146,1.536,5.866,1.279,5.038,1.0,4.426,2.658,1.0,6.26,2.246,1.0,67.3906,15.034,1.0,29.081,15.034,1.0,-9999,-9999,281.963,281.963,0.0,305.725,1.0,291.026,305.725,1.0,0.905,1.0,0.683,0.905,1.0,101.422,101.422,0.0,0.014,0.014,0.0,5.627,3.346,1.0,0.16349717857142856,0.5833333333333334,-24.175375,1.0,28.910791666666668,1.0,440.59,1.0,5.916,1.0,92.9,1.0,-3.18978,1.0,1.36202,1.0,1.99918,0.970206,2.15394,1.1703,1.46273,-15.6593,1.0,-12.9513,-23.1486,-9.69124,2.46238,10.2752,8.0,1,32,16,32,16,0.546177,0.895833,0.0520193,0.0610642,0.546177,0.895833,0.0520193,0.0610642,0.554201,0.873437,0.00540342,0.49037,0.528737,0.534102,0.546177,0.574433,0.5927,0.596679,0.916667,0.916667,0.916667,0.895833,0.8125,0.8125,0.833333,0.809005,0.108107,0.84375,0.0541714,0.0621069,-0.0390437,0.816976,1.0,0.104295,0.108415,0.809005,0.108107,0.84375,0.0541714,0.0621069,-0.0390437,0.816976,1.0,0.104295,0.108415,0.776768,0.787775,0.798021,0.809005,0.826812,0.848528,0.862238,0.875,0.875,0.875,0.84375,0.78125,0.78125,0.8125,-0.135905,-0.0506456,-0.0474088,-0.0390437,0.00118005,0.00856441,0.020461,1.0,1.0,1.0,1.0,0.875,0.9375,0.875,0.869977,0.868101,0.869127,0.00307955,0.848992,0.852542,0.856854,0.861306,0.876488,0.890792,0.911156,0.319099,0.321924,0.314926,0.0035402,0.285888,0.297137,0.302655,0.319212,0.323805,0.328339,0.333194,1.11674,1.10314,1.15122,0.0261356,1.01009,1.01046,1.01447,1.10247,1.21686,1.41919,1.4432,0.599518,0.597664,0.613799,0.0124252,0.535248,0.535643,0.544003,0.597431,0.665869,0.731042,0.744974,-9999,-9999
20200102,9.281,1.0,8.532,1.713,1.0,10.777,0.452,1.0,9.044,8.442,1.298,10.249,0.535,9.281,1.0,8.532,1.713,1.0,10.777,0.452,1.0,67.9583,13.181,1.0,6.291,13.181,1.0,-9999,-9999,341.509,341.509,0.0,338.874,1.0,344.742,338.874,1.0,1.068,1.0,0.856,1.068,1.0,99.855,99.855,0.0,3.367,3.367,0.0,10.176,9.664,1.0,0.4035244571428572,0.7291666666666666,-25.91577083333333,1.0,25.34845833333333,1.0,425.228,1.0,5.945,1.0,92.91,1.0,-1.75609,1.0,1.14411,1.0,1.67933,0.814985,1.80934,1.1589,1.37346,-40.1819,1.0,-33.2332,-59.3994,-24.8678,3.95156,25.9011,8.0,1,32,16,32,16,0.779717,1.0,0.0506814,0.052157,0.779717,1.0,0.0506814,0.052157,0.774395,1.0,0.00212849,0.761746,0.761746,0.762146,0.777559,0.780495,0.786382,0.792629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.916961,0.175762,1.0,0.057077,0.0597436,0.420194,0.759604,1.0,0.0918483,0.0918489,0.916961,0.175762,1.0,0.057077,0.0597436,0.420194,0.759604,1.0,0.0918483,0.0918489,0.890984,0.890984,0.891563,0.913842,0.917773,0.926284,0.931661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.420194,0.420194,0.420194,0.420194,0.420818,0.420818,0.428122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05929,1.06381,1.06677,0.0012864,1.06035,1.06117,1.06207,1.06444,1.06707,1.07188,1.07631,0.299267,0.284096,0.292376,0.00128672,0.281317,0.284096,0.284928,0.287354,0.29964,0.300751,0.304333,1.42578,1.42942,1.49488,0.02898,1.34396,1.34564,1.34604,1.42808,1.56067,1.77724,1.80279,0.51527,0.51363,0.527923,0.0109205,0.458997,0.459337,0.466638,0.513427,0.573802,0.630901,0.643157,-9999,-9999
20200103,5.54,1.0,5.349,0.715,1.0,5.922,2.015,1.0,5.039,4.997,0.789,5.123,1.625,5.54,1.0,5.349,0.715,1.0,5.922,2.015,1.0,68.5815,38.929,1.0,38.944,38.929,1.0,-9999,-9999,275.98,275.98,0.0,290.58,1.0,285.629,290.58,1.0,1.046,1.0,0.988,1.046,1.0,101.506,101.506,0.0,0.021,0.021,0.0,6.696,6.223,1.0,0.2840555454545454,0.9166666666666666,-29.303020833333335,1.0,74.86295833333334,1.0,427.464,1.0,6.413,1.0,92.873,1.0,-0.444372,1.0,-0.115615,1.0,-0.0956215,-0.170909,-0.078583,1.20592,1.20786,-19.4064,1.0,-16.0504,-28.6877,-13.1904,2.98397,11.8692,9.0,1,32,16,32,16,0.307193,1.0,0.0508206,0.0844422,0.307193,1.0,0.0508206,0.0844422,0.317944,0.994792,0.00857734,0.254706,0.255349,0.27579,0.307193,0.358004,0.390223,0.408471,1.0,1.0,1.0,1.0,0.979167,0.979167,0.979167,0.813831,0.186601,1.0,0.0473088,0.0667638,-0.739587,0.974549,1.0,0.112396,0.152842,0.813831,0.186601,1.0,0.0473088,0.0667638,-0.739587,0.974549,1.0,0.112396,0.152842,0.791366,0.792295,0.805424,0.813831,0.842982,0.886513,0.902108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.846391,-0.846391,-0.813267,-0.739587,-0.650996,-0.639241,-0.627872,1.0,1.0,1.0,1.0,0.9375,0.9375,0.9375,0.89069,0.889263,0.890373,0.00293096,0.87121,0.874776,0.878583,0.882765,0.897266,0.911187,0.931458,0.579059,0.58207,0.57243,0.00614024,0.50819,0.520752,0.539262,0.572651,0.608579,0.616503,0.619427,1.1111,1.09579,1.14538,0.0246646,1.01432,1.01487,1.01735,1.09579,1.20204,1.39998,1.41935,0.773278,0.772483,0.790858,0.00936956,0.738814,0.739451,0.7418,0.772736,0.818964,0.883195,0.892303,-9999,-9999
20200104,6.858,1.0,6.626,1.458,1.0,7.322,1.057,1.0,6.897,6.808,1.148,7.076,0.769,6.858,1.0,6.626,1.458,1.0,7.322,1.057,1.0,69.2602,23.436,1.0,22.437,23.436,1.0,-9999,-9999,316.436,316.436,0.0,322.596,1.0,322.124,322.596,1.0,0.5,1.0,0.632,0.5,1.0,102.158,102.158,0.0,0.169,0.169,0.0,6.865,6.255,1.0,0.2771644545454545,0.9166666666666666,-13.379687500000001,1.0,45.070187499999996,1.0,429.016,1.0,5.798,1.0,92.885,1.0,-2.65705,1.0,0.228443,1.0,0.188938,0.145881,0.337699,1.5791,1.58549,-13.1931,1.0,-9.39779,-19.5028,-8.42495,6.4449,10.439,10.0,1,32,16,32,16,0.239469,1.0,0.0623009,0.0653726,0.239469,1.0,0.0623009,0.0653726,0.245957,1.0,0.0029432,0.232167,0.232435,0.232921,0.239027,0.244351,0.272041,0.277392,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.836554,0.18606,1.0,0.0548714,0.055556,-0.980818,1.03572,1.0,0.142813,0.150938,0.836554,0.18606,1.0,0.0548714,0.055556,-0.980818,1.03572,1.0,0.142813,0.150938,0.825206,0.826236,0.82773,0.832854,0.837302,0.843626,0.843626,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.983187,-0.981215,-0.980957,-0.980818,-0.978234,-0.883506,-0.882709,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.949373,0.94989,0.951574,0.00226514,0.937295,0.940779,0.942094,0.945156,0.956017,0.970068,0.984312,0.70782,0.710421,0.705617,0.00181625,0.690007,0.696058,0.696496,0.707679,0.710421,0.712736,0.723029,1.12075,1.11044,1.16098,0.0213925,1.05294,1.05409,1.055,1.1142,1.1946,1.3823,1.39766,0.637563,0.636637,0.649547,0.00827534,0.59964,0.600783,0.604577,0.637563,0.674569,0.729235,0.73211,-9999,-9999
20200105,9.053,1.0,8.517,0.903,1.0,10.124,0.886,1.0,8.921,8.469,0.801,9.827,0.735,9.053,1.0,8.517,0.903,1.0,10.124,0.886,1.0,69.9943,16.235,1.0,10.869,16.235,1.0,-9999,-9999,341.811,341.811,0.0,337.141,1.0,345.014,337.141,1.0,1.103,1.0,1.034,1.103,1.0,101.48,101.48,0.0,0.206,0.206,0.0,8.624,8.242,1.0,0.34716048780487807,0.8541666666666666,-14.949666666666667,1.0,31.22102083333333,1.0,426.423,1.0,6.647,1.0,92.849,1.0,0.899411,1.0,2.86318,1.0,2.36805,1.8284,4.23253,1.05515,2.0711,-25.1128,1.0,-17.8886,-37.1234,-16.0368,4.52001,16.2717,10.0,1,32,16,32,16,0.717391,1.0,0.0555678,0.0562291,0.717391,1.0,0.0555678,0.0562291,0.720744,1.0,0.00208679,0.700241,0.708157,0.717391,0.720086,0.724864,0.725354,0.74654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01734,0.385932,1.0,0.0616846,0.062945,0.0392522,0.927835,1.0,0.10289,0.102902,1.01734,0.385932,1.0,0.0616846,0.062945,0.0392522,0.927835,1.0,0.10289,0.102902,0.991617,1.00274,1.01734,1.01987,1.02781,1.02781,1.03594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0392522,0.0393015,0.0393015,0.0411936,0.0417579,0.0424394,0.0863301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.04949,1.05341,1.05626,0.00129583,1.04949,1.05086,1.05107,1.05341,1.05596,1.06252,1.06827,0.334096,0.33602,0.335514,0.00137181,0.321726,0.327002,0.329308,0.334047,0.340498,0.345243,0.350792,1.25606,1.2686,1.30426,0.0144796,1.23903,1.24162,1.24463,1.25659,1.30778,1.44379,1.45676,0.549895,0.554054,0.559947,0.00501202,0.528995,0.530896,0.534283,0.549954,0.572528,0.606425,0.613368,-9999,-9999
20200106,7.945,1.0,7.279,2.036,1.0,9.277,0.406,1.0,7.802,7.338,1.511,8.73,0.337,7.945,1.0,7.279,2.036,1.0,9.277,0.406,1.0,70.7839,31.574,1.0,27.706,31.574,1.0,-9999,-9999,310.268,310.268,0.0,322.955,1.0,316.559,322.955,1.0,1.544,1.0,1.466,1.544,1.0,100.154,100.154,0.0,5.673,5.673,0.0,10.589,10.541,1.0,0.4507328571428572,0.875,-27.27914583333333,1.0,60.71960416666667,1.0,425.788,1.0,7.182,1.0,92.78,1.0,1.86149,1.0,5.55341,1.0,4.59306,3.54635,8.2094,1.30444,3.69461,-22.8561,1.0,-18.9036,-33.7873,-14.5957,4.97593,15.0717,11.0,1,32,16,32,16,0.570094,1.0,0.0606323,0.0606695,0.570094,1.0,0.0606323,0.0606695,0.572506,1.0,0.00207419,0.560794,0.567488,0.56888,0.570368,0.571122,0.571735,0.580012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95615,0.237118,1.0,0.0588709,0.0589649,-0.264193,1.04496,1.0,0.129852,0.129865,0.95615,0.237118,1.0,0.0588709,0.0589649,-0.264193,1.04496,1.0,0.129852,0.129865,0.943795,0.950979,0.953836,0.95684,0.957594,0.957636,0.969367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.266368,-0.264704,-0.264704,-0.264193,-0.262485,-0.260994,-0.260329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.00617,1.00694,1.00912,0.00142632,1.00158,1.00273,1.00382,1.0046,1.01159,1.01876,1.02993,0.432809,0.436846,0.436616,0.00148859,0.411093,0.433193,0.433301,0.434902,0.440789,0.446329,0.449763,1.25527,1.26373,1.27736,0.00429882,1.2407,1.25364,1.25556,1.2733,1.2797,1.30918,1.33051,0.641157,0.655563,0.653233,0.00158106,0.631685,0.639966,0.643415,0.655202,0.66102,0.662471,0.663063,-9999,-9999
20200107,11.351,1.0,10.447,1.937,1.0,13.159,0.61,1.0,10.922,9.961,2.033,12.844,0.451,11.351,1.0,10.447,1.937,1.0,13.159,0.61,1.0,71.6292,13.236,1.0,8.64,13.236,1.0,-9999,-9999,351.369,351.369,0.0,352.603,1.0,353.636,352.603,1.0,2.01,1.0,1.636,2.01,1.0,99.947,99.947,0.0,1.386,1.386,0.0,12.211,12.401,1.0,0.5014911136363636,0.9166666666666666,-16.24625,1.0,25.452916666666663,1.0,425.018,1.0,7.147,1.0,92.772,1.0,0.805527,1.0,5.08599,1.0,5.35673,3.45693,7.51844,0.867059,3.13312,-52.7214,1.0,-43.6042,-77.3845,-33.6673,2.63865,32.5143,12.0,1,32,16,32,16,0.816209,1.0,0.0590421,0.0590421,0.816209,1.0,0.0590421,0.0590421,0.816678,1.0,0.000309759,0.816209,0.816209,0.816209,0.816209,0.816209,0.816209,0.817252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.14046,0.328414,1.0,0.0593837,0.0593837,0.0786965,0.57479,1.0,0.12259,0.12259,1.14046,0.328414,1.0,0.0593837,0.0593837,0.0786965,0.57479,1.0,0.12259,0.12259,1.14046,1.14046,1.14046,1.14046,1.14046,1.14046,1.14196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0786965,0.0786965,0.0786965,0.0786965,0.0786965,0.0786965,0.0786965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.17264,1.17716,1.18118,0.00182352,1.15457,1.16767,1.17671,1.18102,1.18916,1.19062,1.19208,0.364806,0.360953,0.364499,0.00172267,0.338358,0.351459,0.360498,0.364425,0.372955,0.374415,0.375871,1.49725,1.52233,1.54468,0.00805192,1.47886,1.48775,1.49725,1.53661,1.58018,1.58383,1.6488,0.493662,0.504892,0.510967,0.00304609,0.486627,0.490754,0.493662,0.506977,0.522252,0.523817,0.55233,-9999,-9999
20200108,6.084,1.0,5.899,1.834,1.0,6.454,0.705,1.0,5.761,5.61,1.496,6.063,0.56,6.084,1.0,5.899,1.834,1.0,6.454,0.705,1.0,72.5304,24.707,1.0,30.074,24.707,1.0,-9999,-9999,290.148,290.148,0.0,312.344,1.0,298.41,312.344,1.0,1.232,1.0,1.406,1.232,1.0,100.711,100.711,0.0,1.296,1.296,0.0,6.0,4.958,1.0,0.20925493023255817,0.8958333333333334,-24.17602083333333,1.0,47.51433333333333,1.0,427.682,1.0,7.523,1.0,92.695,1.0,1.55159,1.0,2.05727,1.0,1.72172,1.39832,3.01966,1.29761,1.76871,-18.3258,1.0,-15.3368,-26.8987,-12.456,3.10873,11.1484,13.0,1,32,16,32,16,0.360805,1.0,0.0543997,0.0645309,0.360805,1.0,0.0543997,0.0645309,0.367261,1.0,0.00485755,0.325702,0.327076,0.341043,0.360805,0.387729,0.3965,0.420445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.828995,0.181016,1.0,0.0566111,0.0608924,-0.614926,0.967743,1.0,0.109149,0.124747,0.828995,0.181016,1.0,0.0566111,0.0608924,-0.614926,0.967743,1.0,0.109149,0.124747,0.805671,0.806034,0.819804,0.828995,0.833888,0.850892,0.870223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.669757,-0.668093,-0.653672,-0.614926,-0.54851,-0.54729,-0.522344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.931158,0.926072,0.927307,0.00195604,0.914666,0.91526,0.91954,0.922874,0.931158,0.939099,0.956955,0.566295,0.565268,0.560045,0.00357869,0.511916,0.532436,0.541768,0.560469,0.579477,0.588097,0.589464,1.10337,1.0664,1.142,0.0213005,1.02171,1.02719,1.08571,1.09469,1.12783,1.20489,1.46347,0.619012,0.620735,0.646104,0.00878822,0.599072,0.602033,0.611634,0.62733,0.645803,0.66805,0.777351,-9999,-9999
20200109,2.469,1.0,2.567,0.496,1.0,2.274,0.847,1.0,1.978,1.838,0.828,2.257,0.302,2.469,1.0,2.567,0.496,1.0,2.274,0.847,1.0,73.4876,12.142,1.0,18.753,12.142,1.0,-9999,-9999,306.375,306.375,0.0,290.888,1.0,313.048,290.888,1.0,0.319,1.0,0.08,0.319,1.0,99.782,99.782,0.0,5.055,5.055,0.0,4.29,4.113,1.0,0.18828740625,0.6666666666666666,-14.547395833333335,1.0,23.350333333333335,1.0,431.539,1.0,6.122,1.0,92.85,1.0,-4.66616,1.0,2.05067,1.0,1.7162,1.39383,3.03143,1.52118,1.94618,8.30577,1.0,6.95108,5.6454,12.2781,4.1331,6.42317,12.0,1,32,16,32,16,0.56804,1.0,0.0464062,0.0574776,0.56804,1.0,0.0464062,0.0574776,0.57827,0.998958,0.00472091,0.542859,0.54328,0.551178,0.56804,0.609645,0.611107,0.61224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.682704,0.125402,1.0,0.0545537,0.0715879,0.276761,0.569188,1.0,0.0780629,0.0785319,0.682704,0.125402,1.0,0.0545537,0.0715879,0.276761,0.569188,1.0,0.0780629,0.0785319,0.646232,0.646789,0.651645,0.682704,0.73894,0.739497,0.745852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.273945,0.276761,0.27691,0.285078,0.290854,0.2939,0.293938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.762911,0.752996,0.753089,0.00360195,0.728839,0.730027,0.737885,0.745984,0.762911,0.779323,0.796156,0.195024,0.184956,0.174819,0.00380515,0.130804,0.134934,0.15175,0.184282,0.194102,0.196087,0.204478,0.813258,0.765729,0.846321,0.0203067,0.724524,0.727706,0.792622,0.804793,0.81749,0.998546,1.13377,0.391456,0.386465,0.421265,0.0121365,0.350495,0.352003,0.389198,0.391692,0.400676,0.539642,0.584662,-9999,-9999
20200110,5.293,1.0,4.953,4.482,1.0,5.974,2.313,1.0,5.197,5.174,3.801,5.244,1.98,5.293,1.0,4.953,4.482,1.0,5.974,2.313,1.0,74.5007,34.903,1.0,33.784,34.903,1.0,-9999,-9999,295.221,295.221,0.0,307.741,1.0,302.986,307.741,1.0,1.147,1.0,0.895,1.147,1.0,100.84,100.84,0.0,1.086,1.086,0.0,8.722,8.141,1.0,0.3464407441860465,0.8958333333333334,-23.746645833333332,1.0,67.12179166666667,1.0,429.346,1.0,5.25,1.0,92.969,1.0,-6.00077,1.0,4.67879,1.0,3.91567,3.18016,6.91649,0.891044,2.9095,-30.7873,1.0,-25.7659,-45.5118,-20.926,4.98367,18.8943,11.0,1,32,16,32,16,0.271452,1.0,0.0600107,0.0611026,0.271452,1.0,0.0600107,0.0611026,0.278939,0.969792,0.00217994,0.256031,0.271452,0.272873,0.276719,0.28318,0.294452,0.295511,0.958333,1.0,0.958333,0.958333,0.979167,0.979167,0.958333,0.780794,0.228273,1.0,0.0584546,0.0589185,-0.776836,0.926682,1.0,0.12818,0.132964,0.780794,0.228273,1.0,0.0584546,0.0589185,-0.776836,0.926682,1.0,0.12818,0.132964,0.775179,0.780794,0.783126,0.787675,0.795094,0.795551,0.804078,0.9375,1.0,0.9375,0.9375,0.96875,0.96875,1.0,-0.810444,-0.810188,-0.77754,-0.776739,-0.771329,-0.739494,-0.723992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.880457,0.87301,0.874655,0.00166186,0.862658,0.864978,0.868452,0.871155,0.8791,0.884722,0.897222,0.597064,0.601558,0.595716,0.00170415,0.585051,0.589121,0.592207,0.595816,0.601605,0.605453,0.606671,0.842297,0.818047,0.890306,0.0172381,0.809018,0.810242,0.834073,0.848714,0.865541,1.01101,1.04338,0.550751,0.549147,0.579601,0.00987897,0.53873,0.539685,0.549317,0.556921,0.561336,0.631787,0.646066,-9999,-9999
