TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,7.494,5.888,1.88,9.559,2.514,147.755,272.559,3.965,93.937,0.0,1.435
19890102,7.277,6.418,1.825,8.382,1.728,117.263,285.056,2.688,93.901,1.322,2.657
19890103,8.315,7.534,0.448,9.318,0.911,78.652,311.714,2.576,94.101,6.375,3.536
19890104,6.448,5.203,1.214,8.049,1.487,151.585,273.519,3.875,94.475,0.0,2.418
19890105,5.272,3.797,1.624,7.168,2.51,160.985,259.343,3.609,94.521,0.0,1.333
19890106,6.748,5.464,2.646,8.398,2.594,143.651,276.641,3.218,94.281,0.0,1.209
19890107,7.704,6.402,1.187,9.379,2.342,140.329,279.437,3.281,93.912,0.0,1.46
19890108,6.79,5.719,1.257,8.167,1.854,118.516,281.434,3.131,93.755,0.105,2.62
19890109,8.049,7.128,1.974,9.234,2.372,160.08,279.114,3.956,93.626,1.618,2.862
19890110,6.727,6.185,1.234,7.425,0.561,87.341,293.721,2.546,93.716,7.788,2.73
19890111,6.708,5.998,1.474,7.62,1.495,82.063,300.184,2.479,94.112,0.539,2.525
19890112,8.648,7.441,1.862,10.199,2.457,105.613,300.411,3.015,94.313,0.116,2.027
19890113,9.173,8.018,1.963,10.658,2.526,115.738,299.619,3.409,94.283,0.078,1.334
19890114,8.667,7.318,1.782,10.4,2.474,139.553,293.65,3.585,94.253,0.35,0.73
19890115,7.763,6.698,0.671,9.132,0.756,96.08,301.133,3.028,93.938,5.72,3.181
19890116,6.783,5.87,1.076,7.958,1.841,120.577,291.403,2.579,94.025,3.228,2.644
19890117,6.822,5.503,1.489,8.516,2.559,128.716,282.876,3.042,94.456,0.159,1.232
19890118,7.588,5.864,1.997,9.805,2.395,169.012,271.461,3.455,94.533,0.0,1.855
19890119,8.928,7.052,2.331,11.339,2.955,174.987,272.514,3.9,94.21,0.0,1.716
19890120,8.808,7.614,2.057,10.342,2.202,115.55,298.756,2.891,93.99,0.573,2.403
19890121,7.074,6.656,1.642,7.611,0.663,106.263,299.847,2.264,93.717,14.371,3.024
19890122,6.257,5.457,1.347,7.202,2.132,102.185,295.727,2.364,94.001,0.547,2.452
19890123,7.901,6.771,1.933,9.236,1.971,135.574,294.969,2.65,94.291,1.087,1.543
19890124,8.774,7.263,1.515,10.56,2.239,154.291,282.432,3.288,94.335,0.001,1.88
19890125,8.719,6.987,1.872,10.765,3.151,179.92,274.477,3.647,94.094,0.0,1.586
19890126,8.483,6.805,2.854,10.467,3.047,155.401,285.254,3.487,93.988,0.0,1.75
19890127,8.616,7.194,1.841,10.296,2.427,133.137,293.212,2.878,94.118,8.672,1.638
19890128,7.592,6.233,0.92,9.199,1.498,135.165,287.51,2.584,94.273,3.433,1.834
19890129,6.57,5.126,1.905,8.276,2.423,168.142,270.884,3.303,94.386,0.0,1.397
19890130,7.726,6.27,1.45,9.447,2.163,190.049,259.882,4.658,94.252,0.0,3.033
19890131,7.002,5.367,1.52,8.935,2.405,192.794,257.879,4.123,94.144,0.0,2.433
19890201,7.106,5.439,2.93,9.077,3.153,144.813,284.935,3.357,94.076,0.373,1.763
19890202,8.032,7.152,0.751,9.072,1.117,145.782,288.083,4.037,94.25,0.428,1.966
19890203,5.595,4.581,1.242,6.794,1.957,202.313,246.418,4.826,94.574,0.0,3.371
19890204,5.944,4.039,1.953,8.195,2.524,201.107,252.331,4.243,94.508,0.0,2.492
19890205,6.813,4.684,2.516,9.329,2.723,200.631,260.775,4.34,94.379,0.0,1.63
19890206,7.419,5.027,2.538,10.246,3.208,198.162,266.122,4.304,94.288,0.0,1.747
19890207,8.007,6.065,2.302,10.301,2.999,196.41,268.176,4.232,94.15,0.0,2.061
19890208,8.555,6.415,1.92,11.083,2.568,204.82,265.26,4.3,94.0,0.0,2.094
19890209,9.368,7.838,2.965,11.177,2.545,160.65,294.511,3.885,93.922,0.08,1.257
19890210,9.17,8.186,0.952,10.333,1.48,150.604,293.271,3.383,93.981,4.149,2.712
19890211,8.11,7.056,1.123,9.355,1.726,135.022,297.904,2.948,94.026,11.51,4.185
19890212,5.771,5.41,1.31,6.165,0.764,133.457,287.335,2.254,93.926,11.678,4.669
19890213,5.783,4.955,1.351,6.684,1.742,162.282,276.591,2.265,94.061,3.952,3.148
19890214,7.484,6.282,1.729,8.789,2.34,161.3,284.656,3.85,94.098,0.012,1.985
19890215,8.278,6.733,1.52,9.957,2.281,213.016,268.387,4.269,94.056,0.0,1.41
19890216,8.878,7.6,1.815,10.268,2.234,216.87,266.742,4.654,94.035,0.0,3.014
19890217,9.389,7.856,1.97,11.056,2.538,219.459,268.419,5.19,93.799,0.0,2.069
