TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,9.205,8.118,2.097,10.726,3.05,100.697,268.354,3.685,103.18,0.0,1.912
19890102,8.866,8.251,1.684,9.805,2.329,97.005,275.079,3.32,103.284,0.004,3.037
19890103,8.157,7.816,0.762,8.636,1.149,91.444,277.186,3.373,103.888,0.004,3.646
19890104,8.333,7.831,1.553,9.035,2.056,93.04,284.246,3.06,104.243,0.0,1.81
19890105,8.122,7.459,0.908,9.05,1.362,74.621,300.043,1.552,103.699,3.093,2.038
19890106,8.359,7.947,0.924,8.937,1.684,86.148,300.796,2.034,102.709,0.735,1.366
19890107,9.092,8.933,1.324,9.313,1.693,79.661,311.777,2.479,102.153,0.425,1.018
19890108,9.62,9.107,1.271,10.338,2.013,99.215,282.287,3.654,102.243,0.006,2.414
19890109,10.575,9.725,2.411,11.764,2.664,104.857,279.883,3.394,102.811,0.0,1.474
19890110,10.292,10.139,0.695,10.506,1.015,80.848,309.742,1.943,103.086,0.053,0.516
19890111,9.541,9.196,1.434,10.024,1.497,91.445,296.753,1.781,103.138,0.054,1.04
19890112,9.8,9.231,1.79,10.598,2.699,103.608,281.822,2.764,103.412,0.0,1.254
19890113,9.692,8.958,2.032,10.719,2.246,103.212,283.305,2.159,103.789,0.0,1.003
19890114,9.906,9.424,2.218,10.581,3.215,109.78,277.6,2.924,103.969,0.0,1.872
19890115,9.671,8.566,2.306,11.217,2.905,113.731,269.156,3.474,104.031,0.0,1.524
19890116,10.155,9.229,2.405,11.451,3.051,114.283,273.003,3.385,104.001,0.0,0.953
19890117,10.032,9.478,0.798,10.807,0.953,105.251,290.731,2.377,103.915,0.009,0.744
19890118,8.834,8.475,1.441,9.338,2.111,92.646,299.562,2.472,103.599,0.059,1.162
19890119,8.601,8.096,1.321,9.307,2.131,103.893,283.887,2.989,103.536,0.0,2.227
19890120,8.613,8.02,1.989,9.443,3.098,103.997,285.149,2.978,103.655,0.005,1.465
19890121,8.994,8.881,1.153,9.152,1.556,83.618,307.185,2.031,103.45,0.009,0.737
19890122,9.645,9.322,0.952,10.096,1.299,66.736,321.392,1.857,102.686,3.459,1.668
19890123,9.976,9.753,0.438,10.29,0.912,83.985,312.041,2.438,102.676,0.807,3.274
19890124,9.984,9.191,0.893,11.003,1.737,93.629,299.936,3.115,102.987,2.242,4.048
19890125,8.225,7.34,1.442,9.363,2.35,119.549,272.0,3.291,103.208,0.0,2.764
19890126,8.066,7.328,1.537,9.015,2.521,115.474,270.125,3.958,103.314,0.0,2.096
19890127,7.991,7.014,1.912,9.248,2.835,121.657,268.796,3.546,103.845,0.0,1.876
19890128,7.946,7.088,2.285,9.049,3.206,128.591,269.304,3.298,103.877,0.0,1.259
19890129,7.343,6.522,1.728,8.4,2.398,106.456,286.553,2.923,103.816,0.0,2.314
19890130,8.432,7.594,1.788,9.51,2.831,128.524,269.23,3.501,104.031,0.0,2.388
19890131,9.329,7.837,2.366,11.246,3.4,137.363,258.351,4.687,104.084,0.0,1.999
19890201,10.58,9.128,2.403,12.447,3.241,133.901,273.661,4.508,103.892,0.0,1.213
19890202,10.177,9.22,1.729,11.407,2.77,128.673,287.39,1.893,103.835,0.0,0.951
19890203,9.683,9.019,1.709,10.538,2.158,98.487,303.572,1.274,103.783,0.074,0.9
19890204,9.892,9.348,1.252,10.592,1.386,96.262,298.105,2.325,103.647,0.011,0.835
19890205,9.714,9.275,1.779,10.279,2.541,118.969,291.321,2.479,103.57,0.001,1.308
19890206,10.013,9.245,1.204,11.001,1.981,128.474,280.543,3.828,103.727,0.001,3.015
19890207,10.148,9.062,2.064,11.544,2.64,122.463,283.824,3.862,103.627,0.0,2.48
19890208,9.178,8.581,2.402,9.946,3.31,142.946,277.608,3.373,103.301,0.001,1.779
19890209,9.988,8.972,2.198,11.293,2.834,131.993,286.205,3.937,102.885,0.008,1.291
19890210,10.184,9.154,2.421,11.508,3.322,147.421,279.387,4.539,103.259,0.0,2.31
19890211,10.133,9.222,1.665,11.305,2.631,135.642,281.81,3.991,104.026,0.0,2.44
19890212,9.437,8.682,1.356,10.409,2.556,150.782,279.974,2.891,104.243,0.006,1.558
19890213,9.668,8.911,0.703,10.641,1.235,86.389,323.887,2.603,103.319,4.244,1.895
19890214,7.965,7.672,1.257,8.342,1.816,156.066,267.927,4.581,102.339,0.0,2.557
19890215,7.67,6.673,0.763,8.951,1.663,145.713,263.612,4.614,102.246,0.001,3.652
19890216,8.06,7.174,2.005,9.106,2.706,163.752,255.428,5.07,102.53,0.0,2.095
19890217,9.99,9.338,1.41,10.699,1.692,100.718,300.911,4.663,102.695,0.027,1.319
19890218,10.415,9.487,2.115,11.425,2.816,159.885,279.221,3.618,102.997,0.0,1.24
19890219,10.787,9.742,1.87,11.923,2.429,161.184,285.303,2.58,103.541,0.0,0.972
19890220,10.937,10.439,0.647,11.478,2.088,152.633,292.512,1.734,103.581,0.002,0.875
19890221,10.418,9.885,1.533,10.997,2.276,158.294,293.613,2.301,103.074,0.001,0.783
19890222,11.794,11.249,1.092,12.386,1.78,150.496,296.66,3.189,102.722,0.0,0.551
19890223,13.125,12.18,0.798,14.152,1.576,149.05,308.148,3.589,102.269,0.0,1.291
19890224,14.633,13.33,2.014,16.048,2.19,148.331,310.956,5.693,101.304,0.428,3.392
19890225,13.047,12.682,0.496,13.444,0.941,50.419,339.965,1.424,100.094,14.227,4.711
19890226,12.242,11.92,0.513,12.592,0.924,65.118,337.632,2.136,99.212,35.421,7.235
19890227,9.51,10.052,0.82,8.92,0.321,96.831,323.716,1.732,100.041,23.393,5.085
19890228,11.824,11.689,1.497,11.971,0.799,100.991,330.045,2.776,100.993,16.377,5.066
19890301,13.663,13.362,0.529,13.99,0.725,129.04,326.38,1.838,101.37,22.279,5.389
19890302,12.071,11.431,0.782,12.765,1.328,179.715,294.519,2.919,101.886,2.691,4.006
