TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,1.428,-0.131,1.291,4.028,2.849,57.081,240.159,0.555,102.357,0.0,1.29
19890102,1.908,0.596,1.37,4.095,2.127,49.807,260.606,0.421,102.676,0.003,1.253
19890103,2.773,1.769,1.957,4.445,1.268,55.907,250.069,0.754,103.262,0.0,1.755
19890104,-0.873,-1.515,1.035,0.197,2.159,52.696,234.922,0.088,103.16,0.0,1.132
19890105,-1.854,-2.112,1.241,-1.425,1.424,46.188,245.881,0.019,102.545,0.002,0.856
19890106,-0.785,-1.414,0.587,0.264,1.011,40.543,263.273,0.021,101.496,0.0,1.105
19890107,-0.306,-1.24,1.056,1.25,1.998,54.969,245.301,0.163,100.878,0.0,1.442
19890108,0.074,-0.658,1.036,1.294,2.273,53.771,251.997,0.019,101.214,0.008,0.884
19890109,-0.066,-1.108,0.992,1.669,2.145,54.104,270.225,0.0,101.66,0.008,0.866
19890110,1.476,0.988,1.847,2.289,1.538,37.063,295.253,0.001,101.783,0.056,0.834
19890111,4.076,3.869,0.574,4.421,0.626,18.057,322.414,0.149,101.986,0.133,1.14
19890112,4.852,3.939,1.002,6.375,1.572,34.238,311.017,0.19,102.27,0.117,1.475
19890113,3.952,2.732,1.599,5.986,1.71,49.76,283.6,0.309,102.646,0.001,0.859
19890114,2.586,1.972,0.857,3.524,0.741,42.976,290.651,0.0,102.924,0.04,1.256
19890115,1.747,1.343,1.003,2.364,0.987,46.24,285.998,0.004,103.029,0.052,0.898
19890116,0.922,0.065,0.714,2.23,1.331,53.674,271.221,0.041,102.894,0.018,1.308
19890117,0.057,-0.454,0.94,0.837,1.267,54.996,266.753,0.0,102.566,0.005,0.848
19890118,0.188,-0.318,0.687,0.962,0.809,40.47,282.456,0.039,102.639,0.052,0.946
19890119,0.711,0.015,0.918,1.774,1.249,59.819,261.534,0.111,102.703,0.041,1.701
19890120,2.235,0.848,1.841,4.351,2.584,68.717,241.824,0.716,102.524,0.0,0.993
19890121,0.338,-0.738,1.264,1.843,1.906,60.562,254.432,0.277,102.232,0.003,1.005
19890122,1.685,0.612,0.895,3.188,1.134,33.196,280.403,0.039,101.751,1.516,1.82
19890123,2.676,0.775,1.067,5.338,2.919,65.725,249.727,0.698,102.421,0.001,1.325
19890124,2.045,0.641,1.016,4.009,1.986,69.83,244.871,0.504,102.473,0.0,1.355
19890125,1.105,0.006,1.603,2.644,2.376,67.874,249.67,0.387,102.38,0.01,1.237
19890126,1.759,0.223,1.608,3.909,2.527,72.988,237.464,0.755,102.406,0.0,0.856
19890127,1.067,-0.155,1.124,2.778,2.077,76.472,235.815,0.479,102.912,0.0,1.164
19890128,1.692,-0.154,1.769,4.276,3.126,78.547,235.197,0.86,102.838,0.0,1.279
19890129,4.179,2.013,2.285,7.211,3.293,79.176,239.631,1.813,102.974,0.0,1.06
19890130,4.489,2.57,2.619,7.175,3.474,80.942,239.491,1.914,103.177,0.0,1.125
19890131,4.668,2.91,3.045,7.129,3.819,82.424,241.456,1.777,103.121,0.0,1.365
19890201,5.675,3.684,4.003,8.464,4.71,82.318,250.032,2.439,102.907,0.0,0.924
19890202,4.915,2.975,1.884,7.63,3.597,81.312,257.942,1.141,102.651,0.0,1.406
19890203,3.956,2.92,2.428,5.406,2.277,55.159,289.233,0.362,102.607,0.001,0.981
