TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20190101,1.918,1.0,2.343,1.405,1.0,1.208,1.665,1.0,3.56,2.427,0.42,5.45,1.457,1.918,1.0,2.343,1.405,1.0,1.208,1.665,1.0,123.469,24.773,1.0,52.296,24.773,1.0,-9999,-9999,260.37,260.37,0.0,289.505,1.0,299.281,289.505,1.0,0.013,1.0,0.384,0.013,1.0,101.958,101.931,1.0,0.004,0.0,1.0,1.865,2.218,0.979167,0.35469672340425534,0.9791666666666666,14.343770833333332,1.0,47.63969583333333,1.0,3.501084097916666,1.0,456.117,1.0,7.29,8.405,1.0,1.0,31.235,1.0,-6.21382,1.0,6.77173,1.0,6.97214,-9999,-9999,1.25274,-9999,1.81888,1.0,1.71486,-9999,-9999,3.31656,-9999,5.0,2,30,18,30,18,3.35654,0.958333,1.14007,1.19991,3.35654,0.958333,1.15413,1.21327,3.30952,0.951042,0.0681285,2.64091,2.76816,3.14479,3.35654,3.49382,3.51654,4.15256,0.9375,0.9375,0.9375,0.958333,0.958333,0.958333,0.958333,5.44711,4.25603,1.0,1.49241,1.51016,-0.453142,6.4304,0.888889,1.54789,1.67363,5.44711,4.25603,1.0,1.51012,1.52766,-0.453142,6.4304,0.888889,1.56886,1.69303,5.18125,5.31573,5.44711,5.44711,5.66698,5.77735,6.70644,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.7908,-1.72294,-1.58769,-0.453142,-0.453142,-0.450071,-0.450071,0.833333,0.833333,0.833333,0.888889,0.888889,0.888889,0.888889,8.4164,8.30698,8.2113,0.214339,5.85991,6.01507,8.28491,8.4164,8.73953,9.14817,10.2179,4.95263,4.95044,4.90178,0.149317,3.09176,3.37416,4.92837,5.05987,5.39796,5.65436,6.04702,3.55532,3.80617,2.77868,0.20133,0.00248652,1.58826,2.06621,3.29769,3.66411,3.75583,3.81579,0.0,0.0,0.0120507,0.00593926,0.0,0.0,0.0,0.0,0.0,0.0,0.100203,-9999,-9999
20190102,2.173,1.0,1.882,1.95,1.0,2.658,0.605,1.0,3.467,2.439,1.858,5.181,3.076,2.173,1.0,1.882,1.95,1.0,2.658,0.605,1.0,124.09,28.29,1.0,55.935,28.29,1.0,-9999,-9999,240.919,240.919,0.0,287.481,1.0,277.248,287.481,1.0,0.479,1.0,2.046,0.479,1.0,101.281,101.265,1.0,0.001,0.0,1.0,1.95,1.492,1.0,0.25109375,1.0,9.124208333333334,1.0,54.40298069375,1.0,4.378542291666666,1.0,436.517,1.0,7.5,8.417,1.0,1.0,31.181,1.0,-5.2327,1.0,6.78799,1.0,5.82472,4.94347,8.77005,1.20833,3.08325,16.6918,1.0,14.3231,12.1561,21.5658,3.35774,7.74139,5.0,1,30,18,30,18,3.28264,1.0,1.14138,1.29794,3.30557,1.0,1.15115,1.30654,3.31156,1.0,0.102658,2.32777,2.48102,3.20092,3.30557,3.70816,3.71696,4.57619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.31656,1.75187,1.0,1.44624,1.70958,-0.425462,4.16796,1.0,1.67113,1.67347,5.31656,1.75187,1.0,1.46124,1.72228,-0.366527,4.18408,1.0,1.67912,1.68144,3.86776,4.09011,5.2865,5.31656,5.88455,5.91334,7.17237,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.93472,-0.441305,-0.425462,-0.366527,-0.303998,-0.264483,-0.1944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.47287,8.39367,8.30236,0.216262,5.9348,6.08666,8.37733,8.47287,8.91676,9.26437,10.3249,5.08971,5.0881,4.99079,0.119525,3.45378,3.72407,5.07175,5.19024,5.36372,5.54741,5.80618,3.57499,3.82723,2.80634,0.201595,0.00250027,1.59705,2.12881,3.31594,3.68438,3.7766,3.8369,0.0,0.0,0.013736,0.00677037,0.0,0.0,0.0,0.0,0.0,0.0,0.114198,-9999,-9999
20190103,3.047,1.0,2.393,1.097,1.0,4.136,1.999,1.0,2.522,1.221,1.569,4.69,2.968,3.047,1.0,2.393,1.097,1.0,4.136,1.999,1.0,124.77,42.58,1.0,58.899,42.58,1.0,-9999,-9999,216.893,216.893,0.0,273.874,1.0,250.032,273.874,1.0,3.242,1.0,2.773,3.242,1.0,101.895,101.879,1.0,0.0,0.0,1.0,1.239,2.224,1.0,0.22453541666666665,1.0,-18.934104166666664,1.0,81.88412077083335,1.0,8.244147145833333,1.0,422.347,1.0,7.118,8.351,1.0,1.0,31.126,1.0,-11.1227,1.0,11.2478,1.0,11.2398,8.19136,14.5321,1.38407,4.89983,-7.10952,1.0,-6.10062,-9.18547,-5.17762,3.72425,4.76411,6.0,1,30,18,30,18,5.09792,1.0,1.15544,1.27809,5.17628,1.0,1.16492,1.28667,5.13213,1.0,0.134982,4.18841,4.25276,4.85412,5.16287,5.24385,5.34543,7.08233,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.29566,4.4484,1.0,1.45349,1.57198,2.6075,6.84614,1.0,1.71682,1.78872,6.29967,4.44668,1.0,1.46452,1.58219,2.80217,6.86174,1.0,1.73302,1.80427,5.13541,5.29325,6.1955,6.29566,6.49075,6.49075,8.70181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.10636,2.20404,2.28559,2.6075,2.80217,3.20811,3.73117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.66441,8.69027,8.6116,0.223697,6.15351,6.28928,8.66434,8.69027,9.40302,9.66396,10.6836,3.51359,3.51398,3.47947,0.118197,1.9651,2.03651,3.33695,3.56642,4.05351,4.20668,4.39864,3.64152,3.89845,3.01803,0.163106,0.95951,1.76734,2.3513,3.37765,3.75295,3.84689,3.9083,0.0,0.0,0.0191985,0.00908199,0.0,0.0,0.0,0.0,0.0,0.0,0.171109,-9999,-9999
20190104,1.432,1.0,0.59,1.933,1.0,2.837,2.331,1.0,0.72,-0.791,2.217,3.239,3.37,1.432,1.0,0.59,1.933,1.0,2.837,2.331,1.0,125.509,52.858,1.0,57.736,52.858,1.0,-9999,-9999,229.657,229.657,0.0,269.414,1.0,264.49,269.414,1.0,2.335,1.0,1.475,2.335,1.0,102.122,102.083,1.0,0.0,0.0,1.0,1.355,1.818,1.0,0.20110208333333335,1.0,9.821833333333332,1.0,101.64988535416666,1.0,10.007536125,1.0,444.35,1.0,6.649,8.052,1.0,1.0,30.991,1.0,-10.5833,1.0,7.36575,1.0,7.36057,5.36423,9.92366,1.31021,3.62493,4.52356,1.0,4.52038,3.29436,6.09447,3.03,3.67279,7.0,1,30,18,30,18,5.54649,0.979167,1.16356,2.27051,5.75724,0.979167,1.19486,2.28671,5.28804,0.972396,0.240515,2.35872,2.51972,5.13125,5.71704,6.41813,6.41912,6.94211,0.958333,0.958333,0.958333,0.979167,0.979167,0.979167,0.979167,8.18661,7.75812,1.0,1.53864,2.90075,0.6086,5.18682,0.944444,1.53759,1.90174,8.19938,7.75355,1.0,1.57382,2.91956,1.12889,4.9655,0.944444,1.59608,1.94934,4.31114,4.60534,8.10354,8.18661,9.52343,9.52343,10.3053,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.20057,-1.11728,-0.283813,0.6086,0.994557,1.12096,1.12889,0.888889,0.888889,0.888889,0.944444,0.944444,0.944444,0.944444,8.21012,8.07742,7.92307,0.208938,5.5603,5.67732,7.964,8.09635,8.37743,8.84464,9.94565,2.32297,2.32018,2.63503,0.0684483,1.95872,2.24696,2.2945,2.61944,2.95886,3.15759,3.31318,3.51535,3.76339,3.06544,0.119776,1.79933,1.97817,2.3178,3.26063,3.62292,3.71361,3.7729,0.0,0.0,0.0202767,0.00963063,0.0,0.0,0.0,0.0,0.0,0.0,0.211492,-9999,-9999
20190105,0.338,1.0,-0.142,1.433,1.0,1.137,3.047,1.0,0.978,0.114,2.134,2.419,2.363,0.338,1.0,-0.142,1.433,1.0,1.137,3.047,1.0,126.306,41.193,1.0,50.106,41.193,1.0,-9999,-9999,242.015,242.015,0.0,273.619,1.0,278.49,273.619,1.0,0.725,1.0,0.796,0.725,1.0,101.45,101.412,1.0,0.0,0.0,1.0,1.15,1.546,1.0,0.17089583333333333,1.0,-1.562458333333333,1.0,79.21768958333332,1.0,7.737294514583334,1.0,472.61,1.0,6.401,7.8,1.0,1.0,30.872,1.0,-9.4569,1.0,5.74185,1.0,5.73781,4.1816,7.73583,1.25837,2.9198,3.45814,1.0,3.45571,2.51845,4.65905,2.87067,3.28005,7.0,1,30,18,30,18,4.81044,1.0,1.11963,2.18668,4.81506,1.0,1.16311,2.20925,4.05321,0.999479,0.233913,1.19727,1.51132,3.23485,4.40213,5.112,5.2679,5.53207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.27906,1.14799,1.0,1.50212,2.37512,0.229748,8.8513,1.0,1.41786,2.19412,7.28619,1.14234,1.0,1.57508,2.42192,0.229748,8.8513,1.0,1.429,2.20133,3.96619,4.38445,6.43479,6.65158,7.82365,8.06403,8.39342,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.66094,-3.11917,-2.65128,0.0970049,0.229748,0.229748,0.229748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.76241,7.57178,7.31787,0.19211,5.08797,5.32904,7.25851,7.44472,7.76295,8.15828,9.20234,2.76108,2.75671,3.26466,0.0851192,2.35846,2.76108,2.87071,3.03238,3.70106,3.89676,4.06311,3.40219,3.58597,2.97257,0.116508,1.72042,1.78991,2.19157,3.28001,3.49889,3.52679,3.96945,0.0,0.0,0.0148251,0.00766306,0.0,0.0,0.0,0.0,0.0,0.0,0.122727,-9999,-9999
20190106,3.063,1.0,2.344,3.931,1.0,4.262,4.745,1.0,2.897,0.956,2.429,6.133,3.772,3.063,1.0,2.344,3.931,1.0,4.262,4.745,1.0,127.162,52.153,1.0,57.361,52.153,1.0,-9999,-9999,247.164,247.164,0.0,290.341,1.0,284.322,290.341,1.0,1.516,1.0,1.116,1.516,1.0,101.251,101.198,1.0,0.0,0.0,1.0,1.333,2.079,1.0,0.26700416666666665,1.0,11.122166666666667,1.0,100.2942013125,1.0,10.835617979166665,1.0,473.095,1.0,6.231,7.616,1.0,1.0,30.769,1.0,-7.88882,1.0,8.50532,0.979167,10.9888,7.29835,11.459,1.37989,3.37884,-3.11436,1.0,-3.11217,-4.04206,-2.26808,3.19509,3.45513,8.0,1,30,18,30,18,5.7303,0.895833,1.224,1.89528,5.78862,0.895833,1.24934,1.91175,5.57893,0.919271,0.191447,3.39413,3.7192,5.12412,5.58202,6.34168,6.61329,7.54704,0.875,0.791667,0.895833,0.895833,1.0,1.0,1.0,8.40119,5.82201,0.9,1.75436,2.52742,0.723316,4.48444,0.888889,1.1592,1.39683,8.4911,5.78274,0.9,1.79085,2.55288,0.723316,4.48444,0.888889,1.18247,1.4162,5.73441,6.28749,8.18565,8.30928,9.53363,9.9262,11.4012,0.866667,0.733333,0.9,0.9,1.0,1.0,1.0,-1.01377,-0.835376,-0.613026,0.389263,0.499881,0.723316,0.723316,0.888889,0.888889,0.888889,1.0,1.0,0.888889,0.888889,8.10317,8.31331,8.00273,0.209195,5.57579,6.08871,7.53103,7.83888,9.00304,9.28494,9.94825,2.52182,2.52469,2.4238,0.0460142,1.95093,2.06718,2.17702,2.36951,2.63601,2.70511,2.92191,3.54467,3.61403,3.28392,0.0678884,2.57179,2.68327,2.87602,3.47993,3.54129,3.61403,3.94435,0.0,0.0,0.0194337,0.0108861,0.0,0.0,0.0,0.0,0.0,0.0,0.123706,-9999,-9999
20190107,3.349,1.0,2.345,2.268,1.0,5.024,3.237,1.0,2.547,0.932,1.512,5.239,2.834,3.349,1.0,2.345,2.268,1.0,5.024,3.237,1.0,128.076,44.019,1.0,52.159,44.019,1.0,-9999,-9999,259.01,259.01,0.0,298.917,1.0,297.741,298.917,1.0,0.257,1.0,0.588,0.257,1.0,101.841,101.812,1.0,0.001,0.0,1.0,1.306,1.793,1.0,0.16091249999999999,1.0,-1.5504583333333326,1.0,84.6520249375,1.0,7.950902645833334,1.0,457.931,1.0,6.191,7.493,1.0,1.0,30.683,1.0,-6.79087,1.0,5.40566,1.0,6.98409,4.63855,7.28289,1.36132,2.38656,1.79007,1.0,2.31277,1.53605,2.41171,3.30318,3.36636,8.0,1,30,18,30,18,4.66912,1.0,0.976893,1.21979,4.77018,1.0,1.00434,1.24188,4.37136,0.972917,0.110721,3.15386,3.30926,4.22249,4.40411,4.71451,4.77018,5.4792,0.895833,0.895833,0.958333,0.958333,1.0,1.0,1.0,6.59059,2.27994,1.0,1.3308,1.70399,1.01404,7.13428,1.0,1.17571,1.18643,6.71936,2.32873,1.0,1.37428,1.73816,1.05912,7.14432,1.0,1.18942,1.20001,4.20004,4.60985,6.05269,6.16789,6.67753,6.73828,7.78172,0.9,0.933333,0.933333,0.933333,1.0,1.0,1.0,0.657427,0.782192,0.898555,1.03169,1.08104,1.10034,1.13205,1.0,1.0,1.0,1.0,1.0,1.0,0.888889,7.95649,8.25523,7.83852,0.207801,5.41702,6.12439,7.15064,7.58045,8.81401,9.33075,9.7689,3.48117,3.48505,3.46716,0.114828,2.2213,2.80432,2.99253,3.28737,4.01559,4.35119,4.56915,3.09676,3.12164,2.84677,0.0598455,2.24263,2.27583,2.53127,2.93326,3.09676,3.12164,3.38191,0.0,0.0,0.0152216,0.00895238,0.0,0.0,0.0,0.0,0.0,0.0,0.119526,-9999,-9999
20190108,-0.123,1.0,0.101,1.35,1.0,-0.497,0.921,1.0,1.998,1.408,0.473,2.982,0.83,-0.123,1.0,0.101,1.35,1.0,-0.497,0.921,1.0,129.048,17.676,1.0,34.652,17.676,1.0,-9999,-9999,274.583,274.583,0.0,275.649,1.0,315.38,275.649,1.0,0.012,1.0,0.057,0.012,1.0,101.001,100.954,1.0,0.013,0.0,1.0,1.355,1.297,1.0,0.17471666666666666,1.0,3.8245000000000005,1.0,33.99224104166667,1.0,4.0440764583333335,1.0,458.082,1.0,6.193,7.434,1.0,1.0,30.607,1.0,-7.23801,1.0,3.83394,1.0,4.95344,3.28988,5.16536,1.34418,1.93383,1.03022,1.0,1.33104,0.884021,1.38798,2.64067,2.66697,8.0,1,30,18,30,18,2.48847,1.0,1.13804,2.06383,2.48847,1.0,1.16157,2.0769,1.92572,1.0,0.220672,-0.690301,-0.389581,1.3376,2.07573,2.83726,3.05383,3.55882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.87948,0.884579,1.0,1.41106,2.33786,-5.07112,6.5011,1.0,1.73829,2.15032,6.87948,0.884579,1.0,1.45421,2.36415,-5.07112,6.5011,1.0,1.74226,2.15354,3.44108,3.98005,6.13106,6.32975,7.4281,7.70804,8.05136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-7.82045,-7.5244,-6.97725,-5.21553,-5.07112,-4.99279,-4.2038,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.05992,7.01673,6.49697,0.170736,4.44522,5.09821,5.90639,6.29454,7.06029,7.2934,8.28349,4.53139,4.52826,4.57125,0.0893113,3.76821,4.07698,4.12977,4.52891,4.8415,5.2968,5.48779,2.05085,2.10441,1.75624,0.0611167,1.16555,1.28273,1.35049,1.83757,2.09807,2.13286,2.28387,0.0,0.0,0.00579754,0.00338241,0.0,0.0,0.0,0.0,0.0,0.0,0.048459,-9999,-9999
20190109,0.263,1.0,-0.358,1.384,1.0,1.298,2.321,1.0,3.215,2.19,1.536,4.923,2.228,0.263,1.0,-0.358,1.384,1.0,1.298,2.321,1.0,130.078,28.395,1.0,45.863,28.395,1.0,-9999,-9999,252.726,252.726,0.0,278.415,1.0,290.622,278.415,1.0,0.013,1.0,1.136,0.013,1.0,99.951,99.925,1.0,0.004,0.0,1.0,2.166,2.095,1.0,0.34341666666666665,1.0,9.618854166666667,1.0,54.605835354166665,1.0,4.667459583333334,1.0,456.895,1.0,6.309,7.429,1.0,1.0,30.557,1.0,-5.92448,1.0,4.97943,1.0,6.4334,4.27281,6.70864,1.35824,2.25947,7.05105,1.0,9.10993,6.05045,9.49968,3.41013,4.26223,8.0,1,30,18,30,18,0.811715,1.0,1.26737,1.48986,0.89903,1.0,1.29203,1.51089,0.470525,1.0,0.109345,-0.842266,-0.526673,0.162714,0.584098,0.930603,1.03978,1.21646,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.58206,6.64963,1.0,1.6269,2.06811,-5.55088,10.1012,1.0,1.80402,1.82097,4.59599,6.66175,1.0,1.66991,2.10211,-5.34972,10.2949,1.0,1.81036,1.82725,2.10933,2.50875,3.92696,4.11457,4.60252,5.0624,5.37202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-5.83331,-5.81848,-5.7682,-5.62988,-5.34972,-5.32271,-5.26906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.92673,6.94133,6.39584,0.157787,4.5292,5.20481,5.80189,6.1332,6.94133,7.27539,8.03011,6.04458,6.0423,5.92532,0.087929,5.27474,5.47785,5.50332,5.74724,6.11502,6.32465,7.18191,1.46997,1.53124,1.38065,0.0543754,0.789355,0.869451,0.969269,1.46994,1.66662,1.73123,1.75103,0.0541503,0.0577406,0.0871329,0.00989795,0.053293,0.0541413,0.054154,0.0562766,0.090247,0.133023,0.188808,-9999,-9999
20190110,4.792,1.0,4.636,1.267,1.0,5.053,2.431,1.0,2.973,1.238,1.759,5.865,3.213,4.792,1.0,4.636,1.267,1.0,5.053,2.431,1.0,131.166,36.45,1.0,55.937,36.45,1.0,-9999,-9999,228.822,228.822,0.0,281.574,1.0,263.545,281.574,1.0,4.193,1.0,2.298,4.193,1.0,100.441,100.398,1.0,0.0,0.0,1.0,1.564,2.366,1.0,0.24071458333333337,1.0,-14.229875,1.0,70.0953388125,1.0,5.009215833333333,1.0,425.441,1.0,6.245,7.415,1.0,1.0,30.533,1.0,-7.00136,1.0,9.34019,1.0,12.0675,8.01474,12.5838,1.37762,3.65642,-16.5738,1.0,-21.4133,-22.3294,-14.2218,3.13689,6.77944,7.0,1,30,18,30,18,5.65612,1.0,1.13271,1.23451,5.48921,1.0,1.1283,1.23046,5.60211,1.0,0.0696387,5.27951,5.30671,5.30952,5.35342,5.65612,6.2885,6.40259,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5288,1.95848,1.0,1.54967,1.69595,1.98668,5.93738,1.0,1.34227,1.39107,7.24693,1.79835,1.0,1.53992,1.68704,2.02756,5.8875,1.0,1.34888,1.39745,6.91825,6.96451,7.02027,7.24577,7.56308,8.34255,8.97901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.10505,1.30606,1.71526,1.84897,2.03648,2.03648,2.53353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.54177,7.96811,7.44574,0.159885,5.8125,6.54366,6.65066,7.09274,8.12442,8.63002,8.99625,2.47341,2.4789,1.84363,0.155468,0.0353963,0.490602,1.34345,1.76471,2.45117,2.81159,3.39255,1.22719,1.27525,1.48563,0.114731,0.641534,0.739862,1.19884,1.31726,1.56336,2.11491,2.50711,0.196817,0.209866,0.294224,0.0276526,0.193702,0.196784,0.196831,0.204545,0.327977,0.423505,0.521997,-9999,-9999
