TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,8.352,8.194,1.431,8.594,1.62,88.521,246.954,2.317,102.719,0.0,1.057
19890102,8.485,8.026,1.153,9.186,1.403,85.391,250.092,2.478,102.798,0.0,1.124
19890103,7.089,7.047,1.105,7.154,0.893,44.286,283.191,3.286,103.411,0.229,1.774
19890104,7.064,6.904,1.361,7.308,1.587,83.49,254.072,3.985,103.744,0.0,1.138
19890105,7.657,7.244,1.147,8.286,1.324,68.127,271.983,3.183,103.109,0.004,1.389
19890106,7.587,7.344,0.953,7.957,1.046,70.83,276.994,1.956,102.166,0.615,1.413
19890107,8.388,8.246,0.975,8.606,1.125,58.5,286.585,1.962,101.68,0.145,0.738
19890108,8.385,8.562,1.338,8.115,1.64,91.388,251.502,2.232,101.852,0.0,1.513
19890109,9.001,8.926,0.777,9.115,1.095,83.666,271.733,1.559,102.363,0.001,1.352
19890110,8.551,8.544,0.775,8.562,0.595,51.829,305.299,1.432,102.563,0.495,0.915
19890111,9.439,9.295,0.61,9.659,0.824,56.011,306.284,1.824,102.64,0.251,1.001
19890112,8.998,8.956,1.21,9.061,1.486,93.043,259.926,2.389,102.929,0.0,0.835
19890113,9.071,8.907,1.164,9.322,1.362,92.374,259.774,1.63,103.299,0.0,1.367
19890114,8.388,8.266,1.245,8.575,1.517,96.728,252.058,1.615,103.518,0.0,1.133
19890115,8.652,8.611,1.482,8.715,1.714,98.874,250.13,1.972,103.565,0.0,1.27
19890116,9.15,9.059,1.312,9.29,1.607,100.294,248.187,2.419,103.515,0.0,1.079
19890117,8.616,8.349,0.482,8.991,0.782,90.947,276.24,1.469,103.374,0.125,0.557
19890118,7.985,8.022,0.704,7.933,0.778,77.371,284.733,3.425,103.128,0.155,0.899
19890119,8.405,8.199,1.44,8.693,1.502,89.176,268.861,2.157,103.045,0.0,0.709
19890120,8.53,8.443,1.325,8.652,1.347,92.809,267.676,2.186,103.117,0.002,1.026
19890121,8.882,8.58,0.516,9.306,0.691,46.686,309.974,1.269,102.854,3.69,2.091
19890122,8.248,8.09,0.701,8.47,0.133,33.382,309.943,1.568,102.094,13.536,2.062
19890123,7.625,7.233,1.237,8.175,1.583,55.134,282.341,2.321,102.298,1.216,1.993
19890124,7.954,7.521,2.15,8.559,2.144,87.907,267.467,3.282,102.603,0.0,1.347
19890125,7.939,7.8,1.594,8.133,1.932,109.481,245.734,3.009,102.72,0.0,1.235
19890126,8.83,8.787,0.638,8.891,1.087,104.767,254.081,3.651,102.784,0.002,1.643
19890127,7.992,7.838,1.366,8.209,1.769,112.779,244.608,3.245,103.37,0.0,1.1
19890128,7.818,7.713,1.487,7.966,1.592,114.831,240.763,3.03,103.382,0.0,1.432
19890129,8.063,7.682,1.123,8.596,1.116,109.129,251.007,2.694,103.288,0.0,1.217
19890130,7.27,7.335,1.585,7.18,1.766,116.095,245.897,2.703,103.594,0.0,1.249
19890131,8.003,7.888,1.858,8.164,1.841,121.089,237.555,3.078,103.63,0.0,1.088
19890201,8.813,8.592,1.607,9.097,1.932,121.466,244.307,2.579,103.396,0.0,0.782
19890202,9.414,9.124,1.068,9.786,1.373,119.753,254.637,1.579,103.262,0.0,0.973
19890203,9.339,9.188,0.81,9.533,1.016,68.355,301.289,1.224,103.218,0.633,0.802
19890204,9.012,9.03,0.479,8.99,0.616,65.92,296.719,2.053,103.092,0.793,1.311
19890205,9.386,9.273,0.635,9.531,0.846,101.096,278.53,2.752,103.052,0.968,0.763
19890206,8.447,8.492,1.338,8.39,1.668,126.289,250.329,2.073,103.295,0.0,1.164
19890207,9.559,9.311,1.424,9.878,1.548,126.818,257.085,2.386,103.151,0.0,0.715
19890208,9.521,9.366,0.959,9.72,1.218,115.572,268.179,1.862,102.808,0.0,0.708
19890209,9.477,9.363,1.156,9.625,1.476,125.758,262.626,2.089,102.385,0.0,0.937
19890210,9.662,9.385,1.013,9.989,1.289,114.733,268.097,2.57,102.785,0.0,1.204
19890211,9.044,8.863,1.455,9.258,1.787,136.037,249.77,2.774,103.548,0.0,1.126
19890212,9.12,8.998,0.972,9.265,1.162,137.713,249.048,2.268,103.719,0.0,1.307
19890213,9.48,8.945,0.815,10.113,1.022,90.559,276.355,2.369,102.738,0.557,1.422
19890214,7.349,6.949,1.374,7.822,1.963,104.866,266.599,3.241,101.837,0.797,2.409
19890215,7.471,6.786,0.967,8.28,1.816,142.028,236.414,5.622,101.912,0.021,2.678
19890216,6.956,6.703,1.877,7.256,1.473,144.88,234.276,5.093,102.103,0.0,1.134
19890217,9.607,9.233,1.03,10.048,1.053,91.412,291.379,3.541,102.08,0.001,1.992
19890218,9.831,9.501,0.996,10.221,1.351,130.923,273.263,2.144,102.488,0.0,1.143
