TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-0.356,-1.015,1.209,0.744,2.302,77.007,222.668,2.232,87.308,0.0,0.766
19890102,-0.929,-1.909,1.624,0.705,2.642,76.262,225.119,1.99,87.549,0.0,0.786
19890103,-1.788,-2.402,1.196,-0.764,1.235,76.604,228.404,1.261,87.968,0.003,0.613
19890104,-3.183,-3.98,1.835,-1.854,2.948,79.162,213.887,1.441,87.822,0.0,0.57
19890105,-3.707,-4.102,1.471,-3.049,2.104,77.092,208.398,1.473,87.195,0.0,0.537
19890106,-3.46,-3.862,1.15,-2.79,1.173,62.164,233.384,1.329,86.233,0.012,0.656
19890107,-1.889,-2.718,2.683,-0.508,3.011,75.037,231.294,1.682,85.787,0.0,0.794
19890108,-1.4,-2.411,1.807,0.286,3.371,77.996,238.833,1.383,86.184,0.0,1.024
19890109,-1.113,-2.244,1.655,0.772,2.665,79.984,238.964,1.168,86.615,0.0,0.777
19890110,-0.717,-1.354,1.076,0.345,1.632,75.182,242.08,1.423,86.616,0.0,0.562
19890111,0.122,-0.296,0.614,0.818,1.032,69.348,252.928,1.082,86.849,0.016,0.465
19890112,0.333,-0.328,1.2,1.435,1.575,60.936,255.027,1.044,87.121,0.054,0.467
19890113,-0.291,-1.18,1.734,1.191,2.498,84.717,227.528,1.44,87.487,0.0,0.546
19890114,-0.747,-1.198,2.044,-0.058,2.571,83.421,231.263,1.609,87.716,0.0,0.614
19890115,-1.286,-2.206,2.091,0.118,3.073,84.609,235.475,1.716,87.853,0.0,0.738
19890116,-1.096,-2.152,1.706,0.515,3.132,85.627,240.678,1.679,87.725,0.0,0.58
19890117,-1.545,-1.977,1.138,-0.885,2.684,88.946,227.825,1.65,87.364,0.0,0.523
19890118,-1.612,-2.148,1.708,-0.795,2.556,82.64,229.461,1.889,87.421,0.0,0.67
19890119,-1.049,-1.622,1.943,-0.173,2.924,91.146,223.415,2.042,87.54,0.0,0.686
19890120,-0.305,-1.179,1.238,1.029,2.922,93.057,224.865,2.352,87.424,0.0,0.706
19890121,-2.488,-2.91,1.341,-1.842,2.213,90.095,223.209,1.535,87.051,0.0,0.635
19890122,-1.895,-2.144,1.868,-1.515,2.247,79.373,231.375,1.624,86.638,0.002,0.965
19890123,-0.646,-1.099,1.83,0.046,3.184,97.236,218.593,2.2,87.29,0.0,0.91
19890124,-1.45,-2.252,1.342,-0.327,2.652,100.243,214.825,1.893,87.285,0.0,0.561
19890125,-1.928,-3.191,2.711,-0.161,3.921,101.902,216.205,2.184,87.235,0.0,0.777
19890126,-1.967,-3.048,1.479,-0.453,2.897,103.595,215.097,2.13,87.245,0.0,0.729
19890127,-1.704,-2.706,2.128,-0.301,3.275,104.862,219.653,2.292,87.688,0.0,0.611
19890128,-0.734,-1.967,2.228,0.991,4.072,107.375,220.283,2.372,87.683,0.0,0.664
19890129,0.749,-0.569,2.332,2.594,4.168,108.775,220.509,2.924,87.848,0.0,0.633
19890130,1.1,-0.004,1.469,2.646,3.177,111.654,217.837,2.863,88.031,0.0,0.519
