TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,0.947,-0.592,2.059,3.511,2.749,75.534,262.285,2.357,103.102,0.0,0.853
19890102,1.514,0.25,3.763,3.62,4.007,75.415,266.365,2.428,103.412,0.0,0.986
19890103,1.181,0.214,1.744,2.657,2.172,76.515,256.838,2.023,103.968,0.0,0.972
19890104,-1.771,-2.892,1.485,-0.061,2.596,77.141,250.132,1.271,103.885,0.0,0.705
19890105,-2.186,-3.138,1.457,-0.733,2.222,74.797,253.224,1.098,103.246,0.0,0.949
19890106,-1.081,-1.795,1.941,0.008,1.268,45.923,282.966,1.382,102.164,0.032,0.642
19890107,1.262,0.521,1.312,2.392,1.739,63.912,282.544,1.625,101.575,0.002,0.732
19890108,0.835,-0.101,1.087,2.264,1.96,75.059,279.555,1.187,101.901,0.0,0.857
19890109,0.355,-0.941,1.401,2.334,2.376,76.864,275.681,1.029,102.342,0.0,0.892
19890110,1.296,0.901,2.299,1.9,1.41,69.145,291.511,0.997,102.492,0.011,0.611
19890111,3.958,3.306,1.565,4.952,1.062,34.24,331.937,1.444,102.713,0.07,0.922
19890112,5.172,5.048,0.877,5.361,1.408,35.036,339.872,1.647,102.964,0.303,0.657
19890113,5.204,4.606,1.666,6.116,0.948,35.931,335.899,1.338,103.368,0.089,0.594
19890114,1.009,0.186,1.155,2.266,1.332,76.675,283.848,0.795,103.622,0.007,0.823
19890115,1.037,0.17,0.864,2.361,2.35,81.013,283.854,1.16,103.727,0.017,0.788
19890116,0.363,-0.642,1.323,1.898,2.202,82.576,275.397,1.037,103.588,0.0,0.79
19890117,0.076,-0.251,0.906,0.575,1.524,83.352,271.865,1.056,103.28,0.0,0.678
19890118,0.864,-0.261,1.378,2.582,2.271,83.873,273.967,1.483,103.318,0.001,0.788
19890119,0.774,-0.895,2.247,3.321,3.399,89.683,265.541,1.853,103.351,0.0,0.902
19890120,1.808,-0.029,2.733,4.611,3.794,90.205,268.344,2.296,103.225,0.0,0.82
19890121,1.623,0.755,2.015,2.949,2.242,72.689,285.73,1.497,102.95,0.001,1.014
19890122,2.511,1.818,1.413,3.569,1.761,63.176,290.042,1.635,102.468,0.008,1.4
19890123,2.544,1.223,2.817,4.561,3.798,94.072,264.301,2.415,103.112,0.0,0.723
19890124,2.067,0.744,1.073,4.086,2.459,97.256,260.1,2.206,103.151,0.0,0.808
19890125,0.879,-0.311,1.911,2.696,2.617,98.931,256.904,1.832,103.081,0.0,0.632
